Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"News from yet another #JupiterDiaspora descendent, this year's @CDXForum from Drew Ianni looks like a good one: https://t.co/SLAO0P8ruN",Mon Apr 18 17:50:26 +0000 2016,en,0,False,1,False,,Gene DeRose,genederose
Paul Ryan’s curious mea culpa and the truth about “makers and takers” the right willfully ignores https://t.co/OZ7QweFrkp via @instapaper,Tue Apr 12 10:45:57 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
RT @Rachel__Nichols: I don't even know where to start. https://t.co/GpbFaUOI0a,Wed Apr 06 03:21:07 +0000 2016,en,865,False,0,False,,Gene DeRose,genederose
"RT @chris_hummer: No one will remember, but this USA Today shot of Marcus Paige is incredible: https://t.co/il8dsXy1s5",Tue Apr 05 04:58:40 +0000 2016,en,18131,False,0,False,,Gene DeRose,genederose
On Its 40th Anniversary: Notes on the Making of All the... https://t.co/nxckjp4G2w via @instapaper,Sun Apr 03 05:15:49 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
"RT @TheOnion: Advisors Tell Trump, Cruz To Stick To Just Attacking All Women In General https://t.co/3tljITdGaD https://t.co/cLu0Bo7lgV",Sat Apr 02 20:49:03 +0000 2016,en,507,False,0,False,,Gene DeRose,genederose
RT @Bill_Gross: Half the world's population lives in just 1% of the land. See close-up maps here: https://t.co/RW6Pi44prg https://t.co/70d9…,Thu Mar 31 13:08:32 +0000 2016,en,171,False,0,False,,Gene DeRose,genederose
RT @Molly_Minturn: Sports. Why do I care?,Mon Mar 28 05:26:21 +0000 2016,en,1,False,0,False,,Gene DeRose,genederose
RT @hyperallergic: A NY Times obit writer tries his hand at an obit for Jesus … Required Reading - https://t.co/zAUEkfgXXr,Mon Mar 28 04:22:14 +0000 2016,en,3,False,0,False,,Gene DeRose,genederose
RT @JimGaffigan: If you love Gary Shandling watch this https://t.co/kmibkdB0c2,Sat Mar 26 16:53:50 +0000 2016,en,800,False,0,False,,Gene DeRose,genederose
Values Not Validation https://t.co/Tm4cFFcrjF via @instapaper,Sat Mar 26 14:38:57 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
RT @JonRothstein: Not sure there's been a program that's accomplished more recently + gets talked about less than UVA. Have a feeling that'…,Wed Mar 23 06:09:10 +0000 2016,en,60,False,0,False,,Gene DeRose,genederose
Boy @ sunset. Carmel CA. @ Carmel Beach CA https://t.co/bjkGPjutTo,Wed Mar 23 01:51:45 +0000 2016,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-121.92984162, 36.55492065]}",Gene DeRose,genederose
RT @DickieV: This could be the year for Virginia / yes beat a good Butler team / now with MSU not in the way Cavs can make big noise . #Mar…,Mon Mar 21 04:47:13 +0000 2016,en,97,False,0,False,,Gene DeRose,genederose
"RT @dschatsky: What I Learned Teaching a Course on Artificial Intelligence (and You Can, Too) https://t.co/p10LLRq6cY via @HuffPostTech",Tue Mar 08 17:20:44 +0000 2016,en,3,False,0,False,,Gene DeRose,genederose
Go Hoos! Next stop acc tourney. (w smeds) (@ John Paul Jones Arena for Louisville Cardinals vs Virginia Cavaliers) https://t.co/XdLipeB2lq,Sun Mar 06 04:00:28 +0000 2016,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-78.50678802, 38.04597881]}",Gene DeRose,genederose
This place has a lot going on. Plus I had coffee w @jaredcurrier ! (@ iLab) https://t.co/TaLWOMKDnK https://t.co/CSD4Yr8gbb,Fri Mar 04 22:41:57 +0000 2016,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-78.51156549, 38.05275368]}",Gene DeRose,genederose
"Great things are happening here! (at @HackCville in Charlottesville, VA) https://t.co/QKLhHmJKO1",Fri Mar 04 17:14:00 +0000 2016,en,1,False,0,False,"{'type': 'Point', 'coordinates': [-78.50031902, 38.03589769]}",Gene DeRose,genederose
RT @SarahKSilverman: The racist rage the audience audibly exerts at the notion of a path to citizenship for immigrants was bone chilling.  …,Fri Mar 04 03:32:21 +0000 2016,en,3178,False,0,False,,Gene DeRose,genederose
RT @RealJayWilliams: Trump says whatever he wants &amp; people love him for it but people get sensitive when you critique college basketball co…,Wed Mar 02 04:13:38 +0000 2016,en,129,False,0,False,,Gene DeRose,genederose
Looks good Larry.  https://t.co/scUvbc5agH,Tue Mar 01 23:51:47 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
Better shot.  https://t.co/viBohRZVeA,Sat Feb 27 17:29:47 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
RT @CollegeGameDay: J-Will knows how to make a pick. https://t.co/yTbsIS8xhD,Sat Feb 27 17:28:26 +0000 2016,en,383,False,0,False,,Gene DeRose,genederose
RT @thesabre: NewsLink is updated with #UVA sports links @thesabre ... https://t.co/riObgt1yDr,Fri Feb 26 15:58:53 +0000 2016,en,1,False,0,False,,Gene DeRose,genederose
"RT @JayBilas: Looking forward to College GameDay in Charlottesville for UNC @ UVA, and working with @SethOnHoops (pictured). https://t.co/y…",Fri Feb 26 15:58:00 +0000 2016,en,86,False,0,False,,Gene DeRose,genederose
"🌬 @ Chappaqua, New York https://t.co/SIKNakxoyw",Sun Feb 14 07:21:18 +0000 2016,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-73.77222222, 41.15888889]}",Gene DeRose,genederose
So. Incredibly. Cool. https://t.co/reC9q2wgHf,Thu Feb 11 22:36:21 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
"Whiteman! Said it before, you should be on the air. https://t.co/XZ8e6kWYtK",Thu Feb 11 18:55:40 +0000 2016,en,0,False,1,False,,Gene DeRose,genederose
"Revelation many x over. Starting w/ Rick Wakeman's involvement in ""Is there life on Mars?"" Chills. https://t.co/I1nOBuzdzz",Sun Jan 31 22:21:15 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
"First Siri, Now Threat Detection: Inside SRI’s Amazing R&amp;D https://t.co/vMrg4DHBJu via @instapaper",Thu Jan 28 15:34:58 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
Machine language: how Siri found its voice https://t.co/69GNNx6Ija via @instapaper,Wed Jan 27 14:09:59 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
Apple assembling in-house speech synthesis team to supplant Siri’s Nuance with better tech https://t.co/cGbZVx83CC via @instapaper,Wed Jan 27 14:09:40 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
Red Dwarf-style talking head's emotions 'easier to read' than our own (Wired UK) https://t.co/MentxvXQ5x via @instapaper,Wed Jan 27 14:05:25 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
Vox technica: How Siri gets its voice https://t.co/WNqOjmEOsL via @instapaper,Wed Jan 27 14:00:39 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
"Android Director: ‘We Have the Most Accurate, Conversational, Synthesized Voice in the World’ https://t.co/BanNT4C0g6 via @instapaper",Wed Jan 27 13:56:19 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
"How to be a joyful subversive: The Protest Singer (Alec Wilkinson)
https://t.co/zzanupq90p RT @radicaldaily 1/27/14 – Pete Seeger dies",Wed Jan 27 12:33:07 +0000 2016,en,0,False,1,False,,Gene DeRose,genederose
RT @dthomp15: 🙈🙈🙈 https://t.co/93XY5s2ImH,Wed Jan 27 03:45:53 +0000 2016,und,56,False,0,False,,Gene DeRose,genederose
Why More Girls  and Women  Than Ever Are Now Being Diagnosed With ADHD https://t.co/RZ95HKmBXD via @instapaper,Tue Jan 26 14:33:41 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
Virginia Woolf on the Paradox of the Soul and the Consolations of Growing Older https://t.co/LnYpiXMbNV via @instapaper,Tue Jan 26 13:44:15 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
"@krucoff but since I'm dwelling, a good friend is a NYC Jewish comic / want to ping him?",Wed Jan 20 13:54:07 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
@krucoff wasn't even joking but was aware it would still be somehow funny.,Wed Jan 20 13:52:26 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
this. In my jacket pocket. apologies to cool folx at POUR. @ Pour https://t.co/ueRiPVwFdj,Wed Jan 20 04:55:35 +0000 2016,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-73.7258301, 41.2019196]}",Gene DeRose,genederose
@krucoff I know someone who knows Sarah Bernhardt …,Fri Jan 15 20:05:10 +0000 2016,en,0,False,1,False,,Gene DeRose,genederose
Growing Up with David Bowie - The New Yorker https://t.co/JBA0V2dUiD via @instapaper,Tue Jan 12 05:43:29 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
RT @hodgman: Just beautiful.  https://t.co/XlOhhaXALB,Tue Jan 12 03:56:32 +0000 2016,en,22,False,0,False,,Gene DeRose,genederose
Yep.  It's Hard To Be A Saint In The City by David Bowie ♫ https://t.co/OSPGZXBKAG,Tue Jan 12 03:16:33 +0000 2016,en,0,False,1,False,,Gene DeRose,genederose
This out of all else today just kills me.  https://t.co/bE97cotbDD,Tue Jan 12 00:19:33 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
Crazy influence. #Bowie https://t.co/Ho4p3gBhOi,Mon Jan 11 13:27:57 +0000 2016,en,0,False,1,False,,Gene DeRose,genederose
"Less sad thinking of fotc's genius Bowie episode. ""Does your spacesuit make your nipples cold… https://t.co/KsGkq6oBvw",Mon Jan 11 13:24:30 +0000 2016,en,0,False,1,False,,Gene DeRose,genederose
knicks,Mon Jan 11 03:45:13 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
The Republican Party Is a Trick https://t.co/OEG2W3aga2 via @instapaper,Sat Jan 02 03:11:37 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
A Hundred Years of Orson Welles https://t.co/eBpSBDmDaL via @instapaper,Fri Jan 01 06:36:12 +0000 2016,en,0,False,0,False,,Gene DeRose,genederose
