Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @Chicago_History: 3472 W. Devon Ave. in Lincolnwood - Dairy Star Ice Cream has been serving up smiles since 1984.

#ChicagoHistory https…",Thu Apr 21 02:46:13 +0000 2016,en,43,False,0,False,,Gary Kremen,gkremen
Water Commission working to keep water clean&amp;affordable https://t.co/l8x7BC7xgY,Wed Apr 13 19:13:13 +0000 2016,en,0,False,2,False,,Gary Kremen,gkremen
RT @jenloving23: Community Services in @mtnviewcityhall say they are seeing a huge displacement of ppl in north county cities @LosAltosPatc…,Thu Apr 07 00:00:59 +0000 2016,en,1,False,0,False,,Gary Kremen,gkremen
"co-teaching ""Powering the Future"" - talking energy policy today for @ISENatNU @NorthwesternU https://t.co/NcCqWKr9Mz",Tue Apr 05 20:32:22 +0000 2016,en,2,False,2,False,,Gary Kremen,gkremen
At @WaterNowOrg in @cityoftempe w/ @KirstenKeithEsq @mtnviewcityhall @cityofpaloalto @CityofMenloPark https://t.co/6gXKkxvYQT,Thu Mar 31 22:08:02 +0000 2016,en,0,False,1,False,,Gary Kremen,gkremen
At #wnasummit with @mtnviewcityhall council https://t.co/cCA0Ok02vt,Wed Mar 30 19:07:41 +0000 2016,en,2,False,3,False,,Gary Kremen,gkremen
Unfair water allocation for @eastpaloalto https://t.co/p4bP9GepED - wrote about this last year - https://t.co/biyx0YHiXC @SFWater #bawsca,Thu Mar 24 20:49:47 +0000 2016,en,0,False,1,False,,Gary Kremen,gkremen
@belpesce https://t.co/AesyYXEkr2,Thu Mar 24 04:01:26 +0000 2016,und,0,False,0,False,,Gary Kremen,gkremen
@valleywater Sponsor of Water conservation award https://t.co/YK0kx7U4N4,Wed Mar 23 19:24:35 +0000 2016,en,0,False,0,False,,Gary Kremen,gkremen
https://t.co/28WZzOQfPG @siliconhouse @SiliconHouseUs @andrealitto1,Fri Mar 11 23:21:01 +0000 2016,und,0,False,0,False,,Gary Kremen,gkremen
RT @Gizmodo: This story lampooning ludicrous tech company decor is the best thing you’ll read all day https://t.co/oIVUyYQahg https://t.co/…,Fri Mar 11 03:14:39 +0000 2016,en,64,False,0,False,,Gary Kremen,gkremen
"Westland's ""Birmingham joked that they were engaging in 'a little Enron accounting'” https://t.co/C7MDOveou4 @usbr @CaWaterBoards @CA_DWR",Thu Mar 10 23:14:31 +0000 2016,en,0,False,1,False,,Gary Kremen,gkremen
Excited to work with Ms. Camacho. https://t.co/YL0872hYw9,Thu Mar 10 23:10:15 +0000 2016,en,0,False,0,False,,Gary Kremen,gkremen
Westland's Birmingham fined by @SEC disbarment soon? https://t.co/v8sROrqsTa  - @FresnoBee @sacbee_news @CAFarmBureau @modbee @getcrackin,Thu Mar 10 22:59:12 +0000 2016,en,0,False,1,False,,Gary Kremen,gkremen
"RT @capitalweather: #MiracleMarch, round two: Pineapple express targets California with more rain and snow https://t.co/EMA0s3vZOj https://…",Thu Mar 10 18:56:29 +0000 2016,en,68,False,0,False,,Gary Kremen,gkremen
RT @agleader: Parched California Tries to Grab Storm Water before It Escapes - Scientific American #cawater #drought  https://t.co/XDyT4cDp…,Thu Mar 10 18:50:33 +0000 2016,en,9,False,0,False,,Gary Kremen,gkremen
Quoted in @sfexaminer - https://t.co/5zqNpCcLbd @SFWater @Scott_Wiener @AvalosSF @SierraClubLP @dgpdurham  @sanmateoco @valleywater,Fri Mar 04 01:25:55 +0000 2016,en,1,False,1,False,,Gary Kremen,gkremen
https://t.co/FQBjufVP6x @valleywater @JoeDelBosque @agleader @CaWaterBoards #CAdrought @MavensNotebook,Thu Mar 03 17:22:24 +0000 2016,und,1,False,2,False,,Gary Kremen,gkremen
RT @PaulRogersSJMN: California drought: Failure of key Silicon Valley water pipeline may expose wider problems https://t.co/r6Iwc3kPpO http…,Wed Mar 02 05:43:52 +0000 2016,en,17,False,0,False,,Gary Kremen,gkremen
Please be on the outlook!!!! https://t.co/cOdg4s4Cfg,Thu Feb 25 05:18:57 +0000 2016,en,0,False,0,False,,Gary Kremen,gkremen
RT @valleywater: Know college students looking to explore a career? #Valleywater has paid summer internships https://t.co/43SDgVgwgF https:…,Tue Feb 23 01:28:21 +0000 2016,en,1,False,0,False,,Gary Kremen,gkremen
RT @GetWaterSmart: MWD proposes slashing its conservation budget &amp; turf removal rebates could disappear: https://t.co/hupC89pWNU by @latimes,Mon Feb 22 17:12:30 +0000 2016,en,3,False,0,False,,Gary Kremen,gkremen
@mkasperzak @JoshBecker2016 @Marc_Berman @margaretabekoga @mtnviewellen #DemDebate @PeninsulaDems,Sun Feb 21 21:49:57 +0000 2016,und,0,False,4,False,,Gary Kremen,gkremen
@PeterGleick speaking on water - @planetacterra #cuyahoga #FlintWaterCrisis #CAdrought @ @LinkedIn #groundwater https://t.co/RTFYDXoCon,Thu Feb 18 04:09:55 +0000 2016,en,0,False,2,False,,Gary Kremen,gkremen
@MontereyHerald @mcweekly https://t.co/PLnv5QliCA,Sat Feb 13 07:15:53 +0000 2016,und,0,False,0,False,,Gary Kremen,gkremen
https://t.co/PLnv5Q3HL2 @CleanWaterWed @CAWaterFix @WateReuseAssoci @CWEAMembers @MavensNotebook @rough_tumble @ACWAWater @valleywater,Sat Feb 13 07:15:14 +0000 2016,und,0,False,1,False,,Gary Kremen,gkremen
"RT @Chicago_History: Road trip anyone?

#Chicago
#ChicagoHistory https://t.co/ezImT6OSXE",Fri Feb 12 05:54:02 +0000 2016,en,48,False,0,False,,Gary Kremen,gkremen
@mwdh2o @valleywater,Fri Feb 05 21:25:20 +0000 2016,und,0,False,0,False,,Gary Kremen,gkremen
RT @agleader: Can't work if it can't move thru Delta - State Water Market Needs Reform https://t.co/xSzxcDelBA #cawater #drought @EllenHanak,Thu Feb 04 19:23:37 +0000 2016,en,3,False,0,False,,Gary Kremen,gkremen
Event for Scott Wiener -- please comment!  https://t.co/Q8RGidP88H @Scott_Wiener @OpenSFWatershed @SSFPolice @dgpdurham @SFWater,Thu Feb 04 00:07:35 +0000 2016,en,1,False,2,False,,Gary Kremen,gkremen
RT @JoshBecker2016: Friends: I’m running to serve the 24th district in California's State Assembly! Please join my campaign. #CA24 #FirstTw…,Wed Feb 03 20:56:23 +0000 2016,en,7,False,0,False,,Gary Kremen,gkremen
"RT @jenloving23: At @valleywater listening to @gkremen ask staff to find reasons ""why"" district should partner w/ us to build housing on di…",Wed Jan 27 03:02:00 +0000 2016,en,2,False,0,False,,Gary Kremen,gkremen
