Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @Mullally_C: @hillaryweknow  @glaybourne @womensrrhumanr   Separating fact from Bernie's fiction.  Vote Hillary!  https://t.co/JM6JQzPsA0,Thu Apr 21 21:39:49 +0000 2016,en,2,False,0,False,,Geraldine Laybourne,glaybourne
RT @johnpodesta: When 195 countries came together for the first time to commit to meaningful climate action @BernieSanders couldn’t take ye…,Thu Apr 21 21:39:22 +0000 2016,en,124,False,0,False,,Geraldine Laybourne,glaybourne
9 Reasons why Hillary Clinton should be the next President of the United States of America https://t.co/A65C05pai2 via @knock_sense,Thu Apr 21 21:27:47 +0000 2016,en,0,False,1,False,,Geraldine Laybourne,glaybourne
Abby's new film is a must see if you believe we can do a better job in this nation listening to differing povs. https://t.co/7icFKrJnku,Wed Apr 20 21:49:23 +0000 2016,en,0,False,0,False,,Geraldine Laybourne,glaybourne
RT @HillaryClinton: Kareem Abdul-Jabbar on Hillary: She can envision a better world and take the steps to make that vision a reality. https…,Wed Apr 20 21:47:18 +0000 2016,en,2194,False,0,False,,Geraldine Laybourne,glaybourne
"Clinton win in New York, now Sanders need to take after Clinton's 2008 model https://t.co/0o5K3N61Gv",Wed Apr 20 21:26:04 +0000 2016,en,0,False,1,False,,Geraldine Laybourne,glaybourne
Wild Parties: In Defense of Political Factions https://t.co/Xg8qSrGgva via @adamgopnik,Wed Apr 20 21:21:49 +0000 2016,en,0,False,0,False,,Geraldine Laybourne,glaybourne
Saying nice things about Hillary Clinton has become a subversive act: https://t.co/oujosXmsdY via @slate,Wed Apr 20 14:55:41 +0000 2016,en,0,False,0,False,,Geraldine Laybourne,glaybourne
RT @TheBriefing2016: .@MicNews: Hillary Clinton Bests Bernie Sanders in New York Debate #DemDebate https://t.co/9QDWpBVQzA,Sat Apr 16 01:01:52 +0000 2016,en,120,False,0,False,,Geraldine Laybourne,glaybourne
"RT @womensrrhumanr: Looking.listening.caring.doing.@HillaryClinton will be a great https://t.co/bj3cp0ztOT Tuesday.U make a difference. 
ht…",Fri Apr 15 23:40:18 +0000 2016,en,3,False,0,False,,Geraldine Laybourne,glaybourne
RT @johnmaeda: “Turn people loose on objectives that they can control.” —from my collection of random notes-to-self https://t.co/a4JMCm9SgP,Fri Apr 15 23:40:13 +0000 2016,en,37,False,0,False,,Geraldine Laybourne,glaybourne
RT @kzaleski: Let's celebrate a woman making big 💵💵💵 because she was Secretary of State and in demand.  https://t.co/OHa1QBTnes,Fri Apr 15 23:39:53 +0000 2016,en,3,False,0,False,,Geraldine Laybourne,glaybourne
"RT @MAKERSwomen: ""In soccer, women are paid 18 times less than the men."" @AbbyWambach on reforming @FIFAcom: https://t.co/s6jBMvU8Dp https:…",Fri Apr 15 23:35:28 +0000 2016,en,16,False,0,False,,Geraldine Laybourne,glaybourne
"RT @HillaryClinton: In 1992, 75% of New York's prison population came from seven neighborhoods in NYC. @EAFNYC is changing that.
https://t.…",Fri Apr 15 23:35:18 +0000 2016,en,856,False,0,False,,Geraldine Laybourne,glaybourne
RT @Roberta1836: @HillaryClinton will fight the NRA!  Bernie Sanders is OWNED by the NRA &amp; denies that they bought his election into Congre…,Fri Apr 15 23:35:08 +0000 2016,en,4,False,0,False,,Geraldine Laybourne,glaybourne
"RT @HillaryClinton: 33,000 people die every year in this country from guns. 90 each day. 1,000 shot a year in New York City. That's not acc…",Fri Apr 15 23:35:02 +0000 2016,en,1278,False,0,False,,Geraldine Laybourne,glaybourne
RT @Montgomery_bjm: I only trust @HillaryClinton to do what's best for me &amp; my family. She'll save women's rights! #NYPrimary #ImWithHer ht…,Fri Apr 15 23:34:56 +0000 2016,en,48,False,0,False,,Geraldine Laybourne,glaybourne
Compassionate persistently.....https://t.co/EKBa9LHie0,Fri Apr 15 23:31:45 +0000 2016,en,0,False,1,False,,Geraldine Laybourne,glaybourne
RT @danmericaCNN: Hillary Clinton got really excited when she won dominoes today in East Harlem. Video: https://t.co/kHJYAcW6Za,Fri Apr 15 16:59:19 +0000 2016,en,1002,False,0,False,,Geraldine Laybourne,glaybourne
https://t.co/t4BoIIoE7w via @youtube,Thu Apr 14 11:26:14 +0000 2016,und,0,False,0,False,,Geraldine Laybourne,glaybourne
Awful moment.  https://t.co/fJ30UT7nmf via @doublexmag,Tue Apr 12 15:58:09 +0000 2016,en,0,False,0,False,,Geraldine Laybourne,glaybourne
RT @morgep65: @Mullally_C @judydchandler @hillaryweknow @HillaryClinton #ImWithHer #ShesGotTheMathAndThePath! #Hillary2016,Tue Apr 12 15:14:21 +0000 2016,und,1,False,0,False,,Geraldine Laybourne,glaybourne
"RT @Mullally_C: @hillaryweknow And we stand our ground with you, Hillary Clinton.  We've got your back.  Let's win this thing!!   https://t…",Tue Apr 12 15:13:41 +0000 2016,en,33,False,0,False,,Geraldine Laybourne,glaybourne
@BLWwriter @hillaryweknow @CecileRichards @HillaryClinton,Tue Apr 12 15:12:59 +0000 2016,und,0,False,0,False,,Geraldine Laybourne,glaybourne
Mother love. https://t.co/ImJWJElori,Tue Apr 12 15:11:33 +0000 2016,en,0,False,1,False,,Geraldine Laybourne,glaybourne
"RT @cnnbrk: ""Bathroom bill"" costs North Carolina 400 jobs as PayPal pulls plans for facility. https://t.co/vTNXRRo3Ew https://t.co/wJAi6oyo…",Thu Apr 07 20:16:46 +0000 2016,en,954,False,0,False,,Geraldine Laybourne,glaybourne
"RT @AkiliNetwork: Learn the story behind ""Akili Network - Inspiring 18 Million Kids in Kenya"" and help us meet our goal. @indiegogo https:/…",Mon Apr 04 22:08:16 +0000 2016,en,6,False,0,False,,Geraldine Laybourne,glaybourne
"CHKN, letting you build and raise creatures, is betaworks’ latest game https://t.co/qUf7kKrH9B via @techcrunch",Fri Apr 01 23:01:21 +0000 2016,en,1,False,10,False,,Geraldine Laybourne,glaybourne
"Union Square Get Out the Vote Tabling Sat, Apr 2, 2016, 2:00pm – 4:00pm https://t.co/YeIklaQ6DH #Hillary2016",Fri Apr 01 15:59:47 +0000 2016,en,0,False,1,False,,Geraldine Laybourne,glaybourne
"RT @SteveRattner: Thanks to #Obamacare, quality of hospital patient care has improved and readmission rates have fallen sharply: https://t.…",Wed Mar 23 02:09:46 +0000 2016,en,223,False,0,False,,Geraldine Laybourne,glaybourne
RT @HillaryClinton: Young people should be able to see teaching as a profession that’s both noble and sustainable. https://t.co/yRKz0U7NQ7,Wed Mar 23 02:09:31 +0000 2016,en,4436,False,0,False,,Geraldine Laybourne,glaybourne
"RT @HillaryClinton: ""The question is, can we make it so that America works for everybody who's willing to work?"" —@WarrenBuffett
https://t.…",Wed Mar 23 02:09:23 +0000 2016,en,2955,False,0,False,,Geraldine Laybourne,glaybourne
"State of MTV 'Breaks My Heart:"" Co-Founder Freston https://t.co/QUFay4gWkI via @technology",Thu Mar 17 20:36:45 +0000 2016,en,0,False,3,False,,Geraldine Laybourne,glaybourne
"This is one of the many reasons I am proud of Vassar....When veterans enroll, they’re not just students https://t.co/6nc0EtjCzC",Thu Mar 17 12:17:50 +0000 2016,en,0,False,1,False,,Geraldine Laybourne,glaybourne
Trump And Clinton Gave Speeches At The Same Time And Networks Only Covered Trump https://t.co/jzSQFowhBE via @@brendan_klink @buzzfeednews,Wed Mar 09 05:18:21 +0000 2016,en,0,False,0,False,,Geraldine Laybourne,glaybourne
The rise of American authoritarianism https://t.co/TUdISXJlKr via @voxdotcom,Wed Mar 09 04:55:32 +0000 2016,en,0,False,0,False,,Geraldine Laybourne,glaybourne
Data matters https://t.co/4g2rhGrDA6,Sun Mar 06 22:42:02 +0000 2016,tl,0,False,0,False,,Geraldine Laybourne,glaybourne
RT @lizzwinstead: fucking embarassment https://t.co/BhUlfIU1gn,Sun Mar 06 22:39:43 +0000 2016,en,38,False,0,False,,Geraldine Laybourne,glaybourne
"RT @HillaryClinton: Obamacare saved this woman when she needed emergency surgery. Let's build on its progress, not start over.
https://t.co…",Sat Feb 27 13:50:49 +0000 2016,en,1210,False,0,False,,Geraldine Laybourne,glaybourne
"Mean Tweets, Campaign Edition with Senator Al Franken | Hillary Clinton https://t.co/hUXgXgJkAp",Thu Feb 25 22:08:19 +0000 2016,en,3,False,4,False,,Geraldine Laybourne,glaybourne
RT @johnpodesta: Thank you to our brothers &amp; sisters in the labor movement for bringing Nevada home.,Sat Feb 20 22:59:33 +0000 2016,en,312,False,0,False,,Geraldine Laybourne,glaybourne
"RT @HillaryClinton: The feeling is mutual, Nevada. https://t.co/Z32JkpNKAp",Sat Feb 20 22:57:32 +0000 2016,en,2588,False,0,False,,Geraldine Laybourne,glaybourne
RT @JenGranholm: Woooooooot! Congrats to the entire hardworking @HillaryClinton team!,Sat Feb 20 22:56:47 +0000 2016,en,31,False,0,False,,Geraldine Laybourne,glaybourne
