Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Quite the fit https://t.co/0fsAxYw68R,Tue Apr 19 15:35:38 +0000 2016,en,0,False,0,False,,Habib Haddad,habibh
Syrian entrepreneur invents capsule to replace water chlorination https://t.co/QtD67lLjG3 #MEMakersGE,Sun Apr 17 18:22:36 +0000 2016,en,4,False,7,False,,Habib Haddad,habibh
RT @amhaykal: Syrian refugee artists in Zaatari (Jordan) paint memories of their homeland https://t.co/yzgM5voaxz https://t.co/KOTxhc55rp,Sat Apr 16 06:57:06 +0000 2016,en,5,False,0,False,,Habib Haddad,habibh
"RT @ajplus: Was Israel's attack on Gaza in 2014 'disproportionate?' 

Bernie says yes. Hilary doesn't answer.
https://t.co/UjWXp4GSjg",Fri Apr 15 06:21:02 +0000 2016,en,1691,False,0,False,,Habib Haddad,habibh
RT @SenSanders: Women in America want the whole damn dollar. And they're right. Equal pay is an issue of basic equality not a radical idea.,Fri Apr 15 06:16:38 +0000 2016,en,7417,False,0,False,,Habib Haddad,habibh
Know of any VR production house or startup in the region?,Wed Apr 13 14:18:35 +0000 2016,en,1,False,0,False,,Habib Haddad,habibh
Saphon: the Tunisian wind-energy revolution is official https://t.co/XC98D2Nf67 #MEMakersGE,Wed Apr 13 13:22:08 +0000 2016,en,2,False,0,False,,Habib Haddad,habibh
لم يريد هذا الجهاز تتبّع حركة الجِمال؟ https://t.co/psnUASNAl7 #MEMakersGE,Tue Apr 12 14:26:06 +0000 2016,ar,0,False,0,False,,Habib Haddad,habibh
Empowering young girls through coding #iamthecode https://t.co/WMfoQDdsOC,Tue Apr 12 10:27:26 +0000 2016,en,2,False,8,False,,Habib Haddad,habibh
Mix N’ Mentor is back to Amman with a tailored format https://t.co/2HWDrfvDBG via @wamdaME,Tue Apr 12 10:13:13 +0000 2016,en,0,False,0,False,,Habib Haddad,habibh
Mesmerizing rain falls on the windows of @WamdaME https://t.co/SUV7g5DJzH,Tue Apr 12 08:19:52 +0000 2016,en,1,False,5,False,,Habib Haddad,habibh
Crowd Analyzer wins pitching competition at Dubai Lynx [Video] https://t.co/tAgZUlfQ0P via @wamdaME,Tue Apr 12 07:43:08 +0000 2016,en,0,False,0,False,,Habib Haddad,habibh
The first episode is live! @WamdaCapital launches podcast series https://t.co/rUwOUiJP7G,Tue Apr 12 07:25:32 +0000 2016,en,1,False,1,False,,Habib Haddad,habibh
Meet the women ‘Instapreneurs’ of Kuwait  https://t.co/ZBzT5H2Okf via @NuwaitKW,Mon Apr 11 09:38:10 +0000 2016,en,2,False,0,False,,Habib Haddad,habibh
One woman helped the mastermind of the Paris attacks. The other turned him in. https://t.co/ps3bzO1mFN,Mon Apr 11 09:32:27 +0000 2016,en,1,False,0,False,,Habib Haddad,habibh
My favorite run track... can't get better! https://t.co/HYpEoL49Ge,Sun Apr 10 15:32:23 +0000 2016,en,0,False,13,False,,Habib Haddad,habibh
RT @NuwaitKW: ما الفرق بين النمو والربح؟ https://t.co/R6HixSNovD,Sat Apr 09 21:26:02 +0000 2016,ar,1,False,0,False,,Habib Haddad,habibh
RT @POTUS: Congrats SpaceX on landing a rocket at sea. It's because of innovators like you &amp; NASA that America continues to lead in space e…,Sat Apr 09 10:18:05 +0000 2016,en,17502,False,0,False,,Habib Haddad,habibh
"RT @WamdaME: Mix N' Mentor returns to Amman, this year with two brand new industry-specific sessions https://t.co/ZGTACpzu4c https://t.co/h…",Sat Apr 09 07:56:17 +0000 2016,en,8,False,0,False,,Habib Haddad,habibh
RT @WamdaME: Amman's @liwwa_com closes $2.3 million round led by @siliconbadia's  Badia Impact Fund https://t.co/w4xuwaM4kN https://t.co/2R…,Sat Apr 09 07:56:03 +0000 2016,en,5,False,0,False,,Habib Haddad,habibh
This happened at the Startup VC debate ... https://t.co/hzX4hIlg5f,Sat Apr 09 06:10:07 +0000 2016,en,2,False,1,False,,Habib Haddad,habibh
5000 years ago .... My people were busy building this https://t.co/eSYbsrrBGh,Fri Apr 08 16:33:43 +0000 2016,en,1,False,3,False,,Habib Haddad,habibh
🙏,Thu Apr 07 11:51:29 +0000 2016,und,0,False,2,False,,Habib Haddad,habibh
تشرفنا https://t.co/Ns2m2AJp6D,Thu Apr 07 11:15:15 +0000 2016,ar,0,False,1,False,,Habib Haddad,habibh
RT @mona_harb_: Vote #BeirutMadinati on 8 May.,Wed Apr 06 18:52:25 +0000 2016,en,4,False,0,False,,Habib Haddad,habibh
For the love of Beirut! #BeirutMadinati https://t.co/x5KgTYZLVt,Wed Apr 06 18:51:23 +0000 2016,en,5,False,3,False,,Habib Haddad,habibh
RT @StinaGrove: Pure Awesomeness.@MudassirSheikha @habibh @joyajlouny @loulsk @afarha @WalidGMansour @khaledtalhouni @stepconference https:…,Wed Apr 06 14:10:35 +0000 2016,en,2,False,0,False,,Habib Haddad,habibh
@StinaGrove thanks! Btw this panel was prepared by Wamda :),Wed Apr 06 14:01:18 +0000 2016,en,0,False,1,False,,Habib Haddad,habibh
Yalla ya #Amman! https://t.co/Op3wubIQ0k,Wed Apr 06 12:54:47 +0000 2016,tr,0,False,0,False,,Habib Haddad,habibh
"Just donated to #BeirutMadinati! If you care about the city, donate now and get your friends to donate https://t.co/jRFklf3jVw",Wed Apr 06 10:38:44 +0000 2016,en,6,False,10,False,,Habib Haddad,habibh
@edesiree @c_ster were you at the Panel Desiree?,Wed Apr 06 09:38:13 +0000 2016,en,0,False,0,False,,Habib Haddad,habibh
@c_ster @edesiree transparency is key to resolving issues... Can't keep hiding this stuff,Tue Apr 05 18:41:04 +0000 2016,en,0,False,0,False,,Habib Haddad,habibh
The view on the ski stations ... Dubai vs Lebanon... https://t.co/yLggQF6nW9,Tue Apr 05 14:02:33 +0000 2016,en,1,False,1,False,,Habib Haddad,habibh
So much fun moderating the Startup &lt;&gt; VC debate at #STEP2016. Quite heated but glad we converged at the end :) https://t.co/sN257BFMkP,Tue Apr 05 10:21:58 +0000 2016,en,7,False,30,False,,Habib Haddad,habibh
RT @IncArabia: Our @Misanthrutopia interviewing @habibh from @WamdaME about the entrepreneurship ecosystem in #MENA #STEP2016 https://t.co/…,Tue Apr 05 07:41:27 +0000 2016,en,4,False,0,False,,Habib Haddad,habibh
@loulsk @stepconference better be ready:),Tue Apr 05 07:01:04 +0000 2016,en,0,False,0,False,,Habib Haddad,habibh
Entrepreneurship lessons from the Algerian desert https://t.co/wjVssdrNSx via @wamdaME,Tue Apr 05 05:56:14 +0000 2016,en,2,False,0,False,,Habib Haddad,habibh
RT @martasser: https://t.co/Ya0pjvmiDM,Tue Apr 05 05:53:34 +0000 2016,und,10,False,0,False,,Habib Haddad,habibh
@haghadi the panelists... 3 VCs and 3 startups,Mon Apr 04 13:33:28 +0000 2016,en,0,False,1,False,,Habib Haddad,habibh
I am moderating the Startup vs VC debate tomorrow at #STEP2016 and sourcing questions from you. 3 VCs vs 3 startups. What should I ask?,Mon Apr 04 13:17:03 +0000 2016,en,9,False,25,False,,Habib Haddad,habibh
8 years ago in Boston https://t.co/x41RsyxEnX,Mon Apr 04 06:47:01 +0000 2016,en,0,False,8,False,,Habib Haddad,habibh
:( https://t.co/CVzCAUVVVz,Sat Apr 02 15:43:40 +0000 2016,und,1,False,2,False,,Habib Haddad,habibh
RT @WamdaME: Can this device revolutionize the sport of... camel racing? https://t.co/MezxvZgkwC #MEMakersGE @GE_Hewar https://t.co/tHjHmiJ…,Sat Apr 02 15:22:09 +0000 2016,en,5,False,0,False,,Habib Haddad,habibh
"Great read by @zohazoya ""Reimagining financial services in the Middle East"" https://t.co/j8c3ip7L0m",Fri Apr 01 21:21:33 +0000 2016,en,3,False,6,False,,Habib Haddad,habibh
"Launching a new accelerator on Mars! ""Prepare for lift off with Wamda and SpaceX"" https://t.co/7G2esVTeaH",Fri Apr 01 10:47:20 +0000 2016,en,3,False,5,False,,Habib Haddad,habibh
RT @WamdaME: The internet: is it good or bad for music? https://t.co/5daBjBopRA https://t.co/aLemRHzNjm,Wed Mar 30 10:37:46 +0000 2016,en,2,False,0,False,,Habib Haddad,habibh
Building a real estate startup in Saudi's stagnant market https://t.co/JFsurSGhoE via @wamdaME,Wed Mar 30 07:52:50 +0000 2016,en,2,False,4,False,,Habib Haddad,habibh
"As an Arab Christian, let me remind u Mr. @David_Cameron,those values r actually Middle Eastern non sectarian values https://t.co/O4O5NdSH0h",Sun Mar 27 20:41:20 +0000 2016,en,0,False,5,False,,Habib Haddad,habibh
RT @WamdaME: Congratulations to our partner @DubaiExpo2020 for the launch of their new logo! https://t.co/5mUOGgWKTc,Sun Mar 27 19:31:39 +0000 2016,en,1,False,0,False,,Habib Haddad,habibh
Three lives that changed on the day that terror came home to Belgium https://t.co/UukGTNk3np,Sun Mar 27 08:58:01 +0000 2016,en,1,False,2,False,,Habib Haddad,habibh
Great seeing old friend&amp; @WamdaME alumni @rolanddaher today in his own turf. Chck out what he is blding @ #Dubai100 https://t.co/XkYKHIK75C,Sat Mar 26 15:45:26 +0000 2016,en,2,False,22,False,,Habib Haddad,habibh
@bfeld I am very interested to join and be of help... Will email you,Sat Mar 26 05:03:35 +0000 2016,en,0,False,0,False,,Habib Haddad,habibh
"RT @amhaykal: Amazing: of 26,166 Syrians who arrived in Canada since late last year, 11,000 were sponsored by individual Canadians https://…",Sat Mar 26 04:59:46 +0000 2016,en,213,False,0,False,,Habib Haddad,habibh
Comfort is an important signal ... for change,Fri Mar 25 20:55:18 +0000 2016,en,4,False,6,False,,Habib Haddad,habibh
@bfeld would this be something you'd be willing to share openly? Would love to learn more about it,Fri Mar 25 20:46:46 +0000 2016,en,0,False,1,False,,Habib Haddad,habibh
"Sad to see people losing their jobs, but the good news is that Wamda is hiring! If you know a good Arabic editor from ex-Asafir let us know",Thu Mar 24 12:36:29 +0000 2016,en,6,False,5,False,,Habib Haddad,habibh
"RT @DubaiExpo2020: Join us on March 27, 6:30pm by The Dubai Fountain for our #Expo2020 logo reveal celebration https://t.co/ofJOclebc0 http…",Thu Mar 24 11:46:04 +0000 2016,en,48,False,0,False,,Habib Haddad,habibh
RT @fadig: Israel�s obsession with hummus is about more than stealing Palestine�s food https://t.co/I1NeslZgxK via @TheNationalUAE,Thu Mar 24 02:50:21 +0000 2016,en,5,False,0,False,,Habib Haddad,habibh
"RT @Dena: Supporters of the powerful pro-Israel lobby AIPAC say US and Israeli interests are aligned. Except they often aren’t
https://t.co…",Wed Mar 23 23:52:39 +0000 2016,en,143,False,0,False,,Habib Haddad,habibh
"""Worthless, Impossible and Stupid"" a great book by a great thinker, @danisen, on what makes great entrepreneurs https://t.co/GODIsz18my",Wed Mar 23 11:55:46 +0000 2016,en,1,False,13,False,,Habib Haddad,habibh
RT @WamdaME: Building startups from Yemen’s ruins https://t.co/so9VAVZI9R https://t.co/A3vBzPl72r,Wed Mar 23 11:01:27 +0000 2016,en,16,False,0,False,,Habib Haddad,habibh
RT @Shes_Elle: Do you use yamli to type in Arabic??,Wed Mar 23 04:27:51 +0000 2016,en,2,False,0,False,,Habib Haddad,habibh
RT @Scott_Gilmore: An accidentally progressive mosque in central Dhaka. (Was informed that the caretaker has no idea.) https://t.co/2lSWOSD…,Wed Mar 23 04:26:30 +0000 2016,en,15,False,0,False,,Habib Haddad,habibh
RT @WamdaME: Wamda and @DubaiExpo2020 launch their first report on Collaborative Entrepreneurship https://t.co/ti1H2ii5H7 https://t.co/tRSx…,Tue Mar 22 11:47:15 +0000 2016,en,16,False,0,False,,Habib Haddad,habibh
"RT @_irena__: 3US unicorn founders are Arab immigrants:Egypt @awadallah, Iraq David Hindawi &amp;(forgotten) Lebanon @aasseily https://t.co/jFR…",Sun Mar 20 22:59:40 +0000 2016,en,2,False,0,False,,Habib Haddad,habibh
RT @WamdaME: Ibticar has pioneered an IoT device that senses fires and extinguishes them. https://t.co/1gty6Fu4tu #MEMakersGE https://t.co/…,Sun Mar 20 17:22:13 +0000 2016,en,4,False,0,False,,Habib Haddad,habibh
"@donatelladr una sola, miss you",Sun Mar 20 17:21:55 +0000 2016,es,0,False,0,False,,Habib Haddad,habibh
Group photos with @basselsafadi #WhereIsBassel https://t.co/imSFd86tPg,Sat Mar 19 19:44:26 +0000 2016,en,13,False,5,False,,Habib Haddad,habibh
#WhereIsBassel https://t.co/BNKmq1Dq9o,Sat Mar 19 19:22:12 +0000 2016,und,9,False,6,False,,Habib Haddad,habibh
❤️ #WhereIsBassel https://t.co/TYyKrSeOxW,Sat Mar 19 17:17:57 +0000 2016,und,1,False,0,False,,Habib Haddad,habibh
"@sama Hey Sam! Would love to invite you to a summit we are doing in Dubai, can you DM me ur email. Congrats on joining the YGL group btw!",Fri Mar 18 21:54:42 +0000 2016,en,0,False,1,False,,Habib Haddad,habibh
".@slim404 oh no no no, come on Slim! I would expect some dict gov or some mad journalist to say this but not u my friend @Wikimedia @krmaher",Fri Mar 18 11:12:27 +0000 2016,en,0,False,2,False,,Habib Haddad,habibh
Don't forget to sign up for https://t.co/UTAtWUivQf #WhereIsBassel #Boston,Fri Mar 18 02:58:45 +0000 2016,en,2,False,2,False,,Habib Haddad,habibh
RT @Confusezeus: صح النوم بابا https://t.co/mcjM6X0a4A,Fri Mar 18 02:56:33 +0000 2016,ar,4,False,0,False,,Habib Haddad,habibh
RT @VanJones68: I just launched a petition w/ my brother @markruffalo calling for Gov. Snyder to #FixFlint’s pipes. Join us &amp; sign: https:/…,Fri Mar 18 02:52:44 +0000 2016,en,1611,False,0,False,,Habib Haddad,habibh
:( https://t.co/2YOOJ90n8T,Fri Mar 18 02:38:13 +0000 2016,und,1,False,0,False,,Habib Haddad,habibh
"Social contract is completely broken... We need to move from ""asking for change"" to ""making change""",Fri Mar 18 02:34:38 +0000 2016,en,2,False,8,False,,Habib Haddad,habibh
RT @DrFadloKhuri: Institutional knowledge in Lebanon https://t.co/xngarpO8c6 via @BostonGlobe,Fri Mar 18 01:17:08 +0000 2016,en,17,False,0,False,,Habib Haddad,habibh
RT @AUBAlumni: Alumni meet with @Reem_Acra and @habibh as part of the #AUB150 celebration at the @UN in #NYC. #AUB #WAAAUB https://t.co/e2j…,Fri Mar 18 00:59:29 +0000 2016,en,3,False,0,False,,Habib Haddad,habibh
RT @Flat6LabsCairo: Turi Munthe (@turi) answering questions on fundraising and the initial valuation dilemma startups face! #MixNMentor htt…,Thu Mar 17 12:33:12 +0000 2016,en,2,False,0,False,,Habib Haddad,habibh
RT @WamdaME: Launching into the Marketplace segment of #MixNMentor - what collaboration ideas should you pitch @Aramex @Payfort @SouqEGP an…,Thu Mar 17 12:33:01 +0000 2016,en,4,False,0,False,,Habib Haddad,habibh
"RT @ShadaWehbe: @Yamli Whoever created this, THANK YOU!",Thu Mar 17 12:27:03 +0000 2016,en,2,False,0,False,,Habib Haddad,habibh
Watching from afar for the first time but couldn't be prouder of the @WamdaME team #MixNMentor https://t.co/qn9JNykKv5,Thu Mar 17 12:06:37 +0000 2016,en,0,False,11,False,,Habib Haddad,habibh
"RT @WamdaME: Kicking off our first #MixNMentor for the year! Let's do this, Cairo https://t.co/jCxOxHXTSt",Thu Mar 17 09:21:10 +0000 2016,en,9,False,0,False,,Habib Haddad,habibh
RT @AUC_Vlab: @WamdaME 's #MixNMentor event just started and #entrepreneurs are excited to sit and talk with the #mentors #Cairo https://t.…,Thu Mar 17 09:20:27 +0000 2016,en,7,False,0,False,,Habib Haddad,habibh
&lt;3 https://t.co/LxfbWgkAF1,Wed Mar 16 23:38:52 +0000 2016,und,1,False,0,False,,Habib Haddad,habibh
Bridge to success: six tips for Syrian entrepreneurs from Jusoor https://t.co/61QSnToOja via @wamdaME,Wed Mar 16 22:14:06 +0000 2016,en,0,False,1,False,,Habib Haddad,habibh
Exactly 3 years ago we had a great #MixNMentor in Cairo. Tomorrow will top that!!! https://t.co/LcFoFyiFs9,Wed Mar 16 16:11:12 +0000 2016,en,2,False,7,False,,Habib Haddad,habibh
Boston activists and peeps... Need you to join us on March 19 to ask where Bassel is. #WhereIsBassel . https://t.co/UTAtWUivQf,Tue Mar 15 12:13:04 +0000 2016,en,1,False,1,False,,Habib Haddad,habibh
Dubai friends: any recommendations on sandboarding spots/companies...,Mon Mar 14 19:57:35 +0000 2016,en,2,False,1,False,,Habib Haddad,habibh
RT @amhaykal: More support of @JusoorSY's work for refugees in Lebanon after winning Varkey's 2016 challenge @azizaosman @GESForum https://…,Sun Mar 13 20:20:23 +0000 2016,en,9,False,0,False,,Habib Haddad,habibh
"RT @AUB_Lebanon: This year marks the centennial of Zaki Nassif  and 150 years of the American University of Beirut.
#AUB AUB150 https://t.c…",Sun Mar 13 07:48:11 +0000 2016,en,10,False,0,False,,Habib Haddad,habibh
"RT @DubaiExpo2020: ...between corporations, start-ups and entrepreneurs.
https://t.co/idSj506KKG
(2) https://t.co/cxZbf5RdgF",Sat Mar 12 20:11:58 +0000 2016,en,3,False,0,False,,Habib Haddad,habibh
"RT @DubaiExpo2020: ...بين المؤسسات والشركات الناشئة ورواد الأعمال.
#Expo2020xWamda
  https://t.co/D4Q1B7yVom
(2) https://t.co/DbS1B8rpHK",Sat Mar 12 20:11:49 +0000 2016,ar,3,False,0,False,,Habib Haddad,habibh
@RashaManna I was questioning the efficacy not the actions especially when done alone and I still do.I went to all of them and will still do,Sat Mar 12 20:01:28 +0000 2016,en,0,False,0,False,,Habib Haddad,habibh
"@marwanbarbar yes, they eat their own shit",Sat Mar 12 15:55:37 +0000 2016,en,0,False,1,False,,Habib Haddad,habibh
@RonFarra you just get rid of the bio hazard and bring a new young and fresh wave,Sat Mar 12 15:55:16 +0000 2016,en,0,False,1,False,,Habib Haddad,habibh
The only thing we shouldn't be recycling in Lebanon is our politicians...,Sat Mar 12 15:49:43 +0000 2016,en,3,False,2,False,,Habib Haddad,habibh
RT @stephanienour: Our workshop attendees kicked some serious ideas into action! So impressed by their drive #girlsgotitleb https://t.co/53…,Sat Mar 12 15:43:57 +0000 2016,en,3,False,0,False,,Habib Haddad,habibh
"RT @joeyayoub: Large turnout at today's protest in #Beirut, #Lebanon. No number yet. https://t.co/2hIFeWRnMq #YouStink https://t.co/qEZXvNt…",Sat Mar 12 15:39:21 +0000 2016,en,25,False,0,False,,Habib Haddad,habibh
"RT @joeyayoub: This might become the largest anti-gov protests so far in #Beirut, #Lebanon. Full video: https://t.co/nz5LuvdBwN https://t.c…",Sat Mar 12 15:38:29 +0000 2016,en,59,False,0,False,,Habib Haddad,habibh
