Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Rakuten Financial Conference 2015 streams live from 13:20 JST. Don't miss my chat with legendary investor Peter Thiel.http://t.co/yA7zcbRNxi,Mon Feb 23 00:28:46 +0000 2015,en,7,False,20,False,,Hiroshi Mikitani,hmikitani_e
Rakuten Tech Conference 2014 is Oct.25. Engineering is front and center and some big names will take the stage. http://t.co/A9BnGROogS,Fri Oct 17 12:07:19 +0000 2014,en,4,False,7,False,,Hiroshi Mikitani,hmikitani_e
"Great to see Slice and @Ebates, Rakuten's recent acquisitions, both featured on App Store #ShoppingIsEntertainment http://t.co/zUTv0aLN2E",Wed Oct 01 01:27:50 +0000 2014,en,2,False,10,False,,Hiroshi Mikitani,hmikitani_e
RT @DidacLee: This morning at Rakuten's Story Day with @mvicente &amp; @hmikitani_e 😊👍 http://t.co/YFGBZ0inc0,Tue Jun 17 23:28:48 +0000 2014,en,6,False,0,False,,Hiroshi Mikitani,hmikitani_e
How much of a boost can you add to your day if you approached it with a sense of urgency? How about your business?,Wed May 14 23:30:10 +0000 2014,en,8,False,9,False,,Hiroshi Mikitani,hmikitani_e
"We can make our best plans internally, but our success will depend on the environment in which we find ourselves.",Wed May 14 22:14:09 +0000 2014,en,12,False,13,False,,Hiroshi Mikitani,hmikitani_e
How to make your business environment a land of opportunity: http://t.co/btdp5gvqpU,Wed May 14 19:15:09 +0000 2014,en,0,False,3,False,,Hiroshi Mikitani,hmikitani_e
These 3 things can help business do their best work: http://t.co/B1DbNd5LwN,Tue May 13 22:25:08 +0000 2014,en,1,False,4,False,,Hiroshi Mikitani,hmikitani_e
What obstacles to innovation are you facing?,Tue May 13 19:45:08 +0000 2014,en,1,False,4,False,,Hiroshi Mikitani,hmikitani_e
Check out “The Land of Opportunity” – my latest post on @LinkedInPulse: http://t.co/B1DbNd5LwN,Tue May 13 15:24:54 +0000 2014,en,5,False,4,False,,Hiroshi Mikitani,hmikitani_e
The traditional five faces of innovation are missing another consideration: http://t.co/TOAq11EuiK,Fri May 09 18:30:00 +0000 2014,en,2,False,3,False,,Hiroshi Mikitani,hmikitani_e
Innovation can be defined in these five concrete ways: http://t.co/V14VMkzrAI,Thu May 08 22:30:59 +0000 2014,en,5,False,3,False,,Hiroshi Mikitani,hmikitani_e
"""The Five Faces of Innovation"" Check out my latest post on @LinkedInPulse: http://t.co/V14VMkzrAI",Thu May 08 15:32:09 +0000 2014,en,9,False,4,False,,Hiroshi Mikitani,hmikitani_e
How to escape the Galapagos: http://t.co/wFODqYtK7z,Tue Apr 22 15:07:08 +0000 2014,es,5,False,2,False,,Hiroshi Mikitani,hmikitani_e
