Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @guilhem: Girls &amp; Guys : devenez speaker à @BlendWebMix !! Le lien pour l'appel à conférenciers est ouvert ! https://t.co/tjyJMoawCf #Bl…,Sat Apr 16 06:42:42 +0000 2016,fr,10,False,0,False,,Jerry Nieuviarts,j_nieuviarts
RT @LaTourDuWeb: Petit apéro à #LTDW : on fait connaissance entre locataires maintenant que les petits derniers sont arrivés ;-) https://t.…,Fri Apr 15 06:29:37 +0000 2016,fr,2,False,0,False,,Jerry Nieuviarts,j_nieuviarts
"RT @xamat: And now a Deep Learning paper by Yandex: ""A Neural Click Model for Web Search"" [PDF] https://t.co/zd7aqjFaQp #www2016",Fri Apr 15 06:15:57 +0000 2016,en,4,False,0,False,,Jerry Nieuviarts,j_nieuviarts
"RT @brouberol: Est ce qu'il y a des développeurs/peuses autour de Lyon qui cherchent un taf # python #php ou #js, dans une boîte avec une s…",Mon Apr 11 16:45:33 +0000 2016,fr,24,False,0,False,,Jerry Nieuviarts,j_nieuviarts
RT @Snowden: Vraiment? https://t.co/HjtaLOOa8s,Thu Apr 07 10:36:19 +0000 2016,fr,12790,False,0,False,,Jerry Nieuviarts,j_nieuviarts
. @Mapado_com recrute en CDI un codeur PHP+++ à Lyon. Bureaux @LaTourDuWeb #bordeArcade #babyfoot https://t.co/lork03yYXj Merci pour vos RT,Thu Apr 07 09:42:03 +0000 2016,fr,25,False,0,False,,Jerry Nieuviarts,j_nieuviarts
@guillaumeaversa hum...,Thu Apr 07 06:55:27 +0000 2016,und,0,False,0,False,,Jerry Nieuviarts,j_nieuviarts
"RT @Mapado_com: ""30% des ventes de billets se font sur mobile en France"" Mapado créé sa #billetterie #mobile
https://t.co/RgXRTtAEjx https:…",Wed Apr 06 10:46:00 +0000 2016,fr,11,False,0,False,,Jerry Nieuviarts,j_nieuviarts
Conscientiousness is everywhere : science and Buddhism meet https://t.co/XH1n8G6WIu,Thu Mar 24 12:27:08 +0000 2016,en,0,False,0,False,,Jerry Nieuviarts,j_nieuviarts
Un midi à la @LaTourDuWeb #fun #foule https://t.co/6J545Jq2pt,Tue Mar 22 12:39:48 +0000 2016,fr,9,False,6,False,,Jerry Nieuviarts,j_nieuviarts
RT @STStainss: Merci à ce super site de référencement sur les agendas ! gain de temps/efficacité garantie !  #mapado @Mapado_com https://t.…,Mon Mar 21 14:40:38 +0000 2016,fr,5,False,0,False,,Jerry Nieuviarts,j_nieuviarts
RT @Mapado_com: . @Mapado_com recrute en CDI un dev PHP avec touche de passion. bureaux @LaTourDuWeb #bordeArcade #babyfoot #rooftop https:…,Mon Mar 21 14:40:20 +0000 2016,fr,17,False,0,False,,Jerry Nieuviarts,j_nieuviarts
"Black holes, quantum theory, thermodynamics, gravity, time : connecting dots... https://t.co/HShsggw4RP",Mon Mar 21 12:27:14 +0000 2016,en,0,False,0,False,,Jerry Nieuviarts,j_nieuviarts
RT @Onesque: Ha c'est sûr qu'il est pas simple ce sujet de la pression pub... https://t.co/nsG6Zz8s0g,Mon Mar 21 12:00:11 +0000 2016,fr,1,False,0,False,,Jerry Nieuviarts,j_nieuviarts
@kenny_dee @Julien_Jay Merci ;-),Mon Mar 21 11:49:16 +0000 2016,fr,0,False,0,False,,Jerry Nieuviarts,j_nieuviarts
"@kenny_dee yeahhh, merci (un sujet de débat avec mon épouse hier soir. Je pensais que c'était Laurie ;-) #Looser",Sun Mar 20 09:41:27 +0000 2016,fr,0,False,0,False,,Jerry Nieuviarts,j_nieuviarts
@kenny_dee bien sur ;-),Sun Mar 20 09:24:57 +0000 2016,fr,0,False,0,False,,Jerry Nieuviarts,j_nieuviarts
RT @LaTourDuWeb: T'es sûr que cette pièce va là ? - Oui oui c'est écrit sur les internets ! ;-) https://t.co/juFY8uvvYi,Sat Mar 19 20:20:01 +0000 2016,fr,8,False,0,False,,Jerry Nieuviarts,j_nieuviarts
Pour #lesVieuxDeLaCielle @Clubic : qui se souviens de la personnalité qui avait dit être fan de clubic dans un interview ?,Sat Mar 19 20:19:03 +0000 2016,fr,0,False,1,False,,Jerry Nieuviarts,j_nieuviarts
RT @OwlyBirdy: Quand les professionnels du #web donnent de leur temps pour aider les assos = @WebassocFr ! Big up pour l'initiative https:/…,Fri Mar 18 08:08:31 +0000 2016,fr,10,False,0,False,,Jerry Nieuviarts,j_nieuviarts
RT @NandoDF: Why does it matter that Google’s DeepMind computer has beaten a human at Go?  https://t.co/ZHvLWJEi4E,Thu Mar 10 07:35:40 +0000 2016,en,12,False,0,False,,Jerry Nieuviarts,j_nieuviarts
RT @LaFrenchTech: En 2016 la France pays le plus dynamique en Europe pour l'amorçage @tech_eu #FrenchTech  https://t.co/DokwWpHBtc https://…,Thu Mar 10 07:27:29 +0000 2016,fr,293,False,0,False,,Jerry Nieuviarts,j_nieuviarts
