Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Thanks for the quote on Amazon Payments @dondavisIR and @IR_Magazine https://t.co/uU63uvKlPH,Tue Apr 05 13:55:35 +0000 2016,en,0,False,1,False,,Jeremy Arnon,jeremyarnon
"Congratulations @aretraasdahl, @daggerrz, @vivchang, @katieoloughlin, @susanlietz, Jeff Driskill and all my other fr…https://t.co/Wos0oJTuvC",Mon Feb 01 15:00:50 +0000 2016,en,0,False,9,False,,Jeremy Arnon,jeremyarnon
RT @hblodget: Mike Bloomberg now seriously considering running for President https://t.co/IGES3S66pd @PamEngel12 https://t.co/DnHLR1aB5r,Sat Jan 23 16:26:53 +0000 2016,en,24,False,0,False,,Jeremy Arnon,jeremyarnon
@pkafka the tv content is great on Netflix. Is there a plan to get more recent and more appealing movie content in 2016?,Wed Jan 06 19:17:54 +0000 2016,en,0,False,0,False,,Jeremy Arnon,jeremyarnon
Jets 1-4 this season when Bilal Powell didn't play. https://t.co/p9B4hTKRXc,Sun Jan 03 23:37:23 +0000 2016,en,0,False,2,False,,Jeremy Arnon,jeremyarnon
@pmarca does that assume that everyone is working to the best of their abilities?,Sun Jan 03 23:17:58 +0000 2016,en,0,False,2,False,,Jeremy Arnon,jeremyarnon
Thanks for the nice ActionX shout out Brian Gleason https://t.co/iFyyuyqurf,Tue Dec 22 19:58:05 +0000 2015,en,0,False,0,False,,Jeremy Arnon,jeremyarnon
"Super proud of this deal we did with Staples &amp; Carat, both great partners! https://t.co/mnoSx5f9cO",Mon Nov 23 19:44:56 +0000 2015,en,0,False,0,False,,Jeremy Arnon,jeremyarnon
RT @joelklatt: Army takes the field today carrying the French Flag https://t.co/XoeA02zB8q,Sun Nov 15 15:56:38 +0000 2015,en,4638,False,0,False,,Jeremy Arnon,jeremyarnon
@Mets @Delta choose me!  #DeltaMetsSweeps,Sun Oct 25 14:56:51 +0000 2015,en,0,False,0,False,,Jeremy Arnon,jeremyarnon
RT @Mets: We’re partnering with @Delta to send a lucky fan to games 1 &amp; 2! RT for your chance to win #DeltaMetsSweeps https://t.co/CDELSe84…,Sun Oct 25 14:55:53 +0000 2015,en,17048,False,0,False,,Jeremy Arnon,jeremyarnon
#jetsselfie http://t.co/XznT9kz7bt,Fri Aug 21 23:18:44 +0000 2015,und,0,False,1,False,,Jeremy Arnon,jeremyarnon
Malcolm @Gladwell speaking at the Tune #postback15 event http://t.co/SWB3jpuA51,Thu Jul 23 23:09:30 +0000 2015,en,0,False,0,False,,Jeremy Arnon,jeremyarnon
So proud of the team we built.  Excited to join @blesser and the rest of the Xaxis team. https://t.co/31ViWIyH0V,Mon Mar 30 13:06:05 +0000 2015,en,1,False,2,False,,Jeremy Arnon,jeremyarnon
Sir Charles sighting at SXSW http://t.co/X1fQLV0FP0,Fri Mar 13 20:10:44 +0000 2015,en,0,False,1,False,,Jeremy Arnon,jeremyarnon
"Mobile-Payments War Heats Up: Google Nets Carrier Deal to Take on Apple Pay
 http://t.co/mHOvVuP9cf",Tue Feb 24 13:51:23 +0000 2015,en,0,False,0,False,,Jeremy Arnon,jeremyarnon
Can't believe it's been 25 years since Buster Douglas knocked out Mike Tyson and shocked the world http://t.co/Vf6nyv4Wth,Wed Feb 11 21:53:44 +0000 2015,en,0,False,0,False,,Jeremy Arnon,jeremyarnon
Interesting article by my friend Dan about native advertising. http://t.co/pExAr1D5mS,Thu Jan 29 16:11:04 +0000 2015,en,0,False,1,False,,Jeremy Arnon,jeremyarnon
You know it's a rough season when the Knicks start doing a Groupon http://t.co/EzjGtW7fOk,Sat Dec 20 16:41:46 +0000 2014,en,1,False,1,False,,Jeremy Arnon,jeremyarnon
Softcard's new commercial is so embarrassingly stupid.  When will they just quit and stop throwing away money. http://t.co/TmldL46QQB,Fri Nov 14 13:23:42 +0000 2014,en,0,False,0,False,,Jeremy Arnon,jeremyarnon
Big win for Stripe-- Claire is a star: Stripe Hires Top Google Ops Exec Claire Johnson to Lead Business Operations http://t.co/TjAuZ2LDyG,Wed Oct 29 03:09:02 +0000 2014,en,0,False,0,False,,Jeremy Arnon,jeremyarnon
Lots of preparation :)  Michael Vick Prepares to Be Better Prepared to Prepare For Future Preparation http://t.co/ZPWzbDGVQx via @thebiglead,Tue Oct 14 15:35:07 +0000 2014,en,0,False,0,False,,Jeremy Arnon,jeremyarnon
