Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"If a life's legacy is measured by the love and admiration earned from others, Dave Goldberg left the best legacy of anyone I have ever known",Sat May 02 19:55:55 +0000 2015,en,34,False,56,False,,Joel Hyatt,joelhyatt
@Tlofty Great! I'm in!,Sun Apr 26 16:03:18 +0000 2015,en,0,False,0,False,,Joel Hyatt,joelhyatt
"@MarianaVZ @lauraling @Tlofty What an incredible group of talented, terrific people! I miss you all!",Sat Apr 25 03:18:51 +0000 2015,en,0,False,3,False,,Joel Hyatt,joelhyatt
"RT @WilliamWelserIV: Talk about #inspiration; @LPFI event hearing about #STEM edu, #SMASH &amp; learning from @joelhyatt, @algore, @mkapor http…",Fri Dec 05 04:51:16 +0000 2014,en,2,False,0,False,,Joel Hyatt,joelhyatt
"RT @RANDCorporation: Welcome @CarlBildt, @JoelHyatt, and David L. Porges to the RAND Board of Trustees: http://t.co/dCvYPjfj0P",Sun Nov 16 02:45:20 +0000 2014,en,16,False,0,False,,Joel Hyatt,joelhyatt
"@ezracooper @current: It was a great adventure, and you were important part of building our culture. Many Current alums are having impact!",Tue Sep 23 15:14:56 +0000 2014,en,0,False,0,False,,Joel Hyatt,joelhyatt
"RT @JoyVBehar: Hey, Republicans! Miss me? Lucky for you, I'm back with another show on @Current TV in the fall. I know you'll love it ht ...",Wed Jun 13 04:38:43 +0000 2012,en,203,False,0,False,,Joel Hyatt,joelhyatt
"RT @GavinonCurrent: What is @sergeybrinn 's craziest idea, according to his wife? 
Hint: it floats. See the clip here on @GavinonCurrent ...",Sat Jun 02 00:08:28 +0000 2012,en,3,False,0,False,,Joel Hyatt,joelhyatt
"RT @GavinonCurrent: A full hour-long interview with @sergeybrinn and his wife, @annewoj23—tonight, 8PT on Current TV!
http://t.co/WfU0no4t",Sat Jun 02 00:07:09 +0000 2012,en,5,False,0,False,,Joel Hyatt,joelhyatt
RT @portergale: Pretending to be cohost of @gavinnewsom new show on @currenttv -- lmk if u need a stand in when u r on road! http://t.co ...,Thu May 31 04:17:47 +0000 2012,en,1,False,0,False,,Joel Hyatt,joelhyatt
@AngelaMaiers @current It was our pleasure to host such a terrific group of people visiting @current.  Let's harness that energy!,Wed May 30 04:16:35 +0000 2012,en,1,False,0,False,,Joel Hyatt,joelhyatt
RT @portergale: @GavinNewsom @joelhyatt @currenttv @kred thx for the grt chat today about tech + tv + social good etc!,Wed May 30 03:22:52 +0000 2012,en,4,False,0,False,,Joel Hyatt,joelhyatt
@RobGlaser - Check out @cenkuygur interview w/ Freiss on @TYTonCurrent. Cenk did a really great job... http://t.co/wZiEDHkY,Fri Feb 17 01:04:23 +0000 2012,en,1,False,1,False,,Joel Hyatt,joelhyatt
Antarctica was amazing.  So were the people assembled by @algore to fight climate crisis. Looking forward to good stories on @currentTV.,Mon Feb 06 16:07:25 +0000 2012,en,0,False,2,False,,Joel Hyatt,joelhyatt
"In Argentina after incredible expedition with @algore. Great working with Sir Richard Branson, Tom Brokaw, Ted Turner, others on climate.",Mon Feb 06 16:02:09 +0000 2012,en,0,False,0,False,,Joel Hyatt,joelhyatt
"Great ""Politically Direct"" election coverage right now on @current with @algore, @JenGranholm &  @cenkuygur.  Turn your TV now to @current.",Wed Jan 04 01:54:30 +0000 2012,en,2,False,0,False,,Joel Hyatt,joelhyatt
RT @algore: Watching #iowadebate with @jengranholm and Cenk Uygur. Join us @Current TV live post-debate. http://t.co/zsaEcNSn #Political ...,Sun Dec 11 03:28:26 +0000 2011,en,27,False,0,False,,Joel Hyatt,joelhyatt
In studio for @TYTonCurrent premier show on @current.  Live right now on TV.  Tune in.  Cenk Uygur and The Young Turks are doing great!,Tue Dec 06 00:06:00 +0000 2011,en,0,False,0,False,,Joel Hyatt,joelhyatt
"""The Young Turks with Cenk Uygur"" premiers tomorrow on @current. Watch @TYTonCurrent on TV weeknights at 7pm and 10pm EST. Great show!",Sun Dec 04 22:40:33 +0000 2011,en,0,False,0,False,,Joel Hyatt,joelhyatt
"RT @egebhardt: News is a commodity - it is the ""making sense"" of news that is in scarcity.  @current tv's new Pres David Bohrman http:// ...",Thu Aug 11 04:11:43 +0000 2011,en,6,False,0,False,,Joel Hyatt,joelhyatt
"@Current will broadcast live Murdoch testimony to UK Parliament, with @KeithOlbermann  anchoring TV coverage, Tues morning at 9:30 ET.",Fri Jul 15 21:43:04 +0000 2011,en,10,False,0,False,,Joel Hyatt,joelhyatt
@RobGlaser: Thanks for all your support of @current!,Sat Jun 25 02:56:12 +0000 2011,en,0,False,0,False,,Joel Hyatt,joelhyatt
RT @RobGlaser: Congrats to everyone @current.  Off to a great start!  RT @CountdownKO: Thanks everyone for tuning in this week. Keith is ...,Sat Jun 25 02:54:06 +0000 2011,en,3,False,0,False,,Joel Hyatt,joelhyatt
Staff at @CountdownKO studio all set to put on a great show at 8pm on @current.  We have a terrific team working with @KeithOlbermann.,Thu Jun 23 23:47:35 +0000 2011,en,0,False,0,False,,Joel Hyatt,joelhyatt
I'm at @CountdownKO studio with @KeithOlbermann excited about tonight's premiere on @currentTV in 58 minutes!,Mon Jun 20 23:03:26 +0000 2011,en,1,False,0,False,,Joel Hyatt,joelhyatt
@KeithOlbermann: I love this ad for @Current and the picture of its new Chief News Officer!  Way to go David -- and Keith!,Wed Mar 30 04:43:00 +0000 2011,en,0,False,0,False,,Joel Hyatt,joelhyatt
I'll be doing the lunch Keynote together with #CurrentTV new partner #KeithOlbermann at the #PaidContent conference in NYC on Thursday.,Sun Feb 27 00:33:07 +0000 2011,en,1,False,0,False,,Joel Hyatt,joelhyatt
Big week for Current!  Keith Olbermann our new Chief News Officer.  Hugely successful Upfront.  Premier of Bar Karma Series.  Stay tuned!,Sat Feb 12 17:58:37 +0000 2011,en,0,False,0,False,,Joel Hyatt,joelhyatt
"@porterVA Great article and interview, Porter!",Thu Dec 17 07:48:23 +0000 2009,en,0,False,0,False,,Joel Hyatt,joelhyatt
@ChloeS Thanks.  Seems like it might be valuable to learn how to say things in less than 140 characters!,Tue Mar 17 04:12:24 +0000 2009,en,0,False,1,False,,Joel Hyatt,joelhyatt
Taught class at Stanford with Larry Lessig today.  Our guest was Forrest Sawyer.  He said that most TV news sucks.  Let's fix it!,Tue Mar 17 03:33:45 +0000 2009,en,0,False,0,False,,Joel Hyatt,joelhyatt
