Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"@pstein211 @joannaoconnell And it took us just five years of persistent stalking, and scaling of business and tech to get JOC to come back!",Thu Oct 15 13:58:46 +0000 2015,en,0,False,4,False,,Joe Zawadzki,JoeZawadzki
RT @mattprohaska: Kudos 2 @mediamath @JoeZawadzki on key new hire &amp; congrats @joannaoconnell from all of us @TeamProhaska - http://t.co/BQ4…,Tue Oct 13 13:11:24 +0000 2015,en,3,False,0,False,,Joe Zawadzki,JoeZawadzki
Just saw new @IBMWatson commercial at #AndThen15. Stirred the blood.,Sun Oct 04 22:04:16 +0000 2015,en,1,False,4,False,,Joe Zawadzki,JoeZawadzki
"Just booked the #AndThen15 conference in Boston this coming week, with @MediaMath sponsoring the ""HotZone"" (think shark tank for startups)",Tue Sep 29 18:50:57 +0000 2015,en,3,False,9,False,,Joe Zawadzki,JoeZawadzki
RT @lakeb2b: Block Your Calendars From 4th - 6th Oct. Meet Us @DMA_USA's #AndThen15. Our Details:- http://t.co/b1jbKuFf3i http://t.co/LqXQ8…,Tue Sep 29 18:40:51 +0000 2015,en,1,False,0,False,,Joe Zawadzki,JoeZawadzki
@GILENYAGoUSOnly agiiiixedu why,Mon Aug 31 15:08:14 +0000 2015,en,0,False,0,False,,Joe Zawadzki,JoeZawadzki
An extremely welcome upgrade on Delta after a civilized LAS Centurion lounge experience post-CES courtesy of @amex. #NPS,Fri Jan 09 06:49:56 +0000 2015,en,0,False,2,False,,Joe Zawadzki,JoeZawadzki
"RT @SiliconANGLE: Wilfried Schobeiri (@nphase), SVP Engineering, @MediaMath was in #theCUBE at #reinvent http://t.co/o9WOvLPYib http://t.co…",Thu Nov 13 01:35:20 +0000 2014,en,4,False,0,False,,Joe Zawadzki,JoeZawadzki
"To be clear: that was the collective industry ""we"". We, MediaMath, get Outcomes tattoos after the first 90 days on the team. @PubMatic",Fri Oct 24 20:04:25 +0000 2014,en,0,False,1,False,,Joe Zawadzki,JoeZawadzki
RT @JackMarshall: MediaMath Acquires Social Ad Firm Upcast: http://t.co/Q8lTlwOerB via @WSJ,Thu Oct 16 15:20:03 +0000 2014,en,4,False,0,False,,Joe Zawadzki,JoeZawadzki
"@alexrkonrad @tkawaja @billwise I'm retweeting this, but with, like, 30 or 40% enthusiasm.",Tue Aug 12 16:43:24 +0000 2014,en,1,False,4,False,,Joe Zawadzki,JoeZawadzki
@adam_solo @PandoDaily Yes. Then we will turn our sights to medicine and the law. http://t.co/yhYs1SU2ht,Fri Mar 21 14:11:14 +0000 2014,en,0,False,1,False,,Joe Zawadzki,JoeZawadzki
"@NYCMcG The marvel is not that the bear dances well, it's that the bear dances at all",Thu Jan 23 04:20:42 +0000 2014,en,0,False,1,False,,Joe Zawadzki,JoeZawadzki
"@NYCMcG Here to serve. ""Moonpie"" was a reasonably cruel word for our game of #panelbingo #IP2014. Get ready",Wed Jan 22 20:00:29 +0000 2014,en,0,False,1,False,,Joe Zawadzki,JoeZawadzki
This customer is unhappy being in a middle seat literally watching a commercial. #ip2014,Wed Jan 22 17:29:46 +0000 2014,en,1,False,1,False,,Joe Zawadzki,JoeZawadzki
@jpych @markmannino @bmorrissey This was a very gracious thread. Thank you,Fri Dec 20 00:27:07 +0000 2013,en,0,False,1,False,,Joe Zawadzki,JoeZawadzki
@mrkeiser @MediaMath @LiveIntent Yes! Just got an email that I missed this tweet. Twitter post-IPO goal: being tweeted for missing emails.,Fri Sep 13 03:21:10 +0000 2013,en,0,False,2,False,,Joe Zawadzki,JoeZawadzki
Good excuse to test drive our new blog: http://t.co/G0WPdWG0js. Thank you all for reading past the headline! @zachrodgers,Thu Aug 01 22:54:14 +0000 2013,en,1,False,2,False,,Joe Zawadzki,JoeZawadzki
"@benkartzman @etownsend @decolella @MediaMath Just be glad I didn't contract it to ""Tradigital"", which really doesn't roll off the tongue",Wed Jul 17 06:50:01 +0000 2013,en,1,False,2,False,,Joe Zawadzki,JoeZawadzki
