Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"@ErikCompton3 just saw/heard your story on NBC US Open coverage, wishing and rooting for you man :)",Sun Jun 15 16:50:45 +0000 2014,en,0,False,0,False,,John Ham,johnham
.@THORN ALERT! Pls RT to help @wwwicegov track down a suspected #childpornography distributer http://t.co/LDK3dDRj4D,Tue Jun 10 07:08:46 +0000 2014,en,0,False,0,False,,John Ham,johnham
Panasonic &amp; Sony camcorder and camera steaming integrations finally in 2014 after long/years of hardware integration cycles :),Tue Jan 07 02:25:46 +0000 2014,en,0,False,0,False,,John Ham,johnham
Best of luck!  RT @MsSophiaLucia: Watch me Live today on USTREAM today at 1pm-2pm http://t.co/LWbCzhZgjz,Sat Mar 30 17:08:51 +0000 2013,en,0,False,1,False,,John Ham,johnham
Touching news about some pretty cool high school students: Football team befriends bullied girl http://t.co/s8Okoe5n #cnn,Sat Oct 27 15:34:50 +0000 2012,en,1,False,1,False,,John Ham,johnham
Logitech built camera just for Ustream - great to see vision turned into reality: http://t.co/kWYKCFqV,Sat Oct 27 07:32:31 +0000 2012,en,3,False,0,False,,John Ham,johnham
Temporary alternative oxygen supply for people in emergency situations: http://t.co/JyFGnVge,Wed Jul 18 18:30:34 +0000 2012,en,1,False,0,False,,John Ham,johnham
Go Ustream Korea and Asia! http://t.co/ZOtU8cwa,Tue Jul 10 15:24:23 +0000 2012,en,2,False,1,False,,John Ham,johnham
"RT @sarah_ross: Cory Booker helps launch #waywire, a social media news site for millennials http://t.co/48KvggSe",Sun Jul 01 17:56:24 +0000 2012,en,1,False,0,False,,John Ham,johnham
Great to see continued creativity by our community. http://t.co/pmWjiW3R,Thu Jun 21 16:03:47 +0000 2012,en,1,False,0,False,,John Ham,johnham
"RT @jlanzone: Hulk Hogan-looking guy on a Harley just drove past us on Bay Bridge blasting ""What a Feeling"" from Flashdance. Can't make  ...",Fri May 18 16:16:52 +0000 2012,en,1,False,0,False,,John Ham,johnham
RT @joshelman: Excited to be working with John and Keith!  http://t.co/lT5VSopo,Tue May 08 18:54:46 +0000 2012,en,1,False,0,False,,John Ham,johnham
