Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"Vancouver &amp; Two New Ones - Yesterday in Vancouver, one of my favorite populated places on Earth, completing... https://t.co/dZ5vjrTH0f",Tue Jan 19 23:39:15 +0000 2016,en,0,False,0,False,,Jeff Rusinow,jrusinow
📷 24 hour trip to Ft. Lauderdale this past Wednesday to get a lifer -  a spectacular male Western... https://t.co/aDYcFpvqCI,Mon Dec 21 03:41:10 +0000 2015,en,0,False,0,False,,Jeff Rusinow,jrusinow
📷 Name the bird! Hint: “Woody” https://t.co/T56MoxzH9R,Thu Nov 12 01:06:35 +0000 2015,en,0,False,0,False,,Jeff Rusinow,jrusinow
"Name the bird! Hint: ""Woody"" https://t.co/3X3WwB3ySB",Thu Nov 12 01:06:34 +0000 2015,en,0,False,0,False,,Jeff Rusinow,jrusinow
@julikaufmann @jrusinow,Thu Nov 05 19:11:39 +0000 2015,und,0,False,0,False,,Jeff Rusinow,jrusinow
📷 Female juvenile sharpie caught and banded today! https://t.co/BTtLYfX8PA,Mon Nov 02 00:58:10 +0000 2015,en,0,False,0,False,,Jeff Rusinow,jrusinow
Red-tailed Hawk! https://t.co/1QMAcbIGdY,Sun Nov 01 16:41:50 +0000 2015,en,0,False,0,False,,Jeff Rusinow,jrusinow
Photo: You never know what will wash ashore! Did all those Japanese ladybugs on it’s head hitch a ride back... https://t.co/dK3EKLtsHf,Mon Oct 26 17:54:43 +0000 2015,en,0,False,0,False,,Jeff Rusinow,jrusinow
You never know what will wash ashore!  Did all those Japanese ladybugs on it's head hitch a ride back… https://t.co/qkcS2G3AzG,Mon Oct 26 17:54:41 +0000 2015,en,0,False,0,False,,Jeff Rusinow,jrusinow
Photoset: This afternoon at Cedar Grove Ornithological Research Station: banding and releasing raptors... https://t.co/aUtXStYE9v,Sat Oct 24 22:11:33 +0000 2015,en,0,False,0,False,,Jeff Rusinow,jrusinow
