Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
I love this tour. #PurposeTour,Sat Apr 23 06:46:10 +0000 2016,en,39879,False,67281,False,,Justin Bieber,justinbieber
Making a special surprise appearance on #RDMA. Watch May 1st on @DisneyChannel https://t.co/vHgg7iUEWt,Thu Apr 21 16:26:44 +0000 2016,en,46465,False,89205,False,,Justin Bieber,justinbieber
RT @UniversalSpain: ¿Has escuchado el nuevo single @JustinBieber? Dale al play a #Company en @SpotifySpain y dinos qué te parece https://t.…,Wed Apr 20 21:50:18 +0000 2016,es,18526,False,0,False,,Justin Bieber,justinbieber
Love u too bro https://t.co/Us1rrqTVVv,Thu Apr 14 06:18:37 +0000 2016,en,43183,False,80416,False,,Justin Bieber,justinbieber
That was one of the best yet. Thank you to big bros @Usher and @Akon for coming out. Made Ush play all the hits. #PurposeTourAtlanta,Thu Apr 14 06:18:19 +0000 2016,en,49972,False,100121,False,,Justin Bieber,justinbieber
RT @Ludacris: Reunited Rockin wit the Biebs Surprised ATL tonight. #showkillas @ Philips Arena https://t.co/4lhvoFMZr3,Wed Apr 13 06:14:46 +0000 2016,en,21781,False,0,False,,Justin Bieber,justinbieber
RT @Usher: So proud of you man @justinbieber 🙏🏾,Wed Apr 13 06:14:39 +0000 2016,en,37777,False,0,False,,Justin Bieber,justinbieber
@usher @Ludacris @AugustAlsina @2chainz all in the building tonight. Great show ATL,Wed Apr 13 06:14:00 +0000 2016,en,26848,False,39392,False,,Justin Bieber,justinbieber
ATL night 1!! #PurposeTourAtlanta,Tue Apr 12 19:47:52 +0000 2016,en,44815,False,78113,False,,Justin Bieber,justinbieber
Thanks #BBMAs and my beliebers https://t.co/O1av4uVuga,Mon Apr 11 17:03:18 +0000 2016,en,78815,False,121055,False,,Justin Bieber,justinbieber
#PurposeTourDallas,Sun Apr 10 22:49:40 +0000 2016,und,49758,False,90124,False,,Justin Bieber,justinbieber
"RT @Bkstg: New vid on Bkstg from @justinbieber: ""Ping pong champ"" https://t.co/UqIMS6UYVD https://t.co/xSh26mNauo",Sun Apr 10 22:46:38 +0000 2016,en,22911,False,0,False,,Justin Bieber,justinbieber
Houston was a movie. Dallas up next,Sun Apr 10 14:49:58 +0000 2016,en,55890,False,111161,False,,Justin Bieber,justinbieber
#PurposeTourHouston,Sat Apr 09 20:40:21 +0000 2016,und,51058,False,94201,False,,Justin Bieber,justinbieber
"RT @whipclip: .@JustinBieber lyrics make for great dramatic dialogue. Soap opera writers everywhere should take note. @jkcorden
https://t.c…",Sat Apr 09 20:40:05 +0000 2016,en,26541,False,0,False,,Justin Bieber,justinbieber
RT @Q100Atlanta: #nowplaying @JustinBieber #Company,Sat Apr 09 20:39:59 +0000 2016,und,18303,False,0,False,,Justin Bieber,justinbieber
RT @997now: Nothing like hearing @MaryDiaz997 play #Company by @justinbieber on this cold &amp; rainy Saturday! Turn it up: https://t.co/mfmXts…,Sat Apr 09 20:39:25 +0000 2016,en,17113,False,0,False,,Justin Bieber,justinbieber
