Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @ForbesIndia: How Sandeep Murthy picks future Unicorns https://t.co/SgfUqothwa,Mon Apr 11 02:40:00 +0000 2016,en,4,False,0,False,,jeremy wenokur,jwenokur
@ambmarkgilbert thanks for a great night and meetings with NZ start ups!,Tue Apr 05 11:50:59 +0000 2016,en,0,False,1,False,,jeremy wenokur,jwenokur
RT @ambmarkgilbert: A #selfie of a selfie of a selfie. @nickshewring @katebeaumontnz https://t.co/emZ9d9LatD,Tue Apr 05 11:42:29 +0000 2016,en,3,False,0,False,,jeremy wenokur,jwenokur
RT @ambmarkgilbert: Great to be with @jwenokur at @GridAKL to discuss the Kiwi startup community. Thank you @simianaudio &amp; @BizDojo https:/…,Mon Apr 04 05:58:12 +0000 2016,en,8,False,0,False,,jeremy wenokur,jwenokur
"RT @shaijumathew: India’s largest home furniture rental company, @Furlenco is now in Pune! https://t.co/fmAJQduuP3 @AjithKarimpana @lbvc @D…",Sat Apr 02 08:30:26 +0000 2016,en,359,False,0,False,,jeremy wenokur,jwenokur
RT @sandeepm1: @FURLENCO congrats on another exciting launch!  https://t.co/E2KSIZI4R3,Sat Apr 02 08:30:21 +0000 2016,en,3,False,0,False,,jeremy wenokur,jwenokur
RT @Inc42: How Losing 90% Of His Investment For Furniture Prompted Ajith To Start His Own Furniture Lending Company. https://t.co/zKNpoNVmH…,Sat Feb 27 06:56:43 +0000 2016,en,7,False,0,False,,jeremy wenokur,jwenokur
RT @AmyKazmin: India's newest unicorn @ShopClues tries 'asset light' #ecommerce model in rivalry w/ @Flipkart @snapdeal https://t.co/dbcc3P…,Wed Feb 17 06:18:22 +0000 2016,en,2,False,0,False,,jeremy wenokur,jwenokur
RT @sidtalwar: deep tech/data science - only solution to problems we face in education today. Great article by Aditi @embibe https://t.co/O…,Mon Feb 01 06:49:22 +0000 2016,en,7,False,0,False,,jeremy wenokur,jwenokur
@jasonrapp that is talent. playing a priest is certainly a stretch for me,Mon Oct 05 18:08:24 +0000 2015,en,0,False,1,False,,jeremy wenokur,jwenokur
"RT @vijayanands: Faasos is a very good example of how to build a consumer business, but have a shot at winning in it. Bootstrapped - get it…",Tue Sep 22 07:22:26 +0000 2015,en,4,False,0,False,,jeremy wenokur,jwenokur
Chinese Smartphone Makers Try to Make Inroads in India http://t.co/z1swfuava1,Tue May 12 22:49:43 +0000 2015,en,0,False,0,False,,jeremy wenokur,jwenokur
"RT @vijayanands: In 2014, for all of europe 76 accelerators, invested in 1588 a total sum of 39.5mn Euros. Last Week alone, Indian startups…",Mon May 11 14:24:35 +0000 2015,en,11,False,0,False,,jeremy wenokur,jwenokur
RT @danprimack: I never heard anyone say a disparaging word about @davegoldberg. Ever. Almost unheard of when it comes to successful people…,Sat May 02 20:30:27 +0000 2015,en,88,False,0,False,,jeremy wenokur,jwenokur
Congratulations @todsacerdoti http://t.co/2h4Glvh9xQ. Amazing job over the past 8 years!!!,Tue Nov 11 22:07:32 +0000 2014,en,0,False,0,False,,jeremy wenokur,jwenokur
Llosa seascape  http://t.co/2KOaCFvudf,Fri Oct 17 14:46:50 +0000 2014,es,0,False,0,False,,jeremy wenokur,jwenokur
@amac congratulations!!,Fri Sep 05 02:11:35 +0000 2014,en,0,False,1,False,,jeremy wenokur,jwenokur
congratulations @sandeepm1 on the launch of lightbox!  http://t.co/bJLyOhdDxr,Wed Apr 30 16:23:05 +0000 2014,en,1,False,0,False,,jeremy wenokur,jwenokur
@united tried that already. It tells me I need to call. A little ridiculous at this point,Wed Jan 08 18:26:21 +0000 2014,en,0,False,0,False,,jeremy wenokur,jwenokur
@united it should not take over an hour of hold time to file a baggage claim 4 days after you cancelled my flight. How can I file?,Wed Jan 08 18:07:42 +0000 2014,en,0,False,0,False,,jeremy wenokur,jwenokur
Join me and vote Blekko for Best Technology Achievement for the 2010 Crunchies awards! http://is.gd/kjMWY #crunchies,Mon Jan 10 23:48:59 +0000 2011,en,1,False,3,False,,jeremy wenokur,jwenokur
