Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @_tHawley: Congrats to the @BetterWorks team on being named Top 20 Best Places to work in SF! https://t.co/RU4j9FRk6K,Wed Apr 20 20:59:50 +0000 2016,en,1,False,0,False,,Kris Duggan,kduggan
RT @vwswims: S/O to @BetterWorks a brilliant platform only going to get better. #winning https://t.co/lCnXAJl8al,Wed Apr 20 20:59:41 +0000 2016,en,1,False,0,False,,Kris Duggan,kduggan
"RT @AllanCaeg: Check out this classic piece by @rklau on ""How Google Sets Goals"" that popularized #OKRs

https://t.co/eIr13B3C38",Tue Apr 19 19:47:18 +0000 2016,en,3,False,0,False,,Kris Duggan,kduggan
Why Sales Reps Need Sparkle https://t.co/EXVYXKk70F via @BetterWorks,Tue Apr 19 18:59:28 +0000 2016,en,0,False,1,False,,Kris Duggan,kduggan
RT @McCabeRG: Thomas Edison - Vision without execution is hallucination. https://t.co/ZhZl7TQy8t,Tue Apr 19 15:13:30 +0000 2016,en,2,False,0,False,,Kris Duggan,kduggan
"RT @BetterWorks: Our CEO @kduggan just called for a show of ""jazz hands"" at #GoalSummit to see who in the audience is engaged at work https…",Tue Apr 19 03:56:11 +0000 2016,en,2,False,0,False,,Kris Duggan,kduggan
RT @thejoefloyd: The secret to effective teams at Google...standing room only at #goalsummit to find out @BetterWorks @kduggan https://t.co…,Tue Apr 19 03:55:58 +0000 2016,en,5,False,0,False,,Kris Duggan,kduggan
@dani0klah0ma @BetterWorks We  &lt;3 you too!!!!!!!!!!!!!!,Tue Apr 19 03:29:06 +0000 2016,en,0,False,1,False,,Kris Duggan,kduggan
RT @dani0klah0ma: Oh how I love @BetterWorks #OKRs,Tue Apr 19 03:28:39 +0000 2016,en,1,False,0,False,,Kris Duggan,kduggan
RT @RWartzman: Excited to be in San Francisco today to speak at #goalsummit2016 about why Peter Drucker's legacy matters so much. @BetterWo…,Tue Apr 19 03:28:29 +0000 2016,en,3,False,0,False,,Kris Duggan,kduggan
"RT @KittyIding: Reviewing my Personal OKRs, let's go moonshots!",Mon Apr 18 22:54:40 +0000 2016,en,1,False,0,False,,Kris Duggan,kduggan
@dislokated @BetterWorks thanks Kaleem! Glad you could make it!,Mon Apr 18 15:16:12 +0000 2016,en,0,False,1,False,,Kris Duggan,kduggan
"RT @kimballscott: Loved #goalsummit today--great conversations, great questions! https://t.co/78hpCmsD73",Fri Apr 15 22:26:40 +0000 2016,en,3,False,0,False,,Kris Duggan,kduggan
@StaciaGarr Tanks Stacia for coming!,Thu Apr 14 22:03:47 +0000 2016,en,0,False,1,False,,Kris Duggan,kduggan
RT @rubenharris: Learning about the way @BetterWorks sets goals with their Sales team w/ @kduggan #GoalSummit https://t.co/8jng5e9UYQ,Thu Apr 14 22:02:08 +0000 2016,en,1,False,0,False,,Kris Duggan,kduggan
RT @StaciaGarr: Love @google example of thinking about what could create failure before a big launch. Creates psychological safety &amp; better…,Thu Apr 14 22:01:08 +0000 2016,en,2,False,0,False,,Kris Duggan,kduggan
RT @SaschaGoto: #GoalSummit speakers (on the main stage) actually have the best view...! https://t.co/aQIfV8hY0w,Thu Apr 14 21:59:44 +0000 2016,en,1,False,0,False,,Kris Duggan,kduggan
"RT @tweetShanghai: ""Accountability is highly correlated with transparency"", #OKR, #goalsummit https://t.co/Hp3wpD4KQC",Thu Apr 14 21:59:36 +0000 2016,en,1,False,0,False,,Kris Duggan,kduggan
RT @LisaLBlosser: The #human element continues to reign supreme #goalsummit  https://t.co/j9m86Mmpq1,Thu Apr 14 21:59:32 +0000 2016,en,2,False,0,False,,Kris Duggan,kduggan
"RT @SarahHilmer: I'm so proud of team @BetterWorks for putting on our #GoalSummit event today. But wait, we still have 3 hrs to go! https:/…",Thu Apr 14 21:59:22 +0000 2016,en,1,False,0,False,,Kris Duggan,kduggan
"RT @davetrevionics: ""Culture is what happens in companies when no one is looking"" - @Josh_Bersin at #goalsummit.  https://t.co/hiMYgvV2m6",Thu Apr 14 21:57:56 +0000 2016,en,6,False,0,False,,Kris Duggan,kduggan
RT @PamFR: Most companies do goals as if #Fitbit emailed you your steps once a year -- @kduggan #GoalSummit,Thu Apr 14 18:10:00 +0000 2016,en,4,False,0,False,,Kris Duggan,kduggan
"RT @moffitalex: ""it's taken away 7 to 8 meetings a week for me. i'm confident in the data"" - jake schmidt of @PwC_LLP #goalsummit",Thu Apr 14 18:08:42 +0000 2016,en,2,False,0,False,,Kris Duggan,kduggan
RT @PaulGelb: OKRs work. https://t.co/ae89J5XIho,Thu Apr 14 05:50:18 +0000 2016,en,3,False,0,False,,Kris Duggan,kduggan
RT @LisaLBlosser: Countdown to #goalsummit 2016 @BetterWorks  https://t.co/4773QYR6en,Thu Apr 14 05:50:00 +0000 2016,en,2,False,0,False,,Kris Duggan,kduggan
RT @BetterWorks: Just finalizing the small details here at Pier 27. These succulent centerpieces are icing on the 🍰. #goalsummit https://t.…,Thu Apr 14 00:32:42 +0000 2016,en,5,False,0,False,,Kris Duggan,kduggan
RT @tylerjamesson: Read why BetterWorks is becoming the business operating system for the modern enterprise https://t.co/PYbSQBzvUm via @Be…,Thu Apr 14 00:32:37 +0000 2016,en,2,False,0,False,,Kris Duggan,kduggan
"RT @jshack: Goal Summit: @johndoerr @kduggan @pattymccord1 @qhardy, #OKR #insights #AI #dataassets #HR #culture; @BetterWorks: https://t.co…",Wed Apr 13 18:38:21 +0000 2016,en,1,False,0,False,,Kris Duggan,kduggan
@JillWetzler @othercate agreed!,Wed Apr 13 17:08:18 +0000 2016,en,0,False,0,False,,Kris Duggan,kduggan
@FreeRange_Wifi or best check too!,Wed Apr 13 17:07:52 +0000 2016,en,0,False,0,False,,Kris Duggan,kduggan
RT @edjeff: feel my powerful KPIs. smell my delightful OKRs.,Wed Apr 13 17:07:36 +0000 2016,en,1,False,0,False,,Kris Duggan,kduggan
"@BrandonZylstra @BetterWorks @laspegren @FastCompany @StephanieVozza thanks for feedback, let's see what we can do about that @SarahHilmer",Wed Apr 13 17:07:25 +0000 2016,en,0,False,1,False,,Kris Duggan,kduggan
"Dear Strategy, Meet Execution! https://t.co/OtFpjLqjwC via @BetterWorks",Tue Apr 12 20:27:20 +0000 2016,en,0,False,2,False,,Kris Duggan,kduggan
"RT @menaka: Dear Strategy, Meet Execution! Can't have a post about strategy without mentioning Red Queen Effect https://t.co/fVAQk90NlH via…",Tue Apr 12 20:06:23 +0000 2016,en,1,False,0,False,,Kris Duggan,kduggan
"RT @jamesepember: ""20 years ago, people were motivated by pay &amp; perks. Today, what motivates people is purpose and work that matters"" https…",Mon Apr 11 20:56:15 +0000 2016,en,1,False,0,False,,Kris Duggan,kduggan
RT @laniar: Fab! @BetterWorks offers a fresh take on the tired performance review: https://t.co/1R7VlMHC21,Mon Apr 11 01:21:50 +0000 2016,en,2,False,0,False,,Kris Duggan,kduggan
RT @rachaelize: Getting super psyched for #GoalSummit2016 next week! Who all is coming? @BetterWorks https://t.co/xkrSzQyfrL,Fri Apr 08 18:45:57 +0000 2016,en,2,False,0,False,,Kris Duggan,kduggan
"RT @PactWorld: @girardinl, @rachaelize is right, Pact uses OKRs. We set 500+ this quarter alone. Happy to share some real world #nonprofit…",Fri Apr 08 18:25:20 +0000 2016,en,2,False,0,False,,Kris Duggan,kduggan
RT @simple_rules: Good article on development of @Amazon Echo. Power of ambitious goal and relentless experimentation to get there https://…,Fri Apr 08 06:28:58 +0000 2016,en,3,False,0,False,,Kris Duggan,kduggan
RT @mikemmoon: Looking forward to learning more about this new module by @BetterWorks next week? https://t.co/v5zuxZL2Lk #continuousconvers…,Fri Apr 08 01:00:00 +0000 2016,en,1,False,0,False,,Kris Duggan,kduggan
RT @jencarolan: Have learned so many tactical (OKRs) lessons from @johndoerr but most valuable- his spirit of generosity &amp; intellectual hon…,Sat Apr 02 00:45:43 +0000 2016,en,1,False,0,False,,Kris Duggan,kduggan
@sahmehta @BetterWorks ha :),Fri Apr 01 13:30:26 +0000 2016,und,0,False,1,False,,Kris Duggan,kduggan
Announcing the BetterWorks Recognition Service https://t.co/KcEO8P8DNd via @BetterWorks,Fri Apr 01 06:09:31 +0000 2016,en,0,False,3,False,,Kris Duggan,kduggan
@ReneeFranzwa @BetterWorks thanks Renee!,Wed Mar 30 17:32:19 +0000 2016,en,0,False,0,False,,Kris Duggan,kduggan
RT @MarkusPeschl: Startup Lab workshop: How Google sets goals: OKRs - YouTube https://t.co/h8o55lkJpa,Wed Mar 30 01:18:33 +0000 2016,en,1,False,0,False,,Kris Duggan,kduggan
These Are the 23 Women Who Inspire Us the Most https://t.co/HG1STFKEFL via @BetterWorks,Wed Mar 30 01:15:15 +0000 2016,en,0,False,1,False,,Kris Duggan,kduggan
RT @ciarapeter: These Are the 23 Women Who Inspire Us the Most https://t.co/EKtuiMcYz3 via @BetterWorks,Tue Mar 29 16:57:38 +0000 2016,en,2,False,0,False,,Kris Duggan,kduggan
@elias_dayeh Thanks Elias!,Tue Mar 29 01:00:16 +0000 2016,en,0,False,0,False,,Kris Duggan,kduggan
@sreardon What's obvious to you and me may not be universally understood :),Tue Mar 29 01:00:01 +0000 2016,en,0,False,1,False,,Kris Duggan,kduggan
RT @the_Bong_one: Congratulations @kduggan on the latest round of funding $$. Good to see #HRTech startups leading the pack and brining in …,Fri Mar 25 16:24:04 +0000 2016,en,2,False,0,False,,Kris Duggan,kduggan
@the_Bong_one thanks Raj!!,Fri Mar 25 16:23:58 +0000 2016,en,0,False,0,False,,Kris Duggan,kduggan
RT @daisytv: You can't have accountability without transparency says @AlexBarnett of @RMS https://t.co/gkPFfVlN3K via @BetterWorks,Fri Mar 25 00:42:16 +0000 2016,en,2,False,0,False,,Kris Duggan,kduggan
RT @CATRiskCareers: Using #OKRs has helped @RMS increase alignment and agility across its workforce says @byamelia https://t.co/MJgocH9J0F,Fri Mar 25 00:41:50 +0000 2016,en,2,False,0,False,,Kris Duggan,kduggan
RT @BetterWorks: Targets shared publicly are more likely to succeed. Read about this &amp; our series B: https://t.co/DoC4TCXriy @greentechlady…,Thu Mar 24 21:49:00 +0000 2016,en,1,False,0,False,,Kris Duggan,kduggan
"RT @ferrazzi: Congratulations, Mark. @BetterWorks is lucky to have you onboard. @SuccessMatters https://t.co/2hC1hKHgeM",Thu Mar 24 18:03:31 +0000 2016,en,2,False,0,False,,Kris Duggan,kduggan
RT @BetterWorks: Forrester's @paulhamerman weighs in on how #OKRs improve performance via @DanRing3 @TechTarget: https://t.co/a22roxXIMD,Thu Mar 24 18:03:07 +0000 2016,en,1,False,0,False,,Kris Duggan,kduggan
@paulalbright @BetterWorks @emergencecap @TechCrunch thanks Paul!!,Thu Mar 24 18:03:01 +0000 2016,en,0,False,0,False,,Kris Duggan,kduggan
