Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @SpaceX: Onboard view of landing in high winds https://t.co/FedRzjYYyQ,Sat Apr 09 03:12:51 +0000 2016,en,21665,False,0,False,,kentfuka,kentfuka
RT @ThinkAtheist: https://t.co/Jor5FOl0V9,Fri Mar 11 21:43:01 +0000 2016,und,83,False,0,False,,kentfuka,kentfuka
@MacmillanLearn party at #SXSWedu with the Night Owls #RAndB https://t.co/XfSs353lXN,Wed Mar 09 02:31:44 +0000 2016,en,0,False,2,False,,kentfuka,kentfuka
"At SXSWedu, with kickoff by @TempleGrandin 'half the people in #siliconvalley are on the #autism spectrum' #SXSWedu",Mon Mar 07 17:14:22 +0000 2016,en,0,False,5,False,,kentfuka,kentfuka
Chicago Public Schools Make Computer Science a Requirement For a HS Diploma @slashdot - https://t.co/a6i4xP3pvJ,Fri Feb 26 20:23:35 +0000 2016,en,0,False,0,False,,kentfuka,kentfuka
I also recommend the Heath brothers book SWITCH to all #ATD_DREAM attendees. https://t.co/zf4RZsouxs,Thu Feb 25 20:32:32 +0000 2016,en,0,False,1,False,,kentfuka,kentfuka
"RT @melander: When a college president fights back tears of passion and caring, you know this work matters #ATD_DREAM",Thu Feb 25 16:41:37 +0000 2016,en,4,False,0,False,,kentfuka,kentfuka
"RT @kresgedu: ""If you haven't taken placement test on your campus, you should. It's humbling experience."" Steve Rose at @insidehighered pan…",Thu Feb 25 16:39:34 +0000 2016,en,12,False,0,False,,kentfuka,kentfuka
"RT @kresgedu: ""We can't afford to be a nation where half of our adults are under educated."" Dr. Martha Kanter at #ATD_DREAM",Thu Feb 25 16:38:07 +0000 2016,en,17,False,0,False,,kentfuka,kentfuka
Learning about the great work that @GoodwillIntl does in partnerships with local community colleges #ATD_DREAM,Thu Feb 25 16:30:34 +0000 2016,en,1,False,3,False,,kentfuka,kentfuka
#edtech startup @QueriumCorp is @FastCompany Top 10 Most Innovative Companies in Education 2016. See us #ATD_DREAM booth 200,Wed Feb 24 13:50:33 +0000 2016,en,1,False,2,False,,kentfuka,kentfuka
#Austin #edtech startup @QueriumCorp is @FastCompany Top 10 Most Innovative Companies in Education 2016,Wed Feb 24 13:49:36 +0000 2016,en,0,False,2,False,,kentfuka,kentfuka
Come see our award-winning StepWise Virtual Tutor for dev Ed math in Booth 200 @ #ATD_DREAM 2016 @QueriumCorp,Tue Feb 23 22:28:56 +0000 2016,en,0,False,1,False,,kentfuka,kentfuka
"At #ATD_DREAM 2016 in Atlanta. ""Faith is taking the first step even when you don't see the whole staircase - MLK""",Tue Feb 23 22:23:35 +0000 2016,en,0,False,0,False,,kentfuka,kentfuka
"RT @omarg: FML, first day of #SXSW Interactive, the president will be in Austin. https://t.co/00zsESwuAv (link via @Andylanger)",Fri Feb 19 22:16:39 +0000 2016,en,5,False,0,False,,kentfuka,kentfuka
"@liz_anne @CapitalFactory Hi Liz, we've been over to CapFac many times in the past couple of years.  We like what you do, but didn't join.",Fri Feb 19 17:16:21 +0000 2016,en,0,False,0,False,,kentfuka,kentfuka
RIP Harper Lee https://t.co/y0k2q6v4hm,Fri Feb 19 17:03:53 +0000 2016,en,0,False,0,False,,kentfuka,kentfuka
"""Austin non-profit seeking executive director"" by @kentfuka on @LinkedIn https://t.co/YiyYJ1Ww3p",Thu Feb 18 19:54:53 +0000 2016,en,0,False,1,False,,kentfuka,kentfuka
".@amazonecho thought my sound snippet was me asking if Amazon had job openings. So its a bug, not an unprompted ad.  Quick support response.",Thu Nov 12 21:58:25 +0000 2015,en,0,False,1,False,,kentfuka,kentfuka
My @amazonecho Alexa just blurted out an unprompted employment ad for Amazon. #uncool #noads #gagalexa,Wed Nov 11 13:52:20 +0000 2015,en,0,False,1,False,,kentfuka,kentfuka
"RT @circuitamericas: For the safety of our fans and employees, today's opening has been delayed until noon. Further updates will be forthco…",Sat Oct 24 13:10:20 +0000 2015,en,843,False,0,False,,kentfuka,kentfuka
"RT @FG_STrim: For #flypocalypse victims, you'll be pleased to know FAA ERAM system completed development less than 2 months ago. https://t.…",Sat Aug 15 20:16:35 +0000 2015,en,2,False,0,False,,kentfuka,kentfuka
@AmericanAir understand this is FAA issue,Sat Aug 15 19:00:39 +0000 2015,en,0,False,0,False,,kentfuka,kentfuka
Line for @americanair customer service at DFW goes out of sight. ATC computer outage in DC. #joysoftravel,Sat Aug 15 18:21:02 +0000 2015,en,0,False,1,False,,kentfuka,kentfuka
. @uber u almost lost me b4 my 1st ride. AMEX 2X points offer popup kept hanging the iPhone app #ipersisted,Sat Aug 15 16:09:59 +0000 2015,en,0,False,2,False,,kentfuka,kentfuka
RT @GabeDuro: Views of Pluto Through the Years.. Amazing!! @NASA #PlutoFlyby #NewHorizons #Science #Space #NASA http://t.co/7LjUByTXQB,Wed Jul 15 20:59:46 +0000 2015,en,1,False,0,False,,kentfuka,kentfuka
"Can't wait to see what's coming today, and for the next 16 months. #plutoflyby #fb https://t.co/8U2EbDtcEQ",Wed Jul 15 14:07:01 +0000 2015,en,0,False,0,False,,kentfuka,kentfuka
RT @melindagates: .@NASANewHorizons flew by Pluto today. These incredible women made that possible: http://t.co/bXwRG7XwGg http://t.co/AHzF…,Wed Jul 15 00:50:51 +0000 2015,en,355,False,0,False,,kentfuka,kentfuka
"RT @CatherineQ: Observation: Light actually travels *really* slowly when you're waiting for it. 
#PlutoFlyby",Wed Jul 15 00:13:19 +0000 2015,en,37,False,0,False,,kentfuka,kentfuka
This #fb https://t.co/qBt4HRkGKb,Tue Jul 14 16:03:30 +0000 2015,en,0,False,1,False,,kentfuka,kentfuka
"8 hours to Pluto closest approach, then a 4.5 hour wait for the message to reach Earth #fb https://t.co/kS1yrLHKYU",Tue Jul 14 03:57:32 +0000 2015,en,0,False,1,False,,kentfuka,kentfuka
Agree about great service at @winkrestaurant in @EaterAustin: Austin's essential restaurants. http://t.co/kwhPaJAGfd,Sun Jul 12 16:28:48 +0000 2015,en,1,False,0,False,,kentfuka,kentfuka
RT @speelunk: Most minds process clues more efficiently than commands.,Sat Jul 04 15:25:59 +0000 2015,en,3,False,0,False,,kentfuka,kentfuka
RT @earthskyscience: New map confirms four Milky Way arms http://t.co/NvGmjENt1V http://t.co/jW6Ki3sGFr,Tue Jun 16 02:29:39 +0000 2015,en,79,False,0,False,,kentfuka,kentfuka
@Ristopher thanks for the tip.  Now we just need to hack it so we can do voice chat 👾,Sun Jun 07 16:46:14 +0000 2015,en,0,False,0,False,,kentfuka,kentfuka
@Ristopher mom seems to like it.  See's moving it into the living room while she works on her quilting machine.,Sun Jun 07 16:29:47 +0000 2015,en,0,False,0,False,,kentfuka,kentfuka
@Ristopher I just got an Echo. Do you have one?,Sun Jun 07 16:25:11 +0000 2015,en,0,False,0,False,,kentfuka,kentfuka
RT @SpaceflightNow: LightSail has checked in after going quiet a second time; solar sail deploy as soon as Sunday. http://t.co/bVzcRvnjfg h…,Sun Jun 07 03:14:15 +0000 2015,en,67,False,0,False,,kentfuka,kentfuka
RT @dan_greenstein: More Americans have dropped out of college than there are people in Canada. Let's change that: http://t.co/WREguZDpok h…,Thu Jun 04 22:58:16 +0000 2015,en,182,False,0,False,,kentfuka,kentfuka
"RT @CNyren: 1950s Company Schools like B&amp;H's @DeVry gave way to 1990s onsite Corp Training but w job tenures now 18 mos, we need new models…",Wed Jun 03 13:18:04 +0000 2015,en,1,False,0,False,,kentfuka,kentfuka
#tytonsummit @EdExcelencia's Sarita Brown: Education orgs should reflect quarterly on who they serve @tytonpartners,Mon Jun 01 21:42:12 +0000 2015,en,0,False,0,False,,kentfuka,kentfuka
"RT @mattgreenfield: @jakeschwartz : ""Empathy is what allows you to build great products.""  Rule 6: ""Keep getting better."" #tytonsummit",Mon Jun 01 21:38:57 +0000 2015,en,3,False,0,False,,kentfuka,kentfuka
#tytonsummit @EdExcelencia's Sarita Brown: Latinos will make up 30% of the K-12 student population by 2023 @tytonpartners,Mon Jun 01 21:04:02 +0000 2015,en,0,False,0,False,,kentfuka,kentfuka
#tytonsummit @smithsonian's Chris Liedel: Need education solutions to help 30M rural students @tytonpartners,Mon Jun 01 20:46:31 +0000 2015,en,0,False,1,False,,kentfuka,kentfuka
"Fascinating panel on Will ""Free"" Education Models Win? At #tytonsummit in NYC with @tytonpartners",Mon Jun 01 20:07:53 +0000 2015,en,0,False,1,False,,kentfuka,kentfuka
RT @Way_Things_Work: Mind blown - can't believe how accurate this is http://t.co/Lzzocf3VCV,Fri May 01 23:59:18 +0000 2015,en,9429,False,0,False,,kentfuka,kentfuka
@cntyson want @FitbitSupport in your last tweet?,Fri May 01 23:58:34 +0000 2015,en,0,False,0,False,,kentfuka,kentfuka
RT @whitesox: Bizarre. http://t.co/NucmM5dJYW,Wed Apr 29 19:16:29 +0000 2015,eu,503,False,0,False,,kentfuka,kentfuka
Thanks #Waze saved me 30 minutes on my commute today #fb,Tue Mar 24 12:54:40 +0000 2015,en,0,False,1,False,"{'type': 'Point', 'coordinates': [-97.79708463, 30.35331571]}",kentfuka,kentfuka
"Psyched for 2nites lecture by Michio Kaku, author of The Future of the Mind #michiokakuatx #paramount #austin",Tue Feb 24 01:43:25 +0000 2015,en,0,False,2,False,"{'type': 'Point', 'coordinates': [-97.74482275, 30.27180614]}",kentfuka,kentfuka
“@elnathan: Our thoughts are also with the measles-ravaged country America. I hope we are screening them before they come to Africa.” #fb,Sun Feb 01 23:04:47 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-97.83859499, 30.47407526]}",kentfuka,kentfuka
"RT @SwiftOnSecurity: Anti-vaxx people should be required to run Windows XP and IE6. They can outsmart viruses, right?",Sun Feb 01 23:00:28 +0000 2015,en,1109,False,0,False,,kentfuka,kentfuka
RT @AmericanEclipse: Faroe Islands are one of two landfalls for 20 March 2015 eclipse http://t.co/jQIz2l6cUw http://t.co/bT2g8rxejv,Sun Feb 01 00:11:00 +0000 2015,en,1,False,0,False,,kentfuka,kentfuka
So impressed! @mashable: This is the smallest chess program ever: http://t.co/VDxlrsy1a9 http://t.co/zZIeUmxYjd Just 487 bytes #fb,Sat Jan 31 23:08:27 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-97.83845253, 30.47432809]}",kentfuka,kentfuka
"RT @iClarified: Google Earth Pro is Now Free, Previously It Cost $399/Year [Download]... http://t.co/THRTvJ9ynD http://t.co/7QJwxGUsXE",Sat Jan 31 22:58:03 +0000 2015,en,31,False,0,False,,kentfuka,kentfuka
RT @MarsRovers: 11 Years and Counting: See the Opportunity rover's accomplishments so far on Mars http://t.co/gW7Ydq8etE http://t.co/hxv5ER…,Sat Jan 24 16:56:22 +0000 2015,en,1600,False,0,False,,kentfuka,kentfuka
"RIP “@AP_Sports: Roy Tarpley, drug-plagued former Mavericks center, dies at 50 http://t.co/0fR6aHSSBB #NBA” Thanks Roy. Sad. #fb",Sat Jan 10 16:27:14 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-97.83845802, 30.47420945]}",kentfuka,kentfuka
It's 9:10:11 12/13/14 my birthday #fb,Sat Dec 13 15:12:05 +0000 2014,en,0,False,1,False,"{'type': 'Point', 'coordinates': [-97.83850134, 30.47437368]}",kentfuka,kentfuka
RT @thecampusquad: Colleges realize a supportive change management team can help ensure a successful transition to a digital campus. http:/…,Thu Dec 11 14:22:29 +0000 2014,en,1,False,0,False,,kentfuka,kentfuka
"@united don't need lobby asst for me, just for the 100 people in line ahead of me. Amazed u can ever have an on time depart w/this system",Thu Dec 11 14:21:18 +0000 2014,en,0,False,0,False,,kentfuka,kentfuka
RT @habibkairouz: NYTimes: The Mergers and Acquisitions Cycle: Buy. Divide. Conquer. https://t.co/z8o8Q06MXf,Thu Dec 11 13:52:25 +0000 2014,en,1,False,0,False,,kentfuka,kentfuka
"RT @ljb2of3: ""@datachick: Today in 1972: the last time man walked on the moon."" That's just depressing.",Thu Dec 11 13:52:06 +0000 2014,en,1,False,0,False,,kentfuka,kentfuka
RT @OfficeofEdTech: Today! FCC to Vote on Big Funding Increase for E-Rate Program http://t.co/O9lnsXndSi #FutureReady #edtech,Thu Dec 11 13:49:00 +0000 2014,en,22,False,0,False,,kentfuka,kentfuka
The @united self-boarding scanners at @BostonLogan are the worst idea ever #seniorproof #badservice #nevermore #fb,Thu Dec 11 13:30:10 +0000 2014,en,1,False,0,False,"{'type': 'Point', 'coordinates': [-71.01786437, 42.36051032]}",kentfuka,kentfuka
RT @SpaceflightNow: Liftoff of the Delta 4 rocket with #Orion is now set for 7:17am EST (1217 GMT). Watch live: http://t.co/LDyZnN5HOS,Thu Dec 04 12:06:58 +0000 2014,en,92,False,0,False,,kentfuka,kentfuka
RT @ckaiserca: They land a robot on a comet and the news is all about Kim Kardashian's butt? I weep for the world.,Thu Nov 13 02:01:11 +0000 2014,en,4,False,0,False,,kentfuka,kentfuka
"If confirmed, this will be big news for #astrophysics:  http://t.co/7Rey0igPrq #fb",Mon Nov 10 17:11:22 +0000 2014,en,1,False,2,False,,kentfuka,kentfuka
RT @elearnindustry: The Importance of STEM in K12 Education Infographic http://t.co/Ov1mdTIvFb #OtherInfographics http://t.co/Pp4OYcr3WT,Mon Nov 10 03:59:26 +0000 2014,en,4,False,0,False,,kentfuka,kentfuka
.@QueriumCorp transforms education http://t.co/kJ1ryozVES #fb,Fri Oct 31 13:54:43 +0000 2014,en,0,False,2,False,,kentfuka,kentfuka
"RT @EdSurge: ""A computer lab filled with standardized test takers is a sterile, high stakes environment devoid of discovery and curiosity.""…",Sat Oct 25 03:08:27 +0000 2014,en,15,False,0,False,,kentfuka,kentfuka
RT @EclipseMaps: Every total solar eclipse of the 21st century. Learn more at http://t.co/Jw0OKSkja9 http://t.co/FJU2y6D53o,Fri Oct 10 03:04:49 +0000 2014,en,8,False,0,False,,kentfuka,kentfuka
Better ways to learn http://t.co/jNm9o8HuHw #fb,Thu Oct 09 14:52:00 +0000 2014,en,0,False,0,False,,kentfuka,kentfuka
Seth's Blog: Good at math http://t.co/dzrQTW9Hzu #fb,Wed Oct 08 13:34:40 +0000 2014,en,0,False,1,False,,kentfuka,kentfuka
@ColinLowryHQ @QueriumCorp @kentfuka howdy CL,Mon Oct 06 16:45:59 +0000 2014,en,0,False,1,False,,kentfuka,kentfuka
"RT @NewsFromSpace: #TISH 28Sep1858: George Bond takes the first-ever photograph of a #comet - (C/1858 L1, ""Donati's Comet"") http://t.co/svO…",Sun Sep 28 15:09:02 +0000 2014,en,1,False,0,False,,kentfuka,kentfuka
@m2jr Congrats on closing FLOODGATE 5,Tue Sep 02 13:42:11 +0000 2014,en,0,False,0,False,,kentfuka,kentfuka
The not-so-fun life of a college #adjunct instructor http://t.co/AHZc2Sg7FC,Mon Aug 25 18:55:40 +0000 2014,en,0,False,0,False,,kentfuka,kentfuka
RT @TheBigHurt_35: Congrats to JRW of Chicago!! What a Win for these kids!!,Sat Aug 23 22:31:58 +0000 2014,en,240,False,0,False,,kentfuka,kentfuka
"RT @LiveScience: How to tell if someone you love is considering suicide, and how you can help. RIP Robin Williams. http://t.co/k95zSBV4EV",Tue Aug 12 00:22:14 +0000 2014,en,190,False,0,False,,kentfuka,kentfuka
"Please vote for my AI-in-STEM-education proposal for #SXSWedu 2015

http://t.co/sHZ6AhSg3F",Mon Aug 11 20:43:03 +0000 2014,en,0,False,0,False,,kentfuka,kentfuka
"RT @b0yle: .@MarsCuriosity is told to ""have its scoop"" out, to catch dust from potentially spectacular Comet Siding Spring: http://t.co/3bx…",Thu Aug 07 15:14:09 +0000 2014,en,6,False,0,False,,kentfuka,kentfuka
Education M&amp;A remains strong in 2014: http://t.co/8ek5MB8cRQ,Wed Jul 30 14:22:50 +0000 2014,en,0,False,0,False,,kentfuka,kentfuka
RT @cntyson: Married today in a beautiful place and time! http://t.co/CYJvnvEIMa,Sun Jul 27 01:08:16 +0000 2014,en,1,False,0,False,,kentfuka,kentfuka
RT @RandyDGroves: How Teradici is changing the world http://t.co/w96dKPJa3y,Thu Jul 24 03:46:36 +0000 2014,en,1,False,0,False,,kentfuka,kentfuka
Happy Birthday @jack_jennings #tokenhashtag,Tue Jul 15 23:54:20 +0000 2014,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-97.83845867, 30.47404716]}",kentfuka,kentfuka
"""Think Twice Before You Publish Anything Online"" by @stockwellapril on @LinkedIn http://t.co/lBAwzhpG0e",Mon Jun 30 14:24:45 +0000 2014,en,0,False,0,False,,kentfuka,kentfuka
RIP @franktlyman of MyEdu. So sad to have lost you in an auto accident last weekend.,Tue Jun 24 18:52:25 +0000 2014,en,0,False,0,False,,kentfuka,kentfuka
"RT @EdSurge: According to data from the @edsurge jobs board, NYC and SF lead the way in #edtech jobs http://t.co/v1Oiwu6lL3 http://t.co/bO6…",Wed Jun 18 02:22:58 +0000 2014,en,8,False,0,False,,kentfuka,kentfuka
