Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@benhuh @msg yup. but better than needing cash.,Fri Apr 22 06:29:11 +0000 2016,en,0,False,0,False,,Kent Goldman,kentgoldman
@benhuh @msg agree. but what if you could automatically tip through the app based on your rating of the driver?,Fri Apr 22 06:26:35 +0000 2016,en,0,False,0,False,,Kent Goldman,kentgoldman
@rstephens can we keep the school lunch menus?,Fri Apr 22 05:17:34 +0000 2016,en,0,False,0,False,,Kent Goldman,kentgoldman
@wquist @rstephens @kcrw that's step 1 for better Bay Area radio,Fri Apr 22 05:14:33 +0000 2016,en,0,False,0,False,,Kent Goldman,kentgoldman
@chadbyers no. just no. ;-),Fri Apr 22 05:12:37 +0000 2016,en,0,False,1,False,,Kent Goldman,kentgoldman
"@rstephens @gregbettinelli can't lie, I've already lobbied a BoD member of SF public radio to turn over the keys to the @kcrw programmers",Fri Apr 22 05:10:24 +0000 2016,en,0,False,1,False,,Kent Goldman,kentgoldman
@gregbettinelli am now. thank you! @rstephens @kcrw,Fri Apr 22 05:02:19 +0000 2016,en,0,False,1,False,,Kent Goldman,kentgoldman
Anyone else ever download an app solely so they would stop getting invites to download the app?,Fri Apr 22 04:59:04 +0000 2016,en,2,False,5,False,,Kent Goldman,kentgoldman
"@rstephens fwiw, I happily listen to (and give to) @kcrw more than any bay area station",Fri Apr 22 04:57:05 +0000 2016,en,0,False,2,False,,Kent Goldman,kentgoldman
RT @KieranSnyder: Frontend eng is critically important for us. @textio is changing the way people write. Come talk to me! ! https://t.co/q2…,Thu Apr 21 06:06:27 +0000 2016,en,9,False,0,False,,Kent Goldman,kentgoldman
"""The only thing you are protecting is image and ego and in the long run they absolutely do not matter."" - @bgurley https://t.co/2Qc9A7XwO9",Thu Apr 21 05:02:27 +0000 2016,en,1,False,13,False,,Kent Goldman,kentgoldman
