Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"Prince made his own road. "" 'Cuz in this life things are much harder than in the afterworld. In this life you're on your own.""",Thu Apr 21 22:23:37 +0000 2016,en,0,False,1,False,,lance,lance
Baby got stack. @callrail's video for @marketo StackMaster entry. https://t.co/kF95k5n0aV All credit to @i_am_coleman &amp; @ericahawkinsatl,Thu Apr 21 15:20:08 +0000 2016,en,3,False,4,False,,lance,lance
It's good to be in good company. https://t.co/PhN2sGO8dV,Thu Apr 21 15:00:05 +0000 2016,en,1,False,1,False,,lance,lance
Picture day @callrail. https://t.co/xjL3G1c2WU,Tue Apr 19 15:29:07 +0000 2016,en,0,False,1,False,,lance,lance
"RT @randfish: Interesting to see what general public thinks are Google's ranking factors
(via https://t.co/vLnHVLhz2v) https://t.co/OHyoQXx…",Sun Apr 17 20:19:07 +0000 2016,en,156,False,0,False,,lance,lance
RT @gtryan: Submitted without comment. From our client ppc email account cc: @justinkronz @lance @apowellgt @whoisvince https://t.co/OVQZDY…,Fri Apr 15 20:17:55 +0000 2016,en,2,False,0,False,,lance,lance
@johnsonandrew35 @Katiee_Hair @IronCharlie_  I think you are correct.,Wed Apr 13 01:13:41 +0000 2016,en,1,False,2,False,,lance,lance
#MarTech FTW! @callrail would love to be a part of @dgmcamp.,Mon Apr 11 19:44:45 +0000 2016,en,0,False,1,False,,lance,lance
"RT @dgmcamp: https://t.co/2QDtg83OyF ""Marketing technology is certainly huge."" - @lance VP Sales &amp; Marketing @CallRail #martech https://t.c…",Sun Apr 10 18:35:54 +0000 2016,en,3,False,0,False,,lance,lance
@Xactly Or put another way we grind and are proud of it.,Thu Mar 31 02:57:01 +0000 2016,en,0,False,0,False,,lance,lance
@Xactly We are non gong. Close so many accounts a day it is just business and move on to the next peak.,Thu Mar 31 02:56:24 +0000 2016,en,0,False,0,False,,lance,lance
In a place where sales people think I am a marketing guy and marketers think I am a sales guy. Sticking with my story. I am a business guy.,Tue Mar 29 02:19:20 +0000 2016,en,0,False,12,False,,lance,lance
"RT @bgurley: If you are asked a numeric question, never respond with only words and letters.",Tue Mar 29 02:15:52 +0000 2016,en,55,False,0,False,,lance,lance
"@nawlready thanks for letting us know Steve, we will get that fixed pronto.",Sat Mar 26 21:17:55 +0000 2016,en,0,False,0,False,,lance,lance
Nice spot on @apsupdate lacrosse featuring @Grady_Knights women's team. #youvecomealongway.,Thu Mar 17 03:37:55 +0000 2016,en,1,False,2,False,,lance,lance
RT @CallRail: Look who's a finalist for @marketo's Stack Master Award! https://t.co/BSiPEZkB4a #martech https://t.co/BsXB5yiTEE,Tue Mar 15 21:47:16 +0000 2016,en,4,False,0,False,,lance,lance
Wish @StephCurryNBA was playing right now.,Fri Mar 04 03:17:24 +0000 2016,en,0,False,2,False,,lance,lance
"@DomenicoNPR @kairyssdal Not true, I have been asked by reporters to go off the record or on background more times than I can count.",Fri Mar 04 02:49:06 +0000 2016,en,0,False,2,False,,lance,lance
The most interesting thing about the #gopdebate is Ms. White.,Fri Mar 04 02:36:42 +0000 2016,en,0,False,1,False,,lance,lance
Nice motivational speech by @tomcrean. https://t.co/TzbDuRbqvq,Wed Mar 02 14:13:36 +0000 2016,en,0,False,1,False,,lance,lance
My only mode of transportation for the last six days. https://t.co/JpZXDmMQKl,Wed Mar 02 04:23:47 +0000 2016,en,0,False,3,False,,lance,lance
Not getting my vote on SEC day but amused about how crude and vulgar people are when describing how crude &amp; vulgar @realDonaldTrump behaves.,Tue Mar 01 00:53:06 +0000 2016,en,0,False,1,False,,lance,lance
Very nice. I must say I loved the sound of a dial up modem. The sound of money. https://t.co/q87KXYvtIM,Mon Feb 29 21:51:04 +0000 2016,en,0,False,0,False,,lance,lance
"@rjurney @rkischuk @JoshWatts to quote @rjurney ""that is what welfare is for""",Mon Feb 29 21:48:16 +0000 2016,en,0,False,0,False,,lance,lance
@rjurney @rkischuk @JoshWatts The first half is what the CBO studies show.,Mon Feb 29 21:46:47 +0000 2016,en,0,False,0,False,,lance,lance
