Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @GOPLeader: Great mtg with @ZacBookman to discuss how tech can build a more efficient &amp; accountable govt for the public https://t.co/fqj…,Wed Apr 20 05:21:59 +0000 2016,en,10,False,0,False,,Laurene Powell,laurenepowell
"RT @wennmachers: Thanks to @kenauletta for a thoughtful obit: Postscript: Bill Campbell, 1940-2016 - The New Yorker https://t.co/SBNqFd7bWP",Wed Apr 20 05:01:00 +0000 2016,en,27,False,0,False,,Laurene Powell,laurenepowell
"We are a nation of immigrants. I'm proud to stand beside all who #FightForFamilies, encouraging SCOTUS to affirm @POTUS actions.",Tue Apr 19 21:27:49 +0000 2016,en,31,False,79,False,,Laurene Powell,laurenepowell
"Anti-immigrant rhetoric in this election is causing fear in our children, emboldening bullies. It's time to end it. https://t.co/asEJ4QIgWU",Tue Apr 19 21:25:42 +0000 2016,en,72,False,94,False,,Laurene Powell,laurenepowell
RT @peterlattman: Immigration case at Scotus tomorrow should be a layup -- Texas and other states have no standing. Erwin Chemerinsky: http…,Mon Apr 18 01:22:05 +0000 2016,en,1,False,0,False,,Laurene Powell,laurenepowell
"RT @FrankSharry: Brilliant explainer by @DLind: U.S. v. Texas, the biggest immigration case in a century, explained https://t.co/DbjJGkzd5G…",Sun Apr 17 23:30:04 +0000 2016,en,33,False,0,False,,Laurene Powell,laurenepowell
Great stuff: this educator and Nobel Laureate is focused on revolutionizing teaching in higher Ed. https://t.co/R7UoEqNePJ,Fri Apr 15 23:14:14 +0000 2016,en,14,False,33,False,,Laurene Powell,laurenepowell
"Wow, @NateParker.
https://t.co/tyUPUxl5Nc",Fri Apr 15 23:01:27 +0000 2016,und,6,False,21,False,,Laurene Powell,laurenepowell
"What an incredible opportunity @Lin_Manuel gave these students, and what powerful learning ensued. https://t.co/6zbZqQDsjB",Thu Apr 14 17:55:13 +0000 2016,en,12,False,42,False,,Laurene Powell,laurenepowell
True leadership inspires cooperation. Proud of @ParkerICI 's dedication to uniting research to #outsmartcancer.  https://t.co/nl0MfSsWnx,Wed Apr 13 21:51:05 +0000 2016,en,13,False,51,False,,Laurene Powell,laurenepowell
"I didn't think it was possible for me to be a bigger @Springsteen fan...then this happened.
 https://t.co/EybteSHugk",Fri Apr 08 22:36:46 +0000 2016,en,59,False,156,False,,Laurene Powell,laurenepowell
"Thank you to all of the XQ teams who honored us with your ideas, and congratulations to those moving forward! https://t.co/qYNWpY9we2",Fri Apr 08 22:04:31 +0000 2016,en,25,False,65,False,,Laurene Powell,laurenepowell
RT @sliccardo: It’s not often you hear about a 15-year-old working @Cisco. Meet Mayra https://t.co/zXHiovt6Nk @EmCollective @CristoRey #WeA…,Fri Apr 08 15:17:30 +0000 2016,en,13,False,0,False,,Laurene Powell,laurenepowell
"Disappointed in this, @JerryBrownGov. Our students deserve so much better.
https://t.co/whm8KyxsFx",Fri Apr 08 02:37:23 +0000 2016,en,173,False,24,False,,Laurene Powell,laurenepowell
"RT @DonaghyAaron: If we are to unleash the full potential of our students, we must bring out the full potential of our teachers! #XQEdChat",Fri Apr 08 02:13:32 +0000 2016,en,7,False,0,False,,Laurene Powell,laurenepowell
"“No man is an island, 
Entire of itself, 
Every man is a piece of the continent, 
A part of the main.” –John Donne https://t.co/AaJ9e12QP7",Wed Apr 06 07:30:38 +0000 2016,en,32,False,64,False,,Laurene Powell,laurenepowell
Promoting peace https://t.co/XqY6w8ImD4,Wed Apr 06 02:39:02 +0000 2016,en,164,False,29,False,,Laurene Powell,laurenepowell
RT @jack: Insane 🏀 #NationalChampionship  https://t.co/e9tBngwdqJ,Tue Apr 05 03:47:19 +0000 2016,tr,121,False,0,False,,Laurene Powell,laurenepowell
"We loved our talk with a group of women who will change the world. Thanks for having us, #ycfemalefounders. 
 https://t.co/PlIjg80oNE",Tue Apr 05 02:13:26 +0000 2016,en,21,False,91,False,,Laurene Powell,laurenepowell
