Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Great connecting with @HarvardHBS alum in Chicago tonight... https://t.co/7PdVlpX2DH,Tue Apr 19 00:13:10 +0000 2016,en,0,False,1,False,,Eric Lefkofsky,lefkofsky
RT @Uptake: The Internet of Things is transforming the way industry does business. Join @NpappaG for a webinar tomorrow at 1 pm: https://t.…,Thu Apr 14 13:20:30 +0000 2016,en,2,False,0,False,,Eric Lefkofsky,lefkofsky
We could all use a little homework - https://t.co/VvyiCasaVv,Wed Apr 13 18:25:22 +0000 2016,en,0,False,2,False,,Eric Lefkofsky,lefkofsky
@ChicagoInno @UMich #goblue,Tue Apr 12 20:00:30 +0000 2016,und,0,False,2,False,,Eric Lefkofsky,lefkofsky
Students May Have Figured Out How To Rid The Great Lakes Of #Microbeads - https://t.co/uz2CAFnkMI,Tue Apr 12 18:42:47 +0000 2016,en,0,False,1,False,,Eric Lefkofsky,lefkofsky
bravo to the boss... https://t.co/QWpf7eokCX,Mon Apr 11 16:05:51 +0000 2016,en,0,False,2,False,,Eric Lefkofsky,lefkofsky
#cancer drugs that don't make you sick… https://t.co/2vaG9Rtuen @unistgov,Fri Apr 08 17:20:42 +0000 2016,en,1,False,2,False,,Eric Lefkofsky,lefkofsky
#throwback my first office at @INWK_Inc https://t.co/Lz0s5BdD3c,Thu Apr 07 16:47:01 +0000 2016,en,0,False,3,False,,Eric Lefkofsky,lefkofsky
What an incredible organization:  https://t.co/rjmBdYQ0n8 https://t.co/G4vDofzumz,Mon Mar 28 17:12:40 +0000 2016,en,0,False,1,False,,Eric Lefkofsky,lefkofsky
Lunch with a friend - https://t.co/iHqB7cYAqR,Thu Mar 17 21:00:02 +0000 2016,en,0,False,3,False,,Eric Lefkofsky,lefkofsky
Hoover Dam 2016 - https://t.co/N6lUALEBo6,Tue Mar 01 14:19:33 +0000 2016,en,1,False,5,False,,Eric Lefkofsky,lefkofsky
"Realizing a dream of a more just and peaceful world - 
https://t.co/hjZMLNzmSd",Mon Feb 22 22:05:00 +0000 2016,en,0,False,5,False,,Eric Lefkofsky,lefkofsky
The Milky Way - https://t.co/9v7BJrd44o,Fri Feb 12 22:15:00 +0000 2016,en,0,False,4,False,,Eric Lefkofsky,lefkofsky
A voice for children in South Asia - https://t.co/bmRbMvsG2h,Fri Feb 05 22:51:00 +0000 2016,en,1,False,5,False,,Eric Lefkofsky,lefkofsky
It's unfair - https://t.co/rMcAYIjTle,Tue Feb 02 00:00:01 +0000 2016,en,0,False,17,False,,Eric Lefkofsky,lefkofsky
Newtown documentary debuted at Sundance Film Festival: https://t.co/qppjbmlEpM,Tue Jan 26 22:30:02 +0000 2016,en,0,False,5,False,,Eric Lefkofsky,lefkofsky
When the going gets tough - https://t.co/XfI8E5wEjh,Tue Jan 12 22:00:05 +0000 2016,en,1,False,9,False,,Eric Lefkofsky,lefkofsky
To the Union - https://t.co/N6Ox6xPlyF,Mon Dec 28 14:00:07 +0000 2015,en,2,False,5,False,,Eric Lefkofsky,lefkofsky
Within reach - https://t.co/YAUbunofPO,Fri Dec 04 21:10:00 +0000 2015,en,0,False,5,False,,Eric Lefkofsky,lefkofsky
Interesting research at Johns Hopkins - https://t.co/W9cYS31STO,Mon Nov 30 22:30:00 +0000 2015,en,0,False,2,False,,Eric Lefkofsky,lefkofsky
