Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @wikichen: ok @BeOmni is a good idea w/ even better execution look at my digitized stuff 👀 (referral: https://t.co/Wq6ZCEZ48l) https://t…,Tue Apr 19 01:41:13 +0000 2016,en,4,False,0,False,,Jeff Lunsford,lunk18
"@geteero and @Sonos you are both awesome but should mate / Offspring = combo wifi speaker + mesh rtr. If you don't, someone else will..",Wed Apr 13 17:40:36 +0000 2016,en,0,False,0,False,,Jeff Lunsford,lunk18
"RT @dickc: As good weeks go, @elonmusk's is right up there.",Sat Apr 09 01:42:02 +0000 2016,en,82,False,0,False,,Jeff Lunsford,lunk18
RT @PraesidioInc: Why was Praesidio ranked in the Top 20 for Banking Technology Solution Providers by @cioreview? Visit https://t.co/OYNrob…,Fri Apr 08 22:06:38 +0000 2016,en,2,False,0,False,,Jeff Lunsford,lunk18
"SpaceX Sticks a Rocket Landing at Sea in Historic First https://t.co/XT9k6jeWB7 via @sharethis

#AWESOME",Fri Apr 08 22:05:12 +0000 2016,en,0,False,1,False,,Jeff Lunsford,lunk18
RT @jaycalavas: Great day at @Tealium University in New York! Here's when we'll be near you: https://t.co/kjBovBPB0n #tagmanagement https:/…,Thu Apr 07 22:37:00 +0000 2016,en,2,False,0,False,,Jeff Lunsford,lunk18
New @Snapchat update is future of comms. Why would anyone in wifi or cel data zone ever make a normal phone call? Younger kids may never...,Thu Mar 31 02:40:46 +0000 2016,en,1,False,2,False,,Jeff Lunsford,lunk18
RT @tealium: Happy Easter from everyone at Tealium. Enjoy the long weekend. #happyholidays #happyeaster #marketingbeast #weekend https://t.…,Fri Mar 25 16:42:30 +0000 2016,en,1,False,0,False,,Jeff Lunsford,lunk18
RT @tealium: Looking forward to #TealiumU tomorrow in San Francisco. Find out when we'll be near you. @TealiumEDU https://t.co/sa3D3BixsY,Thu Mar 24 01:05:11 +0000 2016,en,1,False,0,False,,Jeff Lunsford,lunk18
RT @tealium: Thanks to all who came to our partner party last night. Stop by Booth #101 today to continue the convo. #Martech https://t.co/…,Tue Mar 22 23:15:45 +0000 2016,en,1,False,0,False,,Jeff Lunsford,lunk18
RT @tealium: Team Tealium is at #Domopalooza. Stop by Booth 6 and learn how to power a unified customer view. #DP16 https://t.co/ui6dX0GpoW,Tue Mar 22 23:15:25 +0000 2016,en,2,False,0,False,,Jeff Lunsford,lunk18
RT @ncino: Congrats to @LiveOakBank named The Best Employer in NC in the large company category by @BusinessNC!,Fri Mar 04 01:36:02 +0000 2016,en,5,False,0,False,,Jeff Lunsford,lunk18
RT @AwardsDarwin: When nature fights back. https://t.co/6P1C7myQpK,Sat Feb 27 02:09:01 +0000 2016,en,867,False,0,False,,Jeff Lunsford,lunk18
RT @scienmag: This image is from 1956: A 5 megabyte IBM hard drive is loaded into an airplane. It weighed over a 1000kg https://t.co/IhGP74…,Sat Feb 27 02:02:59 +0000 2016,en,119,False,0,False,,Jeff Lunsford,lunk18
RT @tealium: Registration is now open for Digital Velocity Europe 2016 - Get your place now https://t.co/YpZYzeu3gg #dveu #events https://t…,Fri Feb 26 00:31:51 +0000 2016,en,6,False,0,False,,Jeff Lunsford,lunk18
"@msuster @bdstolle It's an Advantage, not a Disorder. Diagnoses correct-but name wrong. Let's erase stigma &amp; stop trying to tame a strength!",Mon Feb 22 23:39:21 +0000 2016,en,2,False,5,False,,Jeff Lunsford,lunk18
RT @LiveOakBank: It's Official: Live Oak Expands Loan Program https://t.co/skEBDJzJKb,Mon Feb 22 03:03:30 +0000 2016,en,7,False,0,False,,Jeff Lunsford,lunk18
RT @bdeeter: This is what opportunity looks like. Great chart from @dspitz and @PacCrestSec Multiples off 66% from peak 2 yrs ago https://t…,Fri Feb 12 04:26:00 +0000 2016,en,15,False,0,False,,Jeff Lunsford,lunk18
Unicorns DO EXIST.  #unicorn @PowderbirdHeli https://t.co/OqHTf9EuVu,Tue Feb 09 20:28:25 +0000 2016,en,0,False,0,False,,Jeff Lunsford,lunk18
https://t.co/vpUKN5c4yo Great job by the @tealium team last year!  #GOTEAL,Thu Feb 04 14:43:41 +0000 2016,en,2,False,0,False,,Jeff Lunsford,lunk18
"@tealium - Software so good, our clients send us a Kegerator!  Thank you @LivingDirect !!! https://t.co/lGCRScpTgr",Thu Jan 28 01:14:40 +0000 2016,en,2,False,5,False,,Jeff Lunsford,lunk18
"@tealium - Software so good, our clients send us a kegerator!  Thank you @LivingDirect !!! #GOTEAL",Thu Jan 28 01:12:17 +0000 2016,en,0,False,1,False,,Jeff Lunsford,lunk18
"RT @tealium: The benefits of assembling your own marketing stacks outweigh using a single vendor, accdg to @chiefmartec #byocloud https://t…",Sat Jan 23 20:41:21 +0000 2016,en,1,False,0,False,,Jeff Lunsford,lunk18
"RT @PraesidioInc: Be in the know- don't miss this free webinar on SIEM, Logging, and the FFIEC. https://t.co/sOrPOlQeYP https://t.co/q0Jl5B…",Sat Jan 23 20:41:16 +0000 2016,en,2,False,0,False,,Jeff Lunsford,lunk18
