Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@mrcs @shabihr @JShoee ABR - always be recruiting! :) and yes @JShoee is the best for sure!,Sat Apr 23 04:25:55 +0000 2016,en,1,False,2,False,,michael abbott,mabb0tt
"RT @jasonlk: Cr*p happens and relationships change.  Be up front.

But someone that throws you under a bus once will do it next time, too.",Sat Apr 23 03:57:08 +0000 2016,en,35,False,0,False,,michael abbott,mabb0tt
RT @ScottRElliott: Please consider signing this petition on Earth Day... #KeepItPublic https://t.co/P6h8U0rw0Y,Fri Apr 22 18:44:30 +0000 2016,en,1,False,0,False,,michael abbott,mabb0tt
"RT @mhelft: Google CEO @sundarpichai pays tribute to Bill Campbell: He had a very big impact on our company, made us all smile https://t.co…",Thu Apr 21 21:34:18 +0000 2016,en,36,False,0,False,,michael abbott,mabb0tt
"RT @CurrentBiology: NEW! When we #sleep in a new place, one half of our brain stays awake &amp; keeps a #nightwatch https://t.co/WoPiaVacQY htt…",Thu Apr 21 20:29:58 +0000 2016,en,40,False,0,False,,michael abbott,mabb0tt
"RT @sacca: A great live Q&amp;A with my good friend, and the the nation's first ever Chief Digital Officer, @Goldman44.  https://t.co/1bJhbG2o2t",Thu Apr 21 16:29:41 +0000 2016,en,6,False,0,False,,michael abbott,mabb0tt
RT @jimkchin: _felipecamargo_ going into beast mode on one of the most incredible routes I've ever seen. Nice… https://t.co/8QazNiE9ck,Thu Apr 21 15:34:17 +0000 2016,en,6,False,0,False,,michael abbott,mabb0tt
"awesome tribute to my friend, bill. thank you @apple!  https://t.co/gQV63RbroD",Wed Apr 20 03:59:06 +0000 2016,en,2,False,26,False,,michael abbott,mabb0tt
RT @KevinRHarvey: Bill was a titan and there will never be another like him. To say he will be missed does no justice to his incredible leg…,Tue Apr 19 04:29:14 +0000 2016,en,6,False,0,False,,michael abbott,mabb0tt
@slobotski wow - thanks jeff! super kind of you…but i still have plenty to learn. hope you are well!,Mon Apr 18 18:00:30 +0000 2016,en,0,False,0,False,,michael abbott,mabb0tt
"@stgarrity a massive loss…on so many levels.  his smiles, bear hugs and use of f-bombs were one of a kind. he truly cared about people.",Mon Apr 18 17:04:13 +0000 2016,en,0,False,2,False,,michael abbott,mabb0tt
deeply saddened by the loss of my good friend bill campbell…he made an incredible impact on my life on all fronts. #thankyoucoach,Mon Apr 18 16:25:54 +0000 2016,en,1,False,35,False,,michael abbott,mabb0tt
RT @GPUComputing: Great work! @NIH is using #deeplearning to automatically classify diseases in chest x-rays. https://t.co/zkBMTYTS6X https…,Thu Apr 14 20:12:58 +0000 2016,en,92,False,0,False,,michael abbott,mabb0tt
RT @StephenCurry30: Promise to all the Warrior fans...we will figure this thing out...if it's the last thing we do we will figure it out,Thu Apr 14 04:44:57 +0000 2016,en,22633,False,0,False,,michael abbott,mabb0tt
"RT @AUVSIshow: Hear from @Cisco's John Chambers at #auvsiXPO, industry vet well-versed in rapid growth &amp; federal trade initiatives https://…",Tue Apr 12 18:50:08 +0000 2016,en,5,False,0,False,,michael abbott,mabb0tt
RT @ClearStoryData: ClearStory Ranked within Top 5 Vendors across Critical Capabilities in Gartner BI &amp; Analytics Platforms Report  - https…,Tue Apr 12 18:18:00 +0000 2016,en,1,False,0,False,,michael abbott,mabb0tt
Betaworks’ botcamp wants to give 10 chatbot startups $200k https://t.co/DWleKNoRdx via @techcrunch - looking forward to being involved!!,Mon Apr 11 19:18:21 +0000 2016,en,0,False,4,False,,michael abbott,mabb0tt
RT @johnmaeda: “Always remember that a smile and a very specific compliment can make someone’s day.” —Bing Gordon @bingfish https://t.co/WH…,Mon Apr 11 19:16:39 +0000 2016,en,20,False,0,False,,michael abbott,mabb0tt
RT @SportsCenter: Steve Kerr knows how to win. He is now the only member of both 72-win teams in NBA history. https://t.co/yxIAqEbEkB,Mon Apr 11 01:32:10 +0000 2016,en,16781,False,0,False,,michael abbott,mabb0tt
RT @geekygirlsarah: Today's 2²/2³/2⁴ if you didn't know.,Sat Apr 09 04:15:01 +0000 2016,en,1915,False,0,False,,michael abbott,mabb0tt
RT @ow: The moment @spacex stuck the barge landing. https://t.co/LgRA4IuH8q,Fri Apr 08 21:11:33 +0000 2016,en,1974,False,0,False,,michael abbott,mabb0tt
RT @jimkchin: To summit or not to summit? Great piece on risk:  https://t.co/C1xodgyqYq,Fri Apr 08 17:08:11 +0000 2016,en,7,False,0,False,,michael abbott,mabb0tt
RT @rypan: Excited to share stories and lessons from the experience. See you soon Boston! #DisruptingBureaucracy https://t.co/z3R0PMAqnn,Thu Apr 07 15:33:53 +0000 2016,en,8,False,0,False,,michael abbott,mabb0tt
"RT @ProductHuntLIVE: Sign up to Join our LIVE 🎥 with @shl, founder and CEO @gumroad, TMRW @ 10am PT: https://t.co/SbOV2bUKCQ https://t.co/0…",Thu Apr 07 02:58:26 +0000 2016,en,2,False,0,False,,michael abbott,mabb0tt
"RT @specializedtype: A tool to help you explore the magic of Silicon Valley https://t.co/4DUMXCQ4RL, and more importantly why: https://t.co…",Tue Apr 05 21:58:57 +0000 2016,en,34,False,0,False,,michael abbott,mabb0tt
RT @kingmatusevich: Have you guys tried @buddybuild yet? If you are doing mobile development it’s really a whole other world.,Sun Apr 03 23:41:20 +0000 2016,en,3,False,0,False,,michael abbott,mabb0tt
RT @linuxfoundation: Here's how containers become the next Linux package manager: https://t.co/wdYfnfQPNS  via CoreOS CTO @BrandonPhilips h…,Fri Apr 01 23:39:01 +0000 2016,en,80,False,0,False,,michael abbott,mabb0tt
"@stevesi same…apple ][+: games, breaking copy protection to share games, beagle bros and bank street writer oh yea and programming",Fri Apr 01 23:32:12 +0000 2016,en,0,False,2,False,,michael abbott,mabb0tt
RT @CarliLloyd: Historic moment. Proud of the strength of this team. #fighting #equalplayequalpay https://t.co/JnAbyL8bm8,Fri Apr 01 03:01:54 +0000 2016,en,3901,False,0,False,,michael abbott,mabb0tt
RT @ashajadeja325: reflections: Rajeev Motwani: Interview 2002 https://t.co/mPlyukxl0W,Fri Apr 01 00:34:27 +0000 2016,pl,2,False,0,False,,michael abbott,mabb0tt
RT @iconventures: CloudPhysics dominates 2015 and shows no sign of slowing down!  @cloudphysics #ITOA #cloud #datascience #bigdata  https:/…,Thu Mar 31 21:52:11 +0000 2016,en,2,False,0,False,,michael abbott,mabb0tt
RT @SAI: Drone company Airware raises $30 million and adds Cisco's John Chambers to its board $CSCO https://t.co/JFQICfEo8F https://t.co/rY…,Thu Mar 31 20:56:29 +0000 2016,en,33,False,0,False,,michael abbott,mabb0tt
RT @jbdowney83: 1/ Announcing a few big milestones for Airware today! Read my full blog here: https://t.co/iCTU79103a,Thu Mar 31 20:52:10 +0000 2016,en,5,False,0,False,,michael abbott,mabb0tt
RT @jbdowney83: 2016 is going to be a big year for commercial drones. The biggest yet. https://t.co/iCTU79103a,Thu Mar 31 17:28:52 +0000 2016,en,30,False,0,False,,michael abbott,mabb0tt
excited to see commercial drones revolutionize industries!proud to be helping it along with @airware! https://t.co/TYj5QPdH9B cc:@jbdowney83,Thu Mar 31 17:28:26 +0000 2016,en,13,False,21,False,,michael abbott,mabb0tt
RT @jbdowney83: Thanks to @SquawkCNBC and @jonfortt for having John Chambers and I on the show! https://t.co/DclTQrjz0J,Thu Mar 31 17:16:52 +0000 2016,en,4,False,0,False,,michael abbott,mabb0tt
RT @airware: You can hear how State Farm plans to use commercial drones to help customers in our latest Aerial Insights episode: https://t.…,Thu Mar 31 16:09:22 +0000 2016,en,13,False,0,False,,michael abbott,mabb0tt
RT @jbdowney83: Sounds like SF media got wind of our expansion plans at @airware  - https://t.co/IFb0dYoeiC,Thu Mar 31 02:52:56 +0000 2016,en,5,False,0,False,,michael abbott,mabb0tt
RT @shl: Tired of my tweets? Listen to me talk about our values and how we use them to build a better product/team/company: https://t.co/lT…,Tue Mar 29 00:26:10 +0000 2016,en,5,False,0,False,,michael abbott,mabb0tt
.@boblord great article on your collection of encryption machines!  https://t.co/j8SKMbGdhA via @thisisfusion,Sat Mar 26 23:12:08 +0000 2016,en,3,False,12,False,,michael abbott,mabb0tt
RT @airware: How do you make #utilities inspections safer? @Airware’s infographic explains: https://t.co/MyaBZ7syhj,Sat Mar 26 02:54:19 +0000 2016,en,31,False,0,False,,michael abbott,mabb0tt
"‘and remember, no matter where you go, there you are.’ -confucius",Wed Mar 23 04:11:04 +0000 2016,en,4,False,17,False,,michael abbott,mabb0tt
RT @cloudphysics: CloudPhysics makes CRN's 2016 Virtualization 50! https://t.co/q5WyDYC0WO #ITOA #ITanalytics,Wed Mar 23 01:27:30 +0000 2016,en,4,False,0,False,,michael abbott,mabb0tt
"RT @tfadell: Execution, execution, execution. Words to live by. An inspiration. Legendary Intel CEO Andy Grove is dead https://t.co/cWjQg24…",Tue Mar 22 02:41:43 +0000 2016,en,68,False,0,False,,michael abbott,mabb0tt
"RT @johndoerr: 3/ Andy Grove shared his greatest joy is family and being a grandfather.  We're grateful for his life, and sorry for their l…",Tue Mar 22 02:37:36 +0000 2016,en,46,False,0,False,,michael abbott,mabb0tt
"RT @johndoerr: 2/ Andy Grove was a towering leader, mentor, and educator.  He was ruthlessly, intellectually honest.  And rightly proud of …",Tue Mar 22 02:37:28 +0000 2016,en,101,False,0,False,,michael abbott,mabb0tt
"RT @johndoerr: 1/ Last night Silicon Valley (and the world) lost a titan and freedom fighter.  Andy Grove lived the maxim ""execution is eve…",Tue Mar 22 02:36:59 +0000 2016,en,182,False,0,False,,michael abbott,mabb0tt
happy 10th birthday @twitter! proud and thankful to have worked with so many great people there! #LoveTwitter,Mon Mar 21 23:29:19 +0000 2016,en,1,False,30,False,,michael abbott,mabb0tt
"RT @JoinTheFlock: Thank you past, current and future employees for building a platform that has shaped the world. #LoveTwitter https://t.co…",Mon Mar 21 16:48:13 +0000 2016,en,99,False,0,False,,michael abbott,mabb0tt
"RT @twitter: Starting in 🇦🇺 on 3/21 and moving across the 🌍, we thank you for 10 incredible years. 

Love, Twitter

#LoveTwitter
https://t.…",Mon Mar 21 01:02:30 +0000 2016,en,118873,False,0,False,,michael abbott,mabb0tt
RT @DaliaHatuqa: What a picture: Air Force One over Havana. Good one by @Reuters https://t.co/V7QWz4iGDE,Mon Mar 21 01:00:15 +0000 2016,en,5568,False,0,False,,michael abbott,mabb0tt
RT @squarecog: Some thought gardening for your weekend reading pleasure: “Three characteristics of great managers” https://t.co/L0aoYTt8Kz,Sun Mar 20 19:03:13 +0000 2016,en,35,False,0,False,,michael abbott,mabb0tt
‘nature will always find a way to make you feel small’ - certainly true from my experiences,Sat Mar 19 02:10:43 +0000 2016,en,1,False,21,False,,michael abbott,mabb0tt
RT @johnmaeda: The 2016 #DesignInTech Report is now live https://t.co/7M31euYl1u -- thank you to the many who have made it happen. https://…,Wed Mar 16 15:04:33 +0000 2016,en,187,False,0,False,,michael abbott,mabb0tt
RT @utollwi: CoreOS Adopts Security-Centric Approach to Containers https://t.co/E4CAsgOsY6 via @containerblog,Wed Mar 16 14:12:03 +0000 2016,en,5,False,0,False,,michael abbott,mabb0tt
RT @kpcb: Check this out! #cvpr2016 cc: @mabb0tt  https://t.co/NOR2Up8Zt1,Thu Mar 10 03:54:24 +0000 2016,en,5,False,0,False,,michael abbott,mabb0tt
a great conf on computer vision assembled by great folks like fei-fei!! https://t.co/75QjFer57r,Thu Mar 10 03:29:59 +0000 2016,en,0,False,2,False,,michael abbott,mabb0tt
@WBSJMonica sure - open to learning more,Thu Mar 10 01:54:15 +0000 2016,en,0,False,1,False,,michael abbott,mabb0tt
RT @drfeifei: 200 projects in our @cs231n deep learning for visual recognition class! Come check it out! https://t.co/kOuTLKQ24H,Tue Mar 08 05:49:36 +0000 2016,en,5,False,0,False,,michael abbott,mabb0tt
"RT @roelofbotha: ""Ambitious startups share certain qualities. Their names, for ex, tend to be shorter and are less likely to include the fo…",Mon Mar 07 02:28:29 +0000 2016,en,22,False,0,False,,michael abbott,mabb0tt
"RT @nancyduarte: Great learners are comfortable with being a beginner, over and over again. https://t.co/4a6bk225sR @erikaandersen on @Harv…",Sat Mar 05 00:19:09 +0000 2016,en,26,False,0,False,,michael abbott,mabb0tt
"RT @HaikuD2: Doing what is right •
Instead of what is easy •
That's integrity
  —@JandLMarketing #haiku",Wed Mar 02 17:53:44 +0000 2016,en,6,False,0,False,,michael abbott,mabb0tt
Analysis of 671M push notifications shows mobile marketing’s potential has barely been tapped https://t.co/YBqz90MJUc via @VentureBeat,Wed Mar 02 03:11:56 +0000 2016,en,0,False,8,False,,michael abbott,mabb0tt
RT @gentry: It took 11 hands to shut off @mailbox. LEDs showed usage till the last moment: 250K people STILL active at the end 😔 https://t.…,Sun Feb 28 15:04:21 +0000 2016,en,88,False,0,False,,michael abbott,mabb0tt
RT @JShoee: Excited to follow @mrcs's journey of building and developing a rockstar engineering team at @mobcrush. #SiliconBeach https://t.…,Tue Feb 23 23:30:40 +0000 2016,en,2,False,0,False,,michael abbott,mabb0tt
"RT @mrcs: Everyone always wants to know why, as a tech person, I left SF for LA. Here is my answer. https://t.co/6IJyh901uU",Tue Feb 23 20:11:03 +0000 2016,en,35,False,0,False,,michael abbott,mabb0tt
RT @scottmburke: Helix @my_helix DNA app store named among the 10 Breakthrough Technologies of 2016 by MIT Tech Review @techreview!  https:…,Tue Feb 23 19:24:11 +0000 2016,en,3,False,0,False,,michael abbott,mabb0tt
"RT @AnthonyFrasier: The one billion dollar question w/@johnmaeda
https://t.co/TLQ0sgOrs8 https://t.co/Uob7RDkWZk",Tue Feb 23 19:05:35 +0000 2016,en,10,False,0,False,,michael abbott,mabb0tt
RT @chamath: @Joshmedia My most important life rule I tell myself constantly: DON'T CONFLATE LUCK AND SKILL!!!,Mon Feb 22 05:30:30 +0000 2016,en,48,False,0,False,,michael abbott,mabb0tt
"RT @marius: Love reading something, and boom random unexpected shoutout. (Good essay too.) https://t.co/3dFwHs5rKP https://t.co/214ZW8pFcq",Mon Feb 22 04:49:20 +0000 2016,en,6,False,0,False,,michael abbott,mabb0tt
"so great to see!! ""Rugby continues to be America's fastest growing sport"" https://t.co/RAD1cgTVEX via @SpectrumNews",Mon Feb 22 04:05:16 +0000 2016,en,0,False,2,False,,michael abbott,mabb0tt
RT @duncanjw: Great lightning talk by @fehguy on #swagger at #IBMOTS &lt; @ApacheBrooklyn uses this to generate API on the fly https://t.co/3C…,Mon Feb 22 03:17:10 +0000 2016,en,7,False,0,False,,michael abbott,mabb0tt
great to see @SwaggerApi expand! cc:@fehguy  https://t.co/sLLpcQlDbV,Mon Feb 22 03:15:45 +0000 2016,en,0,False,2,False,,michael abbott,mabb0tt
'“You can question my judgement but not my integrity.” — Bill Campbell'  -@mmccue https://t.co/pCUB5nLmj1 - great article mike!,Mon Feb 22 02:57:39 +0000 2016,en,5,False,8,False,,michael abbott,mabb0tt
"RT @aCraigPfeifer: When reading bedtime stories, I skip half the words at random. #deepparenting",Sun Feb 21 21:27:00 +0000 2016,en,15,False,0,False,,michael abbott,mabb0tt
RT @fehguy: Swagger Earns InfoWorld Technology of the Year Award from IDG | Business Wire https://t.co/RrVuSFsbCQ,Sat Feb 20 02:20:10 +0000 2016,en,2,False,0,False,,michael abbott,mabb0tt
"RT @marius: Super excited to see @BuoyantIO come to life, and to see the tech behind Twitter’s microservices fly the coop!

https://t.co/yn…",Thu Feb 18 19:03:51 +0000 2016,en,3,False,0,False,,michael abbott,mabb0tt
"RT @TectonicStack: Alex @Polvi, CEO of CoreOS, discussing #GIFEE and what the needs are for adoption at #CW16 Santa Clara https://t.co/KINM…",Thu Feb 18 17:17:25 +0000 2016,en,3,False,0,False,,michael abbott,mabb0tt
@anbu5 because i lack a great deal of creativity - just built an esports stream aggregator for fun (and for me :) ),Thu Feb 18 04:58:31 +0000 2016,en,0,False,1,False,,michael abbott,mabb0tt
@jessie33 thank you!! recall when you joined and excited for all that you accomplished! congrats!,Thu Feb 18 04:51:38 +0000 2016,en,0,False,3,False,,michael abbott,mabb0tt
@ManuKumar agree. the lack of noise on this issue likely reflects the like of focus on this platform. unfortunate,Thu Feb 18 00:52:45 +0000 2016,en,0,False,1,False,,michael abbott,mabb0tt
just built a tvOS app - then discovered:  https://t.co/r4cVH5ly2m - wow! you have to buy a belkin cable to deploy to Apple TV!!?? #fail,Wed Feb 17 23:23:13 +0000 2016,en,0,False,8,False,,michael abbott,mabb0tt
RT @delk: The team at @Gumroad continues to grow the best platform for creators to make a living with — so great to see. https://t.co/JiHXX…,Wed Feb 17 18:36:57 +0000 2016,en,1,False,0,False,,michael abbott,mabb0tt
"RT @ValaAfshar: You will not remember how much money you made, but you'll remember every single person that opened a career door for you.

…",Wed Feb 17 18:31:03 +0000 2016,en,36,False,0,False,,michael abbott,mabb0tt
RT @mobcrush: https://t.co/SUV68hO8XA,Wed Feb 17 00:38:16 +0000 2016,und,12,False,0,False,,michael abbott,mabb0tt
"RT @osiristheory: New Gumroad video up!
https://t.co/QkpwgDXZ1t
Painting a Character in an Environment (w/ my current PS brushes) https://t…",Sat Feb 13 23:51:05 +0000 2016,en,147,False,0,False,,michael abbott,mabb0tt
"Half Moon Bay, California, USA – https://t.co/EtSamFENrU via @RedBullTV",Fri Feb 12 19:00:06 +0000 2016,fi,0,False,5,False,,michael abbott,mabb0tt
RT @rypan: Great convo w @mabb0tt &amp; @swatipedia. We touched everything from https://t.co/mvY7HcJLdQ to when startups hit regs. https://t.co…,Thu Feb 11 22:02:01 +0000 2016,en,11,False,0,False,,michael abbott,mabb0tt
"RT @jhuber: Proud to be joining Grail (https://t.co/HqiTmRNUoD) today as CEO, with the mission of detecting cancer at early-stage, when it …",Thu Feb 11 02:11:29 +0000 2016,en,143,False,0,False,,michael abbott,mabb0tt
