Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @evacide: Go read everying ICIJ has to say about the Panama Papers and also give them money: https://t.co/LDghZvKQG7,Mon Apr 04 01:46:30 +0000 2016,en,33,False,0,False,,Marcus Ogawa,marcusogawa
"RT @Real923LA: You on point Phife? | All the time Tip! | Well, then grab the microphone and let your words rip 🎤🙏🏽🎶 #RIPPhifeDawg https://t…",Wed Mar 23 17:20:50 +0000 2016,en,152,False,0,False,,Marcus Ogawa,marcusogawa
RT @hunterwalk: You know what would be cool? Moment of silence at start of YC Demo Day tomorrow to acknowledge Andy Grove.,Tue Mar 22 04:21:42 +0000 2016,en,25,False,0,False,,Marcus Ogawa,marcusogawa
RT @Joshmedia: Ugh. I just had a VC tell me he is looking for unicorns with short puberty periods. #cantmakethisshitup,Mon Mar 21 18:04:58 +0000 2016,en,11,False,0,False,,Marcus Ogawa,marcusogawa
"Totally! :D ""After checking {!Website | fallback: ""your website""}, we have a feeling that there might be a mutual interest between QVP and""",Sat Mar 19 07:55:19 +0000 2016,en,0,False,1,False,,Marcus Ogawa,marcusogawa
RT @QuestVP: Proud to be an investor in these guys! Great team and a really interesting solution! https://t.co/t2dSdJhFdP,Sun Mar 13 08:55:37 +0000 2016,en,3,False,0,False,,Marcus Ogawa,marcusogawa
"“When another person makes you suffer, it is because he suffers deeply within himself, and his suffering is spilling over.”- Thich Nhat Hanh",Sat Mar 05 10:22:29 +0000 2016,en,1,False,4,False,,Marcus Ogawa,marcusogawa
Am I the only one secretly hoping this election causes the two party system to fracture and become 4+ strong political parties?,Wed Mar 02 13:30:48 +0000 2016,en,1,False,3,False,,Marcus Ogawa,marcusogawa
"RT @Snowden: The @FBI is creating a world where citizens rely on #Apple to defend their rights, rather than the other way around. https://t…",Thu Feb 18 07:21:11 +0000 2016,en,18311,False,0,False,,Marcus Ogawa,marcusogawa
@DawnC331 @Recode how is that a bottom line? It's an imperfect solution to a market rushing towards perfect efficiency; a losing strategy.,Thu Feb 18 04:34:53 +0000 2016,en,0,False,1,False,,Marcus Ogawa,marcusogawa
Valuation will also take a hit because mobile (platform) investments are saturated &amp; we have yet to secure an immediately viable alternative,Sun Feb 14 17:40:29 +0000 2016,en,0,False,2,False,,Marcus Ogawa,marcusogawa
@abatalion yeah we will definitely see steps towards progress sooner since national prosperity isn't built overnight but over many years.,Wed Feb 10 16:48:37 +0000 2016,en,0,False,1,False,,Marcus Ogawa,marcusogawa
AI &amp; Robotics can and will liberate Japan from their depopulation issues and could even produce a golden age of prosperity within 20 years.,Tue Feb 09 23:00:52 +0000 2016,en,2,False,6,False,,Marcus Ogawa,marcusogawa
"Assisted Intelligence benefits &gt; AI for next 15 years but when Assisted Intelligence &lt; AI, our world will exponentially change very rapidly.",Tue Feb 09 22:47:05 +0000 2016,en,0,False,1,False,,Marcus Ogawa,marcusogawa
Congratulations to @TheBouqs on their financing! @questvp is proud to be an investor in such a great company! https://t.co/IcQqfBlq3d,Wed Feb 03 23:21:57 +0000 2016,en,3,False,4,False,,Marcus Ogawa,marcusogawa
"Could ""divide by 0"" be a parallel understanding for AI to comprehend the human faith? I can imagine + &amp; - infinity AIs fighting one another.",Wed Feb 03 11:23:41 +0000 2016,en,0,False,1,False,,Marcus Ogawa,marcusogawa
I deeply appreciate our investors; but LP meeting attendance makes me realize how we need to bring on more woman LPs for their perspective.,Thu Jan 28 00:24:23 +0000 2016,en,3,False,12,False,,Marcus Ogawa,marcusogawa
@BT You gotta do a collaboration with @maxrichtermusic the music you two would create together would be unbelievable. Electronic Opus II?,Sun Jan 24 20:31:52 +0000 2016,en,0,False,0,False,,Marcus Ogawa,marcusogawa
@phatduckk need to get regular and solid sleep to recover buddy. Tiny master probably won't let you get either so it will continue to suck.,Fri Jan 22 18:39:00 +0000 2016,en,0,False,0,False,,Marcus Ogawa,marcusogawa
@JohnGTabis that it is up to you to make your fortune.,Thu Jan 07 21:04:41 +0000 2016,en,0,False,1,False,,Marcus Ogawa,marcusogawa
Trump and some of the other nominee clowns have damaged the Republican Party and the US. The world is watching us disgusted by our hypocrisy,Tue Dec 08 10:36:08 +0000 2015,en,2,False,2,False,,Marcus Ogawa,marcusogawa
