Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Almost two years later onlycoin finally delivered! https://t.co/jXz9CM8sOA,Tue Aug 11 13:07:24 +0000 2015,en,0,False,0,False,,Matt Molinari,matthewmolinari
#indeedinteractive @ Container Bar https://t.co/MJXNnkWncW,Fri May 22 02:31:45 +0000 2015,en,0,False,1,False,,Matt Molinari,matthewmolinari
#indeedinteractive @ Hilton Austin https://t.co/WI9PvtQrYh,Thu May 21 18:45:53 +0000 2015,en,0,False,0,False,,Matt Molinari,matthewmolinari
RT @makeworkhappy: @matthewmolinari Thnx for the support! Check out our new site: http://t.co/sbWalSHOdS. Even more inside info on great st…,Thu Feb 19 23:28:03 +0000 2015,en,1,False,0,False,,Matt Molinari,matthewmolinari
RT @elonmusk: Drone spaceport ship heads to its hold position in the Atlantic to prepare for a rocket landing http://t.co/kXYHGVKTfE,Mon Jan 05 23:47:30 +0000 2015,en,3994,False,0,False,,Matt Molinari,matthewmolinari
Robinhood https://t.co/e6qBXML8do via @robinhoodapp,Fri Dec 12 21:52:51 +0000 2014,en,0,False,0,False,,Matt Molinari,matthewmolinari
@TeamKano awesome! http://t.co/kBjwRKBIUZ,Tue Nov 18 02:44:02 +0000 2014,en,0,False,0,False,,Matt Molinari,matthewmolinari
"@ZachFrantz @indeed please feel free to email me, matt -at- indeed -dot- com",Tue Sep 30 13:21:08 +0000 2014,en,0,False,0,False,,Matt Molinari,matthewmolinari
@indeed launched its brand campaign in the US today! http://t.co/twGl8TWwS2,Mon Sep 22 14:53:25 +0000 2014,en,0,False,0,False,,Matt Molinari,matthewmolinari
gone #fishing @ Island Princess Fishing Boat http://t.co/Ogzmtjc1uA,Sun Sep 21 16:33:21 +0000 2014,en,0,False,0,False,,Matt Molinari,matthewmolinari
Homemade dumplings http://t.co/5eAsimSeaZ,Wed Aug 27 01:07:51 +0000 2014,en,0,False,0,False,,Matt Molinari,matthewmolinari
Our new downtown Austin office #indeed http://t.co/l4HkvHO1o9,Tue Aug 26 03:00:52 +0000 2014,en,0,False,0,False,,Matt Molinari,matthewmolinari
Millennials Say ‘Venmo Me’ to Fuel Mobile-Payment Surge: Tech http://t.co/6YUOSWsJoN via @BloombergNews,Mon Aug 18 13:30:21 +0000 2014,en,0,False,0,False,,Matt Molinari,matthewmolinari
#borlandslastshot http://t.co/Jj202qYj92,Sat Jul 19 20:12:11 +0000 2014,und,0,False,0,False,,Matt Molinari,matthewmolinari
#chicago @ The Bean @ Millennium Park http://t.co/igs7LPHzlq,Sat Jul 05 16:12:00 +0000 2014,en,0,False,0,False,,Matt Molinari,matthewmolinari
#milano @ Duomo di Milano http://t.co/nrXpZ51fix,Tue Jul 01 17:14:36 +0000 2014,it,0,False,0,False,,Matt Molinari,matthewmolinari
#horses @ Monmouth Park Racetrack http://t.co/D9EiFXuEoo,Sat Jun 28 18:35:00 +0000 2014,en,0,False,0,False,,Matt Molinari,matthewmolinari
@indeed acquires @mobolt http://t.co/WxdF5EU0t4,Wed Jun 25 01:23:48 +0000 2014,en,0,False,0,False,,Matt Molinari,matthewmolinari
"CN Tower, one of the tallest structures in the world. @ CN Tower Toronto http://t.co/16eK9l5CSL",Wed Jun 18 13:59:36 +0000 2014,en,0,False,0,False,,Matt Molinari,matthewmolinari
Fore! @ Farmington Country Club http://t.co/9Yh4tf74W3,Sat Jun 07 13:58:10 +0000 2014,en,0,False,0,False,,Matt Molinari,matthewmolinari
DMB origins! @ Miller's Downtown http://t.co/ORnNap3Qdt,Fri Jun 06 18:09:06 +0000 2014,en,0,False,0,False,,Matt Molinari,matthewmolinari
homemade tuna tataki http://t.co/685mXWelus,Mon May 19 00:30:03 +0000 2014,et,0,False,0,False,,Matt Molinari,matthewmolinari
Excited to share that @Indeed launched its first offline ad campaign. This is how we did it...  https://t.co/uItCbni4R5,Mon May 12 14:05:34 +0000 2014,en,1,False,1,False,,Matt Molinari,matthewmolinari
borlandmf bachelor party http://t.co/XTPw7eWoj8,Sun May 11 00:02:01 +0000 2014,en,0,False,0,False,,Matt Molinari,matthewmolinari
RT @silkroadtweets: [PR] @SilkRoadtweets announces Indeed Apply integration. Drives 87k applications in first 2 weeks. http://t.co/GjQ97736…,Sat Apr 26 11:15:35 +0000 2014,en,4,False,0,False,,Matt Molinari,matthewmolinari
Old Jameson Whiskey Distillery with indeed team @ Old Jameson Whiskey Distillery http://t.co/Chox80N3mi,Thu Apr 17 15:50:00 +0000 2014,en,0,False,0,False,,Matt Molinari,matthewmolinari
"We've finally cracked #job search @indeed - inDNA - ""Where search meets saliva"" http://t.co/jWOsXDfVwC",Tue Apr 01 17:34:31 +0000 2014,en,0,False,0,False,,Matt Molinari,matthewmolinari
"RT @SamFitzroy: Companies hire twice as many people from Indeed than CareerBuilder, LinkedIn and Monster combined: 
http://t.co/WEIHHfytSo",Mon Mar 31 23:03:18 +0000 2014,en,2,False,0,False,,Matt Molinari,matthewmolinari
RT @joelcheesman: Infographic shows just how much #Indeed is ruling job search http://t.co/Z3aVilQcev,Fri Mar 28 00:11:53 +0000 2014,en,4,False,0,False,,Matt Molinari,matthewmolinari
RT @onedayonejob: AnyPerk puts all of these perks into a single package that employers can get access to &amp; they're hiring! http://t.co/CUBM…,Fri Mar 28 00:10:29 +0000 2014,en,2,False,0,False,,Matt Molinari,matthewmolinari
How 140 Million Unique Visitors Use Indeed to Find Jobs @indeed http://t.co/RG0Ls6zPME,Thu Mar 27 17:57:01 +0000 2014,en,0,False,0,False,,Matt Molinari,matthewmolinari
