Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @blueapron: Springtime means asparagus time. https://t.co/em7cYx8vVB https://t.co/W7xr37rSx7,Fri Apr 22 13:24:12 +0000 2016,en,2,False,0,False,,Matt Salzberg,mattsalz
Za’atar Chicken &amp; Pearl Couscous  with Asparagus &amp; Pink Lemon Compote #blueapron https://t.co/Bsne7X0tcE,Fri Apr 22 01:51:31 +0000 2016,en,0,False,1,False,,Matt Salzberg,mattsalz
"Seared Salmon &amp; ""Green"" Potato Salad with Pickled Mustard Seeds #blueapron https://t.co/LrB2Psx1ag",Wed Apr 20 01:37:18 +0000 2016,en,0,False,1,False,,Matt Salzberg,mattsalz
Korean Bao Sliders  with Gochujang Mayo &amp; Sweet Potato Tempura  #blueapron https://t.co/N8h2hkxxMA,Tue Apr 19 00:11:13 +0000 2016,in,0,False,1,False,,Matt Salzberg,mattsalz
"Spiced Pork Chops &amp; Mashed Potatoes with Kale, English Peas &amp; Goat Cheese #blueapron https://t.co/iFGoQcE8tQ",Thu Apr 14 01:28:32 +0000 2016,en,1,False,4,False,,Matt Salzberg,mattsalz
Blue Quail McFadden Family Estate Vineyards Dry Riesling #blueapron https://t.co/uccFp2w1hZ,Mon Apr 11 23:05:39 +0000 2016,en,0,False,1,False,,Matt Salzberg,mattsalz
How To: Prep Grains of Paradise https://t.co/pJMNsTJ0wh,Mon Apr 11 20:12:24 +0000 2016,en,0,False,0,False,,Matt Salzberg,mattsalz
More amazing work from our sourcing team. Have you heard of Pink Lemons? https://t.co/cMWQKursPG,Fri Apr 08 14:40:15 +0000 2016,en,0,False,3,False,,Matt Salzberg,mattsalz
"RT @blueapron: Did you know: The color of the pink lemon’s flesh comes from lycopene, which also gives pink grapefruit and tomatoes their c…",Thu Apr 07 19:59:00 +0000 2016,en,6,False,0,False,,Matt Salzberg,mattsalz
Dog DNA Testing Gets Its Day https://t.co/Im2DKoJaz2,Thu Apr 07 01:08:07 +0000 2016,en,0,False,0,False,,Matt Salzberg,mattsalz
@bneezee thanks!,Sat Apr 02 18:14:39 +0000 2016,en,0,False,0,False,,Matt Salzberg,mattsalz
Steak &amp; Eggs  with Quick Kimchi Fried Rice #blueapron https://t.co/9XVxhkKNkh,Fri Apr 01 00:55:37 +0000 2016,en,0,False,5,False,,Matt Salzberg,mattsalz
"Dukkah-Spiced Cod with Warm Beet, Carrot &amp; Arugula Salad #blueapron https://t.co/d3YMtMKAq6",Thu Mar 31 00:43:40 +0000 2016,en,1,False,3,False,,Matt Salzberg,mattsalz
Meet the women who decide what you eat for dinner via @FortuneMagazine https://t.co/fPLOkN6KYM,Tue Mar 29 17:51:13 +0000 2016,en,0,False,1,False,,Matt Salzberg,mattsalz
"RT @blueapron: Learn how to make homemade pickles for tonight's crispy, crave-worthy Cuban! https://t.co/dRSOy5fhaq https://t.co/aJPnxuMmko",Fri Mar 18 15:06:05 +0000 2016,en,6,False,0,False,,Matt Salzberg,mattsalz
"RT @blueapron: When salad and bread collide, it's panzanella perfection. #bestofbothworlds https://t.co/ZCH6yxTQZ4 https://t.co/qS08k2j3lO",Tue Mar 15 23:52:10 +0000 2016,en,2,False,0,False,,Matt Salzberg,mattsalz
"RT @TimesTalks: Is @blueapron cooking? Yes, says @michaelpollan, it's a great intro and might lead to great riffs on recipes. #TimesTalks",Tue Mar 15 14:02:00 +0000 2016,en,5,False,0,False,,Matt Salzberg,mattsalz
croissant or cilantro? https://t.co/Cpf21qethg,Mon Mar 14 02:26:02 +0000 2016,fr,0,False,0,False,,Matt Salzberg,mattsalz
RT @blueapron: Tonight’s meal is a master class in hearty steakhouse fare. Let's get cooking: https://t.co/vHLEG5lonR. https://t.co/ie5O6pG…,Sun Mar 13 18:51:40 +0000 2016,en,4,False,0,False,,Matt Salzberg,mattsalz
Pretzel Burgers with Hoppy Cheddar Sauce &amp; Roasted Sweet Potato Rounds #blueapron https://t.co/DRpaJSJPQU,Thu Feb 25 01:25:02 +0000 2016,en,0,False,4,False,,Matt Salzberg,mattsalz
Spicy Shrimp Spaghetti with Cabbage &amp; Toasted Breadcrumbs #blueapron https://t.co/7VrIC90D0r,Wed Feb 24 00:50:44 +0000 2016,en,1,False,2,False,,Matt Salzberg,mattsalz
