Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @CycloneMBB: . @MonteMorris11 will return to Iowa State for his senior season. https://t.co/ppYlaauxnL https://t.co/9iAtBVQBiW,Fri Apr 08 14:27:37 +0000 2016,en,898,False,0,False,,Steve Lee,moneyball
Great take on Lyft's competitive positioning https://t.co/gqPdDVKQXJ,Tue Mar 22 23:01:04 +0000 2016,en,1,False,1,False,,Steve Lee,moneyball
RT @jamesmcadoo: Thanks to @HaloNeuro for letting me and my teammates try these out! Looking forward to seeing the results! https://t.co/Gj…,Thu Mar 17 13:49:13 +0000 2016,en,16,False,0,False,,Steve Lee,moneyball
"No surprise here, @HaloNeuro is rocking it! https://t.co/dih3h4k5DG",Tue Mar 15 00:45:43 +0000 2016,en,0,False,3,False,,Steve Lee,moneyball
"RT @BillSimmons: How can you leave Steph that open from 35???????

(Just kidding. Kind of.)",Sun Feb 28 05:42:23 +0000 2016,en,5042,False,0,False,,Steve Lee,moneyball
RT @Justin_Case24: You can't tell me he not the cheat code dog 😂😂😂,Sun Feb 28 05:41:57 +0000 2016,en,6,False,0,False,,Steve Lee,moneyball
RT @DanicaPatrick: Had a blast working with @Lyft and surprising a few passengers! Check out the video here: https://t.co/2i2SCbI45c,Thu Feb 18 21:19:31 +0000 2016,en,187,False,0,False,,Steve Lee,moneyball
! https://t.co/uJLzPLTOrM,Thu Feb 18 21:18:48 +0000 2016,und,0,False,0,False,,Steve Lee,moneyball
RT @ProductHunt: Halo Sport: Neurotechnology for athletes. https://t.co/45l1b0QZ5M by @richlowenberg &amp; @drk36 https://t.co/7mi3KRQyXx,Wed Feb 10 19:35:27 +0000 2016,cs,15,False,0,False,,Steve Lee,moneyball
RT @deekay: Congrats @danielchao on Halo Sport launch!  So rad: https://t.co/gWEvCKw8Yd,Wed Feb 10 17:07:47 +0000 2016,en,2,False,0,False,,Steve Lee,moneyball
@HawkeyeNation ISU has won 2 of the last 3 at Carver...,Tue Jan 26 20:26:43 +0000 2016,en,0,False,0,False,,Steve Lee,moneyball
@HawkeyePacker81 @jeffborzello @JimmyBRadio You sure you want to play a team that has beaten you 6 of the last 7 times?,Tue Jan 26 14:55:40 +0000 2016,en,0,False,1,False,,Steve Lee,moneyball
@hawkangell89 @jeffborzello @JimmyBRadio at KSU https://t.co/XRPanhCKVI,Tue Jan 26 14:50:01 +0000 2016,in,0,False,0,False,,Steve Lee,moneyball
Nobody better! https://t.co/vgaVfw6OkD,Tue Jan 26 07:47:31 +0000 2016,en,0,False,0,False,,Steve Lee,moneyball
Bill Self not a happy man given ISU's recent dominance over his team https://t.co/yuJ5ymPYZN,Tue Jan 26 05:49:06 +0000 2016,en,0,False,1,False,,Steve Lee,moneyball
"@hawkangell89 @jeffborzello ISU has more Top 25 RPI road/neutral wins than UNC, Maryland, Kentucky, Louisville, Duke, and Zona combined.",Tue Jan 26 05:44:00 +0000 2016,en,0,False,3,False,,Steve Lee,moneyball
@hawkangell89 @jeffborzello @JimmyBRadio ISU has 2 Top 50 RPI wins away from Hilton this year,Tue Jan 26 05:32:13 +0000 2016,en,0,False,1,False,,Steve Lee,moneyball
Go @CycloneMBB !!!!! https://t.co/JqwA0Ptu8z,Tue Jan 26 05:23:26 +0000 2016,und,0,False,2,False,,Steve Lee,moneyball
Really cool! https://t.co/eFXL3Mif8s,Sun Jan 24 21:26:15 +0000 2016,en,1,False,1,False,,Steve Lee,moneyball
"@GoodmanESPN @DeeBurton30 Jeff, how is that prediction working out for ya?",Sun Jan 03 04:57:34 +0000 2016,en,0,False,0,False,,Steve Lee,moneyball
@sumaya how about pool running? Unlike swimming keeps your hair dry. Bring a buddy to chat with and the time flies by,Sat Jan 02 16:17:43 +0000 2016,en,0,False,0,False,,Steve Lee,moneyball
"RT @MonteMorris11: Cyclone State 🙌🏽. Love the fans, my team, my coaches! Game ball to @Theiceman_21 🙌🏽💪🏾",Fri Dec 11 03:29:06 +0000 2015,en,227,False,0,False,,Steve Lee,moneyball
@Theiceman_21 Game ball to you sir!,Fri Dec 11 02:50:37 +0000 2015,en,0,False,0,False,,Steve Lee,moneyball
Go @CycloneMBB! https://t.co/fOpB3p2LVu,Mon Dec 07 02:18:58 +0000 2015,und,0,False,2,False,,Steve Lee,moneyball
RT @Mildenhall: San Francisco showing support for the people of Paris. #proudofbothcities https://t.co/QgviWLJFUg,Sat Nov 14 03:09:47 +0000 2015,en,198,False,0,False,,Steve Lee,moneyball
RT @jonswaine: One World Trade Center 🇫🇷 https://t.co/PkhthDMHDQ,Sat Nov 14 03:04:29 +0000 2015,en,11080,False,0,False,,Steve Lee,moneyball
"@TheIowaHawkeyes, this is how you get it done in an exhibition game. https://t.co/vLoUSPqt3s",Sat Nov 07 03:50:14 +0000 2015,en,0,False,0,False,,Steve Lee,moneyball
Poor Hawkeyes https://t.co/J9r5T52alp,Sat Nov 07 03:44:40 +0000 2015,en,0,False,0,False,,Steve Lee,moneyball
RT @Manz_1: Hiromu Inada - 82 years old and 6 seconds over the cut off time at #IMKona. You are a hero and an IRONMAN http://t.co/CAjHc8wJD2,Tue Oct 13 04:41:44 +0000 2015,en,2,False,0,False,,Steve Lee,moneyball
lots of exciting partnerships for lyft! http://t.co/4HotC1NvUX,Thu Oct 08 23:54:05 +0000 2015,en,0,False,0,False,,Steve Lee,moneyball
@Lexxaaclairee23 thank you!,Mon Sep 21 14:18:42 +0000 2015,en,0,False,1,False,,Steve Lee,moneyball
