Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"@magicbyiamip Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Thu Apr 21 11:11:57 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@aodhol Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Thu Apr 21 10:56:48 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@jagadd1921 Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Thu Apr 21 09:58:25 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@MYalanska Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Thu Apr 21 09:58:23 +0000 2016,en,0,False,1,False,,Nir Eyal,nireyal
"@devashish751 Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Thu Apr 21 07:20:56 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@AnderFrischer Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Thu Apr 21 07:20:55 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@DonMacLennan Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Thu Apr 21 03:23:49 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@MansaBashir Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Thu Apr 21 02:24:08 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@cherylkelmar Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Thu Apr 21 01:14:13 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@khaanes Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Thu Apr 21 00:58:14 +0000 2016,en,0,False,1,False,,Nir Eyal,nireyal
"@ambonium Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Thu Apr 21 00:58:13 +0000 2016,en,0,False,1,False,,Nir Eyal,nireyal
"@alison_nikolov Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Thu Apr 21 00:58:11 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@Nordvalla Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Thu Apr 21 00:11:20 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@m3untold Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Thu Apr 21 00:11:19 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
Why I love ugly messy interfaces and you probably do too Signal v. Noise https://t.co/TxU9cDUHWs,Thu Apr 21 00:08:29 +0000 2016,en,1,False,4,False,,Nir Eyal,nireyal
"@jayhum Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 23:25:14 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@robin_hirt Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 23:25:13 +0000 2016,en,0,False,1,False,,Nir Eyal,nireyal
"@huer_innov Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 23:25:12 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@EdmundKole Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBdmxyf",Wed Apr 20 22:39:44 +0000 2016,en,0,False,1,False,,Nir Eyal,nireyal
"@blaze_research Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBdmxyf",Wed Apr 20 22:39:42 +0000 2016,en,0,False,1,False,,Nir Eyal,nireyal
Bots the next frontier https://t.co/ZWY8fVcREN,Wed Apr 20 22:28:11 +0000 2016,en,1,False,2,False,,Nir Eyal,nireyal
"@shkolyar Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 22:09:57 +0000 2016,en,0,False,2,False,,Nir Eyal,nireyal
"@amthrockmorton Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBdmxyf",Wed Apr 20 21:37:29 +0000 2016,en,0,False,2,False,,Nir Eyal,nireyal
"@lizfarabee Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 20:17:04 +0000 2016,en,0,False,1,False,,Nir Eyal,nireyal
"@blackyhopper Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 19:29:15 +0000 2016,en,0,False,1,False,,Nir Eyal,nireyal
The robotic personal assistant that just got $23M https://t.co/72dM3a6CiH,Wed Apr 20 18:36:07 +0000 2016,en,1,False,6,False,,Nir Eyal,nireyal
@ConversionWorld this was supposed to start 30 min ago. Never got code. :(,Wed Apr 20 18:33:23 +0000 2016,en,0,False,1,False,,Nir Eyal,nireyal
"@parves Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 17:42:47 +0000 2016,en,0,False,1,False,,Nir Eyal,nireyal
"@alison_stuebe Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 15:36:17 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@arieltypes Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 15:21:18 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@Amy_Brann Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 13:50:36 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@Terminus Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 13:50:35 +0000 2016,en,0,False,1,False,,Nir Eyal,nireyal
"@garcia_a_ Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 13:07:50 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@helloalternate Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 12:53:37 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@abhishekbugadi Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 12:38:06 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@MaciejBoomsma Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 12:20:55 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@ConversionWorld Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 11:36:26 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@hazelana_b Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 10:53:31 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@fouadchen Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 10:40:33 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@ManiMcPhail Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 07:01:10 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
"@duverneay Thanks for following! To make sure you don't miss my future posts, subscribe to my blog here: https://t.co/tbKlBd4WGH",Wed Apr 20 04:20:52 +0000 2016,en,0,False,0,False,,Nir Eyal,nireyal
@JasonStoddard 2) Rewards of the self - completion and mastery goals,Wed Apr 20 04:05:17 +0000 2016,en,0,False,1,False,,Nir Eyal,nireyal
