Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
I got CA! https://t.co/RMzaJm1opK,Wed Apr 20 15:25:14 +0000 2016,en,0,False,0,False,,Ofer Ronen,oferronen
https://t.co/ZiEjElKpV0,Mon Apr 18 23:16:30 +0000 2016,und,0,False,0,False,,Ofer Ronen,oferronen
https://t.co/uGO7St4EJG,Mon Apr 18 23:16:27 +0000 2016,und,0,False,0,False,,Ofer Ronen,oferronen
https://t.co/waA6Eicm1G,Sun Apr 17 21:11:02 +0000 2016,und,0,False,0,False,,Ofer Ronen,oferronen
I posted a new video to Facebook https://t.co/GK8YMVVkzc,Fri Apr 15 05:02:02 +0000 2016,en,0,False,0,False,,Ofer Ronen,oferronen
I posted a new video to Facebook https://t.co/6jFdIoSzPR,Tue Apr 12 23:10:52 +0000 2016,en,0,False,0,False,,Ofer Ronen,oferronen
https://t.co/R3ZSmQWrer,Mon Apr 11 00:35:02 +0000 2016,und,0,False,0,False,,Ofer Ronen,oferronen
Got my 15 minutes of fame covered! For non Hebrew speakers yesterday I spoke at an event at Google about selling... https://t.co/NXwDQJy6BM,Thu Apr 07 17:40:20 +0000 2016,en,0,False,1,False,,Ofer Ronen,oferronen
I posted a new video to Facebook https://t.co/GYe14HUvIO,Tue Apr 05 03:33:15 +0000 2016,en,0,False,0,False,,Ofer Ronen,oferronen
"Governments might want to plan for this coming reality of AI taking over many human jobs, not just repetitive... https://t.co/4JD0dMnXeI",Thu Mar 17 08:32:37 +0000 2016,en,0,False,2,False,,Ofer Ronen,oferronen
https://t.co/ETJ6Rsr7Ua,Wed Mar 02 16:06:37 +0000 2016,und,0,False,1,False,,Ofer Ronen,oferronen
https://t.co/jbVI8r693L,Tue Mar 01 17:05:57 +0000 2016,und,0,False,0,False,,Ofer Ronen,oferronen
Just came across this article in French about my startup. I recall the reporter came by but didn't know if it was... https://t.co/3UVxAt1kQq,Sat Feb 06 12:42:37 +0000 2016,en,0,False,2,False,,Ofer Ronen,oferronen
Saw this quote and liked it :) “It is not the critic who counts; not the man who points out how the strong man... https://t.co/zMSgDhdiQM,Fri Jan 29 21:44:34 +0000 2016,en,0,False,1,False,,Ofer Ronen,oferronen
Good stuff! https://t.co/6inDayUNPd,Thu Jan 07 00:31:30 +0000 2016,en,0,False,2,False,,Ofer Ronen,oferronen
Here's my 2015 Year in Review. See yours at https://t.co/1GE9VdYfHb. https://t.co/Mb5rBFpLSk,Fri Dec 18 07:41:33 +0000 2015,en,0,False,1,False,,Ofer Ronen,oferronen
During our World trip in 2010/11 my lovely Shayna wrote a blog. I've finally relaunched it! Cool to look back at... https://t.co/dh9kt1MdbP,Sun Nov 15 20:02:45 +0000 2015,en,0,False,0,False,,Ofer Ronen,oferronen
Was inspired by a co-worker to run faster. He runs 6:30/mi. Put on some good techno and ran 6:59/mi for 3 miles!... https://t.co/uwuJSHGYEd,Mon Oct 26 01:08:24 +0000 2015,en,0,False,0,False,,Ofer Ronen,oferronen
Li http://t.co/202wEkMxBo,Mon Sep 07 22:46:08 +0000 2015,und,0,False,1,False,,Ofer Ronen,oferronen
Lots of places left to visit,Tue Aug 18 05:44:39 +0000 2015,en,0,False,0,False,,Ofer Ronen,oferronen
30 min of moderate exercise 5 days a week leads to 31% less risk of dying http://t.co/05IPwsHEJX,Sun Aug 02 23:07:32 +0000 2015,en,0,False,0,False,,Ofer Ronen,oferronen
The Right Dose of Exercise for a Longer Life http://t.co/HULfDXoofZ,Sun Aug 02 23:06:28 +0000 2015,en,0,False,0,False,,Ofer Ronen,oferronen
I posted a new photo to Facebook http://t.co/rV7Wk78Waj,Thu Jul 30 23:13:02 +0000 2015,en,0,False,0,False,,Ofer Ronen,oferronen
I posted a new photo to Facebook http://t.co/o88w0Y4ITh,Fri Jul 17 01:39:18 +0000 2015,en,0,False,0,False,,Ofer Ronen,oferronen
I posted a new photo to Facebook http://t.co/FYhC3cmgRp,Fri Jul 17 01:38:04 +0000 2015,en,0,False,0,False,,Ofer Ronen,oferronen
I posted a new photo to Facebook http://t.co/B8b8IDgjGd,Fri Jul 17 01:37:57 +0000 2015,en,0,False,0,False,,Ofer Ronen,oferronen
Happy Father's Day Aba! Love you http://t.co/Cg9njvYybZ,Sun Jun 21 15:53:16 +0000 2015,en,0,False,0,False,,Ofer Ronen,oferronen
First day on the job :) http://t.co/X6zx05mhy3,Mon Jun 01 15:01:58 +0000 2015,en,0,False,2,False,,Ofer Ronen,oferronen
First day on the job :) http://t.co/xli0kEeaj0,Mon Jun 01 15:01:11 +0000 2015,en,0,False,0,False,,Ofer Ronen,oferronen
Sold Pulse.io to Google!,Thu May 28 02:15:34 +0000 2015,en,2,False,7,False,,Ofer Ronen,oferronen
I posted a new photo to Facebook 5,Mon May 04 20:16:22 +0000 2015,en,0,False,0,False,,Ofer Ronen,oferronen
I just donated to support the Nepal earthquake survivors and hope you will too! #SupportNepal http://t.co/tTPqzDWm2w,Tue Apr 28 18:33:32 +0000 2015,en,0,False,0,False,,Ofer Ronen,oferronen
http://t.co/xqF8RxbE3L,Tue Apr 28 00:10:34 +0000 2015,und,0,False,0,False,,Ofer Ronen,oferronen
I posted a new photo to Facebook http://t.co/I8hKX1V6DG,Thu Mar 26 05:23:38 +0000 2015,en,0,False,0,False,,Ofer Ronen,oferronen
Shayna gave me the daughter I always wanted. http://t.co/PjQdfMG34P,Mon Mar 23 17:19:19 +0000 2015,en,0,False,0,False,,Ofer Ronen,oferronen
Mobile developers often hear of app issues that they have a hard time reproducing. Now there's a solution to that http://t.co/QbkVT0TeSB,Fri Feb 20 17:52:43 +0000 2015,en,1,False,0,False,,Ofer Ronen,oferronen
Go Ari! http://t.co/e8aHEYH7R2,Mon Feb 16 16:02:28 +0000 2015,eu,0,False,0,False,,Ofer Ronen,oferronen
Go Ari! http://t.co/hHtTiZ7o8r,Mon Feb 16 16:02:27 +0000 2015,eu,0,False,0,False,,Ofer Ronen,oferronen
Go Ari! http://t.co/SUFngoMXEe,Mon Feb 16 16:02:26 +0000 2015,eu,0,False,0,False,,Ofer Ronen,oferronen
http://t.co/gvNPtnGjZm,Sun Feb 15 19:53:27 +0000 2015,und,0,False,0,False,,Ofer Ronen,oferronen
Future virtuoso! http://t.co/TMR1bAeOY6,Mon Feb 02 22:52:00 +0000 2015,lt,0,False,0,False,,Ofer Ronen,oferronen
I'm excited! http://t.co/M0nlq0cAll,Mon Feb 02 00:57:39 +0000 2015,en,0,False,0,False,,Ofer Ronen,oferronen
Ari was a natural on this electric motorcycle. Right away he knew how to steer around obstacles! http://t.co/TzJlO8Hfqc,Fri Jan 02 20:32:42 +0000 2015,en,0,False,0,False,,Ofer Ronen,oferronen
Ari taking his brother for a stroll http://t.co/IYoMCup0FF,Tue Dec 23 03:02:56 +0000 2014,en,0,False,0,False,,Ofer Ronen,oferronen
"Cobi Sivan Ronen was born at 2pm and weight 7 pounds 6 ounces, 19.75 inches. Mom and baby are doing well http://t.co/QRQno6GCsd",Sat Dec 20 00:20:47 +0000 2014,en,0,False,0,False,,Ofer Ronen,oferronen
