Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @dotcomplicated: Miss today's show with ‘YouTuber of the Year,’ @CaseyNeistat? Get the Radio Recap here! https://t.co/m2vcUCEI8S",Wed Apr 20 18:34:38 +0000 2016,en,3,False,0,False,,Randi Zuckerberg,randizuckerberg
"Thanks for tuning in for today's show on ""Authentic Marketing"" - special thanks to @CaseyNeistat Director/Vlogger on YouTube!",Wed Apr 20 17:01:04 +0000 2016,en,1,False,4,False,,Randi Zuckerberg,randizuckerberg
"""You can find me on YouTube."" @CaseyNeistat",Wed Apr 20 16:59:55 +0000 2016,en,1,False,4,False,,Randi Zuckerberg,randizuckerberg
"""I love SnapChat, Twitter, &amp; Instagram.""@CaseyNeistat",Wed Apr 20 16:59:14 +0000 2016,en,3,False,2,False,,Randi Zuckerberg,randizuckerberg
"""We're about the do a huge launch for @bemeapp, that's the main focus right now."" @CaseyNeistat",Wed Apr 20 16:58:24 +0000 2016,en,1,False,3,False,,Randi Zuckerberg,randizuckerberg
"""My favorite camera is my cell phone."" @CaseyNeistat",Wed Apr 20 16:57:28 +0000 2016,en,1,False,4,False,,Randi Zuckerberg,randizuckerberg
"""My proudest moment is seeing my kids born."" @CaseyNeistat",Wed Apr 20 16:57:02 +0000 2016,en,2,False,5,False,,Randi Zuckerberg,randizuckerberg
"""We've all seen the cluttered mess in your office. How are you able to think straight and create from there?"" -Caller Debbie",Wed Apr 20 16:55:04 +0000 2016,en,1,False,4,False,,Randi Zuckerberg,randizuckerberg
"""I created @bemeapp because I wanted a platform to share video without self-consciousness. It's a way to share honestly."" @CaseyNeistat",Wed Apr 20 16:54:20 +0000 2016,en,2,False,4,False,,Randi Zuckerberg,randizuckerberg
"Yes, absolutely @caviness! https://t.co/Eq1rJUBS16",Wed Apr 20 16:53:21 +0000 2016,en,1,False,3,False,,Randi Zuckerberg,randizuckerberg
"""I have friends who do daily vlogs that shoot and edit directly from their cell phones. That's amazing!"" @CaseyNeistat",Wed Apr 20 16:52:25 +0000 2016,en,1,False,1,False,,Randi Zuckerberg,randizuckerberg
"""I take it very seriously, I don't mess around. I love every second and my typical edits take 3-6 hours in post production."" @CaseyNeistat",Wed Apr 20 16:50:59 +0000 2016,en,1,False,1,False,,Randi Zuckerberg,randizuckerberg
"""I love making videos more than anything. When you're churning out sheer quantity there's no time to dwell. You just post."" @CaseyNeistat",Wed Apr 20 16:48:27 +0000 2016,en,3,False,5,False,,Randi Zuckerberg,randizuckerberg
"""People shouldn't look outward because it makes you a follower. Whatever you're deciding you should look inward."" @CaseyNeistat",Wed Apr 20 16:46:04 +0000 2016,en,6,False,9,False,,Randi Zuckerberg,randizuckerberg
"""What's more exciting to me is looking at the future of media like Netflix, festivals, Amazon. Those are really interesting."" @CaseyNeistat",Wed Apr 20 16:43:37 +0000 2016,en,1,False,3,False,,Randi Zuckerberg,randizuckerberg
"""Would you ever go back to a traditional cable network to do a docu-series?""  -Caller James",Wed Apr 20 16:42:39 +0000 2016,en,1,False,1,False,,Randi Zuckerberg,randizuckerberg
"""Nike is great because of their willingness to take chances. I had a deal to make 3 videos. I took a risk for the 3rd one."" @CaseyNeistat",Wed Apr 20 16:42:25 +0000 2016,en,1,False,3,False,,Randi Zuckerberg,randizuckerberg
We want to hear from YOU! Do you have questions or comments for @CaseyNeistat? Call us live at 1-844-WHARTON or tweet @dotcomplicated!,Wed Apr 20 16:41:28 +0000 2016,en,1,False,1,False,,Randi Zuckerberg,randizuckerberg
"""I made a short video about bike lanes in a funny way, but it was a relevant issue. It led me to other PSA's."" @CaseyNeistat",Wed Apr 20 16:38:48 +0000 2016,en,1,False,2,False,,Randi Zuckerberg,randizuckerberg
"""YouTube is the ultimate place to succeed. There's no nepotism, no hierarchy. If people want to see your stuff, they will."" @CaseyNeistat",Wed Apr 20 16:31:52 +0000 2016,en,1,False,2,False,,Randi Zuckerberg,randizuckerberg
Sounds amazing @RTFarrell! https://t.co/OT5uz9G8VQ,Wed Apr 20 16:31:28 +0000 2016,en,1,False,1,False,,Randi Zuckerberg,randizuckerberg
"""One of my dreams has been to make film making democratic. Now all you need is a cell phone."" @CaseyNeistat",Wed Apr 20 16:30:55 +0000 2016,en,1,False,1,False,,Randi Zuckerberg,randizuckerberg
RT @BizRadio111: Director/vlogger and online sensation @CaseyNeistat LIVE on Dot Complicated w/@randizuckerberg now!,Wed Apr 20 16:30:47 +0000 2016,en,2,False,0,False,,Randi Zuckerberg,randizuckerberg
Thank you for calling in @hangarcat! https://t.co/vdVBv3Q62q,Wed Apr 20 16:30:36 +0000 2016,en,1,False,1,False,,Randi Zuckerberg,randizuckerberg
"""It was really great working with my brother, he's a pure artist. He follows his instinct and he's inspiring."" @CaseyNeistat",Wed Apr 20 16:29:03 +0000 2016,en,1,False,2,False,,Randi Zuckerberg,randizuckerberg
"""I credit my older brother with getting me into film making. We ended up having an HBO series 10 yrs later."" @CaseyNeistat",Wed Apr 20 16:27:21 +0000 2016,en,1,False,1,False,,Randi Zuckerberg,randizuckerberg
"""I don't think you know what life is until you work in a restaurant."" @CaseyNeistat",Wed Apr 20 16:25:41 +0000 2016,en,2,False,4,False,,Randi Zuckerberg,randizuckerberg
"""I fell in love with film making immediately. I've realized how elusive it is to find something your that passionate about."" @CaseyNeistat",Wed Apr 20 16:24:33 +0000 2016,en,2,False,2,False,,Randi Zuckerberg,randizuckerberg
"""I'm 1 of 4 kids. I ran away from home at 15 &amp; had a baby at 17. I got a job as a dishwasher. It was a tumultuous start."" @CaseyNeistat",Wed Apr 20 16:22:41 +0000 2016,en,3,False,4,False,,Randi Zuckerberg,randizuckerberg
"""How do you find the balance between being authentic on the internet and protecting  your identity and your family?"" -caller Sebastian",Wed Apr 20 16:18:34 +0000 2016,en,1,False,2,False,,Randi Zuckerberg,randizuckerberg
"""The line is hard to define between what you share &amp; don't share. I lightly skim off the top of my actual life."" @CaseyNeistat",Wed Apr 20 16:18:20 +0000 2016,en,3,False,4,False,,Randi Zuckerberg,randizuckerberg
"""If there's something I want to do, I make it my mission to do it. I fantasize about being healthy until I die an old man."" @CaseyNeistat",Wed Apr 20 16:14:39 +0000 2016,en,2,False,1,False,,Randi Zuckerberg,randizuckerberg
"""What is at the top of your bucket list?"" -caller Kyle",Wed Apr 20 16:13:34 +0000 2016,en,1,False,2,False,,Randi Zuckerberg,randizuckerberg
Like or Dislike? A study done says there's potential for high risk of miscommunication when using emojis. Are emojis efficient?,Wed Apr 20 16:13:02 +0000 2016,en,1,False,4,False,,Randi Zuckerberg,randizuckerberg
"Like or Dislike? ""If your partner isn't faithful, at least your mattress is."" This mattress pings your phone when it's in use.",Wed Apr 20 16:11:47 +0000 2016,en,2,False,4,False,,Randi Zuckerberg,randizuckerberg
Like or Dislike? A pilot hit a drone while landing. An investigation has been launched. How do you feel about drone restrictions?,Wed Apr 20 16:11:11 +0000 2016,en,2,False,3,False,,Randi Zuckerberg,randizuckerberg
Do you have questions for @CaseyNeistat about Authentic Marketing? Call 1-844-WHARTON or tweet @dotcomplicated!,Wed Apr 20 15:53:37 +0000 2016,en,2,False,4,False,,Randi Zuckerberg,randizuckerberg
"Today's show on ""Authentic Marketing"" starts in 30min on @SIRIUSXM Bus Ch. 111 at 9am PT/12pm ET, featuring Director/Vlogger, @CaseyNeistat!",Wed Apr 20 15:30:29 +0000 2016,en,2,False,5,False,,Randi Zuckerberg,randizuckerberg
"One hour till today's show on ""Authentic Marketing"" with Director/Vlogger, @CaseyNeistat, on @SIRIUSXM Bus Ch. 111 9am PT/12pm ET!",Wed Apr 20 15:00:40 +0000 2016,en,27,False,254,False,,Randi Zuckerberg,randizuckerberg
“There are no rules about how to be—especially for women.” @missmayim @GrokNation on @SIRIUSXM Bus. 111 @ 5 PT/8 ET,Tue Apr 19 22:30:51 +0000 2016,en,0,False,3,False,,Randi Zuckerberg,randizuckerberg
Tomorrow we'll be discussing Authentic Marketing w/ @CaseyNeistat at 9am PT/12pm ET! Call us live at 1-844-WHARTON or tweet @dotcomplicated!,Tue Apr 19 19:30:36 +0000 2016,en,3,False,10,False,,Randi Zuckerberg,randizuckerberg
E-skin Technology Turns Your Body Into Screen With Digital Display: https://t.co/AIMuF4i91g [via @TechTimes_News],Tue Apr 19 18:21:33 +0000 2016,en,6,False,11,False,,Randi Zuckerberg,randizuckerberg
Tune in to tomorrow's show on Authentic Marketing w/ Director/Vlogger @CaseyNeistat! @SIRIUSXM Bus Ch. 111 9PT/12ET! https://t.co/UhCgNlbdUc,Tue Apr 19 15:08:07 +0000 2016,en,90,False,766,False,,Randi Zuckerberg,randizuckerberg
Entrepreneurship starts by thinking differently. What's your daily practice of different thinking?,Mon Apr 18 22:01:03 +0000 2016,en,17,False,33,False,,Randi Zuckerberg,randizuckerberg
Super excited for Wednesday's Dot Complicated with @CaseyNeistat! Will be an interactive show! Call 1-800-WHARTON for questions! 12pm ET,Mon Apr 18 18:15:10 +0000 2016,en,31,False,283,False,,Randi Zuckerberg,randizuckerberg
New Fanuc Technology Connects Robots to Networks: https://t.co/lnLMxL5Gul [via @WSJ],Mon Apr 18 16:50:02 +0000 2016,en,4,False,8,False,,Randi Zuckerberg,randizuckerberg
“Why not use my celebrity and my voice to point out things that matter to me.” @missmayim @GrokNation  on @SIRIUSXM Bus. 111 @ 7 PT/10 ET,Sun Apr 17 12:30:40 +0000 2016,en,4,False,11,False,,Randi Zuckerberg,randizuckerberg
“My kids have only have seen me in a Superbowl commercial.” @missmayim on @SIRIUSXM Stars 109 @ 6 PT/9 ET,Sat Apr 16 23:30:34 +0000 2016,en,3,False,9,False,,Randi Zuckerberg,randizuckerberg
“I was raised to speak my mind.” @missmayim @GrokNation on @SIRIUSXM Stars 109 @ 4 PT/7 ET,Sat Apr 16 10:00:51 +0000 2016,en,4,False,13,False,,Randi Zuckerberg,randizuckerberg
“My manager and publicist are both very strong women.” @missmayim @GrokNation on @SIRIUSXM Stars 109 @ 5 PT/8 ET,Fri Apr 15 22:30:30 +0000 2016,en,3,False,9,False,,Randi Zuckerberg,randizuckerberg
“There is no support group for people in Hollywood with PhDs.” @missmayim on @SIRIUSXM Bus. 111 @ 1 PT/4 ET,Fri Apr 15 18:30:41 +0000 2016,en,4,False,7,False,,Randi Zuckerberg,randizuckerberg
RT @dotcomplicated: Here are a few last minute tax tips to keep your money—and hopefully your refund—safe: https://t.co/RO0viwoD0t https://…,Fri Apr 15 17:32:13 +0000 2016,en,4,False,0,False,,Randi Zuckerberg,randizuckerberg
"Yep, technology is even disrupting competitive hot air ballooning: https://t.co/k2tZHYDiKz [via @mashable]",Fri Apr 15 14:40:41 +0000 2016,en,4,False,12,False,,Randi Zuckerberg,randizuckerberg
“You don’t need to be a scientist to play one on TV.” @missmayim on @SIRIUSXM Bus. 111 @ 6 PT/9 ET,Thu Apr 14 23:31:58 +0000 2016,en,3,False,11,False,,Randi Zuckerberg,randizuckerberg
Naa-Sakle Akuete Believes in the Power of Family Business: https://t.co/tBjM6nVYUx  #52Women52Weeks @EuGenia_Shea https://t.co/PovC6DEwTe,Thu Apr 14 21:30:24 +0000 2016,en,5,False,15,False,,Randi Zuckerberg,randizuckerberg
Happy with the results of this week’s #QuitYourDayJob? @Oxygen,Thu Apr 14 06:01:22 +0000 2016,en,4,False,9,False,,Randi Zuckerberg,randizuckerberg
Decisions are even more difficult when emotions are involved. #QuitYourDayJob @Oxygen,Thu Apr 14 05:52:15 +0000 2016,en,3,False,14,False,,Randi Zuckerberg,randizuckerberg
Changing lives one shoe at a time. But is it enough for us to invest? #Billys #QuitYourDayJob @Oxygen,Thu Apr 14 05:50:06 +0000 2016,en,4,False,8,False,,Randi Zuckerberg,randizuckerberg
Did Tyler let his Soul glow? @SoulRBowls #QuitYourDayJob @Oxygen,Thu Apr 14 05:46:07 +0000 2016,en,3,False,7,False,,Randi Zuckerberg,randizuckerberg
Acai if you can beat those two other food carts after these messages! @SoulRBowls #QuitYourDayJob @Oxygen,Thu Apr 14 05:37:31 +0000 2016,en,4,False,8,False,,Randi Zuckerberg,randizuckerberg
Let good branding tell your story. #Billys @Tether  #QuitYourDayJob @Oxygen,Thu Apr 14 05:35:09 +0000 2016,en,8,False,12,False,,Randi Zuckerberg,randizuckerberg
Capacity. Capacity. Capacity. Ahhh to hear the wonderful sounds of a future entrepreneur who listens.  #QuitYourDayJob @Oxygen,Thu Apr 14 05:33:15 +0000 2016,en,4,False,5,False,,Randi Zuckerberg,randizuckerberg
Acai you later!! @SoulrBowls #QuitYourDayJob @Oxygen #Catchphrase,Thu Apr 14 05:29:08 +0000 2016,pt,4,False,5,False,,Randi Zuckerberg,randizuckerberg
Randi and @LaurenMaillian Round 1! #QuitYourDayJob @oxygen,Thu Apr 14 05:22:11 +0000 2016,en,2,False,5,False,,Randi Zuckerberg,randizuckerberg
Entrepreneurship isn’t a decision. It’s a way of life. #BloodSweatTears #QuitYourDayJob @Oxygen,Thu Apr 14 05:18:02 +0000 2016,en,9,False,26,False,,Randi Zuckerberg,randizuckerberg
Who do you think will impress us?? #QuitYourDayJob @Oxygen,Thu Apr 14 05:11:04 +0000 2016,en,2,False,8,False,,Randi Zuckerberg,randizuckerberg
Can BFFs be good business or is OH! Juice about to get jolted? #QuitYourDayJob @Oxygen,Thu Apr 14 05:09:07 +0000 2016,en,3,False,5,False,,Randi Zuckerberg,randizuckerberg
Bring it to #Coachella! @SoulrBowls  #QuitYourDayJob @Oxygen,Thu Apr 14 05:07:19 +0000 2016,en,2,False,7,False,,Randi Zuckerberg,randizuckerberg
Who doesn’t want pie?? JUICE PIE! #QuitYourDayJob @Oxygen @OhJuiceCo,Thu Apr 14 05:04:09 +0000 2016,en,3,False,5,False,,Randi Zuckerberg,randizuckerberg
"Three amazing businesses, four fabulous investors, one chance at investment. R U ready  2#QuitYourDayJob! @Oxygen",Thu Apr 14 04:30:13 +0000 2016,en,2,False,7,False,,Randi Zuckerberg,randizuckerberg
More tears on next week’s #QuitYourDayJob? @Oxygen,Thu Apr 14 03:00:34 +0000 2016,en,2,False,7,False,,Randi Zuckerberg,randizuckerberg
College campuses are the new boardroom think tanks. #QuitYourDayJob @Oxygen,Thu Apr 14 02:57:04 +0000 2016,en,3,False,14,False,,Randi Zuckerberg,randizuckerberg
Acai solar franchise or empowering footwear? What would you choose? #QuitYourDayJob @Oxygen,Thu Apr 14 02:52:07 +0000 2016,en,2,False,6,False,,Randi Zuckerberg,randizuckerberg
Proud moments with your product = happy customers. #Billys #QuitYourDayJob @Oxygen,Thu Apr 14 02:50:36 +0000 2016,en,3,False,10,False,,Randi Zuckerberg,randizuckerberg
Will good packaging foretell success? #Billys #QuitYourDayJob @Oxygen,Thu Apr 14 02:48:08 +0000 2016,en,2,False,6,False,,Randi Zuckerberg,randizuckerberg
Acai @Lea is impressed! #AcaiYouHateMyPuns #QuitYourDayJob @Oxygen,Thu Apr 14 02:41:03 +0000 2016,pt,3,False,6,False,,Randi Zuckerberg,randizuckerberg
What’s wrong with a little healthy competition?  #QuitYourDayJob @Oxygen,Thu Apr 14 02:37:01 +0000 2016,en,4,False,8,False,,Randi Zuckerberg,randizuckerberg
Bringing in the big guns! @tether  #QuitYourDayJob @Oxygen,Thu Apr 14 02:35:13 +0000 2016,en,3,False,8,False,,Randi Zuckerberg,randizuckerberg
A good team is EVERYTHING. Especially if they bring pizza. #QuitYourDayJob @Oxygen,Thu Apr 14 02:33:02 +0000 2016,en,3,False,11,False,,Randi Zuckerberg,randizuckerberg
