Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @elonmusk: Just wanted to write a note of appreciation for all those who have supported Tesla, SpaceX &amp; SolarCity over the years. Thank…",Sat Apr 09 03:53:52 +0000 2016,en,7415,False,0,False,,Randy Glein,rglein
RT @POTUS: Congrats SpaceX on landing a rocket at sea. It's because of innovators like you &amp; NASA that America continues to lead in space e…,Sat Apr 09 03:53:13 +0000 2016,en,17553,False,0,False,,Randy Glein,rglein
RT @KacieGonzalez: HUGE congrats to @rglein @KenHowery @elonmusk and the @SpaceX team on the successful landing of Falcon 9! https://t.co/f…,Sat Apr 09 03:52:04 +0000 2016,en,1,False,0,False,,Randy Glein,rglein
RT @DFJvc: Congrats! @NYTimes names @DFJvc @rglein and @dfjJosh to the list of Top 100 VCs! https://t.co/nQDzhd1c8g https://t.co/voIzpGVXSe,Mon Mar 14 20:35:08 +0000 2016,en,9,False,0,False,,Randy Glein,rglein
RT @nehal321: @rglein talks about Changing the World!! #dare2bdigital #STEAM https://t.co/iep5KERqQf,Sat Feb 27 22:10:06 +0000 2016,en,1,False,0,False,,Randy Glein,rglein
RT @jbayha: Randy Glein inspires youth about future of transportation #dare2bdigital #VC #tesla #dfj https://t.co/U0y16ewDdx,Sat Feb 27 22:09:56 +0000 2016,en,3,False,0,False,,Randy Glein,rglein
RT @alexrkonrad: Thanks @joshk @pmarca @rglein @cmoldow @JoetheVC @asanwal @CBinsights for the expertise. If just 20 independent thinkers i…,Tue Jan 19 20:25:10 +0000 2016,en,6,False,0,False,,Randy Glein,rglein
RT @DFJvc: USC Viterbi alum @DFJvc @rglein invests in technology leaders https://t.co/uH7NrtNdWf,Wed Dec 23 03:45:38 +0000 2015,en,3,False,0,False,,Randy Glein,rglein
RT @DFJvc: “We look for visionary entrepreneurs who think really big.” @DFJvc partner @rglein https://t.co/3c7bMCKHFx,Tue Dec 22 16:18:16 +0000 2015,en,7,False,0,False,,Randy Glein,rglein
"RT @elonmusk: 11 satellites deployed to target orbit and Falcon has landed back at Cape Canaveral. Headed to LZ-1. Welcome back, baby!",Tue Dec 22 02:35:45 +0000 2015,en,10358,False,0,False,,Randy Glein,rglein
RT @SpaceX: The Falcon 9 first stage landing is confirmed. Second stage continuing nominally. https://t.co/RX2QKSl0z7,Tue Dec 22 01:56:48 +0000 2015,en,14940,False,0,False,,Randy Glein,rglein
