Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Wow!  https://t.co/XOtfWtpe9Q,Fri Apr 22 15:57:46 +0000 2016,und,0,False,0,False,,Rob Weber,robertjweber
"RT @NASA: A purple nebula, in honor of Prince, who passed away today. https://t.co/7buFWWExMw https://t.co/ONQDwSQwVa",Fri Apr 22 03:02:00 +0000 2016,en,51349,False,0,False,,Rob Weber,robertjweber
RT @NFL: One of the greatest Super Bowl Halftime performances of all-time. #RIPPrince  https://t.co/B6aHzYUCoG,Fri Apr 22 01:53:55 +0000 2016,en,21553,False,0,False,,Rob Weber,robertjweber
"RT @giordanobc: Good job, NYC https://t.co/2YqukSYdno",Fri Apr 22 00:18:24 +0000 2016,en,2,False,0,False,,Rob Weber,robertjweber
@tornquist Thanks for the follow. Any idea why Trivia Crack isn't #1 in the US for keyword 'trivia'? Seems odd to me based on that ASO chart,Thu Apr 21 19:23:41 +0000 2016,en,0,False,1,False,,Rob Weber,robertjweber
RT @TheVertical: The Lakers hesitate -- and lose chance to hire coach who long wanted them: Tom Thibodeau. @WojVerticalNBA column: https://…,Thu Apr 21 00:10:31 +0000 2016,en,547,False,0,False,,Rob Weber,robertjweber
Interesting... First time I've heard someone credible state that Total Downloads is a top App Store ASO factor. https://t.co/cPj6QU6ljk,Wed Apr 20 15:18:33 +0000 2016,en,1,False,0,False,,Rob Weber,robertjweber
RT @mnvikingsfan: I'll be attending #GMIC for @nativex in Beijing from 4/28 - 5/2. Reach out if you'd like to connect.,Tue Apr 19 21:29:47 +0000 2016,en,3,False,0,False,,Rob Weber,robertjweber
"@dwood74 It is a bit undecided still, but seems like this position will end up going to our SF team",Tue Apr 19 21:19:57 +0000 2016,en,0,False,0,False,,Rob Weber,robertjweber
Lovely 6 periods of playoff hockey without a Wild goal.  https://t.co/4e31fZnY6X,Sun Apr 17 02:34:35 +0000 2016,en,0,False,0,False,,Rob Weber,robertjweber
RT @itheeayb: 😂😂😂😂😂 I musta hit you too hard last year RT @Ebron85: L on Thanksgiving (mark that)  https://t.co/jXJ4tFs7DQ,Fri Apr 15 01:44:25 +0000 2016,en,271,False,0,False,,Rob Weber,robertjweber
"Paid search in the App Store would be great for devs, especially since many can't compete for display inventory https://t.co/q6yKa8R3cO",Thu Apr 14 23:10:56 +0000 2016,en,1,False,1,False,,Rob Weber,robertjweber
"RT @Ryan_Boser: Two years after passing on Teddy/Carr/Bortles despite needing a QB, these teams commit the wildest QB overpays. https://t.c…",Thu Apr 14 21:00:06 +0000 2016,en,12,False,0,False,,Rob Weber,robertjweber
@tomodz I'd like to connect our teams to discuss cooperation. Can you intro me to someone in your team?,Thu Apr 14 18:20:50 +0000 2016,en,0,False,0,False,,Rob Weber,robertjweber
@ericpartyka579 Are you still at RealSavvy? Ranking high in realestate terms is easy based on experience I had w/ another realestate startup,Thu Apr 14 17:32:26 +0000 2016,en,0,False,0,False,,Rob Weber,robertjweber
@ericpartyka579 Put a lot of the findings in free white paper- https://t.co/c2Rb2D08jL Big breakthroughs on off-store factors,Thu Apr 14 17:28:58 +0000 2016,en,0,False,0,False,,Rob Weber,robertjweber
"@ericpartyka579 ahh, ok. Good to know. I've been experimenting w/ some new ASO optimization things &amp; having a lot of success",Thu Apr 14 16:59:54 +0000 2016,en,0,False,1,False,,Rob Weber,robertjweber
"@ericpartyka579 I saw your Quora post on ASO for SocialSell. Are you getting the keyword ranks you want now, or still room for improvement?",Thu Apr 14 16:57:34 +0000 2016,en,0,False,0,False,,Rob Weber,robertjweber
"@andytriboletti If you are looking at buying installs, check out Search Spike installs from Native X. They boost your chart AND search rank",Thu Apr 14 16:29:36 +0000 2016,en,0,False,0,False,,Rob Weber,robertjweber
RT @mnvikingsfan: The evil facebook ad reporting https://t.co/NWZhWjQ6Ql via @jayajha,Thu Apr 14 16:15:01 +0000 2016,en,1,False,0,False,,Rob Weber,robertjweber
@Phil_Cleaveland Welcome to Twitter! You need to change your icon and post some other stuff,Thu Apr 14 14:39:29 +0000 2016,en,0,False,0,False,,Rob Weber,robertjweber
RT @rbroshar: MPLS-Based Zivix Rocks! - AirJamz: The Wearable Air Guitar From the Makers of jamstik+ is popular on @Kickstarter! https://t.…,Thu Apr 14 03:29:58 +0000 2016,en,2,False,0,False,,Rob Weber,robertjweber
"RT @marc_parrish_: A man in a tree made a whole city laugh. Then his mom spoke out, and the laughing stopped. https://t.co/gmwWd8LEMH",Thu Apr 14 01:09:30 +0000 2016,en,1,False,0,False,,Rob Weber,robertjweber
RT @benchwarmerdan: A 7 foot center is not supposed to do this. Towns is amazing. https://t.co/sNVLDAnGAd,Thu Apr 14 01:06:51 +0000 2016,en,223,False,0,False,,Rob Weber,robertjweber
"RT @DenizGezgin80: Good article!

https://t.co/N47sQeWTVa",Tue Apr 12 01:51:13 +0000 2016,en,1,False,0,False,,Rob Weber,robertjweber
