Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"No pressure, no diamonds.",Thu Apr 07 23:24:50 +0000 2016,it,3,False,16,False,,Robin Chan,robinchan
"Cool @KimuraGlass set, paid by @Square! https://t.co/lhxKIPJFlH",Wed Apr 06 08:33:12 +0000 2016,en,0,False,3,False,,Robin Chan,robinchan
RT @meknyc: One channel: Omnichannel becomes the messaging channel: Connecting with consumers as humans. @robinchan @operator #PTTOWSummit,Mon Apr 04 20:14:43 +0000 2016,en,2,False,0,False,,Robin Chan,robinchan
"RT @Chrysi: ""Messaging is eating the browser"" @robinchan #PTTOWSummit #Truth",Mon Apr 04 20:03:57 +0000 2016,en,3,False,0,False,,Robin Chan,robinchan
The new iPhone. What startups will get built on top? https://t.co/zzz22ibhMg,Mon Apr 04 00:42:50 +0000 2016,en,2,False,7,False,,Robin Chan,robinchan
RT @DarahGrimm: Beijing mafia at #buildgala @BUILDNational tremendous cause! @marshallroslyn @jonstull  @robinchan @emilychangtv https://t.…,Sun Mar 13 08:29:21 +0000 2016,en,2,False,0,False,,Robin Chan,robinchan
@delk venmo me happy to charge you :) @owenbrainard @operator,Wed Mar 09 16:58:38 +0000 2016,en,0,False,2,False,,Robin Chan,robinchan
@owenbrainard you are an Operator... ;) @delk  https://t.co/oWzIh2FLsX,Wed Mar 09 16:40:05 +0000 2016,en,0,False,3,False,,Robin Chan,robinchan
"@BenBajarin there is also a bias to look at millennials as indicators, this may start upper mass 1st vs youth @joshelman @syang",Wed Mar 09 14:59:12 +0000 2016,en,0,False,2,False,,Robin Chan,robinchan
@BenBajarin perhaps how they have been designed historically. we see them evolving imminently into richcommerce platforms @syang @joshelman,Wed Mar 09 14:51:56 +0000 2016,en,0,False,1,False,,Robin Chan,robinchan
The Command Line for Commerce by @syang @operator https://t.co/WLgFe5sJKt,Wed Mar 09 14:35:14 +0000 2016,en,7,False,14,False,,Robin Chan,robinchan
RT @hanstung: @hugo @robinchan wow..9.3M people placed advance booking for Mi phone in 2-3 days? #XiaomiMi5 https://t.co/9oroDdvX0y,Sat Feb 27 05:37:03 +0000 2016,en,2,False,0,False,,Robin Chan,robinchan
@lee94josh ah :),Mon Jan 25 22:07:49 +0000 2016,und,0,False,1,False,,Robin Chan,robinchan
"@lee94josh thanks for the feedback, we are figuring the right balance",Mon Jan 25 03:30:13 +0000 2016,en,0,False,1,False,,Robin Chan,robinchan
"RT @GreylockVC: ""Messaging is going to be the interface - or the anti-interface - of the next phase of the internet"" -@robinchan https://t.…",Wed Jan 06 18:19:26 +0000 2016,en,26,False,0,False,,Robin Chan,robinchan
RT @joshelman: Great article on how we are moving into conversational interfaces and products (and bots). @robinchan @operator https://t.co…,Wed Jan 06 17:56:45 +0000 2016,en,13,False,0,False,,Robin Chan,robinchan
"RT @NadjaB: Congrats to @robinchan, @gmc &amp; the whole @operator team on being a Crunchies finalist! https://t.co/5xCIafiSVF https://t.co/UmG…",Tue Dec 29 00:17:27 +0000 2015,en,3,False,0,False,,Robin Chan,robinchan
Getting ready for New Years in Havana with some @operator help. Even hired @hbarra as my translator :) https://t.co/nFQduvVoBM,Fri Dec 25 23:30:19 +0000 2015,en,2,False,18,False,,Robin Chan,robinchan
Hey @vibhu @operator is ready for @b8ta integration,Sun Dec 20 04:00:35 +0000 2015,en,0,False,5,False,,Robin Chan,robinchan
The big picture: @Uber @facebook and @operator https://t.co/XA0Z00CxRA,Fri Dec 18 08:57:54 +0000 2015,en,2,False,9,False,,Robin Chan,robinchan
@bupbin we know :) that and other features coming soon to @operator,Thu Dec 17 15:47:39 +0000 2015,en,0,False,1,False,,Robin Chan,robinchan
"RT @wilsonkriegel: Congrats to @robinchan and Operator. The 25 hottest startups that launched in 2015
https://t.co/qxtpAxZkz6 a",Fri Dec 11 04:51:45 +0000 2015,en,3,False,0,False,,Robin Chan,robinchan
@joshelman alibaba,Tue Dec 08 17:10:57 +0000 2015,tl,0,False,3,False,,Robin Chan,robinchan
RT @padbury: Used @shyp and @operator for the first time this week. Both felt like when I used @uber for the first time.,Fri Dec 04 17:50:40 +0000 2015,en,4,False,0,False,,Robin Chan,robinchan
@chrismessina great minds think alike :),Tue Dec 01 18:52:41 +0000 2015,en,0,False,1,False,,Robin Chan,robinchan
@bonatsos some industries require insider connections.  But I respect and support your broader point,Tue Dec 01 18:00:38 +0000 2015,en,0,False,1,False,,Robin Chan,robinchan
@srcasm yeah you are seeing a peek of our Ai system that routes to experts on @operator... Work in progress.. getting more accurate daily,Mon Nov 30 23:28:07 +0000 2015,en,0,False,1,False,,Robin Chan,robinchan
"@MichaelLatman fixing soon, thanks for feedback",Mon Nov 30 20:39:41 +0000 2015,en,0,False,0,False,,Robin Chan,robinchan
"@GoldenChaos totally agree, goal is for you to get anything via @operator at same price, with none of the work. Just three weeks old!  Tks",Sun Nov 29 23:48:09 +0000 2015,en,0,False,2,False,,Robin Chan,robinchan
"@GoldenChaos if you find a better total price, we are happy to match it.  We try hard to deliver great service and the best price each time.",Sun Nov 29 23:40:16 +0000 2015,en,0,False,0,False,,Robin Chan,robinchan
"@GoldenChaos hey Jason you pay the same price working through us vs doing it on your own, including the free shipping part",Sun Nov 29 22:48:55 +0000 2015,en,0,False,0,False,,Robin Chan,robinchan
@djemmamay got you @operatorsupport will sort it out!,Sun Nov 29 04:08:58 +0000 2015,en,0,False,0,False,,Robin Chan,robinchan
@srcasm I got you @operatorsupport will sort it out thx @joemarchese,Sun Nov 29 04:06:15 +0000 2015,en,0,False,2,False,,Robin Chan,robinchan
"@ovonhauske we got you, @operatorsupport is on it!",Sat Nov 28 18:25:01 +0000 2015,en,0,False,0,False,,Robin Chan,robinchan
Surge Shopping courtesy of @operator #BlackFriday #AskOperator https://t.co/Ir1Goaz5jK,Fri Nov 27 18:53:49 +0000 2015,en,0,False,15,False,,Robin Chan,robinchan
"RT @operator: Avoid the madness on #BlackFriday, have a RelaxFriday. Just #AskOperator https://t.co/QTXkHppKwS",Thu Nov 26 02:04:21 +0000 2015,en,9,False,0,False,,Robin Chan,robinchan
"@slazar hey thanks for the feedback, we are getting a surge of requests heading into holiday shopping season. Thanks for your patience",Tue Nov 24 02:04:55 +0000 2015,en,0,False,1,False,,Robin Chan,robinchan
