Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @sohailprasad: Today's definitely one of those pivotal days, one of those days where everything changes. Here's to hoping I'll look back…",Wed Oct 21 01:08:22 +0000 2015,en,1,False,0,False,,Samvit Ramadurgam,rsamvit
RT @ManuKumar: For a startup $100K/mo revenue can sometimes be a dangerous place to be. #PlateauOfComplacency http://t.co/s0s6gf0uhO http:/…,Sat Jun 06 21:26:02 +0000 2015,en,21,False,0,False,,Samvit Ramadurgam,rsamvit
RT @Harjeet: One thing I still tend to underestimate is the power of deadlines.,Wed Mar 18 19:59:32 +0000 2015,en,74,False,0,False,,Samvit Ramadurgam,rsamvit
@ilyasu can't live without it,Thu Oct 16 00:32:18 +0000 2014,en,0,False,0,False,,Samvit Ramadurgam,rsamvit
"How to start seeing your iOS8 Health data! Steps, flights climbed, and more http://t.co/rLhi4oDjf3 via @aprilzero",Sun Sep 28 00:32:13 +0000 2014,en,0,False,0,False,,Samvit Ramadurgam,rsamvit
"@wolframtap KnotData[{8, 4}]",Fri Sep 19 01:23:02 +0000 2014,en,0,False,0,False,,Samvit Ramadurgam,rsamvit
".@crunchbase The new api was supposed to be ""locked down"" on May 26th but you recently changed the ""press"" key to ""news"" Give us a heads up!",Tue Jun 10 01:13:13 +0000 2014,en,0,False,0,False,,Samvit Ramadurgam,rsamvit
"Eight Terminal Utilities Every OS X Command Line User Should Know
http://t.co/Ei3N1jtnGa",Thu May 15 08:34:46 +0000 2014,en,0,False,0,False,,Samvit Ramadurgam,rsamvit
"RT @jjeremycai: @GetStreem = Pied Piper from #SiliconValleyHBO but better
@google watch out",Mon Apr 28 20:36:53 +0000 2014,en,3,False,0,False,,Samvit Ramadurgam,rsamvit
How I Hacked Your Router http://t.co/wxBk6pdFBj via @wordpressdotcom,Sun Apr 06 00:52:44 +0000 2014,en,0,False,0,False,,Samvit Ramadurgam,rsamvit
"RT @ClassicPixs: 19 years ago today,  the Netscape Navigator 1.0 web browser was released. http://t.co/3WiuzetXni",Thu Feb 27 07:21:54 +0000 2014,en,4087,False,0,False,,Samvit Ramadurgam,rsamvit
Support Neovim:+vim's+rebirth+for+the+21st+century on @Bountysource! https://t.co/a9zz99c4Pg,Sun Feb 23 05:04:55 +0000 2014,en,0,False,0,False,,Samvit Ramadurgam,rsamvit
Very thorough #aws tips http://t.co/mb1sR1Kp0B,Tue Feb 04 00:53:54 +0000 2014,en,1,False,0,False,,Samvit Ramadurgam,rsamvit
RT @VentureBeat: Equidate can help employees 'unlock their net worth' with its alternative to secondary markets http://t.co/H1M1dylI1o by @…,Fri Jan 31 08:08:02 +0000 2014,en,5,False,0,False,,Samvit Ramadurgam,rsamvit
Equidate can help employees ‘unlock their net worth’ with its alternative to secondary markets http://t.co/hEZunhsZc2 via @VentureBeat,Fri Jan 31 00:43:41 +0000 2014,en,1,False,0,False,,Samvit Ramadurgam,rsamvit
"I am excited to announce our launch of @Equidate, a marketplace for startup equity! http://t.co/EsbJN0jjmE",Thu Jan 30 21:44:03 +0000 2014,en,0,False,2,False,,Samvit Ramadurgam,rsamvit
I just got a perfect score in #QuizUp! https://t.co/RXFP9pSd5g http://t.co/uDydFl14ZM,Wed Jan 01 23:36:10 +0000 2014,en,0,False,0,False,,Samvit Ramadurgam,rsamvit
RT @SlexAxton: MongoDB: snapchat for databases.,Fri Dec 06 06:16:49 +0000 2013,tl,416,False,0,False,,Samvit Ramadurgam,rsamvit
@tpanum If I could get hiccups working for the templating I could be quite happy with it.,Wed Nov 06 19:02:29 +0000 2013,en,0,False,0,False,,Samvit Ramadurgam,rsamvit
My favorite talk from  #startupschool http://t.co/ZCcyw45CrK,Sun Oct 27 09:10:44 +0000 2013,en,0,False,0,False,,Samvit Ramadurgam,rsamvit
"I completed ""You Can't JavaScript Under Pressure"" in 7 minutes, 33 seconds! Can you code quicker? http://t.co/JS1FJilBcH",Fri Oct 04 08:27:58 +0000 2013,en,0,False,0,False,,Samvit Ramadurgam,rsamvit
RT @paulg: First gear found in a living creature: http://t.co/19Rwql6O3p,Fri Sep 13 03:22:24 +0000 2013,en,106,False,0,False,,Samvit Ramadurgam,rsamvit
RT @rhs: Improving rsync http://t.co/PdiWJYwenr,Mon Sep 02 21:39:59 +0000 2013,en,1,False,0,False,,Samvit Ramadurgam,rsamvit
An excellent example of the power of Macros. http://t.co/cCShuStMUR #clojure,Sun Aug 18 00:20:37 +0000 2013,en,0,False,1,False,,Samvit Ramadurgam,rsamvit
"RT @levie: Dear NSA, You're doing it wrong. Everyone knows the right way to do this is just to launch a social network.",Sat Jun 08 20:32:56 +0000 2013,en,255,False,0,False,,Samvit Ramadurgam,rsamvit
I can't believe I ever coded in Clojure without https://t.co/J6YfyVBEE6,Sat Apr 27 10:49:13 +0000 2013,en,0,False,3,False,,Samvit Ramadurgam,rsamvit
RT @tagx: Whoah https://t.co/qRDMnZa90Q,Mon Apr 15 00:25:27 +0000 2013,en,1,False,0,False,,Samvit Ramadurgam,rsamvit
RT @tpope: In which Richard Stallman learns what “tabs” are and contemplates adding them to Emacs. http://t.co/xtXHGEh6Z9,Mon Apr 15 00:22:24 +0000 2013,en,71,False,0,False,,Samvit Ramadurgam,rsamvit
"@MichaelDrogalis Actually I think when you see code that has the same pattern like this, macros can be used to eliminate the boilerplate",Sun Apr 14 07:27:12 +0000 2013,en,0,False,0,False,,Samvit Ramadurgam,rsamvit
"Console.log with style, by @adamfschwartz. http://t.co/DgSP1cMCE3",Sat Apr 13 01:41:59 +0000 2013,en,0,False,0,False,,Samvit Ramadurgam,rsamvit
