Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @cristin_carey: Avvo content strategy team at #wiadsea16 #represent @katiestar @DPost3 @dave_holmberg https://t.co/edxzso76mM,Sun Feb 21 01:35:22 +0000 2016,en,3,False,0,False,,Sachin Bhatia,sachbhat
Math ruins everything. https://t.co/WG4ggR9pp5,Sat Jan 16 06:15:08 +0000 2016,en,0,False,1,False,,Sachin Bhatia,sachbhat
RT @coldplums: So important to remember as we mourn #DavidBowie &amp; #AlanRickman: both were products of govt-funded arts programs. https://t.…,Sat Jan 16 06:07:31 +0000 2016,en,9804,False,0,False,,Sachin Bhatia,sachbhat
You change the world by changing peoples’ hearts and imaginations. https://t.co/1h4Ri3H4iL,Sat Jan 16 06:03:19 +0000 2016,en,0,False,0,False,,Sachin Bhatia,sachbhat
"Yeah, I wouldn't either. I'd use an attorney on @avvo instead https://t.co/6CzXwrEENG",Fri Jan 15 17:11:31 +0000 2016,en,1,False,6,False,,Sachin Bhatia,sachbhat
RIP Hendu (cc @joshuamking) https://t.co/m7u0WxSpQO,Tue Dec 29 00:47:49 +0000 2015,in,0,False,1,False,,Sachin Bhatia,sachbhat
Front page NY Times editorial on gun control - https://t.co/dt15fs1fog https://t.co/4T4f07Zyes via @nuzzel,Sat Dec 05 17:14:21 +0000 2015,en,1,False,1,False,,Sachin Bhatia,sachbhat
"RT @mdudas: ""It is a paid world. Google is an ads engine and they drive paid traffic to advertisers."" https://t.co/mUSh9TbU0E https://t.co/…",Mon Oct 26 03:48:28 +0000 2015,en,16,False,0,False,,Sachin Bhatia,sachbhat
"Policing, Mass Imprisonment, and the Failure of American Lawyers (via @Pocket) #longreads http://t.co/UThGRtLteg",Fri May 22 05:23:44 +0000 2015,en,0,False,0,False,,Sachin Bhatia,sachbhat
@abrams thanks - just wanted to confirm it was not news-uhl. I just started using it and it’s fantastic.,Thu May 14 23:53:57 +0000 2015,en,0,False,1,False,,Sachin Bhatia,sachbhat
@abrams silly question - how do I pronounce nuzzle? I want to include it in closing presentation at our conference on new tech,Thu May 14 19:23:28 +0000 2015,en,0,False,0,False,,Sachin Bhatia,sachbhat
"@gyitsakalakis thanks - I knew it was a number, just not sure which one, obviously.",Wed May 13 23:09:29 +0000 2015,en,0,False,1,False,,Sachin Bhatia,sachbhat
"RT @gyitsakalakis: For @sachbhat daily basis, 15% of queries have never been seen before by Google's search engine. #lawyernomics http://t.…",Wed May 13 23:08:08 +0000 2015,en,5,False,0,False,,Sachin Bhatia,sachbhat
"RT @johnmaeda: ""We know that people. Don’t. Read. Each. Individual. Word."" —@laura_type http://t.co/2MLJRcalA7 via @userexperience http://t…",Sun Mar 22 02:05:58 +0000 2015,en,53,False,0,False,,Sachin Bhatia,sachbhat
"Just bought a copy of @khoi's new book, @HowTheyGotThere—career interviews with digital designers: http://t.co/SLd3RSd5JD",Sat Mar 14 13:58:18 +0000 2015,en,0,False,0,False,,Sachin Bhatia,sachbhat
@gruber you were saying?,Sun Jan 18 23:30:39 +0000 2015,en,0,False,1,False,,Sachin Bhatia,sachbhat
