Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @fadig: Yes why ???? Why is #Goldman Sachs funding the violent, racist Jewish settlers of Hebron?   https://t.co/AT2SKuQLDu",Tue Apr 12 09:01:56 +0000 2016,en,7,False,0,False,,Samih Toukan,samihtoukan
RT @SpaceX: 4K footage from chase plane https://t.co/ZtdZHadUos,Sat Apr 09 06:31:48 +0000 2016,en,5108,False,0,False,,Samih Toukan,samihtoukan
RT @AFP: #UPDATE SpaceX lands rocket on ocean platform for first time https://t.co/Y2PcK5vaY9,Fri Apr 08 21:37:56 +0000 2016,en,67,False,0,False,,Samih Toukan,samihtoukan
Why the Arab world must embrace placing art online https://t.co/B5B91Sxjcs via @AlArabiya_Eng,Fri Apr 08 18:46:36 +0000 2016,en,2,False,6,False,,Samih Toukan,samihtoukan
@RandaHabib congratulations Randa :-),Thu Apr 07 20:08:13 +0000 2016,en,0,False,0,False,,Samih Toukan,samihtoukan
Happy to be an investor withnew Jordanian Fintech startup! Liwwa announces 2.3M round  https://t.co/cIqjo9lkFA,Wed Apr 06 15:10:45 +0000 2016,en,3,False,9,False,,Samih Toukan,samihtoukan
RT @namekz: Announced our investment in @liwwa_com with @DASHventures @samihtoukan to take on SME lending #MENA: https://t.co/lqK4Tr5hS4 @s…,Wed Apr 06 15:04:13 +0000 2016,en,5,False,0,False,,Samih Toukan,samihtoukan
RT @TechCrunch: Quora's first acquisition is Arab Spring instigator's Q&amp;A site Parlio https://t.co/lLGU7wPIMv by @joshconstine https://t.co…,Thu Mar 31 10:05:22 +0000 2016,en,54,False,0,False,,Samih Toukan,samihtoukan
@Ghonim Congratulatiobs Wael!,Thu Mar 31 05:36:03 +0000 2016,in,0,False,1,False,,Samih Toukan,samihtoukan
"RT @grabbdapp: We are very excited here at Grabbd App to start “What’s on your list?” series.
https://t.co/k7aa8BTLJy",Mon Mar 28 16:19:26 +0000 2016,en,4,False,0,False,,Samih Toukan,samihtoukan
Excited to be a cofounder :-) https://t.co/X3WerUl8BN,Tue Mar 22 09:54:36 +0000 2016,en,2,False,9,False,,Samih Toukan,samihtoukan
Study: Immigrants Founded 51% of U.S. Billion-Dollar Startups https://t.co/OqA4H9hY2c via @WSJD,Fri Mar 18 05:26:26 +0000 2016,en,4,False,5,False,,Samih Toukan,samihtoukan
"RT @RashaManna: $1Mn #globalteacherprize goes 2 #Palestine's @hanan_hroub -plans 2 use money 2support #refugee students
https://t.co/cn4RUS…",Sun Mar 13 20:39:13 +0000 2016,en,7,False,0,False,,Samih Toukan,samihtoukan
