Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @TwitterData: #RIPPrince. The world Tweeted over 6M times today paying tribute to the music legend. A visualization of the Tweets: https…,Fri Apr 22 07:46:29 +0000 2016,en,2008,False,0,False,,Shailesh Rao,shaileshrao
"Easy to pander to masses or play to a niche. Legends draw world to their unique POV,expand our thinking @prince  https://t.co/sIeyE38QMx",Thu Apr 21 17:39:34 +0000 2016,en,2,False,3,False,,Shailesh Rao,shaileshrao
RT @dineshjoshi70: The Photographer kept 18 cameras for 62 days to take this shot.This is absolute perfection !  @TandonRaveena https://t.c…,Thu Apr 21 16:20:06 +0000 2016,en,422,False,0,False,,Shailesh Rao,shaileshrao
A magical player from my youth is gone. A sad day https://t.co/bSQTRr3FXr,Thu Apr 21 07:33:56 +0000 2016,en,0,False,1,False,,Shailesh Rao,shaileshrao
Excited to announce @kathychen2016 as our new MD of Greater China. Looking forward to growing our @TwitterGCN business under her leadership!,Fri Apr 15 00:22:45 +0000 2016,en,11,False,42,False,,Shailesh Rao,shaileshrao
RT @pgreenberger: Welcome to @TwitterSG to our friends from @TwitterIndia! https://t.co/N48SEQkHYJ,Thu Mar 31 04:45:33 +0000 2016,en,2,False,0,False,,Shailesh Rao,shaileshrao
Will do. Good to meet and congrats on the new gig https://t.co/dkB4hBlSK5,Wed Mar 30 01:21:51 +0000 2016,en,0,False,2,False,,Shailesh Rao,shaileshrao
Nicely done. #digitalguru  https://t.co/fZdvmTSXiK,Mon Mar 28 00:31:02 +0000 2016,en,1,False,0,False,,Shailesh Rao,shaileshrao
RT @guilhermerib: #LoveTwitter bc of the opportunity of working w/ the most brilliant ppl i've ever met. #Br #Mx #Mia #Co #Global https://t…,Mon Mar 21 04:05:10 +0000 2016,en,20,False,0,False,,Shailesh Rao,shaileshrao
It's a privilege to serve this incredible platform. Thx to our users/partners for making it so special #LoveTwitter  https://t.co/NYtl9XO5xF,Mon Mar 21 01:55:33 +0000 2016,en,5,False,32,False,,Shailesh Rao,shaileshrao
Welcome to the platform. We are excited to have you! https://t.co/c2ZTE05InC,Wed Mar 16 12:06:09 +0000 2016,en,0,False,5,False,,Shailesh Rao,shaileshrao
RT @TwitterAdsSG: Learn the tactics to create high quality content and save more time on Twitter. Sign up for #GrowWithTwitter 2 now. https…,Wed Mar 16 01:27:34 +0000 2016,en,21,False,0,False,,Shailesh Rao,shaileshrao
We don't treat victimization equally. Root is persistent narrative of racial difference which justifies indifference https://t.co/Oo6fN01hQm,Sun Mar 13 19:29:50 +0000 2016,en,2,False,4,False,,Shailesh Rao,shaileshrao
"""My ability to trust is gone. I wish I could. Today,as a free man,I keep a diary to prove whereabouts everyday"" https://t.co/dwhHpR1FDX",Sun Mar 13 19:23:01 +0000 2016,en,1,False,2,False,,Shailesh Rao,shaileshrao
"Here is Anthony Ray Hinton- sentenced to death, incorrectly jailed for 30 yrs and recently released through @eji_org https://t.co/Bbt3UfRDUz",Sun Mar 13 18:40:55 +0000 2016,en,3,False,5,False,,Shailesh Rao,shaileshrao
@abh1nay bryan Stevenson,Sun Mar 13 18:26:12 +0000 2016,en,0,False,1,False,,Shailesh Rao,shaileshrao
Some stats for you: 1972 - 300k in jail. 2016 - 2.3m.  Largest incarcerated population in the world.,Sun Mar 13 18:22:55 +0000 2016,en,2,False,3,False,,Shailesh Rao,shaileshrao
"Look fwd to hearing Bryan Stevenson speak abt fighting injustice @eji_org #StatesofDenialBKM. ""Hope sustains me"" https://t.co/ON0AQ4xsGp",Sun Mar 13 18:12:33 +0000 2016,en,2,False,5,False,,Shailesh Rao,shaileshrao
RT @tweetWRS: LIVE on #Periscope: #TheNextAhMeng makes her appearance with her family!  https://t.co/2eZCYjcKKQ,Fri Feb 26 10:30:37 +0000 2016,en,2,False,0,False,,Shailesh Rao,shaileshrao
I see a lot of stunning photos on Twitter but this one esp since it is from a friend is esp breathtaking https://t.co/JW1Y9elkhm,Mon Feb 22 04:54:50 +0000 2016,en,0,False,7,False,,Shailesh Rao,shaileshrao
Congrats my friend!  Trinity is lucky to have you on their team.  https://t.co/UQYTgea2No,Sat Feb 20 15:34:08 +0000 2016,en,0,False,2,False,,Shailesh Rao,shaileshrao
LIVE on #Periscope: Angkor Wat with my Dad https://t.co/3WzJJ7lAiq,Sat Feb 13 03:21:28 +0000 2016,en,0,False,12,False,,Shailesh Rao,shaileshrao
Veggie table getting ready for Chinese New Year lunch - annual Twitter tradition! #GongXiFaCai @TwitterSG #lohei https://t.co/nwLMi8XujN,Fri Feb 12 05:35:56 +0000 2016,en,1,False,33,False,,Shailesh Rao,shaileshrao
RT @AmritadelaPena: #TheOne&amp;Only  @parrysingh@skalifowitz @jacqueline@maya_hari @ediblegarden@pgreenberger  @Asymmetrica@taranjeet24 https:…,Fri Feb 12 02:55:29 +0000 2016,en,10,False,0,False,,Shailesh Rao,shaileshrao
"RT @TwitterPH: Mabuhay, #Philippines! Happy to be part of your community. Salamat to our users, partners, advertisers for their support! Mo…",Mon Feb 08 11:57:35 +0000 2016,en,126,False,0,False,,Shailesh Rao,shaileshrao
Thank you @SenatorFifield for your support! https://t.co/TVf4aEPRAv,Thu Feb 04 06:18:48 +0000 2016,en,0,False,4,False,,Shailesh Rao,shaileshrao
Pleasure to meet you @mikebairdMP and thank you for joining us on this important day.  Btw following you now! https://t.co/SqswFFVgeq,Thu Feb 04 04:55:31 +0000 2016,en,1,False,9,False,,Shailesh Rao,shaileshrao
So excited to be here on this special day! https://t.co/rNZ9XD5oKS,Wed Feb 03 20:59:09 +0000 2016,en,1,False,11,False,,Shailesh Rao,shaileshrao
"RT @bampen: Friends from Saudi 🇸🇦 share your pics &amp; videos from Al Janadriyah festival with our 1st ever local Saudi emoji!  #الجنادرية 
#T…",Tue Feb 02 12:01:00 +0000 2016,en,21,False,0,False,,Shailesh Rao,shaileshrao
RT @twitter: Celebrate #ChineseNewYear with Tweet-powered red packet emoji and a #CNYfortune horoscope: https://t.co/vr3tlmm8Nd https://t.c…,Mon Feb 01 03:41:24 +0000 2016,en,878,False,0,False,,Shailesh Rao,shaileshrao
@RaoPratiksha I am here btw https://t.co/BaR4GitEx8,Sat Jan 30 10:35:57 +0000 2016,en,0,False,0,False,,Shailesh Rao,shaileshrao
Hey there. Cool festival. Just hanging out or doing Twitter stuff or both? https://t.co/4FPDej10v2,Sat Jan 30 10:34:45 +0000 2016,en,0,False,1,False,,Shailesh Rao,shaileshrao
Not sure I've seen really cool band w/ kick ass female drummer (apologies white stripes). @bigscarymusic #LanewaySG https://t.co/noxn7nMuTA,Sat Jan 30 08:08:04 +0000 2016,en,0,False,6,False,,Shailesh Rao,shaileshrao
Check out @bigscarymusic Very cool Aussie band. Playing at #LanewaySG https://t.co/Y4AdnAjmvy,Sat Jan 30 07:54:01 +0000 2016,en,0,False,2,False,,Shailesh Rao,shaileshrao
Welcome to the flock @leslieberland ! https://t.co/ZDigVIxnLd,Wed Jan 27 01:07:37 +0000 2016,en,0,False,4,False,,Shailesh Rao,shaileshrao
RT @TwitterAU: Diversity is part of what makes 🇦🇺🇦🇺 great. Celebrate your way &amp; Tweet an #AustraliaDay pic! https://t.co/iO7SyJnKcA https:/…,Tue Jan 26 14:11:35 +0000 2016,en,263,False,0,False,,Shailesh Rao,shaileshrao
Go team! @TwitterSG  https://t.co/H2iYmBlHfF,Sun Jan 24 03:16:43 +0000 2016,en,0,False,5,False,,Shailesh Rao,shaileshrao
"Breadth &amp; Greatness: ""Little Wonder"", his duet w/ Bing Crosby, work w/ Tin Machine, and on Extras #greatness @rickygervais @DavidBowieReal",Mon Jan 11 19:36:34 +0000 2016,en,0,False,2,False,,Shailesh Rao,shaileshrao
"He will thru his music/culture impact. The name ""Bowie"" will be remembered forever &amp; will mean something important  https://t.co/DgJKFB4SMv",Mon Jan 11 19:26:28 +0000 2016,en,2,False,4,False,,Shailesh Rao,shaileshrao
RT @IntelIndia: Grammy winning composer @arrahman uses Intel Curie to turn fingertips into guitars at #CES https://t.co/5NJ3nWofyi https://…,Thu Jan 07 11:00:50 +0000 2016,en,1818,False,0,False,,Shailesh Rao,shaileshrao
RT @jack: https://t.co/bc5RwqPcAX,Wed Jan 06 12:30:54 +0000 2016,und,5714,False,0,False,,Shailesh Rao,shaileshrao
RT @TwitterSG: Bring in 2016 with a #HappyNewYear fireworks emoji! Now available in over 35 languages: https://t.co/eMLSITcMmd https://t.co…,Thu Dec 31 08:11:24 +0000 2015,en,21,False,0,False,,Shailesh Rao,shaileshrao
Were you at neyland stadium? https://t.co/JIN5atu0u0,Wed Dec 23 07:48:44 +0000 2015,en,0,False,0,False,,Shailesh Rao,shaileshrao
An important day https://t.co/vcrloytcfX,Tue Dec 22 04:06:23 +0000 2015,en,1,False,2,False,,Shailesh Rao,shaileshrao
LIVE on #Periscope: Wawrinka vs. Tomic - #IPTL @ Singapore Indoor Stadium https://t.co/5iOzJxCvpw,Sun Dec 20 09:59:44 +0000 2015,en,0,False,2,False,,Shailesh Rao,shaileshrao
You are a lucky man indeed https://t.co/Sz4mn8AfwE,Sat Dec 19 13:02:41 +0000 2015,en,1,False,1,False,,Shailesh Rao,shaileshrao
Thank you so much. It was a memorable evening indeed https://t.co/0hzr1djhyl,Fri Dec 18 15:47:07 +0000 2015,en,0,False,0,False,,Shailesh Rao,shaileshrao
That is simply brilliant https://t.co/vUxqHFBzOe,Fri Dec 18 15:45:53 +0000 2015,en,0,False,1,False,,Shailesh Rao,shaileshrao
I missed seeing Jordan play (not w/o trying) but I didn't miss the oppty to see/meet this guy. #GOAT #speechless https://t.co/5s8xNp4FxK,Fri Dec 18 15:16:51 +0000 2015,en,1,False,23,False,,Shailesh Rao,shaileshrao
Well said https://t.co/jBUeMPWv8G,Fri Dec 18 15:05:42 +0000 2015,en,0,False,0,False,,Shailesh Rao,shaileshrao
Hey I know that bird #Larry @rsjaitly https://t.co/aokkek0fEg,Fri Dec 18 14:25:21 +0000 2015,en,1,False,10,False,,Shailesh Rao,shaileshrao
LIVE on #Periscope: You like tennis? I SAID do you like tennis?? Federer nuff said https://t.co/UAUOicQY4w,Fri Dec 18 13:44:48 +0000 2015,en,0,False,4,False,,Shailesh Rao,shaileshrao
Ok @JakeRockCity here ya go #askandyeshallreceive https://t.co/cOkeR81irN,Fri Dec 18 13:44:36 +0000 2015,en,0,False,2,False,,Shailesh Rao,shaileshrao
With apologies to Tiger and Messi there is Michael Jordan and this guy #GOAT. This guy has a pretty good serve too https://t.co/G7Yh0fkgcw,Fri Dec 18 13:40:08 +0000 2015,en,0,False,1,False,,Shailesh Rao,shaileshrao
One of the most iconic serving motions in the history of tennis #iptl. My favorite player growing up. https://t.co/rTdCfhAwwO,Fri Dec 18 11:52:27 +0000 2015,en,1,False,3,False,,Shailesh Rao,shaileshrao
"@teguhwicaksono listened to music when I got home, specifically ""Disintegration"". It was great. Also some @radiohead for good measure",Thu Dec 17 14:33:08 +0000 2015,en,0,False,1,False,,Shailesh Rao,shaileshrao
Welcome! https://t.co/g16XNCkvlH,Fri Dec 11 05:55:08 +0000 2015,en,0,False,3,False,,Shailesh Rao,shaileshrao
The #BurjKhalifa at night #Dubai https://t.co/cF9tN0LpZT,Thu Dec 10 14:32:39 +0000 2015,en,0,False,8,False,,Shailesh Rao,shaileshrao
Dubai mall. The one in Atlantis is even bigger https://t.co/ERiAHTGifP,Thu Dec 10 14:30:18 +0000 2015,en,0,False,1,False,,Shailesh Rao,shaileshrao
Beautiful and massive aquarium...and its inside a shopping mall!  #Dubai https://t.co/cqBn3gKcj9,Thu Dec 10 14:01:44 +0000 2015,en,0,False,6,False,,Shailesh Rao,shaileshrao
"A ""wall"" of tweets inside the burj. #BurjKhalifa https://t.co/lcgXL313fz",Thu Dec 10 12:58:15 +0000 2015,en,0,False,7,False,,Shailesh Rao,shaileshrao
The view from the burj Khalifa on floor 125. #BurjKhalifa  wow. https://t.co/t5J90Imc4u,Thu Dec 10 12:57:38 +0000 2015,en,0,False,5,False,,Shailesh Rao,shaileshrao
"Watching La Glacé et Le Ciel.  Discn after. ""Now you know. What will you do about it?"" #claudelorius #climatechange https://t.co/Lmc9L9EOcj",Sun Dec 06 11:48:26 +0000 2015,en,1,False,4,False,,Shailesh Rao,shaileshrao
Conv w/ retired engineering head who helped launch Scoot for SIA on way home. Congrats Mr. Tay! #Humble #PapaJoe https://t.co/bewpVRhJnQ,Fri Dec 04 11:53:31 +0000 2015,en,0,False,3,False,,Shailesh Rao,shaileshrao
RT @TwitterIndia: Here's a list of specific hashtags you can use during #ChennaiRains https://t.co/NxIpYgFbAj,Wed Dec 02 07:30:28 +0000 2015,en,1333,False,0,False,,Shailesh Rao,shaileshrao
RT @TwitterIndia: Chennai residents using #ChennaiRainsHelp to assist with flood rescue &amp; relief efforts: https://t.co/IYbIV46ZUw https://t…,Wed Dec 02 07:22:25 +0000 2015,en,430,False,0,False,,Shailesh Rao,shaileshrao
I’ve picked Ohio State to be my @DrPepper #OneFinalTeam.  https://t.co/qvLemNPxJJ,Wed Dec 02 07:12:50 +0000 2015,en,0,False,1,False,,Shailesh Rao,shaileshrao
"RT @BuzzFeedNews: At this moment 60 years ago, Rosa Parks was arrested for an act of civil disobedience, refusing to give up her seat https…",Wed Dec 02 07:09:38 +0000 2015,en,1333,False,0,False,,Shailesh Rao,shaileshrao
