Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Great article by @ev. Shifting the YouTube metric to watch time was  brutal but valuable transition for the company. https://t.co/a9Tzn5EN3y,Tue Jan 06 20:54:45 +0000 2015,en,12,False,34,False,,Shishir,shishirmehrotra
Anika's unique version of hello world in python: http://t.co/0qt4z9Geys via @YouTube,Thu Jun 05 03:02:43 +0000 2014,en,1,False,8,False,,Shishir,shishirmehrotra
Last day at Google. 6 of the best years of my life. Very excited about the next adventure!,Tue Jun 03 15:00:52 +0000 2014,en,16,False,74,False,,Shishir,shishirmehrotra
Anika's First Bharatanatyam Performance: http://t.co/f1LDbUk7HT via @YouTube,Tue May 20 13:49:58 +0000 2014,und,0,False,0,False,,Shishir,shishirmehrotra
Thanks for the feedback on the Purpose talk! A few folks asked for a transcript - here you go: https://t.co/BnCmf4djpj,Thu Apr 10 16:32:54 +0000 2014,en,2,False,8,False,,Shishir,shishirmehrotra
"For folks who like hearing YouTube stories, this is a fun talk I gave on ""Purpose"". Enjoy! http://t.co/fc1NNy8N5J",Wed Mar 26 15:44:23 +0000 2014,en,1,False,12,False,,Shishir,shishirmehrotra
Ready for dinner! (at @LAubergeCarmel) http://t.co/kmkrvIOmvx http://t.co/6k3N4iQ0q5,Sun Mar 23 02:08:40 +0000 2014,en,0,False,0,False,,Shishir,shishirmehrotra
"I'm at Sura Sushi (Mountain View, CA) http://t.co/UezsDK9NlK",Thu Mar 13 02:40:03 +0000 2014,en,0,False,0,False,,Shishir,shishirmehrotra
Celebrating 11 wonderful years of marriage! (at @QuinceSf) http://t.co/v2nkV2T2Ci,Sun Mar 09 04:23:28 +0000 2014,en,0,False,3,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/GG8biqtEBD Goodbye Google!,Mon Feb 10 03:37:13 +0000 2014,en,0,False,1,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/178LAwDt8f World's Most Insane Rope Swing Ever!!! - Canyon Cliff Jump,Thu Jan 30 08:35:47 +0000 2014,en,1,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/3VCNriazG4 VIRAL SONG,Sun Jan 26 23:02:41 +0000 2014,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/9iw6tDIggF Virgin Galactic's Third Powered Flight,Sun Jan 26 22:59:05 +0000 2014,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/pQeFTM8sG8 Patrick Noth - My Posse,Tue Jan 14 18:23:00 +0000 2014,en,0,False,0,False,,Shishir,shishirmehrotra
"I liked a @YouTube video http://t.co/a0aPmdrgC9 Keone &amp; Mariel Madrid :: ""Is This Love"" by Bob Marley (Choreography) :: Urban Dance",Sat Jan 11 00:27:30 +0000 2014,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/xLnYg9bqk9 Elderly couple dances to Bob Marley's Is This Love !,Sat Jan 11 00:26:45 +0000 2014,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/xkxF8C2GzP How To Speed Tie a Necktie,Mon Jan 06 06:51:58 +0000 2014,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/pk61ZzAlwX Pharrell Williams - Happy (Official Music Video),Sat Jan 04 04:51:22 +0000 2014,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube playlist http://t.co/drurYG7ham YTMA Highlights:,Wed Jan 01 01:34:37 +0000 2014,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video from @newsbefunny http://t.co/MrsYvkIBqJ BEST NEWS BLOOPERS 2013,Mon Dec 30 20:53:18 +0000 2013,en,1,False,1,False,,Shishir,shishirmehrotra
I liked a @YouTube video from @veritasium http://t.co/tRRaL0r1a7 Supercooled Water - Explained!,Sun Dec 22 09:08:17 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video from @sharondelaney http://t.co/pJ9j14Mwhx #XMAS JAMMIES - Merry Christmas from the Holderness Family!,Wed Dec 18 07:21:25 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video from @hardscienceshow http://t.co/8BUq0AWFiH Biking Across a Pool of Cornstarch - Hard Science,Sun Dec 15 20:16:50 +0000 2013,en,0,False,1,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/csndrJAkgO When White guys listen to Daler Mehndi ...!!!!,Fri Dec 13 04:37:54 +0000 2013,en,0,False,2,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/dRo3m6EY9N YouTube Rewind: What Does 2013 Say?,Wed Dec 11 15:33:34 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/gWQa06yUG9 WestJet Christmas Miracle: real-time giving,Wed Dec 11 08:12:12 +0000 2013,en,1,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/tA8PoK0OBo Introducing FiLIP,Sun Dec 08 15:11:16 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/gPdDQo2ZsU Kobe vs. Messi: The Selfie Shootout,Sun Dec 08 14:57:08 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video from @uatdv http://t.co/j5pAdqHvEQ Bohemian Rhapsody: Star Wars Edition,Sun Dec 08 14:55:51 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/VYhXVOoaiT World's Strongest Coffee -- LÜT #34,Sun Dec 08 14:52:49 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/MvVhyB8azB Kid President's 20 Things We Should Say More Often,Sun Dec 08 14:47:30 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/Kyqc7s7tEn ESPN The Magazine: Ron Burgundy interviews Peyton Manning,Sat Dec 07 17:09:22 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
"I liked a @YouTube video http://t.co/hACc9CYExx Thrift Shop (Vintage ""Grandpa Style"" Macklemore Cover)",Thu Nov 28 05:52:01 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video from @loganapaul http://t.co/WvkzHX9ENp Logan Paul Vine Compilation | Episode 1,Sun Nov 24 04:50:27 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/yx3mzFPBmA Volvo Trucks - The Epic Split feat. Van Damme (Live Test 6),Sat Nov 16 16:29:11 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/mAX0gUNuKQ INSANE Domino Tricks! (Hevesh5 &amp; Millionendollarboy),Sat Nov 16 16:21:34 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/AfXOpkz8Mu Caillou und die penis rutsche,Sat Nov 16 03:20:24 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/r8enVVi1WP Google Search: Reunion,Thu Nov 14 08:48:48 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/Zoon9GyXGM What The Mavs Say,Sat Nov 09 05:11:16 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/Un5VAWbqee YouTube Challenge - I Told My Kids I Ate All Their Halloween Candy 2013,Wed Nov 06 13:32:52 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/FFq4B5XRsK Ylvis - The Fox (What Does the Fox Say?) [Official music video HD],Tue Oct 15 15:47:12 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/rD2FD4fH65 Ainvayi Ainvayi - Band Baaja Baaraat (2010) *HD* - Full Song [HD] - Anushka Sharma &amp;,Thu Oct 10 00:29:51 +0000 2013,hi,0,False,1,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/9mnqnAYO5K Telekinetic Coffee Shop Surprise,Tue Oct 08 21:27:08 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/7q5fRZPEuf Gangnam Style Dancing Baby,Sat Oct 05 22:03:20 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/lDkBq0rqTZ 2026 We build tomorrow | Construïm el demà | Construimos el mañana,Thu Oct 03 14:02:12 +0000 2013,und,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/g429CnYlUl 2014 Miss America Nina Davuluri Bollywood Dance Talent,Wed Sep 18 14:00:25 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
I liked a @YouTube video http://t.co/IX1VOvMZlO Evolution of End Zone Dancing (w/ Jimmy Fallon &amp; Justin Timberlake),Thu Sep 12 07:32:41 +0000 2013,en,0,False,0,False,,Shishir,shishirmehrotra
