Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @1027KIISFM: Niagara Falls is going purple to honor music royalty, Prince (&amp; actual royalty, the Queen): https://t.co/93021ARd1w https:/…",Fri Apr 22 03:51:29 +0000 2016,en,303,False,0,False,,Simeon Simeonov,simeons
@prince doing a very moody Creep (@radiohead) at @coachella https://t.co/rxQVvcmaRB,Fri Apr 22 03:29:54 +0000 2016,en,0,False,0,False,,Simeon Simeonov,simeons
RT @DanielRuby: The @Swoop123 #Automotive #Visibility Index - Q1 2016 - Which car brands had the most buzz in Q1? https://t.co/cmyoPRbxSs,Thu Apr 21 14:30:14 +0000 2016,en,1,False,0,False,,Simeon Simeonov,simeons
"RT @Idit: ""We are working hard to provide #CSForAll &amp; magically change the game of K12 education w/@globaloria #asugsvsummit https://t.co/Y…",Thu Apr 21 14:16:02 +0000 2016,en,3,False,0,False,,Simeon Simeonov,simeons
Paper notetaking is still better for conceptual understanding https://t.co/lTyDByEMZY,Wed Apr 06 18:30:22 +0000 2016,en,1,False,2,False,,Simeon Simeonov,simeons
Artificial Intelligence knows how to press your buttons https://t.co/J6RwXLHZ1w,Wed Apr 06 14:30:48 +0000 2016,en,0,False,0,False,,Simeon Simeonov,simeons
Spread the word: the Nantucket Conference offers sponsorships for entrepreneurs. Deadline is tomorrow. https://t.co/oM4JSKtRTH,Wed Mar 30 18:17:09 +0000 2016,en,1,False,3,False,,Simeon Simeonov,simeons
"@DanielleMorrill same story as in the 90s: ""we lose money per unit but make it up in volume"".",Mon Feb 29 14:15:11 +0000 2016,en,0,False,0,False,,Simeon Simeonov,simeons
@JoshuaBaer @stephenstraus we need a new term for the rule of the 5% motivated enough to show up.,Sun Feb 28 19:34:24 +0000 2016,en,1,False,2,False,,Simeon Simeonov,simeons
@JoshuaBaer the stats in that article are quite startling.,Sun Feb 28 19:04:21 +0000 2016,en,0,False,0,False,,Simeon Simeonov,simeons
RT @Longshanks1307: Strange women lying in ponds distributing swords seems increasingly appealing as a basis for a system of government.,Sun Feb 28 18:54:53 +0000 2016,en,3981,False,0,False,,Simeon Simeonov,simeons
"As Search Inventory Gets Tighter, Swoop Can Fill In The Gaps https://t.co/Ld7nj7G8OI",Wed Feb 24 19:30:55 +0000 2016,en,0,False,1,False,,Simeon Simeonov,simeons
