Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @TimeOutNewYork: Breaking: Prince has died at 57: https://t.co/y8l6Q46eTa @prince https://t.co/eme0wiWpfA,Thu Apr 21 17:17:53 +0000 2016,en,53,False,0,False,,Taku Harada,takumeister
Is this the Gaslight of Dylan/Springsteen fame  https://t.co/SnEtXF1vOr via @peatixUSA,Tue Apr 19 04:19:27 +0000 2016,en,0,False,0,False,,Taku Harada,takumeister
RT @AnnieMalarkey: Sick of having 500 design meetings? This bootcamp with @GoodpatchBerlin is for you: https://t.co/wKoPmZyZ5a,Mon Apr 18 21:17:11 +0000 2016,en,1,False,0,False,,Taku Harada,takumeister
"RT @WSJ: Amazon’s voice-controlled bot, Alexa, shows how gadgets become more useful when you can just talk to them 🔓 https://t.co/XbaI4YGAWZ",Sat Apr 16 22:34:38 +0000 2016,en,66,False,0,False,,Taku Harada,takumeister
RT @tsuda: 【告知】4月24日（日）に福島県の旧警戒区域ツアーとライブを組み合わせたイベントを開催します。出演は青葉市子with小山田圭吾&amp;U-zhaan。今も厳しい状況が続く福島の未来をツアーとライブから考えてみませんか？ご参加お待ちしてます！https://t.c…,Fri Apr 15 03:54:17 +0000 2016,ja,81,False,0,False,,Taku Harada,takumeister
RT @martyn_williams: Video from Japan's NHK shows moment M6.4 quake struck Kumamoto at 9:26pm local time. https://t.co/nx5bRflgHh,Thu Apr 14 14:52:35 +0000 2016,en,237,False,0,False,,Taku Harada,takumeister
NYC Angel Nest with Ikuo Hiraishi (Sunbridge Global Ventures) https://t.co/ZzROtHAumN,Thu Apr 14 01:50:38 +0000 2016,en,0,False,0,False,,Taku Harada,takumeister
RT @flowjunkie: Fascinating to hear @williamlohse's stories/insights about @masason#entrepreneurs w/@takumeister @IfConNYC #ifcon https://t…,Wed Apr 13 21:23:27 +0000 2016,en,3,False,0,False,,Taku Harada,takumeister
"RT @NewYorker: Celebrating the author Beverly Cleary, as she turns 100: https://t.co/Ff4c3nBB8V https://t.co/NKRHs6MgvG",Tue Apr 12 02:44:53 +0000 2016,en,267,False,0,False,,Taku Harada,takumeister
"RT @hackyGQ: #ifcon #Japan #nyc #startup #peatix 
keynote
hearing about @masason 's story
so impressive https://t.co/dKizLssPbh",Mon Apr 11 18:13:38 +0000 2016,en,3,False,0,False,,Taku Harada,takumeister
#ifCon https://t.co/yR8NexJ38t,Mon Apr 11 16:15:16 +0000 2016,und,2,False,4,False,,Taku Harada,takumeister
RT @Dhimawari2011: 【イベント情報】代官山 謎解きウォーク2016 5/14(土)13:00～16:30 誰もが知っているお店はもちろん、意外と知られていない穴場スポットを巡って、代官山の街を探索しませんか？上位入賞チームには豪華商品も♪ https://t.…,Sat Apr 09 13:09:57 +0000 2016,ja,3,False,0,False,,Taku Harada,takumeister
RT @TheOnion: Shimmering Immaculate Republican Candidate Appears Before GOP Officials https://t.co/7bRM6oUJSa https://t.co/rX0jsRzDEM,Fri Apr 08 18:12:34 +0000 2016,en,848,False,0,False,,Taku Harada,takumeister
"RT @henrylim96: Google I/O Extended 2016 MMU Cyberjaya Event Page 😍😍
#Polymer #io16 #io16extended #resizer @peatix_my @GoogleDesign https:/…",Fri Apr 08 17:43:30 +0000 2016,en,2,False,0,False,,Taku Harada,takumeister
RT @peatix: 嵐のチケット、ついに顔認証　１枚数十万円で転売やまず：朝日新聞デジタル https://t.co/tgZyBIw26k,Thu Apr 07 01:25:12 +0000 2016,ja,2,False,0,False,,Taku Harada,takumeister
RT @HirokoTabuchi: @takumeister @djtokyo fyi https://t.co/X6G1mB7ub5,Wed Apr 06 18:20:44 +0000 2016,und,1,False,0,False,,Taku Harada,takumeister
"@hirokotabuchi so no politicians, just yet…",Wed Apr 06 18:20:04 +0000 2016,en,0,False,0,False,,Taku Harada,takumeister
RT @knsmr: この動画は必見ですね / VRゲームがどんなものかよく分かる―HTC Viveを紹介する優れもの複合現実ビデオ | TechCrunch Japan https://t.co/ZvhMYAfwZ2 https://t.co/OpbQWNFbox,Wed Apr 06 01:28:15 +0000 2016,ja,7,False,0,False,,Taku Harada,takumeister
RT @AP: BREAKING: Icelandic broadcaster says Prime minister offers his resignation amid offshore scandal,Tue Apr 05 16:39:53 +0000 2016,en,783,False,0,False,,Taku Harada,takumeister
@HirokoTabuchi @djtokyo on a completely different note: did you find any JP politicians in the Panama Papers?,Tue Apr 05 13:31:14 +0000 2016,en,0,False,0,False,,Taku Harada,takumeister
"@HirokoTabuchi 六甲ライナー is it restricted to 阪神ファン... yeah none of these trains ring a bell, sorry...",Mon Apr 04 22:32:29 +0000 2016,ja,0,False,0,False,,Taku Harada,takumeister
@HirokoTabuchi took me 5 trains and 58 minutes everyday to high school... don't miss that trek at all,Mon Apr 04 22:22:35 +0000 2016,en,0,False,0,False,,Taku Harada,takumeister
RT @JeffBezos: Video from yesterday's flight now live: https://t.co/vBvPYpGFrQ Great view of dramatic booster deceleration.,Mon Apr 04 00:23:51 +0000 2016,en,761,False,0,False,,Taku Harada,takumeister
RT @yma_promotion: 購入手数料無料のオンラインチケット“Peatix”でチケットを購入しよう！✳︎現在、吉澤嘉代子(絶景ツアー各公演)、ななみ(duoライブ)がチケット発売中。 https://t.co/FZeX87yBYT,Sat Apr 02 01:36:57 +0000 2016,ja,8,False,0,False,,Taku Harada,takumeister
@craigmod examples please.,Fri Mar 25 08:38:16 +0000 2016,en,0,False,0,False,,Taku Harada,takumeister
午後10時、渋谷のコンビニ前でせいぜい8歳くらいの小学生2人組がイカ系駄菓子食いながら「お前はショーンKかよ！」みたいなギャグを言い合ってるのを目撃したところ。東京は怖いところだ。,Mon Mar 21 13:02:02 +0000 2016,ja,0,False,1,False,,Taku Harada,takumeister
ショーンK経歴詐称問題を見て改めて自分のプロフィールを再確認。顔濃いけど、俺大丈夫。,Wed Mar 16 00:44:13 +0000 2016,ja,0,False,1,False,,Taku Harada,takumeister
RT @RockwellSirkus: English ticket page for the show at Yokohama on 10/12 on Peatix is available now!! https://t.co/5ki3tL69Pg #RS2016 #The…,Mon Mar 14 14:22:51 +0000 2016,en,2,False,0,False,,Taku Harada,takumeister
https://t.co/ySCu50Ec1S via @peatix,Mon Mar 07 04:04:13 +0000 2016,und,0,False,0,False,,Taku Harada,takumeister
"RT @TheOnion: Leonardo DiCaprio Morphs Back Into Hairy, Overweight Iowan After Finally Receiving Oscar https://t.co/1HG9HwBYPD https://t.co…",Mon Feb 29 15:16:17 +0000 2016,en,757,False,0,False,,Taku Harada,takumeister
RT @PeatixUSA: What not to do when you use Facebook to promote your event (what to do instead!) #eventprofs https://t.co/XFemM7seiR https:/…,Thu Feb 25 13:35:19 +0000 2016,en,1,False,0,False,,Taku Harada,takumeister
Steve AokiってRocky Aokiの息子だったのか！知ってた人、手を挙げなさい。なぜ先生に黙ってた！,Sun Feb 21 17:06:55 +0000 2016,ja,1,False,1,False,,Taku Harada,takumeister
@shinoharu2002 こちらこそ有難う！,Mon Feb 15 15:55:05 +0000 2016,ja,0,False,1,False,,Taku Harada,takumeister
"Jack, just call me, I know how to fix your Twitter problems (takes swig from cheap whiskey bottle).",Thu Feb 11 19:24:29 +0000 2016,en,0,False,1,False,,Taku Harada,takumeister
@F_TAICHI もう涙涙涙、いつも有難うございます・・・,Tue Feb 09 17:44:08 +0000 2016,ja,0,False,1,False,,Taku Harada,takumeister
自分以上に巧みなビジョン説明、恐縮です ww そしてよく聞く「ピボット」についての考察も的を得てます。 https://t.co/6fCQbpl46B,Tue Feb 09 13:41:26 +0000 2016,ja,0,False,0,False,,Taku Harada,takumeister
@adilostz_blog @peatix @thebridge_jp まさに。僕以上に巧みに我々の狙いを説明してくださり、恐縮です ww ビジョンを実現するまでの道のりは長いですが、頑張ります。,Tue Feb 09 12:56:43 +0000 2016,ja,0,False,0,False,,Taku Harada,takumeister
RT @yochum: Andy Rubin Unleashed Android on the World. Now Watch Him Do the Same With AI: Rubin’s ambitions go be... https://t.co/tr9p9KTDM…,Tue Feb 09 12:35:55 +0000 2016,en,5,False,0,False,,Taku Harada,takumeister
RT @kigoyama: イベント管理サービス「Peatix」がピボットーー「グループ機能」を設けコミュニティプラットフォームへ - THE BRIDGE（ザ・ブリッジ） https://t.co/EzdQFIMHHp #thebridge_jp,Tue Feb 09 01:15:03 +0000 2016,ja,5,False,0,False,,Taku Harada,takumeister
