Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Making Sense Of The Valuation Disequilibrium https://t.co/gOrN0dPGx0 via techcrunch,Mon Feb 15 01:42:04 +0000 2016,en,0,False,2,False,,thomas byrne,thomaspbyrne
The trend line for broadband impressive - the same can't be said for paid TV https://t.co/eh3wc7t6wS,Sat Feb 13 01:55:42 +0000 2016,en,0,False,0,False,,thomas byrne,thomaspbyrne
"The S&amp;P 500 rose 1.38% this year in­cluding divi­dends, the small­est to­tal re­turn since 2008.",Fri Jan 01 16:40:07 +0000 2016,en,0,False,2,False,,thomas byrne,thomaspbyrne
Great Summary.  How Startups Are Making Real Estate Businesses More Efficient #REtech https://t.co/UpRHiG5yNQ,Sun Dec 13 06:27:32 +0000 2015,en,2,False,10,False,,thomas byrne,thomaspbyrne
"Expedia to Buy HomeAway for $3.9B, Rises in After-Hours https://t.co/2llCcXPsI6 via @YahooFinance",Tue Nov 17 04:17:39 +0000 2015,en,0,False,1,False,,thomas byrne,thomaspbyrne
"#cretechintersect - Q#4 || Primary Email Platform: 45% Gmail, 35% Exchange, 10% iCloud, 1 PPL Yahoo Mail, 10% Other ((ouch yahoo))",Tue Oct 27 03:49:59 +0000 2015,en,1,False,0,False,,thomas byrne,thomaspbyrne
"#cretechintersect - Q#3 || How many Device types did you use today to access Internet: 1 device - 1PPL,  2 - 70%,  3 - 30 % and  4 - 8 PPL",Sun Oct 25 16:11:49 +0000 2015,en,1,False,1,False,,thomas byrne,thomaspbyrne
"#GoJackets GTech upsets unbeaten FSU on final ""amazing"" fashion - 'what a time to be alive' - GTech commentator https://t.co/txrdgUdWmq",Sun Oct 25 14:25:12 +0000 2015,en,0,False,1,False,,thomas byrne,thomaspbyrne
"#cretechintersect - Q#2 || Primary Internet Access Device (for biz) - 55% Laptop, 45% Desktop, 4 PPL for Mobile, and Zero for Tablet",Sat Oct 24 23:58:06 +0000 2015,en,0,False,1,False,,thomas byrne,thomaspbyrne
"#cretechintersect Q1 - Breakdown of mobile OS - 80% iPhone, 20% Android and not one person willing to admit to using a Blackberry",Sat Oct 24 01:10:53 +0000 2015,en,1,False,4,False,,thomas byrne,thomaspbyrne
#cretechintersect - technical difficulties will not slow us down - audience polling results will follow - thx @ElieFinegold for your assist,Sat Oct 24 01:09:37 +0000 2015,en,0,False,1,False,,thomas byrne,thomaspbyrne
#cretech - this year's NYC event hosted more than 60 innovative cre tech companies. Exciting times @CRETechIntersec https://t.co/MugDFxNf6i,Fri Oct 23 13:08:41 +0000 2015,en,4,False,10,False,,thomas byrne,thomaspbyrne
@Keith_Wasserman I have not but will check them out.  I assume you are asking because you are a fan!,Wed Oct 07 04:30:39 +0000 2015,en,0,False,1,False,,thomas byrne,thomaspbyrne
The best CRE Tech event of the year occurs in 2 weeks in NYC - 50+ startups innovating in commercial real estate https://t.co/QRruQ5IOBP,Wed Oct 07 04:19:23 +0000 2015,en,2,False,7,False,,thomas byrne,thomaspbyrne
Go Water Go! http://t.co/kU1gH6EqCR,Tue Oct 06 04:02:15 +0000 2015,en,0,False,1,False,,thomas byrne,thomaspbyrne
Congrats Rentlytics and VTS on making the list of Top 10 RE Tech Startups to Watch!!  #CRETECH   http://t.co/Rrki7MrImm,Tue Oct 06 04:00:06 +0000 2015,en,1,False,5,False,,thomas byrne,thomaspbyrne
Waypoint RT (SWAY) and Colony to merge - will institutional ownership of SFH rentals continue to grow? http://t.co/mQ3rqfgYB9,Mon Sep 21 13:50:11 +0000 2015,en,0,False,1,False,,thomas byrne,thomaspbyrne
