Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
I am headed to Hong Kong April 28-may 3rd.   Anyone I should meet there?,Thu Apr 21 16:32:39 +0000 2016,en,0,False,0,False,,Zach Coelius,zachcoelius
"As usual smart stuff from Bill Gurley about the of the super late stage unicorn venture market

https://t.co/o2mYXSywuK",Thu Apr 21 06:46:50 +0000 2016,en,0,False,2,False,,Zach Coelius,zachcoelius
As usual smart stuff from @bgurley about the of the super late stage unicorn venture market,Thu Apr 21 06:46:28 +0000 2016,en,0,False,0,False,,Zach Coelius,zachcoelius
It is so clear that vr is the future.  So excited for the journey https://t.co/DwNsKNu4X8,Wed Apr 20 14:57:14 +0000 2016,en,0,False,3,False,,Zach Coelius,zachcoelius
The political ‘reforms’ that have helped to cripple the GOP - The Washington Post https://t.co/mo1rnyNuth,Fri Apr 15 06:20:06 +0000 2016,en,0,False,0,False,,Zach Coelius,zachcoelius
RT @jasonlk: I just make recommendations.  It's your company.  Not mine.,Fri Apr 15 05:04:36 +0000 2016,en,6,False,0,False,,Zach Coelius,zachcoelius
Wild airfare error ticket $210 round trip flights sfo to auckland https://t.co/CfQjSjQHIv,Tue Apr 12 10:58:44 +0000 2016,en,0,False,1,False,,Zach Coelius,zachcoelius
@pt @bryce @art19co yeah.  Lots of value to be created.,Tue Apr 12 03:57:57 +0000 2016,en,0,False,0,False,,Zach Coelius,zachcoelius
@pt @bryce you guys should check out @art19co the reason pod cast ads suck is the tech was not there until recently,Tue Apr 12 03:44:17 +0000 2016,en,0,False,1,False,,Zach Coelius,zachcoelius
"The N.F.L. Has Seen the Future, and It Is WWE Wrestling.  This my friends is the beginning on the end of tv https://t.co/TRGy0YkV0J",Sun Apr 10 03:12:48 +0000 2016,en,0,False,0,False,,Zach Coelius,zachcoelius
Great post from Fred Wilson on losing money as a venture investor https://t.co/nbW4FxR5UK https://t.co/3t5meu6SKq,Thu Apr 07 23:08:57 +0000 2016,en,0,False,2,False,,Zach Coelius,zachcoelius
Wind and Solar Are Crushing Fossil Fuels https://t.co/2CeIg5e1WR,Wed Apr 06 20:45:39 +0000 2016,en,0,False,0,False,,Zach Coelius,zachcoelius
Took a turn on @bloombergwest to talk about the Cruise exit and driverless cars.  https://t.co/dFa81Q86Qn,Tue Apr 05 23:49:39 +0000 2016,en,1,False,4,False,,Zach Coelius,zachcoelius
NYTimes: Drones Marshaled to Drop Lifesaving Supplies Over Rwandan Terrain https://t.co/4mEHPUty3H,Tue Apr 05 20:00:04 +0000 2016,en,0,False,0,False,,Zach Coelius,zachcoelius
"Fun little entrepreneurial genesis story. 

https://t.co/YnoUlDL03f",Tue Mar 29 17:58:07 +0000 2016,en,0,False,2,False,,Zach Coelius,zachcoelius
Crispr is becoming a bigger and bigger deal every day.  https://t.co/4pZuqxlKC4,Tue Mar 29 17:28:00 +0000 2016,en,0,False,2,False,,Zach Coelius,zachcoelius
A Dozen Things I’ve Learned from Dr. Michael Burry about Investing | 25iq https://t.co/JaTP7uwCNd,Sat Mar 26 19:00:06 +0000 2016,en,0,False,2,False,,Zach Coelius,zachcoelius
Equity Crowdfunding Just Had Its First Billion Dollar Exit - Fortune https://t.co/4dvbdFLLxu,Thu Mar 24 00:26:21 +0000 2016,en,2,False,11,False,,Zach Coelius,zachcoelius
"RT @fraggletastic: People: Ban guns
Govt: Impossible

Govt: We need to ban certain kinds of math
Techies: Impossible
Govt: Unacceptable, yo…",Sun Mar 20 00:18:07 +0000 2016,en,761,False,0,False,,Zach Coelius,zachcoelius
The guy who holds the planet’s two billion mobile phone numbers https://t.co/gd67vyvp1X,Sat Mar 19 03:20:46 +0000 2016,en,1,False,1,False,,Zach Coelius,zachcoelius
