Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
One down. #RedSox https://t.co/OtTFuraS2z,Sat Apr 16 20:32:53 +0000 2016,en,0,False,1,False,,Craig Powell,ACraigPowell
@spoofhoundFB sounds like a plan. What's your email address?,Sat Apr 16 10:03:57 +0000 2016,en,0,False,0,False,,Craig Powell,ACraigPowell
"Back where I come from ...
(Born in Cairfax, MO). Pretty cool!  
https://t.co/pbpGo5mU1H via @youtube",Fri Apr 15 14:35:34 +0000 2016,en,0,False,2,False,,Craig Powell,ACraigPowell
Great spin @ #SoulCycle with the #motus crew. Good time ... Great sweat! https://t.co/p9b6BkxIS7,Wed Apr 13 01:41:06 +0000 2016,en,0,False,2,False,,Craig Powell,ACraigPowell
@sdubb20 thanks for clarifying. You have restored my faith.,Tue Apr 05 04:01:07 +0000 2016,en,0,False,0,False,,Craig Powell,ACraigPowell
"Is TnT owned by NC?  Their ""your moment"" sign off was ridiculous. These #nova kids killed it!  Give them their due.",Tue Apr 05 03:42:13 +0000 2016,en,0,False,2,False,,Craig Powell,ACraigPowell
@JohnsonForTexas is TnT their network?  The sign off was ridiculous.,Tue Apr 05 03:40:48 +0000 2016,en,0,False,0,False,,Craig Powell,ACraigPowell
I know the Carolina (who I picked to win) favorable announcers are crushed. But let's hear about '#nova. Those kids crushed it all tourney,Tue Apr 05 03:36:46 +0000 2016,en,0,False,0,False,,Craig Powell,ACraigPowell
"The boys with 2x national champ/ Olympian and even better, a great guy, Steve Mocco. What a great couple days. https://t.co/UnWoykYbFl",Sun Mar 20 11:42:26 +0000 2016,en,0,False,5,False,,Craig Powell,ACraigPowell
#okstate wrestling reception with coach smith. It's 12:10 so admittedly George was a little tired. https://t.co/oiQLVLHhMm,Sun Mar 20 11:40:44 +0000 2016,en,0,False,2,False,,Craig Powell,ACraigPowell
RT @Entrepreneur: How to Power Through the Day Without Any Sleep https://t.co/qGIAxy4tU2,Tue Mar 15 06:26:35 +0000 2016,en,55,False,0,False,,Craig Powell,ACraigPowell
AM workout with Barry @ Barry's. Chest is killin' me ... Lungs have been expanded. #Barrysbootcamp #barrysboston https://t.co/2ci6EJLXLI,Wed Feb 03 17:12:10 +0000 2016,en,0,False,0,False,,Craig Powell,ACraigPowell
Want To Be A Successful 21st Century Workplace? Start Here via @forbes https://t.co/B5WCtaTCD9,Sat Jan 23 00:52:56 +0000 2016,en,0,False,0,False,,Craig Powell,ACraigPowell
"""The IRS Mileage Rate, A Dated Approach &amp; Your Wallet ... Ouch, or Ahhh"" by @ACraigPowell on @LinkedIn https://t.co/qj4jmlsk05",Tue Jan 19 22:47:44 +0000 2016,en,1,False,1,False,,Craig Powell,ACraigPowell
"The cost of driving a car varies greatly.  See KC, MO vs SD, CA gas prices the past 3 mo. below. #motus #favr https://t.co/aBMVRT0xpQ",Tue Jan 12 14:32:17 +0000 2016,en,1,False,2,False,,Craig Powell,ACraigPowell
