Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @briansolis: At 1 time, the pen was mightier than the sword. Now, words &amp; everything else are fleeting. Write as if your words... http:/…",Wed Nov 19 02:30:37 +0000 2014,en,23,False,0,False,,Aaron Lacheta,AaronLacheta
RT @Supportlocal: SupportLocal Chosen as a High Potential Startup by Punchlime - http://t.co/WyXrRPDgiX,Thu Mar 14 22:49:46 +0000 2013,en,3,False,0,False,,Aaron Lacheta,AaronLacheta
Yes he is :) RT @ccraigross: @justinsanger is *serious* about Google+. :-) Surprisingly low G+ adoption here compared to open source communi,Wed Oct 17 19:42:16 +0000 2012,en,0,False,0,False,,Aaron Lacheta,AaronLacheta
Funding a start up & VC fallacy. A short video on how funding usually happens despite all the press & focus on VCs | http://t.co/JhKBOjJE,Sat Apr 07 00:01:22 +0000 2012,en,0,False,0,False,,Aaron Lacheta,AaronLacheta
The collapse of print advertising http://t.co/oUKr1z5g via @pinterest,Wed Feb 29 22:07:08 +0000 2012,en,0,False,0,False,,Aaron Lacheta,AaronLacheta
What's the real life version of going dark to protest SOPA tomorrow?  No internet for 12 hrs? i think a vow of silence is easier #SOPASTRIKE,Tue Jan 17 23:58:20 +0000 2012,en,0,False,0,False,,Aaron Lacheta,AaronLacheta
"In celebration of 11.11.11 at 11:11am I thought some spinal tap was appropriate, enjoy  http://t.co/PojI5pj5",Fri Nov 11 18:11:04 +0000 2011,en,0,False,0,False,,Aaron Lacheta,AaronLacheta
I've quietly built a rage against the infographics machine that's infested digital communication. Guess I'm not alone.  http://t.co/Z7thi2Fu,Wed Oct 19 16:22:27 +0000 2011,en,1,False,0,False,,Aaron Lacheta,AaronLacheta
Seeing significant adoption of QR codes considering 1/2 of American's have smartphones. http://t.co/X1Ddl8H,Tue Aug 16 17:25:41 +0000 2011,en,0,False,0,False,,Aaron Lacheta,AaronLacheta
RT @adage: Investors Poured $1.6 Billion Into Social Startups In Q1 http://goo.gl/fb/teK8Q,Fri Jun 24 16:31:59 +0000 2011,en,35,False,0,False,,Aaron Lacheta,AaronLacheta
KIout-gating=mistake. Klout isn't specific influence on particular biz. U start to sacrifice retention trying for reach http://t.co/qj0qSGY,Wed Jun 22 14:08:49 +0000 2011,en,0,False,0,False,,Aaron Lacheta,AaronLacheta
RT @gsterling: Just got briefing on joinlocal social engagement platform. Justin Sanger's new gig.  Very impressive,Thu May 05 21:46:52 +0000 2011,en,4,False,0,False,,Aaron Lacheta,AaronLacheta
"It's been a while since Prince changed his name.  In an effort to remain relevant, what if he just changed his name to a QR Code",Sun Mar 13 00:41:27 +0000 2011,en,0,False,0,False,,Aaron Lacheta,AaronLacheta
"One more step in the convergence of Social, Local & Search - Google Integrates Flickr, Twitter & Quora -  http://t.co/R8VNLXt",Fri Feb 18 01:07:30 +0000 2011,en,0,False,0,False,,Aaron Lacheta,AaronLacheta
"The difference between 0 and $50 billion - timing and ability to execute: ""A Social Network Way Ahead Of Its Time"" http://on.wsj.com/hySZ9D",Sat Jan 15 02:06:25 +0000 2011,en,0,False,0,False,,Aaron Lacheta,AaronLacheta
