Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Congrats lil Bro! https://t.co/KiHOAYQyq6,Thu Apr 28 07:51:27 +0000 2016,en,1715,False,4837,False,,Bruno Mars,BrunoMars
"Prince you're one of my Heroes and no one can tell me otherwise, not even you. I'm so fortunate… https://t.co/cKw9hee2cQ",Fri Apr 22 00:11:45 +0000 2016,en,5910,False,17469,False,,Bruno Mars,BrunoMars
I love you @iHeartRadio! I love you hooligans! love you Sriracha. I love you @LeoDiCaprio. Thinking of u @holyfield  https://t.co/iPoHf03G4R,Mon Apr 04 02:35:32 +0000 2016,en,3623,False,8888,False,,Bruno Mars,BrunoMars
Happy Easter,Sun Mar 27 19:58:56 +0000 2016,en,6811,False,18193,False,,Bruno Mars,BrunoMars
Happy Birthday to one of the coldest @BigSean,Sat Mar 26 07:49:30 +0000 2016,en,3506,False,11413,False,,Bruno Mars,BrunoMars
RT @donnieromello: @BrunoMars okay but we need a new album... do YOU feel me doe? https://t.co/wQmys7C4Cp,Thu Mar 24 20:23:22 +0000 2016,en,1926,False,0,False,,Bruno Mars,BrunoMars
That would be awesome to win. Then I can go by that young Emmy award winning Brunz... Ya Feel me doe? https://t.co/mu1f7mh6fL,Thu Mar 24 20:16:04 +0000 2016,en,2860,False,7639,False,,Bruno Mars,BrunoMars
https://t.co/JV0njRyZa0 #Phife,Thu Mar 24 05:00:30 +0000 2016,und,1910,False,5449,False,,Bruno Mars,BrunoMars
Needless to say the other team didn't make it. #NerfWarriors https://t.co/SmExE4wtys,Mon Mar 21 03:19:54 +0000 2016,en,2535,False,7275,False,,Bruno Mars,BrunoMars
Close out my 4 am twitter DJ set with this classic. Love y'all. https://t.co/wTL7QakpNW goodnight,Thu Mar 17 11:21:56 +0000 2016,en,2196,False,6250,False,,Bruno Mars,BrunoMars
I don't know that was the end of my joke. I got nothing  https://t.co/n55XwTelDA,Thu Mar 17 11:05:11 +0000 2016,en,2267,False,6060,False,,Bruno Mars,BrunoMars
The Dragon never sleeps.. He waits. #Woosh https://t.co/gcBIVCRIGE,Thu Mar 17 11:03:25 +0000 2016,en,2969,False,6669,False,,Bruno Mars,BrunoMars
https://t.co/o8BXeHmcnL Better call Saul puttin me on game. I never heard this version. 4am Soundtrack,Thu Mar 17 10:56:04 +0000 2016,en,1969,False,5719,False,,Bruno Mars,BrunoMars
@TheNotoriousMMA You're amazing to watch brother. That was an amazing fight.,Sun Mar 06 06:31:29 +0000 2016,en,1342,False,3560,False,,Bruno Mars,BrunoMars
@NateDiaz209 that was incredible!,Sun Mar 06 06:05:26 +0000 2016,en,859,False,2472,False,,Bruno Mars,BrunoMars
@ufc unreal!!!!!!!!!!!!!!!,Sun Mar 06 06:03:18 +0000 2016,en,1566,False,3873,False,,Bruno Mars,BrunoMars
@ufc what!?!?!?!?!?!,Sat Feb 27 23:30:25 +0000 2016,en,2212,False,4163,False,,Bruno Mars,BrunoMars
"RT @TheEllenShow: If you saw @Adele perform “All I Ask” on the Grammys, all I ask is that you watch her perform it on my show #Adellen http…",Thu Feb 18 23:01:57 +0000 2016,en,3552,False,0,False,,Bruno Mars,BrunoMars
Just posted a photo https://t.co/8OPirlrjBN,Tue Feb 16 10:02:39 +0000 2016,en,3256,False,8981,False,,Bruno Mars,BrunoMars
Song of the year! https://t.co/b0DrpBVDcB,Tue Feb 16 04:01:47 +0000 2016,en,5432,False,11909,False,,Bruno Mars,BrunoMars
Producer of the year! https://t.co/JFJKfvoLnP,Tue Feb 16 03:54:08 +0000 2016,en,2689,False,6986,False,,Bruno Mars,BrunoMars
