Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Watch this space. Stealth audio startup in Seattle reels in $5 million https://t.co/8CO3CDo4fO,Fri Apr 22 03:17:24 +0000 2016,en,1,False,2,False,,Daniel Darling,DanielDarling
Thank you coachella 👊🏼 https://t.co/O842PXk8NM,Tue Apr 19 18:06:17 +0000 2016,en,0,False,1,False,,Daniel Darling,DanielDarling
Excellent summary of the coming Conversational Ui era https://t.co/qGWneGLDRW via @sai,Sun Apr 10 18:29:46 +0000 2016,en,0,False,0,False,,Daniel Darling,DanielDarling
Nice real day-by-day run down on what its actually like to manufacture in China as a noob https://t.co/pAMWZ5MIsh,Mon Mar 21 22:15:18 +0000 2016,en,0,False,1,False,,Daniel Darling,DanielDarling
"Interesting watching @dominos move into hardware and logistics, first with custom delivery car and now delivery robots in New Zealand",Fri Mar 18 17:57:55 +0000 2016,en,0,False,3,False,,Daniel Darling,DanielDarling
"Google selling Boston Dynamics. Someone is going to do wonders with that team, Amazon? Hail Mary from Foxconn?",Fri Mar 18 17:40:25 +0000 2016,en,0,False,1,False,,Daniel Darling,DanielDarling
"'Success is not final, failure is not fatal. It is the courage to continue that counts' - Winston Churchill https://t.co/nAUmz4cnhK",Fri Mar 18 16:18:04 +0000 2016,en,0,False,0,False,,Daniel Darling,DanielDarling
Facebook on what it's developing in Ai - states 20% of Engineers use machine learning https://t.co/41SKMlAtyx,Tue Mar 15 16:09:03 +0000 2016,en,1,False,0,False,,Daniel Darling,DanielDarling
Yuri Millner's $100M alien hunt grant is direct at this one star   https://t.co/QIhYNJnhg1,Tue Feb 16 05:27:49 +0000 2016,en,0,False,0,False,,Daniel Darling,DanielDarling
Finish the meeting on your jet? perfectly normal sure lets be doing… https://t.co/QdS9IsBgfu,Fri Feb 12 04:34:27 +0000 2016,en,0,False,0,False,,Daniel Darling,DanielDarling
Rad Tokyo co-work spot @ PoRTAL Shibuya https://t.co/l8GDekNLSQ,Sun Jan 31 06:15:18 +0000 2016,en,0,False,0,False,"{'type': 'Point', 'coordinates': [139.70304452, 35.66153279]}",Daniel Darling,DanielDarling
...Even more is that Apple is valued twice than the second most valuable company at almost $800B.,Mon Jan 25 01:29:30 +0000 2016,en,0,False,0,False,,Daniel Darling,DanielDarling
Incredible how Google went from zero to 2nd most valuable company in the world in just 15 years. Now &gt;$400B,Mon Jan 25 01:28:03 +0000 2016,en,0,False,2,False,,Daniel Darling,DanielDarling
Disney Research unveils VertiGo: wall-climbing robot prototype via @launchticker https://t.co/gcupgxB7sC,Sat Jan 02 22:35:17 +0000 2016,en,0,False,1,False,,Daniel Darling,DanielDarling
How to be the crazy uncle this thanks giving https://t.co/EyJw5mGfRs,Thu Nov 26 21:16:36 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
"RT @Summit: #summitatsea tunes for your travel to Miami
https://t.co/RN1FbNN4EF",Wed Nov 11 17:01:39 +0000 2015,en,8,False,0,False,,Daniel Darling,DanielDarling
"Passport with no destination, free diving jitters, Soho Beach House, an empty brain ✌🏼️  #summitatsea",Wed Nov 11 16:22:20 +0000 2015,en,0,False,2,False,,Daniel Darling,DanielDarling
"""Solve intelligence, then solve everything else"" - DeepMind via @joncomo",Wed Oct 28 16:17:31 +0000 2015,en,0,False,1,False,,Daniel Darling,DanielDarling
Machine learning is a core transformative way by which we're rethinking everything we're doing - telling quote from Google CEO,Wed Oct 28 16:16:11 +0000 2015,en,0,False,1,False,,Daniel Darling,DanielDarling
The Strangers in Your Brain https://t.co/B7URUYbAyG,Sat Oct 24 01:15:28 +0000 2015,en,0,False,1,False,,Daniel Darling,DanielDarling
Moving cities? Take your apartment with you https://t.co/VZpYXbKCZB,Thu Oct 22 16:40:01 +0000 2015,en,0,False,1,False,,Daniel Darling,DanielDarling
NASDAQ buying SecondMarket could mean an increasingly robust option for early liquidation in this mad non-IPO world https://t.co/1h9uC05xOI,Thu Oct 22 16:38:32 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
"Forget hover boards, the next 30 years will be much more exciting #BackToFutureDay https://t.co/ewhTKcSqox",Thu Oct 22 03:24:19 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
"RT @empiremagazine: If you see this man, do not approach him. Do not try to apprehend him. And do *not* call him chicken. https://t.co/85Rx…",Wed Oct 21 14:57:47 +0000 2015,en,2933,False,0,False,,Daniel Darling,DanielDarling
Use this to settle the disputes in your office or home https://t.co/D9F5LrAfXj,Tue Oct 20 16:22:28 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
2016 Venture outlook by @msuster non-disciplined capital inflating seed and pre-IPO ends of market https://t.co/dj6PJqo9ZE via @SlideShare,Tue Oct 20 01:26:11 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
Got so much out of this conference last year - looking forward to seeing the VC sentiment for 2016. https://t.co/SKYTqiUGsD,Mon Oct 12 17:00:10 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
Cheers Mickey! See you up there @mickeykovari,Thu Oct 08 05:57:03 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
Honey we shrunk ourselves! https://t.co/MGVNrt5Guh,Thu Oct 08 03:40:46 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
Startups In Space - http://t.co/hxkYzrxEk7,Wed Oct 07 01:34:19 +0000 2015,en,0,False,2,False,,Daniel Darling,DanielDarling
A Look Inside The Bubble - http://t.co/uq90LVEN79,Thu Sep 17 22:45:29 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
"RT @johnolilly: Excited about our newest investment, DWNLD (http://t.co/4oV1LLx40w). https://t.co/Jh6OipThxw",Thu Sep 17 15:47:48 +0000 2015,en,11,False,0,False,,Daniel Darling,DanielDarling
@DWNLD_me @GreylockVC @nmcalone Shake n' Bake baby!,Thu Sep 17 15:09:59 +0000 2015,en,0,False,1,False,,Daniel Darling,DanielDarling
So thrilled about @DWNLD_me $12M series A from @GreylockVC You guys are now cooking with gas!  http://t.co/OfSNBeRKlC,Thu Sep 17 14:58:14 +0000 2015,en,0,False,3,False,,Daniel Darling,DanielDarling
Keep on walking @ 1015 Folsom https://t.co/QxeI2UUP80,Mon Sep 14 00:34:44 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-122.40574963, 37.77817055]}",Daniel Darling,DanielDarling
"New York hedge funds, always go big or go home #8screens http://t.co/PauXAOJnnb",Tue Sep 08 17:57:08 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
"RT @HBO: Watch Killing Cancer, #VICEonHBO's #Emmy nominated look at the race to find a cure. FREE this weekend only: http://t.co/JwWtZit91G",Tue Sep 01 03:37:34 +0000 2015,en,41,False,0,False,,Daniel Darling,DanielDarling
Just ordered some life size Lego for a glass table bottom - cunningly simple from @EverBlock http://t.co/g4UoA8tffi,Mon Aug 31 15:12:10 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
San Francisco Embraces MedTech Boom - http://t.co/vJHcGOO78Q,Sat Aug 29 19:53:14 +0000 2015,und,1,False,1,False,,Daniel Darling,DanielDarling
Facebook's new Ai 'M' is the first real move to wrestle back the advanced capabilities of Asia's messengers http://t.co/pTsZ8szw5F,Sat Aug 29 16:33:43 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
SF sure loves its food! Top 100 restaurant list http://t.co/XpUhcK3jaO,Sun Aug 23 17:09:54 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
Check how much solar savings you get with @Google new Project Sunroof https://t.co/znSgrFl7mj,Sat Aug 22 21:40:08 +0000 2015,en,1,False,0,False,,Daniel Darling,DanielDarling
Love watching the evolution of @ProductHunt - now scheduling live sessions with famous makers via #ProductHuntLive http://t.co/JCsyiUCB63,Tue Aug 18 14:46:37 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
First day of work at my new co-working space #TheGrowHouse with @apurvmishra @TeamTapster http://t.co/vyT5WKhgxZ,Fri Aug 14 23:27:42 +0000 2015,en,0,False,3,False,,Daniel Darling,DanielDarling
Moores Law comes to space: $500K to get a cube satellite built and up in orbit. Great webinar @sunilnagaraj adding space to the portfolio!,Thu Aug 13 18:03:44 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
Yes!! @Bridgefy takes Grandprize at @TwitterDev startup comp! #KillingIT https://t.co/qnGr1MR2Nl,Thu Aug 13 16:07:02 +0000 2015,en,0,False,2,False,,Daniel Darling,DanielDarling
When One App Rules Them All: The Case of WeChat and Mobile in China http://t.co/WKPGBwYDLk via @a16z,Mon Aug 10 18:27:03 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
Charge your phone in 30 seconds and your Tesla in minutes with @StoreDot out of Tel Aviv,Mon Aug 10 18:15:33 +0000 2015,en,4,False,2,False,,Daniel Darling,DanielDarling
Clever use of site scrolling to effectively demo a robotics offering. More startup sites should adopt this technique http://t.co/UfnHYcX5QO,Mon Aug 10 17:59:54 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
Who wouldn't love to work for a company called Super Evil Megacorp @superevilmegaco,Mon Aug 10 16:58:53 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
First day of new office @ The Grow House https://t.co/tpPOB63t0F,Sun Aug 09 01:34:08 +0000 2015,en,0,False,0,False,"{'type': 'Point', 'coordinates': [-122.40892833, 37.77452167]}",Daniel Darling,DanielDarling
The new BMW i8 now on the streets of SF...outside the battery no less http://t.co/AVjFYd58uc,Sat Aug 08 00:46:41 +0000 2015,en,0,False,2,False,,Daniel Darling,DanielDarling
Tilt Brush is bringing some serious cool virtual reality art https://t.co/dE1MgRQkz3,Wed Aug 05 20:35:15 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
Yuri Milner and Stephen Hawking invest $100M in project to find life beyond Earth http://t.co/bTSqeoXnJ5,Mon Aug 03 21:19:13 +0000 2015,en,0,False,2,False,,Daniel Darling,DanielDarling
「投資対象は「世界に革命を起こす若者」」Darling Ventures　Managing Director　Daniel Darling氏インタビュー｜Tech通信Online http://t.co/TuYr7ydxZU,Sat Aug 01 19:48:59 +0000 2015,ja,0,False,2,False,,Daniel Darling,DanielDarling
Off road in Scotland https://t.co/tgBvwQK4YT,Fri Jul 03 16:37:21 +0000 2015,en,0,False,2,False,,Daniel Darling,DanielDarling
"Kickstarter took 5 years to reach $1B in funding raised, the next billion will be in just 18 months #SolidCon",Wed Jun 24 17:52:54 +0000 2015,en,0,False,2,False,,Daniel Darling,DanielDarling
#SolidCon has fast become my favorite tech conference. Nothing 'me too' here,Wed Jun 24 16:48:04 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
Manufacturing emissions not car emission have the biggest negative impact. Electric cars do worse #SolidCon http://t.co/8hUXEKcEc2,Wed Jun 24 16:46:46 +0000 2015,en,0,False,1,False,,Daniel Darling,DanielDarling
New scoot wheels http://t.co/m8HiILPuph,Mon Jun 22 21:45:34 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
SoftBank Lands $236M From Alibaba And Foxconn To Bring Its Pepper Robot To The World http://t.co/uG5yHXCwKr via @techcrunch,Sat Jun 20 19:19:06 +0000 2015,en,0,False,1,False,,Daniel Darling,DanielDarling
"Nope, not a tech bubble http://t.co/qsRiXSt129",Wed Jun 17 00:53:31 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
"At the corporate board level feel the CMO will be replaced by CTO, and legal council shift to Chief Security Officer as we move data centric",Thu Jun 11 22:23:40 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
"Great news for fellow Aussies in SF, Qantas is restarting direct SFO &gt; SYD flights! No more old and busted United 747",Tue Jun 09 23:26:19 +0000 2015,en,0,False,0,False,,Daniel Darling,DanielDarling
