Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Sign up for #Accelerate16 by April 30 and receive $300 off registration! Register now: https://t.co/KL3M9GgAtY https://t.co/rxDwLlkYqN,Fri Apr 29 22:55:04 +0000 2016,en,2,False,0,False,,David Elkington,DaveElkington
Events team gearing up for #Accelerate16! It's going to be amazing! Check out more here: https://t.co/a3cBhnQ3GY https://t.co/YZBuYF1TnF,Fri Apr 29 17:18:10 +0000 2016,en,1,False,4,False,,David Elkington,DaveElkington
RT @Accelerate_16: Sign up for #Accelerate16 by April 30 and receive $300 off registration! Register now: https://t.co/M4GJtK7qnj https://t…,Fri Apr 29 16:56:02 +0000 2016,en,10,False,0,False,,David Elkington,DaveElkington
RT @Accelerate_16: 19 days left and counting! Today's the last day for early bird pricing! https://t.co/M4GJtKp1eR #Accelerate16 https://t.…,Fri Apr 29 16:55:58 +0000 2016,en,5,False,0,False,,David Elkington,DaveElkington
Shout out to #Accelerate16 Titanium Sponsors: @Salesforce and @Microsoft! Join us May 17! https://t.co/iDNbwYeRJU https://t.co/tWykLHRyOE,Thu Apr 28 17:11:05 +0000 2016,en,2,False,2,False,,David Elkington,DaveElkington
https://t.co/diL86CTvNN Named #SalesAcceleration Service Provider of the Year by @AA_ISP https://t.co/NcD4s0vnd6,Tue Apr 26 20:38:07 +0000 2016,en,1,False,3,False,,David Elkington,DaveElkington
RT @Accelerate_16: 22 days left! Have you registered?https://t.co/M4GJtKp1eR #Accelerate16 https://t.co/UkhW35ARMV,Tue Apr 26 15:50:00 +0000 2016,en,18,False,0,False,,David Elkington,DaveElkington
The Staggering Cost of Chasing Bad Sales Leads https://t.co/8vGAaaguGf https://t.co/rYm7tUWYW7,Tue Apr 26 15:33:06 +0000 2016,en,1,False,1,False,,David Elkington,DaveElkington
RT @Accelerate_16: We're excited to hear from @tonyrodoni at #Accelerate16! https://t.co/M4GJtK7qnj @salesforce https://t.co/m7waKXQJca,Mon Apr 25 17:15:52 +0000 2016,en,9,False,0,False,,David Elkington,DaveElkington
What is a tech unicorn? - a quick refresher https://t.co/wONXoN26Ix,Thu Apr 21 01:37:13 +0000 2016,en,0,False,5,False,,David Elkington,DaveElkington
RT @Accelerate_16: 28 Days Until The #SalesAcceleration Event Of The Year! #Accelerate16 https://t.co/M4GJtKp1eR https://t.co/pAP38cqQpM,Wed Apr 20 14:57:24 +0000 2016,en,9,False,0,False,,David Elkington,DaveElkington
RT @Accelerate_16: Introducing @kevin_nealon to our #Accelerate16 line up as a featured keynote! https://t.co/M4GJtK7qnj https://t.co/XjbbZ…,Tue Apr 19 22:31:30 +0000 2016,en,10,False,0,False,,David Elkington,DaveElkington
Zetta targets up to $100m for new analytics-focused fund https://t.co/ZwPhsENcI1,Tue Apr 19 14:56:06 +0000 2016,en,1,False,1,False,,David Elkington,DaveElkington
RT @Accelerate_16: 30 Days to #Accelerate16! https://t.co/M4GJtKp1eR https://t.co/OoG8ejgCoC,Mon Apr 18 20:56:00 +0000 2016,en,15,False,0,False,,David Elkington,DaveElkington
Lynyrd Skynyrd to Headline https://t.co/diL86CTvNN #Accelerate16: https://t.co/nL7dxcrbqg,Mon Apr 18 16:46:09 +0000 2016,en,1,False,4,False,,David Elkington,DaveElkington
"RT @Accelerate_16: Keynotes/sessions announced for @Salesforce, @Microsoft, @Docusign &amp; more for #Accelerate16! https://t.co/M4GJtKp1eR htt…",Wed Apr 13 22:18:19 +0000 2016,en,20,False,0,False,,David Elkington,DaveElkington
Sales Leaders Bullish on 2016 Growth [#Infographic] https://t.co/3l6Fw45wpd  #BGI https://t.co/N46Sw9ryil,Tue Apr 12 22:05:07 +0000 2016,en,2,False,0,False,,David Elkington,DaveElkington
Should tech unicorns go public? https://t.co/diL86CBUpd CEO Dave Elkington doesn't think so... https://t.co/HXcmKE49lF via @techworldnews,Tue Apr 12 15:21:15 +0000 2016,en,3,False,5,False,,David Elkington,DaveElkington
"Companies Bullish on 2016 Growth Despite Market Turbulence, New Research Reveals - EIN News https://t.co/TKbEbAznnA",Sat Apr 02 08:02:19 +0000 2016,en,0,False,3,False,,David Elkington,DaveElkington
RT @InsideSales: Help us come back! RT: @AmbitionSales #MarchSaaSness update: @InsideSales trying to mount an 11th hr comebackVote https://…,Sat Apr 02 03:11:09 +0000 2016,en,13,False,0,False,,David Elkington,DaveElkington
Have you voted for @insidesales yet in the #MarchSaaSness Final Four? https://t.co/hdkEa4SaQt https://t.co/9rszLEUkWP,Fri Apr 01 18:10:27 +0000 2016,en,0,False,4,False,,David Elkington,DaveElkington
Help @insidesales beat @influitive in the #MarchSaaSness Final Four Tournament! Vote here: https://t.co/hdkEa4SaQt https://t.co/T8fLy2TjRz,Fri Apr 01 13:55:15 +0000 2016,en,2,False,3,False,,David Elkington,DaveElkington
RT @Accelerate_16: Today's the last day for Pre-Early Bird pricing for #Accelerate16! Register now: https://t.co/M4GJtKp1eR https://t.co/Z9…,Thu Mar 31 17:21:05 +0000 2016,en,16,False,0,False,,David Elkington,DaveElkington
Accelerate Early Bird.png https://t.co/kl8eApdFFi,Thu Mar 31 17:13:03 +0000 2016,en,1,False,1,False,,David Elkington,DaveElkington
RT @Accelerate_16: Early bird pricing now extended till the end of March! Register NOW for an amazing price! https://t.co/M4GJtKp1eR #Accel…,Tue Mar 29 22:24:20 +0000 2016,en,6,False,0,False,,David Elkington,DaveElkington
