Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @hamlah_syria: интернет банкингhttps://t.co/hvnHryYeD4 банки СНГ,Fri Apr 29 23:12:52 +0000 2016,ru,1,False,0,False,,Человек Пауг,DreamHostSimon
"Когда дело доходит до шоколада, сопротивляться бессмысленно. (Регина Бретт)",Sun Apr 24 03:09:11 +0000 2016,ru,0,False,0,False,,Человек Пауг,DreamHostSimon
"Для каждого, кто тебя знает, ты разный. (Чак Паланик) https://t.co/sMlTcCZeb9",Sat Apr 23 05:21:03 +0000 2016,ru,0,False,0,False,,Человек Пауг,DreamHostSimon
RT @melissali7: Мери Поппинс — это плохо отпразднованный Мери Крисмас. #humor,Wed Apr 20 20:21:16 +0000 2016,ru,1,False,0,False,,Человек Пауг,DreamHostSimon
"RT @florbtweet: Если бы меня спросили, хотел бы я вернуться в прошлое, я ответил бы, что мне хватило и того, что я однажды побывал там.",Mon Apr 11 21:59:29 +0000 2016,ru,1,False,0,False,,Человек Пауг,DreamHostSimon
@WonderlandPier Глава Минэнерго США назвал израильский газ заменой российскому,Fri Apr 08 19:57:04 +0000 2016,ru,0,False,0,False,,Человек Пауг,DreamHostSimon
@alzopp Windows XP по-прежнему стоит на каждом десятом компьютере мира https://t.co/XJJzogRGK4,Fri Apr 08 18:00:34 +0000 2016,ru,0,False,0,False,,Человек Пауг,DreamHostSimon
"@michaelgsimpson Любите глубоко и страстно. Быть может, это Вас ранит, но таков единственный способ прожить жизнь полностью.",Wed Apr 06 18:10:08 +0000 2016,ru,0,False,0,False,,Человек Пауг,DreamHostSimon
RT @NSWCTTT: Ничто не даётся легко. /  / Терри Гудкайнд,Wed Apr 06 08:49:59 +0000 2016,ru,2,False,0,False,,Человек Пауг,DreamHostSimon
Слоны - животные полезные. https://t.co/qJPDh22MTd,Wed Apr 06 00:09:01 +0000 2016,ru,0,False,0,False,,Человек Пауг,DreamHostSimon
"Купить недорого бегущую строку, в Москве и области. https://t.co/UV30hk9uuj",Tue Apr 05 12:42:54 +0000 2016,ru,0,False,0,False,,Человек Пауг,DreamHostSimon
«Газпром» получит долю в OMV Norge https://t.co/lIge4k80EV,Mon Apr 04 06:59:25 +0000 2016,ru,0,False,0,False,,Человек Пауг,DreamHostSimon
@terreirao До конца 2016 года в Москве хотят открыть 12 станций метро,Sun Apr 03 01:16:25 +0000 2016,ru,0,False,0,False,,Человек Пауг,DreamHostSimon
Весенняя заправка: как повлияют новые акцизы на стоимость бензина https://t.co/RpQzPwxker,Sat Apr 02 10:34:16 +0000 2016,ru,0,False,0,False,,Человек Пауг,DreamHostSimon
Самое лучшее лекарство от заикания - дорогой роуминг... https://t.co/JxgtBNbFZE,Fri Apr 01 19:01:45 +0000 2016,ru,0,False,0,False,,Человек Пауг,DreamHostSimon
"RT @OhohBoo: А вы смиряли строгую гордыню, пытаясь одолеть свои пути? А вы любили так, что даже имя вам больно было вслух произнести? (Эдуа…",Fri Apr 01 10:33:25 +0000 2016,ru,1,False,0,False,,Человек Пауг,DreamHostSimon
RT @amanecermaribel: Посол Сирии в РФ: Госпиталь в Идлибе разрушили ВВС США,Fri Apr 01 03:54:50 +0000 2016,ru,2,False,0,False,,Человек Пауг,DreamHostSimon
RT @EstelleStella1: Сергей Нижегородцев против Платона Щукина https://t.co/DYh0osOHzD,Thu Mar 31 19:09:35 +0000 2016,ru,385,False,0,False,,Человек Пауг,DreamHostSimon
@Justin_Tyler105 Международная Страховая Компания объявила финансовые показатели https://t.co/6Pe86zQEzd,Thu Mar 31 07:22:58 +0000 2016,ru,0,False,0,False,,Человек Пауг,DreamHostSimon
"RT @InfowarsMag: тократ щедрей тебя», - похваляется иной, https://t.co/eY0p0R7LTn",Wed Mar 30 07:15:23 +0000 2016,ru,14,False,0,False,,Человек Пауг,DreamHostSimon
"@LucasGabrielDR Пpишел, yвидел, ..... ЗАГРУЗИЛ ! #humor",Tue Mar 29 02:03:40 +0000 2016,ru,0,False,0,False,,Человек Пауг,DreamHostSimon
"@RadiodeiValori1 Отсутствие таланта в искусстве удручает еще больше, чем человеческие страдания.",Mon Mar 28 03:38:11 +0000 2016,ru,0,False,0,False,,Человек Пауг,DreamHostSimon
