Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Product management is the art of knowing what to build @anshublog https://t.co/i14FfrO6g7,Fri Apr 08 21:49:18 +0000 2016,en,0,False,2,False,,Jitendra Gupta,JitendraGupta
Check this out: How Farmer Boys grows its mobile customer base https://t.co/wtheUiVF2P via @MobileStrat360,Tue Mar 01 08:21:51 +0000 2016,en,0,False,1,False,,Jitendra Gupta,JitendraGupta
RT @PAR_Tech: Brink POS Now Seamlessly Engages Guests with Punchh Mobile Engagement. https://t.co/Ko0nyNU4Dy #Loyalty #POS https://t.co/A6Q…,Fri Jan 15 06:30:15 +0000 2016,en,5,False,0,False,,Jitendra Gupta,JitendraGupta
RT @10BestCRM: Hey @getpunchh You placed #2 on our #Small Business awards https://t.co/MpUSFDFnla,Thu Dec 03 19:49:04 +0000 2015,en,2,False,0,False,,Jitendra Gupta,JitendraGupta
@10BestCRM @InfoFloSoftware @getpunchh Thanks guys for making us #2,Thu Dec 03 19:44:58 +0000 2015,en,0,False,0,False,,Jitendra Gupta,JitendraGupta
A New Mobile Loyalty Program and Rewards App Comes to TGI Fridays UK https://t.co/xsXmw7ofBW via @loyalty360,Thu Dec 03 19:43:41 +0000 2015,en,1,False,1,False,,Jitendra Gupta,JitendraGupta
"Natalie &amp; the entire @MOOYAHBurger team, We are excited about the upcoming launch as well!!  https://t.co/zLApa8GUy2",Thu Dec 03 17:45:33 +0000 2015,en,1,False,0,False,,Jitendra Gupta,JitendraGupta
Company Spotlight: Punchh – offering solutions for better customer engagement | TrendMonitor via @insightsmedia,Wed Dec 02 21:40:56 +0000 2015,en,0,False,1,False,,Jitendra Gupta,JitendraGupta
Welcome Costa Vida!!! - Costa Vida Unveils Its First Mobile App https://t.co/ZI1GQvzG3R,Mon Nov 30 18:15:25 +0000 2015,en,1,False,0,False,,Jitendra Gupta,JitendraGupta
TGI Fridays UK Launches Loyalty App https://t.co/eakk9Oa8Rd,Wed Nov 25 02:24:58 +0000 2015,en,0,False,1,False,,Jitendra Gupta,JitendraGupta
https://t.co/EjahTBGebF,Mon Oct 26 01:40:11 +0000 2015,und,0,False,0,False,,Jitendra Gupta,JitendraGupta
Too many startups undervalue strategy - it's more important than product execution - Patrick collision @money2020,Mon Oct 26 01:37:35 +0000 2015,en,2,False,1,False,,Jitendra Gupta,JitendraGupta
RT @shyamsrao: Proud of our work at @getPunchh - we win bronze for Schlotzskys: 11 retailers named 2015 Store Ops Superstars https://t.co/B…,Wed Oct 21 16:03:03 +0000 2015,en,3,False,0,False,,Jitendra Gupta,JitendraGupta
RT @shyamsrao: Retail TouchPointsts awards @getPunchh bronze for #Mobile#Strategies: 11 retailers named 2015 Store Ops Superstars https://t…,Wed Oct 21 16:02:43 +0000 2015,en,1,False,0,False,,Jitendra Gupta,JitendraGupta
The Hottest Cloud-based Marketing Startups of 2015 via @forbes https://t.co/PVDEFaseS4,Tue Oct 20 20:13:02 +0000 2015,en,0,False,0,False,,Jitendra Gupta,JitendraGupta
Schlotzsky's trading smartphones for loyalty | Fast Casual http://t.co/FCXmsz0Oa8,Fri Oct 16 16:30:50 +0000 2015,en,0,False,1,False,,Jitendra Gupta,JitendraGupta
"Welcome Cici's!!! 
https://t.co/XNUFMzi9zn",Thu Oct 15 22:28:31 +0000 2015,en,0,False,0,False,,Jitendra Gupta,JitendraGupta
CiCi's Pizza Engages Guests More Frequently with Branded Loyalty App http://t.co/vvM9sLWiSJ,Thu Oct 15 22:20:59 +0000 2015,en,0,False,0,False,,Jitendra Gupta,JitendraGupta
RT @nicolefallon90: Customer Self-Service Do's and Don'ts for Your Business https://t.co/Bijh7sdTqf via @BNDarticles @TeamSupport @NakedWin…,Tue Oct 06 19:25:50 +0000 2015,en,3,False,0,False,,Jitendra Gupta,JitendraGupta
Why Chipotle is wrong about loyalty | Fast Casual http://t.co/euvDjzMpf8,Sat Sep 26 01:20:44 +0000 2015,en,0,False,0,False,,Jitendra Gupta,JitendraGupta
Burger 21 launches mobile app with social media contest | Fast Casual http://t.co/lvmFOwbAr6,Fri Sep 18 21:20:30 +0000 2015,en,1,False,0,False,,Jitendra Gupta,JitendraGupta
RT @cervinventures: Punchh Mobile Engagement and Actionable Insights Platform Integrates w/ @NCRCorporation Aloha POS http://t.co/ChzjdvRRb…,Tue Sep 08 20:16:06 +0000 2015,en,3,False,0,False,,Jitendra Gupta,JitendraGupta
What Chipotle Gets Wrong About Customer Loyalty http://t.co/B9iOwZi6A6 via @B2Community,Tue Aug 25 18:44:05 +0000 2015,en,0,False,0,False,,Jitendra Gupta,JitendraGupta
"""Startups founded by IIT alumni"" by @Shilpi_SV on @LinkedIn https://t.co/wq5AsrUY1J",Tue Jul 07 12:38:57 +0000 2015,en,0,False,0,False,,Jitendra Gupta,JitendraGupta
RT @pnijhawan: This will be fascinating! Uber Drivers Deemed Employees By California Labor Commission http://t.co/eQLGjubv61 via @techcrunch,Thu Jun 18 00:19:36 +0000 2015,en,1,False,0,False,,Jitendra Gupta,JitendraGupta
"Lifetime loyalty comes from winning hearts, minds | Fast Casual http://t.co/6ce39C7XPv",Tue Jun 09 16:30:07 +0000 2015,en,0,False,0,False,,Jitendra Gupta,JitendraGupta
@ForkandPhone @getpunchh Nice!!!!,Sat May 30 23:35:49 +0000 2015,en,0,False,0,False,,Jitendra Gupta,JitendraGupta
@ForkandPhone @JGeo @brittanirendina @teddygrossman @justinmassa @jambam0506 Sorry folks - but my line is GS in 5 ... Let the games begin!!,Thu May 28 16:06:37 +0000 2015,en,0,False,1,False,,Jitendra Gupta,JitendraGupta
"""The Sad Truth About Developing Executives"" on @LinkedIn https://t.co/XE7UPWErhA",Fri Mar 27 00:13:40 +0000 2015,en,0,False,0,False,,Jitendra Gupta,JitendraGupta
RT @rubyconfindia: Please welcome our latest silver sponsor @getpunchh warmly.,Mon Mar 16 21:04:20 +0000 2015,en,1,False,0,False,,Jitendra Gupta,JitendraGupta
RT @getpunchh: Thank you Prof. Oleg Urminsky for the insights. http://t.co/TCKMxgCehL,Tue Feb 03 05:30:04 +0000 2015,en,2,False,0,False,,Jitendra Gupta,JitendraGupta
"RT @SpiegelResearch: Mobile apps to reward customer loyalty are “a game changer” via@NewYorkTimes
http://t.co/mB33wE6qkZ @capriottisjason @…",Thu Jan 29 21:57:18 +0000 2015,en,5,False,0,False,,Jitendra Gupta,JitendraGupta
RT @ChrisMcGill: The psychology of consumer behavior - is a must read. #punchh Using Smartphones and Apps to Enhance Loyalty Programs http:…,Thu Jan 29 07:59:55 +0000 2015,en,1,False,0,False,,Jitendra Gupta,JitendraGupta
Manish Chandra at IIT Kanpur event #iitkef http://t.co/ikfahSZqWY,Thu Jan 29 04:30:32 +0000 2015,tl,0,False,0,False,,Jitendra Gupta,JitendraGupta
Attending IIT Kanpur event  #iitkef http://t.co/dKQBBpuPx1,Thu Jan 29 04:17:06 +0000 2015,en,0,False,0,False,,Jitendra Gupta,JitendraGupta
@capriottis @getpunchh Its so great to have wonderful customers like Capriottis and Jason,Wed Jan 28 18:03:32 +0000 2015,en,0,False,1,False,,Jitendra Gupta,JitendraGupta
RT @capriottis: @JitendraGupta It's a pleasure working with @getpunchh on our new loyalty program!,Wed Jan 28 18:02:39 +0000 2015,en,1,False,0,False,,Jitendra Gupta,JitendraGupta
RT @getpunchh: Using Smartphones and Apps to Enhance Loyalty Programs http://t.co/4Xy5uJUT3D,Wed Jan 28 17:47:09 +0000 2015,en,1,False,0,False,,Jitendra Gupta,JitendraGupta
"RT @teddygrossman: Terrific @NewYorkTimes11 piece, feat @capriottis's CMO/CIO @capriottisjason &amp; @getpunchh's very own @JitendraGupta! http…",Wed Jan 28 17:46:25 +0000 2015,en,1,False,0,False,,Jitendra Gupta,JitendraGupta
"Loyalty, branded mobile app top most effective mobile marketing strategies. http://t.co/RBsKHHGeGx",Fri Jan 09 22:22:43 +0000 2015,en,1,False,1,False,,Jitendra Gupta,JitendraGupta
Great piece - http://t.co/L3JWv5UVtX,Tue Dec 02 23:10:30 +0000 2014,en,0,False,2,False,,Jitendra Gupta,JitendraGupta
RT @shyamsrao: Excited to work with Aurelio's!  http://t.co/iH1qtIYOEj,Tue Nov 25 18:28:00 +0000 2014,en,2,False,0,False,,Jitendra Gupta,JitendraGupta
How Loyalty Programs Can Boost Apple Pay Usage by @jitendragupta http://t.co/p2WOqW39ej via @B2Community,Mon Nov 17 23:27:53 +0000 2014,en,0,False,0,False,,Jitendra Gupta,JitendraGupta
"If you are looking to put butts in seats, look for engagement apps from @getpunchh",Wed Oct 29 17:58:57 +0000 2014,en,0,False,0,False,,Jitendra Gupta,JitendraGupta
"RT @nhglass: Wow. ""70% of restaurant operators said they planned to invest in [an app] in 2014."" Come and get it! @Olo http://t.co/5iS7Tg7z…",Wed Oct 29 17:57:46 +0000 2014,en,4,False,0,False,,Jitendra Gupta,JitendraGupta
9 CRM Solutions for Small Businesses http://t.co/30BVIOh8lg via @BNDarticles,Wed Oct 22 19:53:05 +0000 2014,en,0,False,0,False,,Jitendra Gupta,JitendraGupta
RT @JoshuaRM: #4 for lotz4me - http://t.co/ZObIylSlnu - @getpunchh is the only company with 2 top 10 restaurant apps - #proud RT @JitendraG…,Wed Oct 15 00:35:05 +0000 2014,en,1,False,0,False,,Jitendra Gupta,JitendraGupta
RT @Hite_Jim: @JitendraGupta great article! http://t.co/YSCLUU5vsn,Wed Oct 15 00:34:49 +0000 2014,en,2,False,0,False,,Jitendra Gupta,JitendraGupta
"RT @geoconmarketing: Great article @JitendraGupta!  As moblie pay becomes as standard as credit cards, targeted mobile marketing will get…h…",Wed Oct 15 00:34:46 +0000 2014,en,1,False,0,False,,Jitendra Gupta,JitendraGupta
Thank you @Giardino_Salads - Great to have you as a customer as well. CC @getpunchh http://t.co/kdqQNpWgcc,Wed Oct 15 00:18:17 +0000 2014,en,5,False,2,False,,Jitendra Gupta,JitendraGupta
