Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @InsightOG: Listening to a bunch of #SocialTV gurus talk shop at #TVOT15 @joshrickel @jtoeman @craiglpalmer @A_Mazzara @MalcolmCasSelle …,Wed Jun 24 18:47:25 +0000 2015,en,4,False,0,False,,malcolm casselle,MalcolmCasSelle
@TinaSharkey I am in SF next week! Let's catch up if you're around.,Fri Feb 20 04:41:34 +0000 2015,en,0,False,0,False,,malcolm casselle,MalcolmCasSelle
@TinaSharkey will you be at SXSW? Long time since iVillage days,Fri Feb 20 02:55:09 +0000 2015,en,0,False,0,False,,malcolm casselle,MalcolmCasSelle
Congrats to Timeline Labs Shareholders and team! http://t.co/RRx5h2v3NU,Tue Dec 23 18:09:40 +0000 2014,en,0,False,2,False,,malcolm casselle,MalcolmCasSelle
"Timeline Labs announces NewCoin with Tribune, Univision and Fox. http://t.co/NRtz2ebZG9",Wed Dec 17 19:33:48 +0000 2014,en,0,False,3,False,,malcolm casselle,MalcolmCasSelle
Latest infographic from Timeline Labs on most buzzed World Series teams http://t.co/su1JfIXhWM,Tue Oct 21 18:00:35 +0000 2014,en,0,False,0,False,,malcolm casselle,MalcolmCasSelle
@Jenissy_ How did u catch that?,Thu Apr 24 05:50:34 +0000 2014,en,0,False,0,False,,malcolm casselle,MalcolmCasSelle
BTC China wow http://t.co/Yrbi5p22bh,Fri Nov 22 17:29:56 +0000 2013,en,11,False,2,False,,malcolm casselle,MalcolmCasSelle
Key Takeaways from Reuters Digital News Report 2013 http://t.co/96ZsdSDB2i,Sat Jun 29 17:30:16 +0000 2013,en,1,False,1,False,,malcolm casselle,MalcolmCasSelle
"RT @bizrockstars: Nanxi Liu reiterating, ""You are the average of the 5 people you spend the most time with.""  #BizRockstars #RockstarAcademy",Fri May 03 03:28:29 +0000 2013,en,6,False,0,False,,malcolm casselle,MalcolmCasSelle
"RT @bizrockstars: ""You never know who you're going to meet and where it's going to lead you"" - Steve Lehman #BizRockstars #RockstarAcademy",Fri May 03 02:45:36 +0000 2013,en,2,False,0,False,,malcolm casselle,MalcolmCasSelle
Join me May 1 w other great CEOs at United Talent Agency for a dynamic discussion re web monetization RSVP: http://t.co/BczIunEmuS,Tue Apr 30 23:46:10 +0000 2013,en,0,False,0,False,,malcolm casselle,MalcolmCasSelle
How charging for premium content will save publishers from certain... http://t.co/RuPwS4pCHn,Thu Mar 07 17:31:53 +0000 2013,en,0,False,1,False,,malcolm casselle,MalcolmCasSelle
Join the conversation :-) http://t.co/neGsI7uL,Tue Jan 29 13:24:55 +0000 2013,en,0,False,0,False,,malcolm casselle,MalcolmCasSelle
I was quoted in the NY Times about the startup investment industry in China. http://t.co/qqCJ97xX,Fri Dec 07 04:18:54 +0000 2012,en,1,False,1,False,,malcolm casselle,MalcolmCasSelle
I was quoted in the NY Times about the startup investment industry in China.,Thu Dec 06 21:55:17 +0000 2012,en,0,False,1,False,,malcolm casselle,MalcolmCasSelle
