Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"Proud to be part of Ohio Delegation supporting the key issues to fund, support, and promote healthy libraries https://t.co/3Lfb1UtwbY",Mon May 02 13:44:43 +0000 2016,en,0,False,1,False,,Steve Potash,OverDriveSteve
RT @OverDriveLibs: .@sari_feldman discussing #LibrariesTransform and the @ALALibrary support for Dr. Carley Hayden. #nlld16 https://t.co/p1…,Mon May 02 13:16:34 +0000 2016,en,1,False,0,False,,Steve Potash,OverDriveSteve
RT @OverDriveLibs: Can't attend #nlld16? Watch the stream: https://t.co/PjgGFiuu98. Great remarks from @sari_feldman happening right now.,Mon May 02 13:15:45 +0000 2016,en,9,False,0,False,,Steve Potash,OverDriveSteve
RT @hbraum: Support Dr. Carla Hayden's LOC nomination. Manager. Scholar. technology. trailblazer. Community &amp; world library leader. #hayden…,Mon May 02 13:15:26 +0000 2016,en,5,False,0,False,,Steve Potash,OverDriveSteve
"RT @wcl_library: Some DC comics are now up on OverDrive, they look real good in READ format. https://t.co/Kknnd7yF2F https://t.co/9H1WhLXpUw",Thu Apr 28 12:58:55 +0000 2016,en,1,False,0,False,,Steve Potash,OverDriveSteve
"RT @OverDriveLibs: See ya, Denver. It's been real! #PLA2016 https://t.co/Gj71INyLLe",Sat Apr 09 18:54:52 +0000 2016,en,3,False,0,False,,Steve Potash,OverDriveSteve
https://t.co/gv0SF3iRfq,Sat Apr 09 15:44:24 +0000 2016,und,1,False,1,False,,Steve Potash,OverDriveSteve
@chones22 @theinquisitr ok,Tue Mar 22 17:38:31 +0000 2016,und,0,False,0,False,,Steve Potash,OverDriveSteve
OverDrive Offers Easy Access To Local Libraries And The World’s Biggest Book Club https://t.co/VKzqJ6v631,Mon Mar 21 20:13:08 +0000 2016,en,0,False,1,False,,Steve Potash,OverDriveSteve
RT @RPL_YourLibrary: World's largest ebook club starts today! #biglibraryread America Sniper by Chris Kyle https://t.co/g2F9sHm1Uc https://…,Fri Mar 18 00:13:17 +0000 2016,en,3,False,0,False,,Steve Potash,OverDriveSteve
RT @OverDriveLibs: The books that got Team OverDrive #reading: https://t.co/iQ10nSK1sW,Wed Jan 13 23:41:26 +0000 2016,en,1,False,0,False,,Steve Potash,OverDriveSteve
7 reasons why schools should be using digital audiobooks with students every day https://t.co/knVUvG6Uwo,Fri Nov 20 13:18:06 +0000 2015,en,0,False,0,False,,Steve Potash,OverDriveSteve
RT @OverDriveLibs: Join @overdrivesteve at #chs15 on Friday at 10:30 presenting what's coming next in the library eBook space. @chsconf htt…,Thu Nov 05 17:31:02 +0000 2015,en,2,False,0,False,,Steve Potash,OverDriveSteve
RT @burke_library: 4th grade students used their tablet and/or cell phone to download e-books from Overdrive. #NISDProud https://t.co/gRtol…,Thu Oct 29 19:37:46 +0000 2015,en,3,False,0,False,,Steve Potash,OverDriveSteve
Star War actor voices are alive in Read-Along eBooks from the library.  https://t.co/GZDANY2gyA,Mon Oct 26 12:07:56 +0000 2015,en,0,False,0,False,,Steve Potash,OverDriveSteve
RT @VPL: You can #GetBooked via @VPL: http://t.co/Y6xrzChyjX | Among #ebooks to sample is @MargaretAtwood’s In Other Worlds: http://t.co/CK…,Sat Oct 17 23:54:37 +0000 2015,en,1,False,0,False,,Steve Potash,OverDriveSteve
