Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"I find that people often use the adverb ""mathematically"" as a security blanket for when they don't actually understand the math",Tue Apr 26 16:41:22 +0000 2016,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
"@Bill_Gross apologies but that's a slightly disingenuous comparison: 73% of CO2 ""weight"" was already there - it's called ""Oxygen""  ;-)",Sun Apr 24 18:08:26 +0000 2016,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
@jbeda DND does this for phone calls and should (obviously) behave the same for messages. It's been a requested feature since 2012,Sun Apr 24 17:52:30 +0000 2016,en,0,False,1,False,,Peter S. Magnusson,PeterSMagnusson
"after several interactions with @CollegeBoard staff, i find it supremely ironic that they are the guardians of academic excellence",Wed Apr 06 18:10:50 +0000 2016,en,0,False,1,False,,Peter S. Magnusson,PeterSMagnusson
"It's a moment of sadness, and pride, when your child or student moves beyond your own ability.  https://t.co/UKSOsdX8fC",Fri Mar 11 20:49:33 +0000 2016,en,2,False,1,False,,Peter S. Magnusson,PeterSMagnusson
@msgodf @Forbes @lewisdvorkin those are all the “trackers”: services and companies given access to your browsing history,Thu Mar 03 22:28:39 +0000 2016,en,0,False,2,False,,Peter S. Magnusson,PeterSMagnusson
[2 of 2] seriously @Forbes @lewisdvorkin you need to offer a paywall option for readers who care about their privacy and security,Thu Mar 03 21:45:49 +0000 2016,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
[1 of 2] hey @Forbes @lewisdvorkin why don’t you just install a rootkit on my laptop and be done with it? https://t.co/53dbphXluo,Thu Mar 03 21:45:44 +0000 2016,en,0,False,1,False,,Peter S. Magnusson,PeterSMagnusson
@holgermu yupp.  so what do you think the 5th will be?  :-),Sat Feb 27 03:29:03 +0000 2016,en,1,False,0,False,,Peter S. Magnusson,PeterSMagnusson
@holgermu I still think of it as part of the 4th paradigm. 1:computer per se (40s) 2:mainframe (60s) 3:personal (80s) 4:ubiquitous (00s),Fri Feb 26 16:34:10 +0000 2016,en,1,False,0,False,,Peter S. Magnusson,PeterSMagnusson
@mljungblad @thornkvist @Snapchat @TheConfMalmo ack,Wed Feb 24 21:12:28 +0000 2016,und,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
@philiped good piece. terrible headline and lead  :-),Tue Feb 23 00:20:13 +0000 2016,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
Ahhh what a relief ... night shift is a must on the Pro https://t.co/Qs3GNbK01m,Wed Jan 27 06:21:47 +0000 2016,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
our new #Oracle Public #Cloud offices in Bristol are looking nice! #OracleIaaS https://t.co/9r0Lc4xakD,Tue Jan 26 19:10:12 +0000 2016,en,4,False,10,False,,Peter S. Magnusson,PeterSMagnusson
"@brooke no this is super fun. so entertaining. i mean - these aren't the candidates are they? i was assuming this was sort of ""Model UN"".",Thu Jan 21 17:50:31 +0000 2016,en,0,False,1,False,,Peter S. Magnusson,PeterSMagnusson
"thank you, and thanks NYC tech entpr and friends; next time i'll try not to have an early flight next day! https://t.co/cYgvjn8nwe",Thu Jan 21 17:49:47 +0000 2016,en,0,False,1,False,,Peter S. Magnusson,PeterSMagnusson
@txtianmiller this holds up pretty well. But was it 1992? You mention Mosaic so presumably 1993+. And &lt;30M users implies 1994-1995.,Sun Jan 17 02:01:48 +0000 2016,en,0,False,2,False,,Peter S. Magnusson,PeterSMagnusson
"Oil prices fell below $30, so I thought I'd have a look at my 2008 predictions. They mostly held. https://t.co/0YCf2iKsrR",Sun Jan 17 01:49:22 +0000 2016,en,0,False,2,False,,Peter S. Magnusson,PeterSMagnusson
@TheEconomist this juxtaposition will haunt us. crowdfunding is not a democratization of wealth. much of CF today is real estate debt.,Sun Jan 03 03:56:47 +0000 2016,en,0,False,2,False,,Peter S. Magnusson,PeterSMagnusson
RT @DanWetzel: Maybe this victory will give McGregor a little self-confidence.,Mon Dec 14 02:07:57 +0000 2015,en,311,False,0,False,,Peter S. Magnusson,PeterSMagnusson
"HTG all, “[the] only one time in American history when the fear of refugees wiping everyone out did actually come true” - @iamjohnoliver",Tue Nov 24 17:26:22 +0000 2015,en,1,False,1,False,,Peter S. Magnusson,PeterSMagnusson
[2/2] and the iPhone was disruptive before the App Store  @claychristensen @HarvardBiz,Tue Nov 24 05:49:30 +0000 2015,en,1,False,0,False,,Peter S. Magnusson,PeterSMagnusson
"[1/2] uber became disruptive only after copying p2p, Netflix was being crushed but BB then blinked @claychristensen @HarvardBiz",Tue Nov 24 05:48:59 +0000 2015,en,1,False,0,False,,Peter S. Magnusson,PeterSMagnusson
"@claychristensen you've misread the origins and the nature of the ""disruption"" of both Uber, Netflix, and iPhone. https://t.co/LdIeLoCSNg",Tue Nov 24 05:46:48 +0000 2015,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
@haleymayyyyy write-ups on the the three “fibs” here: https://t.co/j0UCRahM8Z https://t.co/9pgWo2fYh2 https://t.co/9AmHwL40lU @smerconish,Sun Nov 08 00:05:00 +0000 2015,en,1,False,0,False,,Peter S. Magnusson,PeterSMagnusson
@larryelder fyi: the coal miner claim contributed to derailing Biden’s 1988 presidential campaign @smerconish @CNN https://t.co/9pgWo2fYh2,Sat Nov 07 23:58:58 +0000 2015,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
@perelmanor your position against my short is beginning to recover!  ;-) https://t.co/I6YYWO4EJI,Thu Nov 05 17:39:55 +0000 2015,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
"yeah pretty much, in fact some of the new stuff we've been selling for a little while already @gigabarb @ianrae",Tue Oct 27 22:25:19 +0000 2015,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
"Yup. Joined a bit over a year ago. Stay tuned, we will be doing a lot of interesting stuff. @ianrae @gigabarb",Tue Oct 27 17:23:41 +0000 2015,en,0,False,1,False,,Peter S. Magnusson,PeterSMagnusson
"Launching multiple compute services: elastic, dedicated, and exadata. #oracle #oow15 check out Thomas' keynote at https://t.co/O38AaMEYD8",Tue Oct 27 16:44:35 +0000 2015,en,7,False,4,False,,Peter S. Magnusson,PeterSMagnusson
"@BigJohnnyArcher Apple's strategy of a hybrid that does a little of both (gaming and video), but badly, is behind the times",Sat Sep 12 20:52:56 +0000 2015,en,3,False,3,False,,Peter S. Magnusson,PeterSMagnusson
"@BigJohnnyArcher totally agree with this, I just want video apps, and smart app platform is fine for that. for games, I'll use a console",Sat Sep 12 20:52:16 +0000 2015,en,0,False,1,False,,Peter S. Magnusson,PeterSMagnusson
"@BigJohnnyArcher they insist on device lock in. that's passé. I can watch Netflix, HBO, Hulu, Amazon, and Comcast. and lots of 4K content.",Sat Sep 12 20:50:40 +0000 2015,en,0,False,1,False,,Peter S. Magnusson,PeterSMagnusson
"@BigJohnnyArcher well yes i agree, I just think it's an even bigger fail. market has moved. I watch more TV on Samsung apps now than iTunes",Sat Sep 12 20:48:26 +0000 2015,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
@drgurner ditto!,Sat Sep 12 20:42:05 +0000 2015,it,0,False,1,False,,Peter S. Magnusson,PeterSMagnusson
"@BigJohnnyArcher good piece in Fortune on Apple and 4K. but you didn't mention smart TV apps. I don't think it's a ""device"" play anymore.",Sat Sep 12 20:41:09 +0000 2015,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
"@TheEconomist indeed, the amount of preying on the poor that is tolerated in the U.S. is quite fascinating, loan practices being just one",Tue Sep 08 05:39:21 +0000 2015,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
"fascinating how Chinese nationalist bias is invading crowdsourced sites, such as Wikipedia; a slowly growing ""cultural war""?",Mon Sep 07 23:56:37 +0000 2015,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
project sunroof is really cool  https://t.co/v1RZVd1km7,Tue Aug 18 00:19:28 +0000 2015,en,0,False,1,False,,Peter S. Magnusson,PeterSMagnusson
"@NetSlut yes the hanging is annoying, I've reported that continuously during trial, but overall a huge step @Microsoft @satyanadella",Tue Jul 14 15:13:48 +0000 2015,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
@MCCob nope,Fri Jul 03 16:37:41 +0000 2015,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
RT @solarimpulse: HE MADE IT! @andreborschberg just touched down in #Hawaii after a record-breaking flight! #futureisclean @b... https://t.…,Fri Jul 03 16:36:40 +0000 2015,en,2523,False,0,False,,Peter S. Magnusson,PeterSMagnusson
RT @om: Do no evil  https://t.co/OgM75mU3hO,Thu Jun 25 22:57:50 +0000 2015,es,52,False,0,False,,Peter S. Magnusson,PeterSMagnusson
France has a glimpse of the future. Responds with riots police and burning tires. http://t.co/2RVALsL4Oq,Thu Jun 25 22:56:51 +0000 2015,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
Announcing 24+ new PaaS and IaaS services today. #Cloud #OraclePaaS #OracleIaaS http://t.co/iJ37l721Ie,Mon Jun 22 20:58:13 +0000 2015,en,8,False,5,False,,Peter S. Magnusson,PeterSMagnusson
RT @Oracle: Oracle now offers 24 new cloud platform services for building applications in the #cloud #OraclePaaS http://t.co/hCohoyQ9or,Mon Jun 22 20:55:31 +0000 2015,en,116,False,0,False,,Peter S. Magnusson,PeterSMagnusson
@JesperEs yeah I don't expect that to happen.  :-),Tue Jun 09 07:28:24 +0000 2015,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
Apple open sourcing Swift is a big deal.  https://t.co/xpQKqZuhdp,Mon Jun 08 20:48:30 +0000 2015,en,1,False,4,False,,Peter S. Magnusson,PeterSMagnusson
"Uber works great in Paris, totally changes the tourist experience. The crackdown is having no visible effect. http://t.co/0hgVIsE0jp",Sun Jun 07 09:34:29 +0000 2015,en,0,False,1,False,,Peter S. Magnusson,PeterSMagnusson
"My sympathies to the #AppleTV team. I think #Apple is missing the boat, I'm increasingly using my #Samsung TV apps.  http://t.co/WSvtmVBeq2",Wed Jun 03 23:27:54 +0000 2015,en,1,False,3,False,,Peter S. Magnusson,PeterSMagnusson
"It just took 11 years. Today for the first time, #Facebook showed me an ad that was relevant: http://t.co/0yNXbKMbt2",Wed Jun 03 23:22:40 +0000 2015,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
"Looking forward to @Recode 2015, look me up if you're there.",Tue May 26 16:51:58 +0000 2015,en,1,False,0,False,,Peter S. Magnusson,PeterSMagnusson
"Dear former @NebulaInc team, welcome to @Oracle Public Cloud!  http://t.co/7RYMvzDWdy",Thu May 07 21:14:02 +0000 2015,en,10,False,14,False,,Peter S. Magnusson,PeterSMagnusson
RT @holgermu: @MarkVHurd - I expect #PaaS to be ultimately bigger than #SaaS - and you will want to put it on @Oracle #IaaS #OracleCloud,Wed Apr 29 18:05:07 +0000 2015,en,9,False,0,False,,Peter S. Magnusson,PeterSMagnusson
"Wall Street is odd. It was obvious AWS was large and profitable, and just as obvious that Twitter growth was stalling. Why the ""surprise""?",Wed Apr 29 17:08:10 +0000 2015,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
"@jbeda yes, an old favorite. Love it.",Wed Apr 29 16:57:05 +0000 2015,en,0,False,1,False,,Peter S. Magnusson,PeterSMagnusson
Finished #serialpodcast now on to #UndisclosedPodcast - a taste of a new form of journalism https://t.co/ht4wMGeNVq,Wed Apr 22 01:31:59 +0000 2015,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
Just realized how powerful Apple's Health strategy will be in aligning device industry,Sat Apr 18 17:14:29 +0000 2015,en,3,False,1,False,,Peter S. Magnusson,PeterSMagnusson
"@Withings just started using your BP monitor, love it but disappointed no #healthkit integration?",Sat Apr 18 17:13:35 +0000 2015,en,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
35th anniversary of Apple II+ this year. Pic is replica cake from my birthday party. My first computer. http://t.co/9Az3FBWL9D,Fri Apr 10 22:50:16 +0000 2015,en,0,False,4,False,,Peter S. Magnusson,PeterSMagnusson
"@DLiljequist tillverkare, dvs läkemedelsnamn, spelar roll",Tue Apr 07 08:21:15 +0000 2015,sv,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
"@DLiljequist läkemedelsnamn handlar om tillverkare. Det I sin tur handlar om företag, processer, fabriker, människor.",Tue Apr 07 08:19:19 +0000 2015,sv,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
@DLiljequist det som är relevant är den faktiska erfarenheten att verkningsgrad kan variera mellan tillverkare,Tue Apr 07 08:09:11 +0000 2015,sv,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
@DLiljequist olika apotekskedjor har olika leverantörer,Tue Apr 07 08:01:40 +0000 2015,sv,0,False,0,False,,Peter S. Magnusson,PeterSMagnusson
