Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @LivePerson: When Zuckerberg himself sends flowers to David Marcus using your #messenger integration 😄😎👍 https://t.co/wHTdblU3Py,Tue Apr 12 19:56:39 +0000 2016,en,18,False,0,False,,Robert LoCascio,RobLoCascio
"Congratulations to our client @1800flowers, who's use of #liveperson with Messenger was just showcased by Zuckerberg at #F82016! #bots #chat",Tue Apr 12 18:51:27 +0000 2016,en,2,False,4,False,,Robert LoCascio,RobLoCascio
Really excited to announce what we've been working on with @Facebook: https://t.co/fO6qU8qvUG #F82016 #messenger #liveperson,Tue Apr 12 18:41:34 +0000 2016,en,6,False,4,False,,Robert LoCascio,RobLoCascio
My latest @Inc column on disrupting travel https://t.co/qxIPMTiKxY,Tue Apr 05 18:49:59 +0000 2016,en,0,False,5,False,,Robert LoCascio,RobLoCascio
Proud to open up @FounderMade Food Summit &amp; spend the day with innovative food entrepreneurs   #Foundermade,Sat Apr 02 15:00:35 +0000 2016,en,0,False,9,False,,Robert LoCascio,RobLoCascio
Check out my latest @inc column on employee recognition. https://t.co/QwTZZf3jke,Tue Mar 08 15:39:43 +0000 2016,en,2,False,5,False,,Robert LoCascio,RobLoCascio
"If your customers can't describe your #culture, you don't know them well enough.",Tue Mar 08 15:27:22 +0000 2016,en,1,False,3,False,,Robert LoCascio,RobLoCascio
Don't just hand out bonus time off. Even personal time can bring employees closer together. https://t.co/dSQLJ66bJQ,Tue Mar 08 15:26:59 +0000 2016,en,0,False,0,False,,Robert LoCascio,RobLoCascio
RT @DreamBigfdtn: @AyannaPressley Thank u Councilor Pressley.  @RobLoCascio and I hope 2 impact Brownsville like u have in Boston. #entrepr…,Tue Mar 08 15:24:29 +0000 2016,en,2,False,0,False,,Robert LoCascio,RobLoCascio
Proud of the work we're doing! https://t.co/Jc8dI6aInz,Tue Mar 08 15:24:19 +0000 2016,en,0,False,0,False,,Robert LoCascio,RobLoCascio
RT @Inc: How should you rethink rewards &amp; recognition to engage employees? @roblocascio shares his insights. https://t.co/UERygwD573,Tue Mar 08 15:23:35 +0000 2016,en,18,False,0,False,,Robert LoCascio,RobLoCascio
RT @TheIsraelConf: . @RobLoCascio #CEO &amp; #Founder of #LivePerson will end #CustomerService calls https://t.co/lybzHz67vz #TheISraelConf htt…,Tue Mar 08 15:23:22 +0000 2016,en,2,False,0,False,,Robert LoCascio,RobLoCascio
"A good leader leads. A great leader creates other leaders in the process. S/he doesn't ""manage"" his employees: s/he empowers them.",Mon Feb 22 19:49:44 +0000 2016,en,1,False,5,False,,Robert LoCascio,RobLoCascio
"So proud of my friend and @LivePerson chief of staff, Kristy Sundjaja, who  is a 2016 @92Y Women inPower fellow! https://t.co/Ru4g7b9EsH",Fri Feb 12 18:37:42 +0000 2016,en,0,False,1,False,,Robert LoCascio,RobLoCascio
"""I have not failed. I’ve just found 10,000 ways that won’t work."" – Thomas Edison",Mon Feb 08 18:41:23 +0000 2016,en,3,False,2,False,,Robert LoCascio,RobLoCascio
The first part of our core values is to be an owner. The second? Help others. Both are crucial to success.,Mon Feb 08 18:40:09 +0000 2016,en,0,False,0,False,,Robert LoCascio,RobLoCascio
