Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
One stadium: the Bernabéu. One feeling: Madridista. One support: all of you. One cry: #HalaMadrid ¡VAMOS! https://t.co/KJKmPFSIaL,Mon May 02 12:28:19 +0000 2016,en,3964,False,5904,False,,Sergio Ramos,SergioRamos
"Un estadio, el Bernabéu. Un sentimiento, el madridista. Una afición, vosotros. Un grito, #HalaMadrid. ¡VAMOS! https://t.co/nG7aVm0olT",Mon May 02 12:27:33 +0000 2016,es,12132,False,15799,False,,Sergio Ramos,SergioRamos
"Buen artista, mejor persona. ¡A seguir triunfando en tu gira #TourBailarElViento, amigo! @manuelcarrasco_ https://t.co/9IEprATaVt",Sun May 01 14:16:05 +0000 2016,es,933,False,3559,False,,Sergio Ramos,SergioRamos
RT @ReneRamos: Enhorabuena @SergioRamos por los 700 partidos... y eso sin contar los del Camas. 😉 ¡Eres enorme! Tk bro https://t.co/thvP6LQ…,Sun May 01 12:32:12 +0000 2016,es,253,False,0,False,,Sergio Ramos,SergioRamos
"¡¡Gracias, mamá y @pilarrubio_ porque sois el viento que a mis sentimientos las ventanas abrís!! Os quiero. ❤💜❤ https://t.co/AxDcSTpDpv",Sun May 01 10:58:09 +0000 2016,es,778,False,2736,False,,Sergio Ramos,SergioRamos
"De momento, muy contento de llegar a 700. Ya veremos hasta dónde llego... Aún me queda cuerda para rato. 😉⚽💪 @2010MisterChip @CasillasWorld",Sat Apr 30 20:06:58 +0000 2016,es,969,False,2384,False,,Sergio Ramos,SergioRamos
"We couldn't fail, so we didn't! Great match. Still fighting for La Liga, but now... #UCL Bernabéu! #HalaMadrid https://t.co/Dd2cp9kabh",Sat Apr 30 17:22:32 +0000 2016,en,1949,False,4342,False,,Sergio Ramos,SergioRamos
"No podíamos fallar y no lo hemos hecho. Gran partido. Muy vivos en La Liga, pero ahora...#UCL ¡Bernabéu! #HalaMadrid https://t.co/f8jAHv99GV",Sat Apr 30 17:21:55 +0000 2016,es,3760,False,7947,False,,Sergio Ramos,SergioRamos
No es un partido más ni 3 puntos más. ¡Es la Liga!/ Not just another game or any 3 points. It's La Liga! #HalaMadrid https://t.co/5Jp0b1knZa,Fri Apr 29 11:49:43 +0000 2016,es,2040,False,5117,False,,Sergio Ramos,SergioRamos
Belief and hard work as we go into the game at Anoeta. Onwards! #HalaMadrid https://t.co/XMo30fcUez,Thu Apr 28 13:36:17 +0000 2016,en,1059,False,2973,False,,Sergio Ramos,SergioRamos
Ilusión y trabajo para afrontar el partido de Anoeta. ¡Seguimos! #HalaMadrid https://t.co/LUrwGIt2su,Thu Apr 28 13:35:23 +0000 2016,es,1688,False,3950,False,,Sergio Ramos,SergioRamos
Even match. Us madridistas will have the last word. ¡¡¡¡Vamos!!!! #HalaMadrid https://t.co/mqep12cU3c,Tue Apr 26 21:44:23 +0000 2016,en,1519,False,3459,False,,Sergio Ramos,SergioRamos
"Partido igualado. La última palabra la tenemos todos nosotros, madridistas. ¡¡¡¡Vamos!!!! #HalaMadrid https://t.co/6fp4pjXDE8",Tue Apr 26 21:43:28 +0000 2016,es,3624,False,7355,False,,Sergio Ramos,SergioRamos
La historia del Madrid se forjó en partidos como éste/ Real Madrid forged its history in games like this #HalaMadrid https://t.co/hTsbPRp2cV,Mon Apr 25 21:42:12 +0000 2016,es,4440,False,8092,False,,Sergio Ramos,SergioRamos
"Listo para el despegue. ¡Vamos equipo! / Ready for takeoff. Let's go, team! ¡¡Vamos Madrid!! https://t.co/8s0YOaLyv0",Mon Apr 25 09:20:00 +0000 2016,es,2754,False,7331,False,,Sergio Ramos,SergioRamos
"3 puntos difíciles pero vitales. ¡Seguimos!/ A difficult, but vital 3 points. Onwards! #HalaMadrid https://t.co/4p2RTlnOV1",Sat Apr 23 17:12:42 +0000 2016,und,3317,False,7936,False,,Sergio Ramos,SergioRamos
No podemos parar. 100% concentrados para la 'final' de mañana. / We cannot stop. 100% focused. #HalaMadrid https://t.co/M0Cfplr2ft,Fri Apr 22 14:38:13 +0000 2016,es,2904,False,5108,False,,Sergio Ramos,SergioRamos
Bicampeón del mundo. Tetracampeón de Europa. Los títulos hablan por ti. ¡Un placer conocerte @javierfernandez ! https://t.co/SyjN9Ifzsf,Fri Apr 22 12:23:04 +0000 2016,es,1393,False,4694,False,,Sergio Ramos,SergioRamos
Gracias por la invitación. Un placer compartir charla con grandes capitanes. Empezamos enseguida. ⚽⚽⚽ https://t.co/7SjnrlCQgx,Thu Apr 21 21:44:39 +0000 2016,es,467,False,1669,False,,Sergio Ramos,SergioRamos
"El gran @isco_alarcon se nos empieza a hacer mayor…😉 ¡Felicidades, fenómeno!🔝 https://t.co/TY3OrMfd1s",Thu Apr 21 19:00:37 +0000 2016,es,3022,False,6033,False,,Sergio Ramos,SergioRamos
Los niños de Ecuador necesitan nuestra ayuda. @unicef_es https://t.co/mJmiG8FrWa,Thu Apr 21 17:06:21 +0000 2016,es,3479,False,4098,False,,Sergio Ramos,SergioRamos
Seguimos cumpliendo objetivos. A pensar en la siguiente final. Con mi bro @Lucasvazquez91 #HastaElFinalVamosReal https://t.co/NjyXW5wIFy,Wed Apr 20 22:58:45 +0000 2016,es,2671,False,6888,False,,Sergio Ramos,SergioRamos
¡Hoy todos los madridistas estamos con vosotros! #HalaMadrid https://t.co/f99odw7CVT,Tue Apr 19 16:35:02 +0000 2016,es,928,False,1933,False,,Sergio Ramos,SergioRamos
Más de 150 mil niños necesitan nuestra ayuda en Ecuador. ¡Súmate a @unicef_es y dona! https://t.co/MtIIQrFvhg https://t.co/OJntUSn5i7,Tue Apr 19 14:43:22 +0000 2016,es,4781,False,3971,False,,Sergio Ramos,SergioRamos
"Five matches. One dream. Come on, Madridistas! Now for the first of five finals for La Liga #HalaMadrid https://t.co/yMHMQwTk8q",Tue Apr 19 12:38:40 +0000 2016,en,2070,False,4366,False,,Sergio Ramos,SergioRamos
"Cinco partidos. Una ilusión. ¡Vamos, madridistas! A por la primera final de Liga. #HalaMadrid https://t.co/q3rrPlLe62",Tue Apr 19 12:38:00 +0000 2016,es,2912,False,6507,False,,Sergio Ramos,SergioRamos
