Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@Pagely any idea what the issue is?,Wed Jul 13 14:49:32 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
http://t.co/0TWZj4r Dear Fresh Tilled Soil and Web-O-Matic: I am sorry about the microwave! @freshtilledsoil @tlupo @lilylinqs,Wed Jul 06 19:08:34 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
RT @WhatNotToWeb: Want a free website makeover from @freshtilledsoil or @superwebomatic?sign up for #WhatNotToWeb... http://taweet.com/t/eo0,Wed Jul 06 14:45:47 +0000 2011,en,1,False,2,False,,Chris Merrill,superwebomatic
My dad can beat up your website.,Wed Jul 06 14:18:06 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
@pambizbuster: Hope you had a good 4th of July weekend Pam!,Tue Jul 05 22:45:47 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
@Jenifer_Ranieri: Glad you liked it!,Tue Jul 05 15:37:00 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
Your Mom called. Your website sucks.,Thu Jun 30 21:24:36 +0000 2011,en,1,False,0,False,,Chris Merrill,superwebomatic
@KatieMartell: Glad to hear you liked the site!  Great work by our whole team!,Thu Jun 30 21:15:46 +0000 2011,en,1,False,0,False,,Chris Merrill,superwebomatic
@TLupo: Thanks for the shout out Tim - gettin' it done!,Thu Jun 30 16:34:24 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
@Lilylinqs just posted about the design process for Darren McMullen's website. (host of NBC show Love In The Wild) http://bit.ly/klEeL4,Thu Jun 30 12:57:54 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
RT @darrenmcmullen: @D_AGOSTINO ask me a question on my website then and I'll reply with voice memo darrenmcmullen.tv,Thu Jun 30 03:28:29 +0000 2011,en,1,False,0,False,,Chris Merrill,superwebomatic
"Had a lot of fun launching DarrenMcMullen.tv. Hes starring in #NBC sitcom ""Love In The Wild"" #swom #loveinthewild http://bit.ly/lTvd6u",Thu Jun 30 00:00:17 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
@darrenmcmullen Good luck tonight with the show #loveinthewild,Wed Jun 29 23:23:15 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
"@EvonaWiktoria: Definitely would love to arrange a field trip!  Thanks for making your own ""field trip"" to the BBQ - Glad you enjoyed!",Wed Jun 29 22:25:10 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
@TheVannGroup: Thanks for the shoutout! Had fun working together like always.,Wed Jun 29 22:14:10 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
Two new Interior Designer website re-designs: http://bit.ly/ktrVEK,Mon Jun 27 21:54:13 +0000 2011,en,2,False,0,False,,Chris Merrill,superwebomatic
Great interview of @jonathanckay on mo.com http://www.mo.com/jonathan-kay-grasshopper-2,Mon Jun 27 20:09:53 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
Some pics from the Web-O-Matic Weenie Roast on Friday.  Thanks to everyone who made it!! http://bit.ly/kykEqN,Mon Jun 27 19:49:13 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
@freshtillledsoil @jefftheturtle any hints on the app ideas from the event??,Mon Jun 27 18:17:33 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
"RT @jefftheturtle: I'm bringing 1 of 3 teams' app ideas to life at TEDxBoston's ""Launch an Idea in Less Than a Day"" with @freshtilledsoi ...",Mon Jun 27 18:14:47 +0000 2011,en,1,False,0,False,,Chris Merrill,superwebomatic
Hot dog anyone? Little BBQ at webomatic! Pop in if you around waltham area. 80 hope ave.,Fri Jun 24 20:42:29 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
First makeover by our newest designer Jacob! http://t.co/sRjUC2u,Fri Jun 24 15:35:36 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
@GeckoFuel  4825,Thu Jun 23 21:16:57 +0000 2011,und,0,False,0,False,,Chris Merrill,superwebomatic
@GeckoFuel you having problems today? Can't get twitter or chargify to load...,Thu Jun 23 21:01:45 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
5 homepage makeovers from last week's Makeover frenzy. http://bit.ly/je8t8b  Who is next?,Thu Jun 23 20:00:53 +0000 2011,en,1,False,0,False,,Chris Merrill,superwebomatic
RT @TapMeJosh: @freshtilledsoil @fdestin my 5 year old is like an entrepreneur he distorts reality and keeps playing after he falls on h ...,Thu Jun 23 19:58:09 +0000 2011,en,4,False,0,False,,Chris Merrill,superwebomatic
How the marketing guy at FBI caught Whitey Bulger http://t.co/tflFg7M,Thu Jun 23 14:00:40 +0000 2011,en,1,False,0,False,,Chris Merrill,superwebomatic
Newbury Street on first day of summer. Reminder of why I love Boston.  http://t.co/L6dcxGP,Tue Jun 21 10:48:16 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
I love the smell of commerce in the morning.,Tue Jun 21 09:24:08 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
"After this week and #techstars afterparty, this was fitting: http://bit.ly/kn12PS",Thu Jun 16 19:55:14 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
Why Small Businesses Need Websites: Let’s Talk Retail http://t.co/HR6VBAV,Thu Jun 16 17:38:17 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
Oh shit! Dave McClure murdering it on the dancefloor at #techstars.  http://t.co/mY6vPRr,Thu Jun 16 01:37:36 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
Pushing my lowrider bicycle down mass pike to #techstars after party to meet up with webomatic and @freshtilledsoil crazy people.,Thu Jun 16 00:32:37 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
Thanks to Richard @freshtilledsoil for the blow by blow updates from #angelbc . Afrotrash translated well on Twitter.,Tue Jun 14 23:06:04 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
"Apple's #MobileMe and #iWeb are not long for the world. Know your options and make an informed, relevant choice. http://t.co/HWqc5iX",Tue Jun 14 12:34:19 +0000 2011,en,0,False,0,False,,Chris Merrill,superwebomatic
