Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"The most popular content have 1 of these 4 traits.
Does your content have these features?
https://t.co/618TCAkQpS https://t.co/SgCSjNFS7F",Tue May 03 18:46:01 +0000 2016,en,0,False,0,False,,Thismoment,Thismoment
"Work the system! 
Improve your Google SERP with content marketing and SEO.
https://t.co/lqYgrgP8Hg https://t.co/vwsYEcj3PG",Thu Apr 28 18:43:05 +0000 2016,en,0,False,1,False,,Thismoment,Thismoment
"Strategy? Check. Content? Check. Results? Nope. 
These 5 reasons might be the culprit https://t.co/QCyljVu6zr https://t.co/JuMQkIjO31",Tue Apr 26 18:45:08 +0000 2016,en,1,False,3,False,,Thismoment,Thismoment
Be more efficient by using these 11 content marketing tools via @neilpatel https://t.co/r3ITBDUxV8 https://t.co/WzvaskJBEq,Thu Apr 21 18:51:04 +0000 2016,en,0,False,2,False,,Thismoment,Thismoment
Use these methods to help your content bring more traffic to your website via @convince https://t.co/MhkFx9Qr9i https://t.co/afhjhrdVvn,Tue Apr 19 18:46:02 +0000 2016,en,0,False,1,False,,Thismoment,Thismoment
"Happy birthday to us! Thismoment turned 8 today! 
Also happy birthday to @ConanOBrien! He turned awesome! https://t.co/NwrkZAEIe2",Mon Apr 18 18:39:02 +0000 2016,en,0,False,5,False,,Thismoment,Thismoment
What you need to know about Facebook Instant Articles https://t.co/eoAiKYqDYR https://t.co/BrWNlAW7ab,Wed Apr 13 18:48:06 +0000 2016,en,0,False,1,False,,Thismoment,Thismoment
Are you doing what the top content marketers are doing? https://t.co/nfU8rd5f1W https://t.co/i6qdgo9kGH,Tue Apr 12 19:02:07 +0000 2016,en,0,False,0,False,,Thismoment,Thismoment
"Ingenuity. See it in action 
https://t.co/J9uZpZ0iqS https://t.co/EvvHsAJzhU",Fri Apr 08 18:51:27 +0000 2016,en,1,False,3,False,,Thismoment,Thismoment
Embarking on a content marketing campaign is risky business. Here's how to lower your risk https://t.co/zRcBKk7gmQ https://t.co/4mXJw4EiWB,Thu Apr 07 18:55:05 +0000 2016,en,0,False,2,False,,Thismoment,Thismoment
PTTOW has us excited for live events. Learn from the pros to make your next event stand out! https://t.co/FJHSuCH0Dq https://t.co/6xVoshVTdY,Tue Apr 05 18:46:02 +0000 2016,en,0,False,3,False,,Thismoment,Thismoment
March Metrics Madness: Use Google Analytics to track these overlooked metrics https://t.co/YOAX1OGcHP https://t.co/8jU4EjTGa4,Thu Mar 31 19:01:57 +0000 2016,en,0,False,4,False,,Thismoment,Thismoment
We keep our heads in the clouds #contentcloud https://t.co/KfBpBdLZdj,Wed Mar 30 18:55:12 +0000 2016,en,1,False,4,False,,Thismoment,Thismoment
March Metrics Madness: 22 KPIs to measure your content marketing success https://t.co/lJovEGuGYG via @neilpatel https://t.co/24Tm5AkReK,Tue Mar 29 18:45:09 +0000 2016,en,0,False,1,False,,Thismoment,Thismoment
"Use these tools to analyze who's boss on Twitter
Original: https://t.co/EQlHIgxQDW
Playlist: https://t.co/iZpcqzZfh8 https://t.co/u4XwQQqc95",Tue Mar 22 18:48:06 +0000 2016,en,0,False,0,False,,Thismoment,Thismoment
Gotcha Robert! #postitchallenge #didyoualreadygetgot https://t.co/mJSxlk0o26,Fri Mar 18 23:56:23 +0000 2016,en,0,False,2,False,,Thismoment,Thismoment
"Add Google Analytics to your MailChimp campaign
Original: https://t.co/Ke9gCC0Sqi
Playlist: https://t.co/wSU7WXt4CZ https://t.co/6PBC4au606",Thu Mar 17 15:56:01 +0000 2016,en,0,False,2,False,,Thismoment,Thismoment
"Use Google Analytics &amp; FB to see fan page visits
Original:https://t.co/YokMcVMPe1
Playlist:https://t.co/ujeA5tr8g9 https://t.co/SsZ4IfdPDC",Tue Mar 15 15:52:02 +0000 2016,en,0,False,1,False,,Thismoment,Thismoment
"Use Google Analytics&amp; Twitter to track site visits
Original:https://t.co/I5P1W3OOdA
Playlist:https://t.co/VwEkbCrX2O https://t.co/AoeDgzjDJY",Thu Mar 10 16:51:04 +0000 2016,en,0,False,1,False,,Thismoment,Thismoment
"New to Google Analytics? Start here!
Original: https://t.co/TxMTdFFg27
Playlist: https://t.co/uHxtCYXMMs https://t.co/v8cIpGwM2H",Tue Mar 08 17:06:36 +0000 2016,en,0,False,2,False,,Thismoment,Thismoment
"This month is all about metrics!
6 ways to fix your broken content marketing https://t.co/mHlTMW439b  via @neilpatel https://t.co/kQVzbbU3dG",Wed Mar 02 00:45:26 +0000 2016,en,0,False,0,False,,Thismoment,Thismoment
"Fall into the gap: let content gaps lead you to your niche!
Playlist: https://t.co/CDRUDcdL9k https://t.co/hBshqgpifh",Thu Feb 25 17:05:22 +0000 2016,en,0,False,2,False,,Thismoment,Thismoment
