Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"Listen to ""Sound of the city. #concert"" https://t.co/ySyBiKIadR ⚓",Sun Mar 13 04:31:20 +0000 2016,en,0,False,1,False,,Thomas Griffin,ThomasLe0n
@JohnPCordray Listen to my reply https://t.co/qN9GRIK2jX ⚓,Sat Mar 12 23:33:48 +0000 2016,en,0,False,0,False,,Thomas Griffin,ThomasLe0n
@ArtisticBrit65 Listen to my reply https://t.co/kbUnKaos2t ⚓,Sat Mar 12 18:51:41 +0000 2016,en,0,False,1,False,,Thomas Griffin,ThomasLe0n
@JohnPCordray Listen to my reply https://t.co/0oYHPmb6jN ⚓,Sat Mar 12 18:24:41 +0000 2016,en,0,False,0,False,,Thomas Griffin,ThomasLe0n
@ArtisticBrit65 Listen to my reply https://t.co/hDXEk7cwWC ⚓,Sat Mar 12 18:16:39 +0000 2016,en,0,False,1,False,,Thomas Griffin,ThomasLe0n
"Listen to ""#qotd #randomthought #selflove Question: When are you not yourself, and why?"" https://t.co/3oJf2cLUSd ⚓",Sat Mar 12 18:08:44 +0000 2016,en,0,False,0,False,,Thomas Griffin,ThomasLe0n
@ALittleNudge Listen to my reply https://t.co/mFOZbhd4xJ ⚓,Fri Mar 11 21:37:57 +0000 2016,en,0,False,0,False,,Thomas Griffin,ThomasLe0n
@kristinmyers Listen to my reply https://t.co/oyDs1iymxt ⚓,Fri Mar 11 21:33:35 +0000 2016,en,0,False,0,False,,Thomas Griffin,ThomasLe0n
@alihanif101 Listen to my reply https://t.co/QE0EFLsH1d ⚓,Fri Mar 11 20:01:22 +0000 2016,en,0,False,0,False,,Thomas Griffin,ThomasLe0n
@kristinmyers Listen to my reply https://t.co/NfftmfZ6hI ⚓,Fri Mar 11 18:59:49 +0000 2016,en,0,False,0,False,,Thomas Griffin,ThomasLe0n
@NirZicherman Listen to my reply https://t.co/MRTdcJAirR ⚓,Fri Mar 11 18:39:14 +0000 2016,en,0,False,0,False,,Thomas Griffin,ThomasLe0n
"Listen to ""#anchoris #whyiloveanchor #everwonder #latenightthought"" https://t.co/lc9BapkQ6q ⚓",Fri Mar 11 09:49:36 +0000 2016,en,0,False,0,False,,Thomas Griffin,ThomasLe0n
@rrhoover Listen to my reply https://t.co/ogR4cw2VrM ⚓,Fri Mar 11 04:32:51 +0000 2016,en,0,False,1,False,,Thomas Griffin,ThomasLe0n
We've had hundreds sign up for these on the first day. Save your spot :) https://t.co/7chVpDw1b8,Mon Dec 28 23:06:43 +0000 2015,en,0,False,1,False,,Thomas Griffin,ThomasLe0n
@tycrollins what're you working on these days? would love to talk to you about @artsquareapp :),Tue Dec 22 02:51:00 +0000 2015,en,0,False,0,False,,Thomas Griffin,ThomasLe0n
RT @artsquareapp: Artist's Guide to Photographing Artwork: https://t.co/3NWWJaTn7F https://t.co/giPw5jLuYI,Mon Dec 14 16:11:47 +0000 2015,en,10,False,0,False,,Thomas Griffin,ThomasLe0n
@MattWConley Hi! Just emailed @hitRECord about @artsquareapp's upcoming discussion on the evolution of copyright. Can you help connect me?,Sun Dec 13 01:56:46 +0000 2015,en,1,False,1,False,,Thomas Griffin,ThomasLe0n
