Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
"RT @hitRECordJoe: This is what ""3D"" really means. Being able to walk around a world and see it from all angles. #VR",Wed Mar 16 18:24:12 +0000 2016,en,63,False,0,False,,AJ Asver,_aj
"RT @amittm: Playstation VR, $399. w/ PS4, $699. PC+Oculus is ~$2000. 36m PS4's already sold, 230 devs. HQ VR is Sony's for now 

https://t.…",Tue Mar 15 22:03:24 +0000 2016,en,2,False,0,False,,AJ Asver,_aj
@garrytan the power of information asymmetry?,Sat Feb 20 18:35:27 +0000 2016,en,0,False,0,False,,AJ Asver,_aj
Looks like VR is going to re-ignite innovation in the PC industry?  No wonder Apple is soldiering up!,Tue Feb 16 18:40:54 +0000 2016,en,0,False,1,False,,AJ Asver,_aj
"RT @TechCrunch: Apple earnings beat street but iPhone sales miss, Jack Dorsey announces new Twitter​ CMO and more on #CrunchReport https://…",Wed Jan 27 01:34:58 +0000 2016,en,83,False,0,False,,AJ Asver,_aj
@CraigKreeger Helped resolved my problem. My faith in @VirginAtlantic is restored.  Thanks Craig!,Thu Mar 19 12:04:38 +0000 2015,en,0,False,0,False,,AJ Asver,_aj
@elliottdotorg just filled in the form!,Wed Mar 18 22:40:49 +0000 2015,en,0,False,0,False,,AJ Asver,_aj
@elliottdotorg @VirginAtlantic really failed me today.  Please can you help?  See https://t.co/pzEnWPT1ly,Wed Mar 18 22:31:47 +0000 2015,en,0,False,0,False,,AJ Asver,_aj
@VirginAmerica @VirginAtlantic were the ones at fault so I tweeted them. Thanks for the quick reply though.,Wed Mar 18 18:49:00 +0000 2015,en,0,False,0,False,,AJ Asver,_aj
@VirginAtlantic I'm #disappointed that I had to use miles to forgo a part of my itinerary because my grandfather passed away.  #timetoswitch,Wed Mar 18 18:45:24 +0000 2015,en,0,False,0,False,,AJ Asver,_aj
@xandermahony yes?,Tue Sep 16 17:02:40 +0000 2014,und,0,False,0,False,,AJ Asver,_aj
Virtual dance party - http://t.co/WH6qpuAUa0,Sat Apr 05 05:45:16 +0000 2014,en,0,False,0,False,,AJ Asver,_aj
@dilan #wheniwasyourage,Fri Mar 28 07:07:05 +0000 2014,und,0,False,0,False,,AJ Asver,_aj
@dilan I was mostly doing it to get Annie's attention at sxsw.,Fri Mar 28 07:02:33 +0000 2014,en,0,False,0,False,,AJ Asver,_aj
"@immad like I said: until I retire :-P. Also, banker? Did that. Got the t shirt. It's Lehman green ;)",Sat Mar 22 18:47:52 +0000 2014,en,0,False,1,False,,AJ Asver,_aj
@immad at least you won't tweet me about it until I retire...,Sat Mar 22 18:45:03 +0000 2014,en,0,False,0,False,,AJ Asver,_aj
@danielrhodes any interest in need for speed + dinner tonight?,Sat Mar 22 17:44:39 +0000 2014,en,0,False,0,False,,AJ Asver,_aj
@danielrhodes Haha thanks. I guess I'm done then.,Sat Mar 22 17:44:18 +0000 2014,en,0,False,0,False,,AJ Asver,_aj
@immad done,Sat Mar 22 17:37:47 +0000 2014,en,0,False,0,False,,AJ Asver,_aj
These big tunes on @R1Dance make me want want to go out dancing right now.  Its 12.30pm in SF however...,Fri Mar 21 19:22:33 +0000 2014,en,0,False,0,False,,AJ Asver,_aj
@AnnieMac @BBCR1 yup it's almost 12pm and I'm tuned in from SF. Still recovering from #sxsw partying.,Fri Mar 21 18:39:53 +0000 2014,en,0,False,0,False,,AJ Asver,_aj
Loved @AnnieMac 's awesome show tonight! Definitely raving. Woop woop!,Sat Mar 15 08:08:14 +0000 2014,en,0,False,3,False,,AJ Asver,_aj
@AnnieMac can't wait for AMP tonight at #SXSW !,Fri Mar 14 22:03:28 +0000 2014,en,0,False,0,False,,AJ Asver,_aj
My answer to How did Aj Asver get recruited to Google? http://t.co/lxII4hoHPf,Wed Sep 25 17:31:18 +0000 2013,en,1,False,0,False,,AJ Asver,_aj
@canwenetwork I want to party! Where's the bus?!,Sun Mar 11 21:16:05 +0000 2012,en,0,False,0,False,,AJ Asver,_aj
See the latest #Coachella celebrity sightings on JustSpotted.com -  http://t.co/cmRsYPy,Sat Apr 16 01:13:17 +0000 2011,en,1,False,0,False,,AJ Asver,_aj
We have an App: Check out JustSpotted on the Android Market! http://t.co/cBCMc4e - see which celebs are in your area.,Fri Apr 08 00:33:59 +0000 2011,en,1,False,0,False,,AJ Asver,_aj
Lost of celeb spotting at #sxsw on #justpotted today! http://t.co/cmRsYPy,Sun Mar 13 23:04:00 +0000 2011,en,1,False,0,False,,AJ Asver,_aj
