Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Half of teens think they're addicted to their smartphones https://t.co/3oVcVfec0n,Tue May 03 15:21:12 +0000 2016,en,0,False,0,False,,Andrea Anderheggen,aa_shopgate
Nick Bostrom: What happens when our computers get smarter than we are? https://t.co/mSsAYHsoG9,Sun May 01 21:43:22 +0000 2016,en,0,False,0,False,,Andrea Anderheggen,aa_shopgate
a16z Podcast: Bots and Beyond  https://t.co/1GDxosDSlU,Sun May 01 19:12:48 +0000 2016,en,0,False,0,False,,Andrea Anderheggen,aa_shopgate
"RT @SpaceX: Planning to send Dragon to Mars as soon as 2018. Red Dragons will inform overall Mars architecture, details to come https://t.c…",Sat Apr 30 00:18:04 +0000 2016,en,15876,False,0,False,,Andrea Anderheggen,aa_shopgate
"RT @ShopgateDE: Gleich auf der Bühne beim @Shoptreffen. @aa_shopgate ""Verschlafen deutsche Händler die mobile Revolution?"" https://t.co/tOO…",Fri Apr 22 07:15:58 +0000 2016,de,1,False,0,False,,Andrea Anderheggen,aa_shopgate
US politics is such a mess. Unbelievable. https://t.co/7AjPWQSTQg,Thu Apr 14 19:08:23 +0000 2016,en,0,False,0,False,,Andrea Anderheggen,aa_shopgate
"Shopgate @ SXSW 2016: 'Ritas, Nachos and Retail https://t.co/jlD5wFf8Sr",Wed Mar 30 20:03:50 +0000 2016,de,1,False,1,False,,Andrea Anderheggen,aa_shopgate
"AI Status, Deeplearning and The Go Win: https://t.co/hk7N8mJFpL https://t.co/5WnuC64znp",Sat Mar 26 08:33:34 +0000 2016,en,0,False,0,False,,Andrea Anderheggen,aa_shopgate
"RT @Shopgate: Another productive week at Shopgate, followed by a well-deserved happy hour. Cheers! 🍻 #happyfriday https://t.co/0xkqZOWXcb",Sat Mar 26 00:00:47 +0000 2016,en,2,False,0,False,,Andrea Anderheggen,aa_shopgate
RT @Jayncs: Life is short..work somewhere awesome.. @Shopgate https://t.co/KeOiifUrFy,Fri Mar 25 07:06:00 +0000 2016,en,1,False,0,False,,Andrea Anderheggen,aa_shopgate
RT @nanceehalpin: Shopping Comes To Apple TV - https://t.co/1MiJlsMVOB,Mon Mar 14 15:37:51 +0000 2016,en,2,False,0,False,,Andrea Anderheggen,aa_shopgate
Shopgate Golden State Warriors Apple TV App https://t.co/c6prYMMdxV via @YouTube,Fri Mar 11 14:24:02 +0000 2016,en,1,False,1,False,,Andrea Anderheggen,aa_shopgate
RT @ShopgateDE: Interview: Mobile Customer Engagement-Trends. https://t.co/c3kzYhJ9ww via @ECCKoeln @aa_shopgate #mcommerce https://t.co/31…,Wed Mar 09 12:25:15 +0000 2016,en,4,False,0,False,,Andrea Anderheggen,aa_shopgate
A very cool ad to join our amazing @Shopgate team in Austin. Awesome! https://t.co/m9PhcjwHCs,Mon Mar 07 22:23:00 +0000 2016,en,2,False,4,False,,Andrea Anderheggen,aa_shopgate
@sextoysforless Thanks. I will check that.,Thu Mar 03 17:03:38 +0000 2016,en,0,False,0,False,,Andrea Anderheggen,aa_shopgate
@sextoysforless Sorry to hear that. A member of our customer success team will contact you tomorrow first thing. Let me know.,Thu Mar 03 16:44:03 +0000 2016,en,0,False,0,False,,Andrea Anderheggen,aa_shopgate
"#internetworld Skandal!! Nur 2 von 98 Vorträge zum Thema Mobile, obwohl 40% der Gehälter hier indirekt von mobilen Besuchern bezahlt werden!",Wed Mar 02 09:07:36 +0000 2016,de,2,False,2,False,,Andrea Anderheggen,aa_shopgate
Internet World: Deutsche Händler veröffentlichen mit Shopgate erstmalig Shopping Apps für Apple TV https://t.co/b8KMUBMXp8,Tue Mar 01 07:24:48 +0000 2016,de,1,False,1,False,,Andrea Anderheggen,aa_shopgate
"RT @aonetti: $15M Series C, Shopgate Plots Expansion in U.S. Kudos to my friend @aa_shopgate  #SEC2SV @sep_eu @mindthebridge https://t.co/Q…",Fri Feb 26 18:12:36 +0000 2016,en,5,False,0,False,,Andrea Anderheggen,aa_shopgate
Mobile-Commerce: App Marketing im Jahr 2016 https://t.co/YO9cK6pDrS @e8magazin #app #marketing #shopgate,Wed Jan 27 07:34:58 +0000 2016,de,2,False,2,False,,Andrea Anderheggen,aa_shopgate
Mobile Commerce – shopping to go: „Der mobile Kunde von heute shoppt überall.“ https://t.co/Yqgd7OWDLN,Tue Jan 26 12:38:28 +0000 2016,de,0,False,0,False,,Andrea Anderheggen,aa_shopgate
Mobile in 2016: Why You Need Push &amp; In-App Messaging to Combat Churn https://t.co/jgvVfrT7fm,Wed Jan 20 11:38:51 +0000 2016,en,0,False,1,False,,Andrea Anderheggen,aa_shopgate
Refugees have the right to be protected https://t.co/d4EYnq28kB,Sun Dec 20 20:31:01 +0000 2015,en,0,False,0,False,,Andrea Anderheggen,aa_shopgate
Pres Obama Brilliantly Destroys a Loaded FOXNews Question https://t.co/FCJ1dqOxJh,Thu Dec 17 04:45:21 +0000 2015,en,0,False,0,False,,Andrea Anderheggen,aa_shopgate
Great Interview with Klarna CEO @klarnasebastian - He's sooo right on American interviews and a lot of other stuff! https://t.co/c5AcL805BL,Tue Dec 08 05:31:18 +0000 2015,en,0,False,0,False,,Andrea Anderheggen,aa_shopgate
