Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Sick vest though https://t.co/DGbKNyO6dh,Tue May 03 15:48:42 +0000 2016,en,0,False,2,False,,Adam Rugel,Adam
RT @LAMBOLAMBO: @dave_schilling @mollylambert this would really turn heads at Met Gala too https://t.co/bRbjT1bx6c,Tue May 03 03:42:25 +0000 2016,en,5,False,0,False,,Adam Rugel,Adam
RT @MissKlept: The #metgala is still happening and this is how y'all are acting https://t.co/yHnTnRQPYz,Tue May 03 02:50:50 +0000 2016,en,1659,False,0,False,,Adam Rugel,Adam
Is this for real? Alex Rodriguez Is Dating Google Cofounder's Ex-Wife Anne Wojcicki https://t.co/vL6CTztFrk,Mon May 02 23:23:57 +0000 2016,en,0,False,0,False,,Adam Rugel,Adam
RT @ElenaLoweski: I can't stop staring at this gif of Ted Cruz and Carly Fiorina struggling to portray a human interaction correctly https:…,Mon May 02 21:01:10 +0000 2016,en,962,False,0,False,,Adam Rugel,Adam
RT @NeilSteinberg: Fairly clear: They miss bullying people around over nothing and have fixated their sexual panic on this non-problem. htt…,Sat Apr 30 22:49:01 +0000 2016,en,58,False,0,False,,Adam Rugel,Adam
Excellent replies here https://t.co/tmQXMcTUJ1,Fri Apr 29 21:23:42 +0000 2016,en,0,False,1,False,,Adam Rugel,Adam
"After working at ESPN and pre-Twitter, I already know these stories. Still great. https://t.co/YH1xmtFI6E",Fri Apr 29 02:51:58 +0000 2016,en,0,False,0,False,,Adam Rugel,Adam
"RT @biz: Introducing Jelly, A New Search Engine—available today! https://t.co/1j8JAC8PU8 https://t.co/WqU8A8EikW",Thu Apr 28 19:04:02 +0000 2016,en,224,False,0,False,,Adam Rugel,Adam
Reading the replies to @realDonaldTrump will disturb your sleep. https://t.co/4cJhYMSIvH,Thu Apr 28 03:56:51 +0000 2016,en,0,False,3,False,,Adam Rugel,Adam
"RT @ashleyxholcomb: Her face when he says ""basketball ring"" https://t.co/OozqFl8WK8",Thu Apr 28 02:27:45 +0000 2016,en,750,False,0,False,,Adam Rugel,Adam
From Hunter Pence to Max! #SFGiants https://t.co/KSebz8wB3q,Wed Apr 27 19:49:03 +0000 2016,en,0,False,4,False,,Adam Rugel,Adam
"RT @spencerchen: Nothing is original, esp. in #design. (btw, these are NOT the logos of Medium AirBNB, Flipboard, and Beats)

https://t.co/…",Wed Apr 27 05:16:24 +0000 2016,en,14105,False,0,False,,Adam Rugel,Adam
Here is a UI that would improve the App Store and make #Apple billions https://t.co/ABl1mH4f3P,Tue Apr 26 21:29:47 +0000 2016,en,0,False,2,False,,Adam Rugel,Adam
Autoplay video in FB instant articles just woke up this baby. https://t.co/TRHf8SW35e,Tue Apr 26 02:25:27 +0000 2016,en,0,False,1,False,,Adam Rugel,Adam
RT @StephenCurry30: Thanks 4 all the prayers &amp; messages. Can feel all the positive energy. God is Great! All things considered I’m Gonna be…,Mon Apr 25 18:58:00 +0000 2016,en,32558,False,0,False,,Adam Rugel,Adam
RT @whoisgreggarcia: Jon Gruden can't spell intensity https://t.co/6hlmXqaJ4z,Mon Apr 25 04:53:01 +0000 2016,en,52,False,0,False,,Adam Rugel,Adam
This was way better than the movie I was gonna watch. Got a lot of questions though. https://t.co/14W2EQGN8J,Sun Apr 24 04:22:15 +0000 2016,en,0,False,3,False,,Adam Rugel,Adam
A TMZ for tailing the managers who get shout outs in the Bershire Hathaway newsletters https://t.co/6ICLcAc8o2,Sat Apr 23 01:54:48 +0000 2016,en,0,False,0,False,,Adam Rugel,Adam
"RT @WhiteHouse: ""This morning we played Purple Rain and Delirious"" —@POTUS comments on the passing of @Prince https://t.co/N8ic41JXkE",Fri Apr 22 17:35:13 +0000 2016,en,1353,False,0,False,,Adam Rugel,Adam
"Prince, Michael Jackson, and James Brown on stage together https://t.co/5sR0UqP29g",Fri Apr 22 16:25:21 +0000 2016,en,0,False,0,False,,Adam Rugel,Adam
RT @prince: I am #transformed,Fri Apr 22 12:09:22 +0000 2016,und,51286,False,0,False,,Adam Rugel,Adam
@Case @noah nice! Do we have pics?,Fri Apr 22 04:06:21 +0000 2016,en,0,False,0,False,,Adam Rugel,Adam
"Prince at Coachella, 2008. I was up front with, I think, @noah https://t.co/aYDdvxB3UV",Fri Apr 22 03:31:28 +0000 2016,en,0,False,2,False,,Adam Rugel,Adam
"RT @BrentNYT: The baddest #Prince guitar solo - ever ( channelling Jimi Hendrix)  
https://t.co/4Ur2bTbtv0 https://t.co/l5XQTojFh2",Fri Apr 22 03:12:52 +0000 2016,en,112,False,0,False,,Adam Rugel,Adam
RT @mikesbadtweets: Good morning. Jack Mehoff is not a real name. @baltimoresun @iduncan https://t.co/iLAu8IBKrE,Fri Apr 22 02:07:10 +0000 2016,en,1095,False,0,False,,Adam Rugel,Adam
Great design  https://t.co/5H2dT1qfhx,Fri Apr 22 02:05:16 +0000 2016,en,0,False,0,False,,Adam Rugel,Adam
Questions about the origin of neurosis? https://t.co/JMkViV6kC2,Fri Apr 22 00:39:29 +0000 2016,en,0,False,0,False,,Adam Rugel,Adam
"RT @BrianWilsonLive: I'm shocked to hear that Prince passed at such a young age. Musically, he could do it all: sing, play, arrange and pro…",Thu Apr 21 19:58:54 +0000 2016,en,1422,False,0,False,,Adam Rugel,Adam
Refrigerator clutter destroying grandparents nationwide. https://t.co/vlcwGhuoMw,Wed Apr 20 22:53:32 +0000 2016,en,1,False,0,False,,Adam Rugel,Adam
