Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
A History of SmarterChild https://t.co/jqROZAliec via @motherboard. &lt;3 you SC @cjohnkim @pfguiney,Sat Mar 19 00:58:53 +0000 2016,en,2,False,0,False,,adamerlebacher,adamerlebacher
@ieure @ansate @li3n3 @gabrielgironda @importantshock @cjohnkim @tomwans Yes! Let's get together. 18-19 works for me.,Sun Jul 19 00:53:26 +0000 2015,en,0,False,0,False,,adamerlebacher,adamerlebacher
RT @simple: Need a hand coming up with a resolution you'll actually to stick to this year? Let us help! https://t.co/i67dgjmPP0 #ThisYearIW…,Tue Jan 06 18:16:00 +0000 2015,en,16,False,0,False,,adamerlebacher,adamerlebacher
RT @simple: New iOS and Android updates! Today is the day you’ve been waiting for. Read about new hotness:http://t.co/x8WKnqZP18 http://t.c…,Tue Aug 19 13:48:12 +0000 2014,en,121,False,0,False,,adamerlebacher,adamerlebacher
RT @simple: How should you manage your infrastructure? The same way you manage your code. Find out  why: http://t.co/1em3Hc2S2H,Sat Jul 26 03:56:50 +0000 2014,en,28,False,0,False,,adamerlebacher,adamerlebacher
RT @davidwolman: Did @Simple just double down on one of its coolest features? Reading now to find out. https://t.co/okIPSx2Zg7,Tue Jul 15 18:21:56 +0000 2014,en,3,False,0,False,,adamerlebacher,adamerlebacher
RT @lukehefson: I have created a wallpaper based on highly scientific productivity data. It shall be a constant reminder. http://t.co/3NiuI…,Wed Jun 18 17:41:50 +0000 2014,en,610,False,0,False,,adamerlebacher,adamerlebacher
@sorenmacbeth @whilp @ieure @nap_dad @takeo Sorry I will miss y'all,Mon May 26 18:41:46 +0000 2014,en,0,False,0,False,,adamerlebacher,adamerlebacher
"I'm at Slow Bar (Portland, OR) http://t.co/qC64yWEb7n",Sat May 24 04:00:22 +0000 2014,en,0,False,1,False,"{'type': 'Point', 'coordinates': [-122.66087643, 45.51868385]}",adamerlebacher,adamerlebacher
RT @simple: Simple believes in love and today we’re celebrating #MarriageEquality for Oregon! http://t.co/Z7d09mXO6E #LoveWins http://t.co/…,Tue May 20 15:55:32 +0000 2014,en,111,False,0,False,,adamerlebacher,adamerlebacher
"Excited to be a part of #pdxsw! (@ Puppet Labs, Inc.) http://t.co/CgzixrCuFp",Sun Apr 27 22:13:08 +0000 2014,en,0,False,1,False,"{'type': 'Point', 'coordinates': [-122.683764, 45.529654]}",adamerlebacher,adamerlebacher
"RT @simple: Want to talk shop about #customerservice? Melissa, our Director of Customer Relations, will man the tweets tomorrow 12-1pm PT. …",Thu Mar 13 21:15:17 +0000 2014,en,16,False,0,False,,adamerlebacher,adamerlebacher
@bryce Hey if I don't catch up w you this am let me know where/when you want to meet for lunch.,Fri Feb 28 17:53:42 +0000 2014,en,0,False,0,False,,adamerlebacher,adamerlebacher
And what are we doing @simple today? Building. So proud of this team. http://t.co/3jK2GVE6oD,Thu Feb 20 17:24:12 +0000 2014,en,4,False,10,False,,adamerlebacher,adamerlebacher
"RT @simple: The Next Chapter: @simple is teaming up with @bbva! More growth, more innovation, mo’ better! https://t.co/MFXs86MOpY",Thu Feb 20 16:38:04 +0000 2014,en,156,False,0,False,,adamerlebacher,adamerlebacher
@whoahbot so good.,Sun Jan 26 21:38:07 +0000 2014,en,0,False,0,False,,adamerlebacher,adamerlebacher
@whoahbot kouign-amann?,Sun Jan 26 20:01:26 +0000 2014,ht,0,False,0,False,,adamerlebacher,adamerlebacher
"Nice review of @simplify. ""I Stopped Using Regular Banks For Two Weeks — And I'm Never Going Back"" http://t.co/RlzHyabm1r via @sai",Tue Jan 21 16:30:19 +0000 2014,en,0,False,0,False,,adamerlebacher,adamerlebacher
@_js Thanks so much for being a customer. We appreciate it.,Mon Dec 30 22:38:33 +0000 2013,en,0,False,0,False,,adamerlebacher,adamerlebacher
I'm very lucky to work with such an incredible team that has already accomplished so much. 2014! https://t.co/RP4UMNyv9y #getsimple,Mon Dec 30 22:32:56 +0000 2013,en,1,False,2,False,,adamerlebacher,adamerlebacher
"RT @ewasik: Victims of Target Fraud: @Chase limits your card spend, @simplify replaces your card for free.  http://t.co/Ug8sKtYKwo",Sat Dec 21 23:34:29 +0000 2013,en,7,False,0,False,,adamerlebacher,adamerlebacher
RT @Simplify: The day is here- now you can send money instantly to other Simple customers! https://t.co/XcLJQKp59x,Thu Dec 19 18:46:10 +0000 2013,en,118,False,0,False,,adamerlebacher,adamerlebacher
15 best financial sites and apps  http://t.co/BkvphhIvNA via @CNNMoney @simplify,Wed Dec 11 18:00:01 +0000 2013,en,2,False,2,False,,adamerlebacher,adamerlebacher
RT @GovernorBullock: We know Montanans are generous. Now we have proof! @Simplify says we’re the best tippers in the nation http://t.co/Fnc…,Fri Nov 22 18:53:10 +0000 2013,en,16,False,0,False,,adamerlebacher,adamerlebacher
RT @Simplify: New #simpleinsights Blog Post | Tipping in America: How Does Your State Stack Up? https://t.co/nmz7RyPZtO http://t.co/TCK2Qe1…,Wed Nov 20 23:11:23 +0000 2013,en,25,False,0,False,,adamerlebacher,adamerlebacher
RT @Simplify: Simple is proud to support marriage equality in Oregon: http://t.co/wfcm92MR4m,Wed Nov 20 22:36:18 +0000 2013,en,57,False,0,False,,adamerlebacher,adamerlebacher
Really excited to see @TheEconomist covering @simplify in this week's issue http://t.co/wP1JYfLcja,Thu Nov 14 17:43:14 +0000 2013,en,3,False,1,False,,adamerlebacher,adamerlebacher
This is happening. @scottedwards @mattsacks http://t.co/cb9Ducjxkj,Fri Nov 01 02:42:02 +0000 2013,en,0,False,1,False,,adamerlebacher,adamerlebacher
Neat— @chicagotribune covers @simplify at #CIW. MT @ChiConfidential: Making noise about finance http://t.co/wIdgXwskN0  @chicagoideas,Thu Oct 17 15:18:02 +0000 2013,en,2,False,0,False,,adamerlebacher,adamerlebacher
"@bluetidepro great meeting you, too!",Thu Oct 17 15:02:56 +0000 2013,en,0,False,0,False,,adamerlebacher,adamerlebacher
@BGloede thanks!,Wed Oct 16 18:07:49 +0000 2013,en,0,False,0,False,,adamerlebacher,adamerlebacher
This Is The Only Mobile Payment System I Could Actually See Myself Using http://t.co/ZfedhoUkLG via @sai,Sat Oct 12 21:31:56 +0000 2013,en,2,False,1,False,,adamerlebacher,adamerlebacher
RT @TechCrunch: Simple's MoneyDrop Will Soon Let Users Transfer Funds Using Bluetooth http://t.co/duheeQtUW1 by @chrisvelazco,Wed Oct 09 23:22:49 +0000 2013,en,51,False,0,False,,adamerlebacher,adamerlebacher
@nap_dad Happy Bday from the Las Vegas strip CVS. http://t.co/SE2bDYsgrY,Mon Oct 07 03:47:38 +0000 2013,en,2,False,7,False,,adamerlebacher,adamerlebacher
RT @i2pi: Wow. We just won the top workplace award for small businesses in Oregon! http://t.co/pyllKL3HRk,Thu Sep 12 21:46:38 +0000 2013,en,22,False,0,False,,adamerlebacher,adamerlebacher
Excited to be back in NYC this week.,Mon Sep 09 15:10:55 +0000 2013,en,0,False,0,False,,adamerlebacher,adamerlebacher
Lost my original receipt for a return. Found the swipe on my Simple app in a second. Got my refund. Happy. :) cc @Simplify,Sun Aug 11 00:41:37 +0000 2013,en,0,False,2,False,,adamerlebacher,adamerlebacher
"@whilp @goodmanio @nap_dad Hell, yes.",Tue Jul 30 15:56:16 +0000 2013,en,0,False,0,False,,adamerlebacher,adamerlebacher
RT @Simplify: We'll be crossing Goals  off our #Android list later this week! [crowd roars] https://t.co/PrD0zPizIE,Wed Jul 17 01:45:49 +0000 2013,en,27,False,0,False,,adamerlebacher,adamerlebacher
RT @Simplify: Happy Simpleversary! Here is a blog post: http://t.co/9nVPTgT2pR One Year with Our Customers,Mon Jul 15 19:42:42 +0000 2013,en,29,False,0,False,,adamerlebacher,adamerlebacher
"RT @Simplify: Hey, check out our upcoming collaboration with @dropbox and @venmo. Go team! http://t.co/qQdsjih8TF ^CH",Wed Jul 10 18:25:17 +0000 2013,en,34,False,0,False,,adamerlebacher,adamerlebacher
"RT @Simplify: Hey NYC-- Simple will be at gdgt NYC this evening, and it's not too late to get your free tix! http://t.co/6JhIvZsV3A We'll h…",Mon Jun 24 17:40:10 +0000 2013,en,2,False,0,False,,adamerlebacher,adamerlebacher
RT @Simplify: New post on our Engineering blog! How we built our payments calendar on Android - http://t.co/hekcu0u5oR,Thu Jun 20 19:04:10 +0000 2013,en,10,False,0,False,,adamerlebacher,adamerlebacher
"RT @Simplify: You asked for it, you got it! Goals for iPhone is here! http://t.co/tB0d14aHhD In the App Store later today!",Tue Jun 18 22:07:15 +0000 2013,en,71,False,0,False,,adamerlebacher,adamerlebacher
RT @TechCrunch: Online Banking Startup Simple Finally Makes It Easier To Move Money Into Your Account http://t.co/B28jKu2sdL by @chrisvelaz…,Fri Jun 14 03:33:19 +0000 2013,en,48,False,0,False,,adamerlebacher,adamerlebacher
RT @Simplify: A common question we get: how do I transfer funds between Simple and my other accounts? Our new answer: http://t.co/Ylf8TOykHZ,Thu Jun 13 22:49:31 +0000 2013,en,51,False,0,False,,adamerlebacher,adamerlebacher
"RT @mrandre: I've long had this feeling that @simplify is a kind of game, in a subtle, effective way. So I blogged about it. http://t.co/ud…",Tue Jun 11 23:52:50 +0000 2013,en,23,False,0,False,,adamerlebacher,adamerlebacher
"@franciscoprat @infoarbitrage @Simplify Thanks, Francisco!",Fri Jun 07 20:36:26 +0000 2013,en,0,False,0,False,,adamerlebacher,adamerlebacher
RT @Simplify: Excellent HuffPo video about Simple's philosophy: http://t.co/TxikzITmQO And a great article too! http://t.co/KBQ2fWYbtT,Fri May 24 17:38:32 +0000 2013,en,41,False,0,False,,adamerlebacher,adamerlebacher
Ice Cream at The Franklin Fountain with @shamir_k and @hollywoodcpa https://t.co/XybOuupWwM,Tue May 21 01:29:30 +0000 2013,en,0,False,3,False,,adamerlebacher,adamerlebacher
What Tumblr's sale means for New York startup ecosystem http://t.co/XA56DwaTjB via @gigaom,Mon May 20 22:10:01 +0000 2013,en,0,False,2,False,,adamerlebacher,adamerlebacher
RT @Simplify: Help us name our brand new Tumblr! There are prizes! Check it out: http://t.co/ruMhXDKN19,Thu May 16 22:44:36 +0000 2013,en,9,False,0,False,,adamerlebacher,adamerlebacher
@kevinwack @i2pi Sounds great. @kberlincpr will reach out to set something up.,Sat May 11 17:39:42 +0000 2013,en,0,False,0,False,,adamerlebacher,adamerlebacher
"RT @zacduncan: Regular reminder that @Simplify is hiring kickass backend engineers. We have loads of important, challenging projects waitin…",Fri May 03 22:38:02 +0000 2013,en,3,False,0,False,,adamerlebacher,adamerlebacher
Dinner with the @simplify crew https://t.co/M7PP3mmLyz,Fri May 03 02:48:50 +0000 2013,en,0,False,6,False,,adamerlebacher,adamerlebacher
"@luckymethod Sure, what's your email?",Fri Apr 26 22:09:22 +0000 2013,en,0,False,0,False,,adamerlebacher,adamerlebacher
RT @mattsacks: I wrote a blog post about how we sped up the @simplify web app with an infinite &lt;table&gt; https://t.co/Mq01Wr61ff,Mon Apr 15 00:50:47 +0000 2013,en,7,False,0,False,,adamerlebacher,adamerlebacher
"RT @Simplify: Simple is looking for a strategic partnership manager! Help us manage our partners, strategically - http://t.co/xPxwNRD6Db ^KB",Mon Apr 08 20:59:16 +0000 2013,en,8,False,0,False,,adamerlebacher,adamerlebacher
@shamir_k @mattsacks ping pong tourney around the corner. Take it easy on 'em. No swords allowed. @3n @cschep @jpoz http://t.co/kILsINFzbs,Sat Mar 23 20:19:45 +0000 2013,en,0,False,1,False,,adamerlebacher,adamerlebacher
RT @whoisowenjones: Excited to see Portland's own @Simplify on stage at SXSW. #damntheman,Mon Mar 11 17:38:59 +0000 2013,en,2,False,0,False,,adamerlebacher,adamerlebacher
