Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
RT @TheSuccessKing: Risking is always better than regretting. https://t.co/rD63T93Ajv,Wed May 04 19:45:00 +0000 2016,en,86,False,0,False,,Alan Knitowski,alanknit
"Phunware is looking for Sr. QA Engineer. Learn more via https://t.co/kPXKmAXuif or Jobvite a friend.
https://t.co/B5yxzUFUlE #job",Wed May 04 18:14:06 +0000 2016,en,0,False,0,False,,Alan Knitowski,alanknit
SunBasket ranked #1 Best Food Delivery Kit in the US by BuzzFeed. #SunBasket https://t.co/Cv9p46l6p5,Wed May 04 13:30:34 +0000 2016,en,0,False,0,False,,Alan Knitowski,alanknit
"Phunware is looking for Customer Success Manager. Learn more via https://t.co/kPXKmAXuif or Jobvite a fr...
https://t.co/Y1h22Uo07J #job",Wed May 04 06:14:06 +0000 2016,en,0,False,1,False,,Alan Knitowski,alanknit
RT @LosFelizDaycare: Please specify on your prenatal application if your child will be paying their own tuition! For families where child i…,Tue May 03 20:54:55 +0000 2016,en,80,False,0,False,,Alan Knitowski,alanknit
"Phunware is looking for Manager, FP&amp;A. Learn more via https://t.co/kPXKmAXuif or Jobvite a friend.
https://t.co/BfzZm2qBYQ #job",Tue May 03 18:14:06 +0000 2016,en,0,False,0,False,,Alan Knitowski,alanknit
"Amen to this ... ""We must walk consciously only part way toward our goal, and then leap in the dark to our success."" -- Henry David Thoreau",Tue May 03 16:59:26 +0000 2016,en,1,False,0,False,,Alan Knitowski,alanknit
"Phunware is looking for Software Engineer - Android. Learn more via https://t.co/kPXKmAXuif or Jobvite a...
https://t.co/fXIOk6vOGJ #job",Tue May 03 06:14:06 +0000 2016,en,0,False,0,False,,Alan Knitowski,alanknit
"RT @LosFelizDaycare: ""I am thankful for my vegan lifestyle, my emotional support salamander, my ethnically diverse feelings puppets and Opr…",Mon May 02 21:12:36 +0000 2016,en,51,False,0,False,,Alan Knitowski,alanknit
"RT @LosFelizDaycare: When getting a new pet, please discourage gender-specific names. Or don't name them at all. If you listen, they will r…",Mon May 02 21:10:35 +0000 2016,en,131,False,0,False,,Alan Knitowski,alanknit
"Phunware is looking for Software Engineer - Android. Learn more via https://t.co/kPXKmAXuif or Jobvite a...
https://t.co/FprNyqlENz #job",Mon May 02 18:14:06 +0000 2016,en,0,False,0,False,,Alan Knitowski,alanknit
"""The future cannot be predicted, but futures can be invented."" -- Dennis Gabor",Mon May 02 17:14:57 +0000 2016,en,0,False,0,False,,Alan Knitowski,alanknit
"Phunware is looking for Revenue Accountant. Learn more via https://t.co/kPXKmAXuif or Jobvite a friend.
https://t.co/CjdTHDTvLB #job",Mon May 02 06:14:06 +0000 2016,en,0,False,0,False,,Alan Knitowski,alanknit
"Phunware is looking for Javascript Engineer. Learn more via https://t.co/kPXKmAXuif or Jobvite a friend.
https://t.co/RWj3aHNeDb #job",Sun May 01 18:14:06 +0000 2016,en,1,False,0,False,,Alan Knitowski,alanknit
"Phunware is looking for Software Engineer - Android. Learn more via https://t.co/kPXKmAXuif or Jobvite a...
https://t.co/KHTTSJUQWj #job",Sun May 01 06:14:06 +0000 2016,en,0,False,0,False,,Alan Knitowski,alanknit
"Phunware is looking for Junior Advertising Account Manager. Learn more via https://t.co/kPXKmAXuif or Jo...
https://t.co/gzrj9Cl951 #job",Sat Apr 30 18:14:06 +0000 2016,en,0,False,0,False,,Alan Knitowski,alanknit
