Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
@Michael_Levin but make sure it's less than 13 pages long.,Mon Apr 25 15:21:13 +0000 2016,en,1,False,0,False,,Andy Clibanoff,AndyClib
RT @Michael_Levin: would love Jerry Colangelo to leak a quote from himself about what the Sixers front office thinks of the Hinkie billboar…,Mon Apr 25 15:12:19 +0000 2016,en,9,False,0,False,,Andy Clibanoff,AndyClib
"RT @mroth78: The rich ""are looking for constant validation that they are a higher-value customer,” Coming to #HigherEd soon?  https://t.co/…",Mon Apr 25 00:48:20 +0000 2016,en,3,False,0,False,,Andy Clibanoff,AndyClib
"@stevekylerNBA 76ers trade Jah only if they don't receive Lakers pick and goes to Suns, Lakers or Celtics in exchange for their top pick.",Mon Apr 25 00:15:14 +0000 2016,en,0,False,0,False,,Andy Clibanoff,AndyClib
And I would add every aspiring front-office sports professional including those squat Syracuse students upstate. https://t.co/iLgNG8DQfE,Fri Apr 08 12:51:49 +0000 2016,en,0,False,0,False,,Andy Clibanoff,AndyClib
"@PabloTorre can often untie the knots of jargon and rhetoric.
 https://t.co/Jsr9yqbkoz",Fri Apr 08 12:50:07 +0000 2016,en,0,False,1,False,,Andy Clibanoff,AndyClib
Aside from @PabloTorre's own writing. https://t.co/rQso4PsVeO,Fri Apr 08 12:49:01 +0000 2016,en,0,False,0,False,,Andy Clibanoff,AndyClib
It's hard to argue with those dancers!  @JeffBezos  https://t.co/tMnIIPhNlC,Mon Apr 04 19:02:15 +0000 2016,en,0,False,0,False,,Andy Clibanoff,AndyClib
More exciting than Apollo! @JeffBezos  https://t.co/PbFO6uufzR,Mon Apr 04 19:01:02 +0000 2016,en,0,False,0,False,,Andy Clibanoff,AndyClib
"RT @JeffBezos: Heads up readers – all-new, top of the line Kindle almost ready. 8th generation. Details next week.",Mon Apr 04 18:59:11 +0000 2016,en,1284,False,0,False,,Andy Clibanoff,AndyClib
RT @rivercityjon: Amazon CEO Jeff Bezos says more details of a new Kindle coming next week (AMZN): A new Kindle device is .. #tech https://…,Mon Apr 04 18:59:01 +0000 2016,en,2,False,0,False,,Andy Clibanoff,AndyClib
Mary Berry rocks. https://t.co/Drl2crJWuc,Wed Mar 16 17:44:28 +0000 2016,en,0,False,1,False,,Andy Clibanoff,AndyClib
@RWitherspoon My friend and I wrote screenplay about first woman to win a national sports car racing event (1957). We think you'll love it.,Wed Mar 16 17:34:12 +0000 2016,en,0,False,0,False,,Andy Clibanoff,AndyClib
RT @vedgerestaurant: Singapore noodles back on the menu @VStreetFood ! https://t.co/t5ZmvR1j5O,Wed Mar 16 17:32:21 +0000 2016,en,2,False,0,False,,Andy Clibanoff,AndyClib
First Chelsea football match at Kings Arms pub. #londontour16 https://t.co/S873rMrHQN,Wed Mar 09 22:07:20 +0000 2016,en,0,False,0,False,,Andy Clibanoff,AndyClib
RT @BurdeLaw: Some of the best early stage Health IT businesses make products by applying the principles of the Lean Startup. https://t.co/…,Thu Feb 11 18:45:13 +0000 2016,en,1,False,0,False,,Andy Clibanoff,AndyClib
RT @BurdeLaw: @HIMSS16 Venture+ - Just announced! 20 innovative companies notifiedl 5 wait-listed from applicant pool of ~60! https://t.co/…,Thu Feb 11 18:45:02 +0000 2016,en,1,False,0,False,,Andy Clibanoff,AndyClib
First press release distributed for PA Department of Health. https://t.co/XVycQjIcv4,Fri Jan 29 14:27:56 +0000 2016,en,0,False,3,False,,Andy Clibanoff,AndyClib
"76ers Home opener doesn't get much better than this - at least in last three years! 
C'mon down. #SixersTalk",Fri Oct 30 20:27:59 +0000 2015,en,0,False,2,False,,Andy Clibanoff,AndyClib
#thisiswhy https://t.co/6S0EKygCJD,Sun Sep 13 09:14:34 +0000 2015,und,0,False,0,False,,Andy Clibanoff,AndyClib
"RT @Monroe_SA: Straight from Tim Duncan: ""I'll be on the court next year"" ... story coming soon on http://t.co/LMDPrVQ6z4",Thu Jul 02 18:42:52 +0000 2015,en,1287,False,0,False,,Andy Clibanoff,AndyClib
Thoughts on Workforce Planning from Stela Lupushor – A True Practitioner! http://t.co/UP34br2E7P via @FranzGilbert,Thu Jul 02 17:12:18 +0000 2015,en,0,False,0,False,,Andy Clibanoff,AndyClib
RT @AlexKennedyNBA: For those who think 76ers fans hate Sam Hinkie and this plan... http://t.co/FRO2Ro7A9C,Thu Jul 02 14:27:24 +0000 2015,en,57,False,0,False,,Andy Clibanoff,AndyClib
"RT @ZachLowe_NBA: Saric is not in the Kings-Sixers deal, sources say. Philly receives top-10 protected SAC pick 2 years after SAC's obligat…",Thu Jul 02 04:09:26 +0000 2015,en,462,False,0,False,,Andy Clibanoff,AndyClib
RT @JahlilOkafor: Appreciate all the love from the fans on the streets of Philly. Especially the young bulls! #DrJ #Home https://t.co/lPdYs…,Thu Jul 02 04:08:01 +0000 2015,en,351,False,0,False,,Andy Clibanoff,AndyClib
"RT @ZachLowe_NBA: Draymond Green's deal with GSW is a fully-locked 5-year deal, sources say. No options either way. And it's 5-years, $82M.",Thu Jul 02 04:04:05 +0000 2015,en,305,False,0,False,,Andy Clibanoff,AndyClib
RT @ZachLowe_NBA: I rescind my Philly jokes from earlier today! They were doing work the whole time!,Thu Jul 02 04:03:53 +0000 2015,en,189,False,0,False,,Andy Clibanoff,AndyClib
"RT @WojYahooNBA: Yahoo Sources: Sacramento clears salary cap space, includes Nik Stauskas in deal to Sixers. http://t.co/V6mJPRy2bV",Thu Jul 02 04:03:20 +0000 2015,en,251,False,0,False,,Andy Clibanoff,AndyClib
