Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
I love Dropbox because it still just works. Even after these many months. nice work guys. http://t.co/o34WWZkX,Sun Nov 04 20:40:34 +0000 2012,en,0,False,0,False,,Anurag Jain,anujain
"@SFGiants hey man. I am trying to accept a ticket relay, but your system wont let me. looks my money is going down the drain.",Thu Sep 27 02:06:24 +0000 2012,en,0,False,0,False,,Anurag Jain,anujain
@VIXandMore not necessarily. I think $VX_F is expecting $VRO to settle higher than the cash $VIX on Wednesday morning.,Fri Aug 17 17:09:37 +0000 2012,en,0,False,0,False,,Anurag Jain,anujain
@VIXandMore don't your indicators say that this is a market top?,Wed Aug 15 18:49:02 +0000 2012,en,0,False,0,False,,Anurag Jain,anujain
"@Casablanca33 Hi, I work at HitFix. It seems you cannot open our galleries. Is it still failing? Can you open http://t.co/U4NYtCdH ?",Mon Aug 13 22:19:52 +0000 2012,en,0,False,0,False,,Anurag Jain,anujain
"@VIXandMore ironically, the VIX index opened higher despite now, even with the &gt;2% drop in the last 2 hrs.",Fri Jun 01 15:24:44 +0000 2012,en,0,False,0,False,,Anurag Jain,anujain
"@VIXandMore SPX is dropping, but VIX term structure seems to imply no systemic risk. Bottom in stocks? or is this what mayhem looks like?",Fri Jun 01 14:51:52 +0000 2012,en,0,False,0,False,,Anurag Jain,anujain
"@DeadbeatAtDawn Hey, Anu here from HitFix, abt malware redirects. Do u use mac/pc and  browser? can i email you w/longer text?",Wed Feb 29 21:57:22 +0000 2012,en,0,False,1,False,,Anurag Jain,anujain
"@jonmaslow Hi, This is Anu from HitFix. Following-up on adware spam. Is that from hitfix site, or on a link to hitfix from somewhere else?",Tue Feb 28 22:55:21 +0000 2012,en,0,False,0,False,,Anurag Jain,anujain
what it means to create a vertical social network. http://t.co/sFdxTDap,Fri Oct 07 16:16:36 +0000 2011,en,0,False,0,False,,Anurag Jain,anujain
remembering Steve Jobs. http://t.co/qFdV0wzo,Fri Oct 07 00:38:58 +0000 2011,en,0,False,0,False,,Anurag Jain,anujain
the onion nailed it. http://t.co/Lsvl2pOp,Thu Oct 06 19:10:20 +0000 2011,en,0,False,0,False,,Anurag Jain,anujain
great set of quotes from Steve Jobs. http://t.co/7DekaSUt,Thu Oct 06 19:06:18 +0000 2011,en,0,False,0,False,,Anurag Jain,anujain
"it feels like in a lot of ways, Steve Jobs had only just begun showing us all what was really possible. ",Thu Oct 06 00:27:48 +0000 2011,en,0,False,1,False,,Anurag Jain,anujain
 Sad.,Thu Oct 06 00:25:47 +0000 2011,und,0,False,0,False,,Anurag Jain,anujain
types of social networks: http://t.co/ryc0viAs,Wed Sep 28 22:27:58 +0000 2011,en,0,False,0,False,,Anurag Jain,anujain
different kinds of social models. http://t.co/mg3VSzJ3,Mon Sep 26 18:28:25 +0000 2011,en,0,False,0,False,,Anurag Jain,anujain
"ever notice how other people's food always looks better than yours in restaurants, and worse than yours in their lunch boxes?",Thu Sep 22 04:34:12 +0000 2011,en,0,False,0,False,,Anurag Jain,anujain
A bestseller? RT @rashmi: I could write a novel on the inefficiencies of the Craigslist interface,Wed Aug 31 03:05:39 +0000 2011,en,0,False,0,False,,Anurag Jain,anujain
