Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
Check out a new review of AnyCloud (in Dutch) at https://t.co/ZLpnKt6S4R Thanks @BenjaminRK &amp; the @iCulture team! Verenig uw online wereld!,Fri Feb 19 15:40:51 +0000 2016,en,1,False,0,False,,AnyCloud,AnyCloudCo
"On Valentine's Day your world revolved around that special someone, now it's time to re-unify your (online) world around being organized!",Thu Feb 18 19:20:48 +0000 2016,en,0,False,0,False,,AnyCloud,AnyCloudCo
"What a great place @EshipAtDuke has for Duke Startups and Students. Thank you and keep up the good work, guys n gals! #BlueDevilNation",Tue Feb 16 21:15:32 +0000 2016,en,1,False,2,False,,AnyCloud,AnyCloudCo
Saving up to 20 seconds a day with AnyCloud could save you up to 2 hours each year! Over 2 min extra sleep every Monday morning! Snooze!!,Wed Jan 20 17:16:06 +0000 2016,en,0,False,0,False,,AnyCloud,AnyCloudCo
Back to work: Make sure to keep track of all the documents you use or ... you could let AnyCloud do the heavy lifting #efficiency #nohassle,Tue Jan 05 16:16:56 +0000 2016,en,0,False,1,False,,AnyCloud,AnyCloudCo
"Only a few more days until Christmas!! It may not qualify as the only gift you give them, but your friends will surely appreciate AnyCloud.",Thu Dec 17 14:27:00 +0000 2015,en,0,False,0,False,,AnyCloud,AnyCloudCo
"This morning, we would love your input on how you are enjoying the AnyCloud app! We been having record high signups! Thank you to our users!",Fri Dec 11 15:42:36 +0000 2015,en,0,False,0,False,,AnyCloud,AnyCloudCo
How are you managing the family pictures online? We have a solution - trade you for a solution to gaining a bunch of weight ;),Wed Dec 02 13:53:12 +0000 2015,en,0,False,0,False,,AnyCloud,AnyCloudCo
Have you signed up for AnyCloud yet? It's quick and easy to unify your private internet at https://t.co/Qe5xACLNcs,Mon Nov 30 17:06:25 +0000 2015,en,0,False,0,False,,AnyCloud,AnyCloudCo
"If you're reading this, get off your device and enjoy some family and turkey (in different ways). Happy Thanksgiving from the AnyCloud Team!",Thu Nov 26 21:25:30 +0000 2015,en,0,False,0,False,,AnyCloud,AnyCloudCo
Have you accessed your Private Internet yet? Get it in time for Thanksgiving when the family photos start flowing (along with the gravy)!,Sun Nov 22 18:35:30 +0000 2015,en,0,False,0,False,,AnyCloud,AnyCloudCo
