Text,Created Date,Language,Retweet Count,Retweeted,Favorite Count,Favorited,co-ordinates,Tweeted By,Screen Name
A match made in heaven - congrats @dougDooley and team @Evidentio! https://t.co/cQfEzL8NJj,Thu Apr 28 16:28:00 +0000 2016,en,0,False,1,False,,Ashmeet Sidana,ashmeetsidana
Congrats @avifreedman and the entire team @kentikinc! https://t.co/eHPTEu9cMW,Tue Apr 26 22:00:10 +0000 2016,en,3,False,6,False,,Ashmeet Sidana,ashmeetsidana
Congrats @jeffpchou and @DiamantiCom - Data Center Startup Diamanti Exits Stealth With $12.5 Million - Fortune https://t.co/cXp6XrJlFu,Tue Apr 19 13:57:57 +0000 2016,en,8,False,8,False,,Ashmeet Sidana,ashmeetsidana
"Agreed @sgblank but I would extend the last point to ""eventually everyone wants liquidity"". https://t.co/kHOsCbpv3y",Mon Apr 18 17:56:26 +0000 2016,en,0,False,0,False,,Ashmeet Sidana,ashmeetsidana
Love it @smb06! https://t.co/6DwIXP3aZN,Sat Apr 16 20:16:45 +0000 2016,en,0,False,0,False,,Ashmeet Sidana,ashmeetsidana
Congrats @roh1 @palerrainc  https://t.co/SUNgPQGjIj,Thu Apr 14 16:17:56 +0000 2016,en,0,False,1,False,,Ashmeet Sidana,ashmeetsidana
"RT @yotascale: ""What’s Design Thinking Got to Do With It?"" @LinkedInPulse https://t.co/r9QSk2VJ4i  #Cloud #DesignThinking #YotaScale #Thoug…",Fri Apr 01 03:49:42 +0000 2016,en,10,False,0,False,,Ashmeet Sidana,ashmeetsidana
RT @epowell101: @ashmeetsidana thank you Ashmeet!  Getting to know you better is one of the best things to come from this @Stack_Storm adve…,Wed Mar 30 02:37:20 +0000 2016,en,1,False,0,False,,Ashmeet Sidana,ashmeetsidana
"Congrats @epowell101, Dmitir and the entire team at @Stack_Storm on the acquisition by @Brocade  https://t.co/qcNi4k0DQx",Tue Mar 29 20:34:02 +0000 2016,en,1,False,3,False,,Ashmeet Sidana,ashmeetsidana
Congrats @adamse on the new role! https://t.co/YKu5YZKQti,Fri Mar 25 14:56:16 +0000 2016,en,0,False,1,False,,Ashmeet Sidana,ashmeetsidana
Congrats @sgblank. Proud to have as an advisor @EngineeringCap  https://t.co/SyYLwkutcR,Sat Mar 12 14:03:57 +0000 2016,en,0,False,2,False,,Ashmeet Sidana,ashmeetsidana
RT @menlosecurity: 20 Coolest Web And Application Security Vendors https://t.co/gx1WsSasq4 /via @CRN @skuranda https://t.co/80RumsqA6a,Thu Mar 10 12:34:16 +0000 2016,en,3,False,0,False,,Ashmeet Sidana,ashmeetsidana
Congrats @roh1 and the entire team @palerrainc https://t.co/tXcjEdBKtl,Mon Feb 29 16:58:17 +0000 2016,en,0,False,1,False,,Ashmeet Sidana,ashmeetsidana
RT @sgblank: success = insight x tenacity x methodology x pattern recognition x risk capital x market timing x time for liquidity,Sun Feb 28 15:32:03 +0000 2016,en,164,False,0,False,,Ashmeet Sidana,ashmeetsidana
RT @kentikinc: Grand Theft Internet: @avifreedman on BGP route hijacking and black holing in @VentureBeat https://t.co/mbA648dxmG https://t…,Sun Feb 28 00:18:57 +0000 2016,en,4,False,0,False,,Ashmeet Sidana,ashmeetsidana
"RT @menlosecurity: Going to RSA? Request a demo of the Menlo Security Isolation Platform at our booth, 4812 https://t.co/A9Hfz7Bp0J https:/…",Mon Feb 22 23:18:03 +0000 2016,en,1,False,0,False,,Ashmeet Sidana,ashmeetsidana
RT @palerrainc: Come rub elbows with the who’s who in the #security industry after #RSAC on 3/1! RSVP: https://t.co/dkKLIiw8R6 https://t.co…,Mon Feb 22 23:17:54 +0000 2016,en,2,False,0,False,,Ashmeet Sidana,ashmeetsidana
Welcome to @EngineeringCap @nealmueller  https://t.co/kmxJBho9hZ,Wed Feb 10 17:16:26 +0000 2016,en,1,False,4,False,,Ashmeet Sidana,ashmeetsidana
"RT @sgblank: If you're in the SF Bay Area, this is a once in a lifetime opportunity https://t.co/NZwBWkzD5X",Mon Feb 08 06:43:22 +0000 2016,en,16,False,0,False,,Ashmeet Sidana,ashmeetsidana
Thx @EitanSaban - also just like candy some investors are better than others! https://t.co/nJLdUsOXxE,Sat Jan 30 01:35:47 +0000 2016,en,1,False,3,False,,Ashmeet Sidana,ashmeetsidana
